De	B-TEMPO_TEMPO_CALEND_INTERVALO
8.o	O
a	O
necessidades	O
de	O
formação	O
de	O
carácter	O
específico	O
para	O
licenciados	O
em	O
Enfermagem.	O
A	O
sua	O
estrutura	O
modular	O
,	O
estando	O
orientada	O
para	O
Recursos	O
necessários	O
profissionais	O
ou	O
futuros	O
profissionais	O
que	O
procuram	O
formações	O
com-	O
A	O
Secção	B-ORGANIZACAO_INSTITUICAO_SUB
Autónoma	O
de	O
Ciências	O
da	O
Saúde	O
disponibilizará	O
o	O
corpo	O
plementares	O
específicas	O
ou	O
actualização	O
de	O
competências	O
,	O
permite	O
uma	O
docente	O
necessário	O
à	O
leccionação	O
deste	B-TEMPO_TEMPO_CALEND_DATA
curso	O
,	O
em	O
articulação	O
com	O
gestão	O
flexível	O
do	O
tempo	O
compatível	O
com	O
percursos	O
individuais	O
de	O
colaborações	O
externas	O
pontuais.	O
formação.	O
Os	O
objectivos	O
deste	B-TEMPO_TEMPO_CALEND_DATA
curso	O
de	O
formação	O
especializada	O
enquadram-se	O
ainda	O
nos	O
objectivos	O
da	O
Universidade	O
de	O
Aveiro	B-LOCAL_HUMANO_DIVISAO
para	O
a	O
formação	O
pós-	O
9.o	O
-graduada	O
,	O
proporcionando	O
uma	O
oferta	O
formativa	O
diversificada	O
que	O
Propinas	O
responda	O
a	O
necessidades	O
de	O
formação	O
contínua	O
profissional	O
para	O
além	O
da	O
tradicional	O
formação	O
orientada	O
para	O
percursos	O
académicos.	O
As	O
propinas	O
mínimas	O
correspondentes	O
à	O
frequência	O
do	O
curso	O
de	O
formação	O
especializada	O
serão	O
fixadas	O
anualmente	O
,	O
de	O
acordo	O
com	O
o	O
estipulado	O
no	O
artigo	O
15.o	O
do	O
Regulamento	O
sobre	O
a	O
Criação	O
de	O
Cursos	O
2.o	O
de	O
Formação	O
Especializada	O
na	O
Universidade	O
de	O
Aveiro	B-LOCAL_HUMANO_DIVISAO
,	O
tendo	O
em	O
Organização	O
curricular	O
consideração	O
os	O
factores	O
multiplicativos	O
por	O
área	O
científica	O
fixados	O
pela	O
Secção	B-ORGANIZACAO_INSTITUICAO_SUB
de	I-ORGANIZACAO_INSTITUICAO_SUB
Planeamento	O
e	O
Gestão	O
do	O
Senado	O
.	O
O	O
curso	O
de	O
formação	O
especializada	O
em	O
Enfermagem	O
,	O
de	O
curta	O
dura-	O
ção	O
,	O
corresponde	O
à	O
obtenção	O
de	O
um	O
mínimo	O
de	O
quatro	O
unidades	O
de	B-TEMPO_TEMPO_CALEND_DATA
29	I-TEMPO_TEMPO_CALEND_DATA
de	I-TEMPO_TEMPO_CALEND_DATA
Novembro	I-TEMPO_TEMPO_CALEND_DATA
de	I-TEMPO_TEMPO_CALEND_DATA
2004	I-TEMPO_TEMPO_CALEND_DATA
.	O
-	O
A	O
Vice-Reitora	O
,	O
Isabel	O
P	O
.	O
Martins.	O
Sebastião	O
de	O
Portugal	O
Desaparecimento	O
e	O
lenda	O
Na	O
subsequente	O
batalha	O
de	O
Alcácer-Quibir	O
,	O
o	O
campo	O
dos	O
três	O
reis	O
,	O
os	O
portugueses	O
sofreram	O
uma	O
derrota	O
humilhante	O
às	B-TEMPO_TEMPO_CALEND_HORA
mãos	O
do	O
sultão	O
Ahmed	O
Mohammed	O
de	O
Fez	B-LOCAL_HUMANO_DIVISAO
e	O
perderam	O
uma	O
boa	O
parte	O
do	O
seu	O
exército.	O
Quanto	O
a	O
Sebastião	O
,	O
provavelmente	O
morreu	O
na	O
batalha	O
ou	O
foi	O
morto	O
depois	O
desta	O
terminar.	O
Mas	O
para	O
o	O
povo	O
português	O
de	O
então	O
o	O
rei	O
havia	O
apenas	O
desaparecido.	O
Este	O
desastre	O
teria	O
as	O
piores	O
consequências	O
para	O
o	O
país	O
,	O
colocando	O
em	O
perigo	O
a	O
sua	O
independência.	O
O	O
resgate	O
dos	O
sobreviventes	O
ainda	O
mais	O
agravou	O
as	O
dificuldades	O
financeiras	O
do	O
país.	O
Em	O
1581	O
,	O
Filipe	O
I	O
de	O
Portugal	B-LOCAL_HUMANO_PAIS
,	O
mandou	O
transladar	O
para	O
o	O
Mosteiro	B-LOCAL_HUMANO_CONSTRUCAO
dos	I-LOCAL_HUMANO_CONSTRUCAO
Jerónimos	I-LOCAL_HUMANO_CONSTRUCAO
em	O
Lisboa	B-LOCAL_HUMANO_DIVISAO
um	O
corpo	O
que	O
alegava	O
ser	O
o	O
do	O
rei	O
desaparecido	O
,	O
na	O
esperança	O
de	O
acabar	O
com	O
o	O
sebastianismo	O
,	O
o	O
que	O
não	O
resultou	O
,	O
nem	O
se	O
pôde	O
comprovar	O
ser	O
o	O
corpo	O
realmente	O
o	O
de	O
Sebastião	O
I.	O
O	O
Túmulo	O
de	O
Mármore	O
que	O
repousa	O
sobre	O
dois	O
elefantes	O
,	O
pode	O
ainda	O
hoje	B-TEMPO_TEMPO_CALEND_DATA
ser	O
observado	O
em	O
Lisboa	B-LOCAL_HUMANO_DIVISAO
.	O
A	O
dúvida	O
que	O
persiste	O
há	O
mais	O
de	O
425	O
anos	O
poderia	O
provavelmente	O
hoje	B-TEMPO_TEMPO_CALEND_DATA
ser	O
resolvida	O
com	O
um	O
simples	O
teste	O
de	O
ADN	O
(	O
DNA	O
)	O
.	O
Tornou-se	O
então	O
numa	O
lenda	O
do	O
grande	O
patriota	O
português	O
-	O
o	O
``	O
rei	O
dormente	O
''	O
(	O
ou	O
um	O
Messias	O
)	O
que	O
iria	O
regressar	O
para	O
ajudar	O
Portugal	O
nas	O
suas	O
horas	O
mais	O
sombrias	O
,	O
uma	O
imagem	O
semelhante	O
à	O
que	O
o	O
Rei	O
Artur	O
tem	O
em	O
Inglaterra	B-LOCAL_HUMANO_PAIS
ou	O
Frederico	O
Barbarossa	O
na	O
Alemanha.	O
Durante	O
o	O
subsequente	O
domínio	O
espanhol	O
(	O
1580-1640	O
)	O
da	O
coroa	O
portuguesa	O
,	O
três	O
pretendentes	O
afirmaram	O
ser	O
o	O
rei	O
D.	O
Sebastião	O
,	O
tendo	O
o	O
último	O
deles	O
-	O
um	O
italiano	O
-	O
sido	O
enforcado	O
em	O
1619	O
.	O
Mesmo	O
no	B-TEMPO_TEMPO_CALEND_DATA
século	O
XIX	O
,	O
lavradores	O
Sebastianistas	O
no	O
sertão	O
brasileiro	O
acreditavam	O
que	O
o	O
rei	O
iria	O
regressar	O
para	O
ajuda-los	O
na	O
luta	O
contra	O
a	O
República	B-LOCAL_HUMANO_PAIS
ateia	O
Brasileira	O
``	O
(	O
Ver	O
Revolta	O
dos	O
Canudos	O
)	O
.	O
Em	O
conclusão	O
,	O
a	O
Dinastia	O
de	O
Avis	O
,	O
popular	O
entre	O
o	O
povo	O
após	O
ter	O
guiado	O
Portugal	O
à	O
sua	O
época	O
de	O
ouro	O
,	O
acabou	O
por	O
submergir	O
na	O
busca	O
de	O
um	O
sonho	O
:	O
a	O
União	B-LOCAL_HUMANO_PAIS
Peninsular.	O
As	O
mesmas	O
complicações	O
causadas	O
pela	O
procriação	O
consanguínea	O
causou	O
as	O
mortes	O
das	O
crianças	O
de	O
D.	O
João	O
III	O
e	O
Catarina	O
de	O
Áustria	O
e	O
a	O
loucura	O
e	O
desespero	O
dos	O
seus	O
netos	O
(	O
Sebastião	O
e	O
Carlos	B-LOCAL_HUMANO_CONSTRUCAO
)	O
,	O
os	O
últimos	B-TEMPO_TEMPO_CALEND_DATA
príncipes	O
de	O
Avis-Habsburgo	O
.	O
Multibanco	O
Multibanco	O
é	O
uma	O
marca	O
registada	O
propriedade	O
da	O
empresa	O
SIBS	O
.	O
O	O
termo	O
é	O
utilizado	O
comumente	O
para	O
designar	O
as	O
caixas	O
automáticas	O
(	O
as	O
máquinas	O
que	O
permitem	O
a	O
realização	O
de	O
operações	O
bancárias	O
em	O
regime	O
de	O
auto-serviço	O
)	O
,	O
sendo	O
mesmo	B-TEMPO_TEMPO_CALEND_DATA
utilizados	O
em	O
relação	O
a	O
caixas	O
automáticas	O
de	O
sistema	O
outros	O
que	O
o	O
controlado	O
pela	O
SIBS	O
.	O
Neste	O
contexto	O
,	O
também	O
se	O
utiliza	O
o	O
termo	O
ATM	O
,	O
do	O
inglês	O
Automatic	O
Teller	O
Machine	O
.	O
Enquanto	O
Portugal	O
foi	O
um	O
dos	O
últimos	B-TEMPO_TEMPO_CALEND_DATA
países	O
da	O
Europa	B-LOCAL_HUMANO_DIVISAO
ocidental	O
a	O
instalá-las	O
,	O
o	O
equipamento	O
usado	O
representou	O
o	O
que	O
havia	O
de	O
mais	O
avançado	O
,	O
baseado	O
nas	O
experiências	O
de	O
outros	O
países	O
,	O
muitos	O
dos	O
quais	O
gastam	O
agora	O
imenso	O
dinheiro	O
para	O
substituir	O
e	O
actualizar	O
máquinas	O
obsoletas.	O
O	O
número	O
de	O
caixas	O
Multibanco	O
mais	O
do	O
que	O
triplicou	O
em	O
Portugal	O
na	B-TEMPO_TEMPO_CALEND_DATA
última	I-TEMPO_TEMPO_CALEND_DATA
década	I-TEMPO_TEMPO_CALEND_DATA
,	O
revela	O
um	O
estudo	O
da	O
Marktest	O
.	O
Desde	O
1995	B-TEMPO_TEMPO_CALEND_DATA
,	O
triplicou	O
também	O
o	O
valor	O
mensal	O
médio	O
de	O
levantamentos	O
per	O
capita	O
,	O
revelam	O
os	O
dados	O
fornecidos	O
pela	O
SIBS	O
e	O
incluídos	O
na	O
pesquisa	O
«	O
Os	O
Concelhos	O
Portugueses	O
--	O
1995/2005	O
».	O
Em	O
Portugal	B-LOCAL_HUMANO_PAIS
,	O
os	O
multibancos	O
têm	O
tido	O
muito	O
sucesso	O
,	O
o	O
que	O
levou	O
ao	O
aparecimento	O
de	O
novos	O
serviços	O
não	O
bancários	O
,	O
como	O
a	O
venda	O
de	O
bilhetes	O
ou	O
o	O
pagamento	O
de	O
serviços.	O
Neste	O
momento	O
a	O
Rede	O
Multibanco	O
é	O
uma	O
das	O
mais	O
sofisticadas	O
redes	O
interbancárias	O
do	O
mundo.	O
Também	O
é	O
o	O
nome	O
de	O
um	O
cartão	O
de	O
débito.	O
George	O
Steiner	O
-	O
holocausto	O
ou	O
holocaustos	O
?	O
George	O
Steiner	O
esteve	O
recentemente	O
em	O
Portugal	B-LOCAL_HUMANO_PAIS
e	O
de	O
acordo	O
com	O
notícia	O
no	O
Ciência	O
Hoje	B-TEMPO_TEMPO_CALEND_DATA
o	I-TEMPO_TEMPO_CALEND_DATA
ensaísta	O
vem	B-TEMPO_TEMPO_CALEND_DATA
proferir	O
um	O
discurso	O
que	O
a	O
Europa	B-LOCAL_HUMANO_DIVISAO
é	O
uma	O
civilização	O
decadente	O
e	O
que	O
aparecerão	O
outros	O
locais	O
do	O
planeta	O
como	O
a	O
China	O
e	O
a	O
Índia	B-LOCAL_HUMANO_PAIS
?	O
.	O
Esta	O
afirmação	O
levantou-me	O
uma	O
série	O
de	O
inquitações	O
:	O
Ora	O
a	O
Índia	O
e	O
a	O
China	O
já	O
têm	O
o	O
seu	O
espaço	O
,	O
as	O
suas	O
incongruências	O
e	O
cometendo	O
os	O
piores	O
atentados	O
ecológicos	O
de	O
sempre	O
enquanto	O
hoje	O
há	O
uma	O
Europa	O
que	O
tem	O
feito	O
da	O
sustentabilidade	O
um	O
exemplo	O
a	O
este	B-TEMPO_TEMPO_CALEND_DATA
planeta	O
...	O
exigir	O
mais	O
é	O
possível	O
,	O
concerteza.	O
Mas	O
George	O
Steiner	O
(	O
G.S.	O
)	O
,	O
proferiu	O
uma	O
outra	O
barbaridade	O
ainda	O
mais	O
grave	O
uma	O
civilização	O
que	O
mata	O
os	O
seus	O
judeus	O
não	O
recupera	O
...	O
Não	O
visitou	O
o	O
memorial	O
em	O
Berlim	B-LOCAL_HUMANO_DIVISAO
,	O
concerteza	O
...	O
ou	O
tão	O
aplaudido	O
sábio	O
terá	O
esquecido	O
de	O
Aristides	O
Sousa	O
Mendes	O
ou	O
de	O
Oskar	O
Schindler	O
?	O
Por	O
mim	O
G.S.	O
que	O
fique	O
pela	O
América	B-LOCAL_HUMANO_REGIAO
e	O
ataque	O
outros	O
holocaustos	O
que	O
não	O
criticou	O
:	O
Guantanamo	O
,	O
o	O
muro	O
internacional	O
no	O
México	B-LOCAL_HUMANO_PAIS
,	O
que	O
ataque	O
a	O
administração	O
Bush	O
que	O
ainda	O
não	O
assinou	O
o	O
Protocolo	O
de	O
Quioto	O
,	O
que	O
ataque	O
um	O
país	O
que	O
mantem	O
a	O
pena	O
de	O
morte	O
,	O
que	O
ataque	O
um	O
país	O
onde	O
é	O
constitucional	O
o	O
uso	O
de	O
armas	O
...	O
e	O
lembrar-lhe	O
que	O
há	O
muitos	O
holocaustos	O
no	O
mundo	O
...	O
G.S.	O
,	O
enquanto	O
aufere	O
uns	O
bons	O
milhões	O
de	O
dólares	O
e	O
estará	O
num	O
gabinete	O
provavelmente	O
nada	O
ecológico	O
,	O
com	O
ar	O
condicionado	O
,	O
podia	O
sair	O
um	O
pouco	O
da	O
sua	O
aura	O
de	O
eterna	O
vítima	O
de	O
anti-semitismo	O
e	O
demonstar	O
mais	O
solidariedade	O
com	O
estas	O
irracionalidades	O
no	O
Mundo	O
de	B-TEMPO_TEMPO_CALEND_DATA
hoje	O
como	O
Angola	B-LOCAL_HUMANO_PAIS
e	O
que	O
são	O
também	O
holocautos	O
tão	O
ou	O
mais	O
graves	O
que	O
Kosovo	B-LOCAL_HUMANO_DIVISAO
e/ou	O
Israel-Palestina	O
:	O
Darfur	O
,	O
Birmânia	O
,	O
Congo	O
,	O
Ruanda	B-LOCAL_HUMANO_PAIS
,	O
Singapura	B-LOCAL_HUMANO_PAIS
,	O
Indonésia	B-LOCAL_HUMANO_PAIS
,	O
Tibete	O
,	O
povos	O
da	O
Amazónia	O
,	O
Curdos	O
e	O
Nações	O
sem	O
Estado.	O
O	O
jardim	O
de	O
caminhos	O
que	O
se	O
encontram	O
(	O
algumas	O
palavras	O
sobre	O
o	O
conto	O
de	O
Borges	O
e	O
o	O
filme	O
de	O
Tom	O
Tykwer	O
)	O
Roberto	O
Azoubel	O
(	O
Este	O
texto	O
é	O
dedicado	O
ao	O
professor	O
e	O
poeta	O
Jorge	O
Wanderley	O
(	O
em	O
memória	O
)	O
que	O
me	O
``	O
incomodava	O
''	O
com	O
Borges	O
e	O
com	O
a	O
literatura	O
.	O
)	O
Uma	O
das	O
tarefas	O
mais	O
importantes	O
da	O
arte	O
foi	O
sempre	O
a	O
de	O
gerar	O
uma	O
demanda	O
cujo	O
atendimento	O
integral	O
só	O
poderia	O
produzir-se	O
mais	O
tarde	O
.	O
''	O
Walter	O
Benjamim	O
I1.	O
Com	O
o	O
desenvolvimento	O
da	O
imprensa	O
no	B-TEMPO_TEMPO_CALEND_DATA
começo	O
do	O
século	B-TEMPO_TEMPO_CALEND_DATA
XX	I-TEMPO_TEMPO_CALEND_DATA
,	O
o	O
romance	O
-	O
forma	O
literária	O
intrinsecamente	O
ligada	O
ao	O
objeto	O
livro	O
-	O
emerge	O
em	O
sintonia	O
com	O
toda	O
a	O
evolução	O
das	O
forças	O
produtivas	O
da	O
sociedade	O
,	O
tornando-se	O
um	O
gênero	O
de	O
grande	O
difusão	O
no	O
mundo.	O
Tal	O
difusão	O
levou	O
o	O
filósofo	O
alemão	O
Walter	O
Benjamim	O
a	O
se	O
preocupar	O
com	O
a	O
morte	O
do	O
narrador	O
-	O
aquele	O
do	O
discurso	O
vivo	O
-	O
como	O
podemos	O
observar	O
no	O
texto	O
O	O
Narrador	O
,	O
escrito	O
em	B-TEMPO_TEMPO_CALEND_DATA
1936	I-TEMPO_TEMPO_CALEND_DATA
.	O
O	O
texto	O
de	O
Benjamim	O
nos	O
remete	O
a	O
uma	O
recente	O
discussão	O
que	O
seria	O
a	O
factível	O
morte	O
da	O
literatura	O
diante	O
do	O
crescimento	O
da	O
produção	O
cinematográfica	O
que	O
se	O
espalha	O
pelo	O
planeta.	O
Proponho-me	O
neste	O
texto	O
analisar	O
justamente	O
esta	O
contenda	O
,	O
assumindo	O
posições	O
que	O
ficarão	O
nítidas	O
no	O
decorrer	O
do	O
seu	O
corpo.	O
Para	O
tal	O
empreitada	O
,	O
tomo	O
como	O
referências	O
o	O
conto	O
O	O
Jardim	O
dos	O
Caminhos	O
que	O
se	O
Bifurcam	O
,	O
escrito	O
em	O
1941	B-TEMPO_TEMPO_CALEND_DATA
pelo	O
argentino	O
Jorge	O
Luis	O
Borges	O
,	O
e	O
o	O
fresquíssimo	O
Corra	O
Lola	O
,	O
Corra	O
(	O
Lola	O
Rennt	O
)	O
,	O
filme	O
alemão	O
realizado	O
pelo	O
diretor	O
e	O
roteirista	O
Tom	O
Tykwer	O
.	O
II	O
Para	O
chegarmos	O
ao	O
conto	O
de	O
Borges	O
,	O
passemos	O
antes	O
por	O
Italo	O
Calvino	O
.	O
No	O
capítulo	O
chamado	O
``	O
Multiplicidade	O
``	O
do	O
seu	O
livro	O
Seis	O
Propostas	O
para	O
o	O
Próximo	O
Milênio	O
,	O
Calvino	O
destaca	O
como	O
uma	O
das	O
(	O
boas	O
)	O
características	O
da	O
literatura	O
contemporânea	O
essa	O
capacidade	O
de	O
estabelecer	O
redes	O
de	O
conexões	O
entre	O
os	O
acontecimentos	O
,	O
entre	O
as	O
pessoas	O
,	O
entre	O
as	O
coisas	O
do	O
mundo	O
,	O
em	O
outras	O
palavras	O
,	O
essa	O
capacidade	O
atual	O
de	O
a	O
escritura	O
poder	O
ser	O
múltipla.	O
No	O
decorrer	O
do	O
capítulo	O
,	O
o	O
autor	O
italiano	O
mostra	O
várias	O
formas	O
de	O
multiplicidades	O
que	O
ocorrem	O
na	O
literatura.	O
No	O
entanto	O
,	O
para	O
não	O
sairmos	O
do	O
foco	O
da	O
discussão	O
do	O
texto	O
,	O
fiquemos	O
inicialmente	O
com	O
o	O
exemplo	O
do	O
romancista	O
italiano	O
Carlo	O
Emilio	O
Gadda	O
,	O
de	O
quem	O
,	O
entre	O
outros	O
autores	O
,	O
Calvino	O
se	O
serve	O
como	O
ilustração.	O
Segundo	O
Calvino	O
(	O
1990	B-TEMPO_TEMPO_CALEND_DATA
:	O
121	O
)	O
,	O
``	O
Gadda	O
durante	O
toda	O
a	O
sua	O
vida	O
buscou	O
representar	O
o	O
mundo	O
como	O
um	O
rolo	O
,	O
uma	O
embrulhada	O
,	O
um	O
aranzel	O
,	O
sem	O
jamais	O
atenuar-lhe	O
a	O
complexidade	O
inextricável	O
-	O
ou	O
,	O
melhor	O
dizendo	O
,	O
a	O
presença	O
simultânea	O
dos	O
elementos	O
mais	O
heterogêneos	O
que	O
concorrem	O
para	O
a	O
determinação	O
de	O
cada	O
evento	O
''	O
.	O
E	O
mais	O
adiante	O
,	O
apoiado	O
no	O
ensaio	O
La	O
disarmonia	O
prestabilita	O
do	O
crítico	O
Gian	O
Carlo	O
Roscioni	O
,	O
Calvino	O
ainda	O
coloca	O
que	O
``	O
esse	O
conhecimento	O
das	O
coisas	O
enquanto	O
'relações	O
infinitas	O
,	O
passadas	O
e	O
futuras	O
,	O
reais	O
e	O
possíveis	O
,	O
que	O
para	O
elas	O
convergem	O
?	O
,	O
exige	O
que	O
tudo	O
seja	O
exatamente	O
denominado	O
,	O
descrito	O
e	O
localizado	O
no	O
espaço	O
e	O
no	B-TEMPO_TEMPO_CALEND_DATA
tempo	I-TEMPO_TEMPO_CALEND_DATA
''	O
(	O
CALVINO	O
,	O
1990	B-TEMPO_TEMPO_CALEND_DATA
:123	O
)	O
.	O
Outros	O
romancistas	O
como	O
Proust	O
e	O
George	O
Perec	O
,	O
com	O
o	O
seu	O
A	B-OBRA_REPRODUZIDA_LIVRO
Vida	I-OBRA_REPRODUZIDA_LIVRO
Modos	O
de	O
Usar	B-OBRA_REPRODUZIDA_LIVRO
,	O
são	O
citados	O
no	O
capítulo	O
como	O
exemplos	O
de	O
uma	O
escritura	O
que	O
conduz	O
à	O
multiplicidade	O
(	O
de	O
caminhos	O
,	O
de	O
níveis	O
,	O
de	O
pensamentos	O
,	O
de	O
vozes	O
etc	O
.	O
)	O
.	O
Mas	O
,	O
de	O
acordo	O
com	O
Calvino	O
,	O
esse	O
modelo	O
de	O
redes	O
possíveis	O
pode	O
ser	O
construído	O
tanto	O
em	O
romances	O
extensos	O
,	O
como	O
pode	O
ser	O
concentrado	O
nas	O
poucas	O
páginas	O
de	O
um	O
conto	O
de	O
Borges	O
.	O
Chegamos	O
assim	O
a	O
'	O
O	O
Jardim	O
dos	O
Caminhos	O
que	O
se	O
Bifurcam	O
.	O
O	O
conto	O
,	O
classificado	O
pelo	O
autor	O
como	O
policial	O
,	O
narra	O
o	O
percurso	O
do	O
personagem	O
principal	O
da	O
cama	O
até	O
o	O
jardim	O
em	O
que	O
comete	O
um	O
assassinato	O
como	O
estratégia	O
de	O
sua	O
missão	O
de	O
espionagem.	O
No	O
entanto	O
,	O
no	O
seu	O
enredo	O
(	O
e	O
aqui	O
também	O
me	O
apoio	O
na	O
leitura	O
que	O
Calvino	O
faz	O
dele	O
)	O
Borges	O
desenvolve	O
várias	O
noções	O
acerca	O
do	O
tempo.	O
No	B-TEMPO_TEMPO_CALEND_DATA
início	I-TEMPO_TEMPO_CALEND_DATA
,	O
enquanto	O
o	O
protagonista	O
está	O
no	O
seu	O
quarto	O
se	O
preparando	O
para	O
realizar	O
sua	O
incumbência	O
,	O
o	O
autor	O
expõe	O
um	O
tempo	O
preciso	O
e	O
no	O
presente	O
:	O
``	O
refleti	O
que	O
tudo	O
aquilo	O
que	O
acontece	O
com	O
alguém	O
,	O
acontece	O
agora	O
,	O
precisamente	O
agora.	O
Séculos	O
de	O
séculos	B-TEMPO_TEMPO_CALEND_DATA
e	O
apenas	O
no	O
presente	O
ocorrem	O
fatos	O
;	O
inumeráveis	O
homens	O
no	O
ar	O
,	O
na	O
terra	O
e	O
no	O
mar	O
e	O
tudo	O
o	O
que	O
realmente	O
sucede	O
,	O
sucede	O
a	O
mim	O
...	O
''	O
(	O
BORGES,1995	O
:	O
94	B-TEMPO_TEMPO_CALEND_DATA
)	O
.	O
Em	O
seguida	O
,	O
Calvino	O
,	O
ainda	O
no	O
seu	O
Seis	O
Propostas	O
...	O
,	O
relata	O
que	O
Borges	O
mostra	O
``	O
uma	O
idéia	O
de	O
tempo	O
determinado	O
pela	O
vontade	O
,	O
no	O
qual	O
o	O
futuro	O
se	O
apresenta	O
tão	O
irrevogável	O
quanto	O
o	O
passado	O
''	O
(	O
CALVINO	O
,	O
1990	B-TEMPO_TEMPO_CALEND_DATA
:	O
N	O
)	O
.	O
Por	O
último	O
,	O
a	O
idéia	O
de	O
um	O
tempo	O
múltiplo	O
,	O
que	O
é	O
a	O
idéia	O
central	O
do	O
conto	O
e	O
,	O
afinal	O
,	O
o	O
que	O
nos	O
interessa	O
aqui.	O
Veremos	O
abaixo	O
como	O
essa	O
idéia	O
de	O
um	O
tempo	O
múltiplo	O
se	O
apresenta	O
no	O
conto.	O
Ao	O
chegar	O
numa	O
casa	O
de	O
portão	O
alto	O
,	O
o	O
protagonista	O
é	O
recebido	O
por	O
sua	O
futura	O
vítima	O
,	O
Stephen	O
Albert	O
,	O
sujeito	O
que	O
fora	O
encarregado	O
de	O
decifrar	O
um	O
