COISAS	B-OUTRO
-	O
Componentes	O
eletrônicos	O
antenas	O
áudio	O
vídeo	O
som	O
informática	O
telefonia	O
fios	O
cabos	O
conectores	O
plugs	O
garras	O
adaptadores	O
transformadores	O
pilhas	O
transistores	O
diodos	O
cis	O
fones	O
microfones	O
caixas	O
multímetros	O
câmeras	O
porteiros	O
PABX	O
(	O
21	O
)	O
2233-0030	O
http	O
:	O
//www.divulgacao.com.br/croma	O
Darun	B-ORGANIZACAO
Informática	I-ORGANIZACAO
-	O
Comércio	O
de	O
produtos	O
de	O
informática	O
como	O
impressoras	O
,	O
softwares	O
,	O
equipamentos	O
para	O
automação	O
comercial	O
e	O
suprimentos	O
.	O
http	O
:	O
//www.darun.com.br	O
Desenhos	O
em	O
Cad	B-COISA
e	O
serviços	O
de	O
informatica	O
-	O
Desenhos	O
em	O
CAD	B-COISA
,	O
desenhos	O
elétricos	O
,	O
diagramas	O
de	O
força	O
e	O
comando	O
,	O
desenhos	O
para	O
engenharia	O
,	O
etc	O
.	O
Se	O
seu	O
Windows	B-COISA
sempre	O
trava	O
ou	O
não	O
funciona	O
direito	O
mande	O
um	O
e-mail	O
http	O
:	O
//www.marckservice.cjb.net/	O
Desenvolvimentos	O
de	O
projetos	O
eletrônicos	O
-	O
Desenvolvemos	O
projetos	O
eletrônicos	O
para	O
automação	O
de	O
indústrias	O
e	O
Também	O
venda	O
de	O
microcomputadores	O
,	O
cobrimos	O
a	O
oferta	O
da	O
concorrência	O
http	O
:	O
//www.projetoseletronicos.hpg.com.br	O
DHCP	B-ORGANIZACAO
Informática	I-ORGANIZACAO
-	O
Comércio	O
de	O
equipamentos	O
de	O
informática	O
.	O
Trabalha	O
com	O
placas	O
mães	O
,	O
processadores	O
,	O
HDs	O
,	O
placas	O
de	O
vídeo	O
,	O
gravadores	O
,	O
CD-ROMs	O
,	O
DVDs	O
,	O
disquetes	O
,	O
monitores	O
,	O
placas	O
aceleradoras	O
,	O
mémorias	O
,	O
cooler	O
,	O
drives	O
,	O
hubs	O
,	O
placas	O
da	O
rede	O
,	O
placa	O
de	O
som	O
,	O
fax	O
.	O
http	O
:	O
//www.dhcp.com.br	O
Di	B-ORGANIZACAO
Bello	I-ORGANIZACAO
Informática	I-ORGANIZACAO
...	O
seu	O
Polo	B-ORGANIZACAO
de	I-ORGANIZACAO
Informática	I-ORGANIZACAO
em	O
MADUREIRA	B-LOCAL
-	O
A	O
mais	O
antiga	O
loja	O
de	O
Informática	B-ABSTRACCAO
em	O
Madureira	B-LOCAL
,	O
são	O
vinte	O
anos	O
de	O
credibilidade	O
...	O
Hardware	O
,	O
software	O
,	O
suprimentos	O
e	O
manutenção	O
http	O
:	O
//www.webspace.com.br/dibello	O
Diacon	B-ORGANIZACAO
Informática	I-ORGANIZACAO
-	O
A	O
Diacon	B-ORGANIZACAO
presta	O
serviços	O
de	O
consultoria	O
,	O
treinamento	O
e	O
desenvolvimento	O
de	O
sistemas	O
.	O
http	O
:	O
//www.diacon.com.br	O
A	O
fama	O
do	O
Prius	B-COISA
Durante	B-TEMPO
o	I-TEMPO
ano	I-TEMPO
passado	I-TEMPO
o	O
nome	O
Toyota	B-ABSTRACCAO
Prius	I-ABSTRACCAO
esteve	O
nas	O
bocas	O
de	O
todo	O
o	O
mundo	O
e	O
foi	O
alvo	O
de	O
notícia	O
e	O
reportagem	O
por	O
vários	O
meios	O
de	O
comunicação	O
,	O
a	O
maioria	O
deles	O
sem	O
estarem	O
sequer	O
relacionamos	O
com	O
o	O
mundo	O
automóvel	O
.	O
Com	O
toda	O
esta	O
atenção	O
e	O
o	O
sucesso	O
nas	O
vendas	O
por	O
todo	O
o	O
mundo	O
o	O
nome	O
Prius	B-ABSTRACCAO
tornou-se	O
um	O
sinónimo	O
de	O
híbrido	O
Nos	O
Estados	B-LOCAL
Unidos	I-LOCAL
da	I-LOCAL
America	I-LOCAL
foram	O
vendidos	O
em	B-TEMPO
2004	I-TEMPO
mais	B-VALOR
de	I-VALOR
50	I-VALOR
mil	I-VALOR
unidades	O
deste	O
modelo	O
e	O
as	O
listas	O
de	O
espera	O
têm	O
sido	O
grandes	O
,	O
de	O
tal	O
forma	O
grandes	O
que	O
existem	O
casos	O
de	O
Prius	B-COISA
a	O
serem	O
vendidos	O
em	O
segunda	O
mão	O
ao	O
mesmo	O
preço	O
que	O
um	O
novo	O
.	O
Um	O
habitáculo	O
simples	O
,	O
confortável	O
e	O
espaçoso	O
.	O
Além	O
de	O
ser	O
um	O
híbrido	O
,	O
o	O
que	O
proporciona	O
consumos	O
mais	O
moderados	O
e	O
menos	O
poluição	O
,	O
é	O
também	O
um	O
carro	O
conduzido	O
pelas	O
estrelas	O
de	O
Hollywood	B-LOCAL
.	O
Cameron	B-PESSOA
Diaz	I-PESSOA
,	O
Leonardo	B-PESSOA
DiCaprio	I-PESSOA
ou	O
Will	B-PESSOA
Ferrell	I-PESSOA
são	O
três	O
dos	O
muitos	O
nomes	O
famosos	O
que	O
possuem	O
um	O
Toyota	B-COISA
Prius	I-COISA
.	O
Economia	O
e	O
performance	O
Em	O
cidade	O
o	O
Prius	B-COISA
consome	O
apenas	O
4,3	B-VALOR
litros	I-VALOR
a	O
cada	O
100km	B-VALOR
,	O
tornando-o	O
num	O
dos	O
automóveis	O
mais	O
económicos	O
do	O
mercado	O
.	O
Estamos	O
claro	O
a	O
falar	O
dum	O
motor	O
1.5	B-COISA
VVT-i	I-COISA
com	O
apenas	O
78cv	B-VALOR
,	O
que	O
aliado	O
ao	O
sistema	O
HSD	B-COISA
(	O
Hybrid	B-COISA
Synergy	I-COISA
Drive	I-COISA
)	O
aumenta	O
a	O
sua	O
potência	O
para	O
110cv	B-VALOR
.	O
Dos	B-VALOR
0	I-VALOR
aos	I-VALOR
100km/h	I-VALOR
o	O
Prius	B-COISA
demora	O
cerca	B-TEMPO
de	I-TEMPO
11	I-TEMPO
segundos	I-TEMPO
.	O
A	O
Toyota	B-ORGANIZACAO
afirma	O
que	O
,	O
apesar	O
destas	O
prestações	O
conseguiram	O
reduzir	O
em	O
89	B-VALOR
%	I-VALOR
as	O
emissões	O
libertadas	O
,	O
comparando	O
a	O
um	O
veículo	O
novo	O
a	O
gasolina	O
.	O
''	O
ATAQUES	O
GRÁFICOS	O
CONTRA	O
O	O
IMPÉRIO	O
Iansã	B-PESSOA
Negrão	I-PESSOA
e	O
Flanie	B-PESSOA
Ziéme	I-PESSOA
Pacifistas	O
protestam	O
com	O
tinta	O
vermelha	O
atirada	O
na	O
logomarca	O
de	O
instituições	O
americanas	O
e	O
inglesa	O
,	O
em	O
Salvador	B-LOCAL
(	O
BA	B-LOCAL
)	O
...	O
...	O
...	O
...	O
...	O
...	O
...	O
...	O
...	O
...	O
...	O
...	O
...	O
...	O
.	O
A	B-TEMPO
terça-feira	I-TEMPO
em	O
Salvador	B-LOCAL
amanheceu	O
diferente	O
.	O
As	O
logomarcas	O
nos	O
totens	O
dos	O
bancos	O
de	O
Boston	B-ORGANIZACAO
e	O
Citibank	B-ORGANIZACAO
,	O
Clube	B-ORGANIZACAO
Banco	I-ORGANIZACAO
dos	I-ORGANIZACAO
Ingleses	I-ORGANIZACAO
e	O
lanchonete	O
McDonalds	B-ORGANIZACAO
estavam	O
manchadas	O
de	O
sangue	O
.	O
Pelo	O
menos	O
é	O
o	O
que	O
parecia	O
numa	O
olhada	O
rápida	O
.	O
O	O
primeiro	O
pensamento	O
:	O
mais	O
uma	O
onda	O
de	O
protestos	O
atingiu	O
os	O
símbolos	O
dos	O
impérios	O
britânico	O
e	O
americano	O
.	O
É	O
vermelho	O
,	O
embora	O
não	O
seja	O
sangue	O
.	O
Mas	O
a	O
imagem	O
é	O
tão	O
forte	O
quanto	O
:	O
sobre	O
o	O
verdinho	O
do	O
BankBoston	B-LOCAL
,	O
escorria	O
uma	O
gosmenta	O
tinta	O
vermelha	O
impregnada	O
,	O
difícil	O
de	O
limpar	O
.	O
''	O
Só	O
outro	O
,	O
algum	O
transeunte	O
pode	O
ter	O
balbuciado	O
na	O
ida	O
para	O
o	O
ponto	O
de	O
ônibus	O
de	B-TEMPO
mais	I-TEMPO
uma	I-TEMPO
segunda-feira	I-TEMPO
,	O
dessa	O
vez	O
surpreendente	O
e	O
politizada	O
.	O
A	O
mensagem	O
é	O
assim	O
:	O
''	O
Estamos	O
devolvendo	O
simbolicamente	O
o	O
sangue	O
derramado	O
às	O
empresas	O
que	O
representam	O
entre	O
nós	O
o	O
predomínio	O
do	O
Império	B-LOCAL
,	O
as	O
quais	O
serão	O
consideradas	O
cúmplices	O
deste	O
projeto	O
macabro	O
até	O
que	O
tomem	O
publicamente	O
posição	O
contra	O
(	O
1	O
)	O
.	O
E	O
veio	O
de	O
um	O
coletivo	O
organizado	O
e	O
anônimo	O
de	O
''	O
cidadãos	O
de	O
boa	O
índole	O
indignados	O
com	O
essa	O
nova	O
fase	O
do	O
imperialismo	O
,	O
com	O
o	O
nome	O
de	O
''	O
Operação	O
Sangue	O
Quente	O
.	O
Gente	O
pacífica	O
,	O
mas	O
não	O
passiva	O
.	O
A	O
inspiração	O
veio	O
das	O
ruas	O
:	O
há	B-TEMPO
três	I-TEMPO
semanas	I-TEMPO
,	O
um	O
outdoor	O
do	O
McDonald	B-ORGANIZACAO
's	I-ORGANIZACAO
na	O
Avenida	B-LOCAL
Jorge	I-LOCAL
Amado	I-LOCAL
havia	O
recebido	O
uma	O
interferência	O
gráfica	O
.	O
Estava	O
lá	O
em	O
cima	O
da	O
mensagem	O
publicitária	O
da	O
promoção	O
McNight	B-OUTRO
(	O
sanduíches	O
mais	O
baratos	O
durante	B-TEMPO
a	I-TEMPO
madrugada	I-TEMPO
)	O
um	O
texto	O
em	O
tinta	O
neon	O
:	O
''	O
Lixo	O
dos	O
EUA	B-LOCAL
.	O
Não	O
financie	O
a	O
guerra	O
.	O
Boicote	O
os	O
produtos	O
americanos	O
.	O
É	O
o	O
que	O
está	O
todo	O
mundo	O
fazendo	O
,	O
não	O
é	O
?	O
Então	O
eles	O
decidiram	O
ir	O
além	O
:	O
um	O
ataque	O
cromático	O
em	O
emblemas	O
do	O
''	O
Império	B-LOCAL
.	O
Bombas	O
de	O
tinta	O
seriam	O
o	O
arsenal	O
bélico	O
usado	O
no	O
atentado	O
.	O
Foram	O
20	B-VALOR
pessoas	O
no	O
planejamento	O
.	O
Oito	O
partiram	O
para	O
o	O
ataque	O
.	O
Foi	O
na	B-TEMPO
madrugada	I-TEMPO
de	I-TEMPO
segunda	I-TEMPO
para	I-TEMPO
terça-feira	I-TEMPO
,	O
entre	B-TEMPO
3	I-TEMPO
e	I-TEMPO
4	I-TEMPO
horas	I-TEMPO
,	O
cronometradas	O
,	O
aproveitando	O
a	O
calmaria	O
das	O
ruas	O
do	B-TEMPO
primeiro	I-TEMPO
dia	I-TEMPO
da	I-TEMPO
semana	I-TEMPO
.	O
Duas	O
''	O
viaturas	O
de	O
ataque	O
com	O
quatro	O
ativistas	O
cada	O
e	O
um	O
carro	O
de	O
cobertura	O
.	O
Eles	O
se	O
definem	O
:	O
''	O
São	O
três	O
gerações	O
de	O
homens	O
e	O
mulheres	O
desobedientes	O
civis	O
e	O
militares	O
com	O
diferentes	O
graus	O
de	O
envolvimento	O
em	O
questões	O
e	O
ações	O
sociais	O
.	O
O	O
mais	O
novo	O
20	B-VALOR
,	O
o	O
mais	O
velho	O
59	B-VALOR
.	O
''	O
Não	O
deixe	O
seu	O
sangue	O
esfriar	O
,	O
proteste	O
é	O
só	O
o	O
começo	O
.	O
Ainda	O
que	O
o	O
efeito	O
vermelho	O
das	O
bombas	O
tenha	O
sido	O
efêmero	O
,	O
a	O
adrenalina	O
continua	O
em	O
alta	O
.	O
SANGUE	O
QUENTE	O
-	O
Pelo	O
menos	O
a	O
ocupação	O
sinistra	O
de	O
Bush	B-ORGANIZACAO
no	O
Iraque	B-LOCAL
serviu	O
para	O
mobilizar	O
os	O
glóbulos	O
vermelhos	O
de	O
muita	O
gente	O
.	O
O	O
grupo	O
da	O
''	O
Operação	B-ABSTRACCAO
Sangue	I-ABSTRACCAO
Quente	I-ABSTRACCAO
garante	O
:	O
''	O
O	O
sangue	O
não	O
vai	O
esfriar	O
tão	O
cedo	O
.	O
Eles	O
estão	O
em	O
alerta	O
.	O
A	O
idéia	O
é	O
que	O
outras	O
intervenções	O
surpreendam	O
os	O
cidadãos	O
soteropolitanos	O
,	O
autoridades	O
e	O
o	O
que	O
estiver	O
no	O
alvo	O
dos	O
''	O
guerreiros	O
.	O
O	O
incômodo	O
com	O
questões	O
sociais	O
não	O
se	O
bastará	O
com	O
o	O
fim	O
da	O
guerra	O
.	O
Para	O
eles	O
,	O
a	O
pulsão	O
coletiva	O
capaz	O
de	O
intervenções	O
plástico-ideológicas	O
na	O
cidade	O
são	O
mais	O
poderosas	O
,	O
por	O
exemplo	O
,	O
do	O
que	O
a	O
maioria	O
das	O
caminhadas	O
em	O
favor	O
da	O
paz	O
,	O
que	O
costumam	O
atrair	O
toda	O
a	O
mídia	O
local	O
.	O
O	O
símbolo	O
universal	O
da	O
paz	O
,	O
a	O
pomba	O
branca	O
,	O
aparece	O
na	O
logomarca	O
da	O
''	O
Operação	B-ABSTRACCAO
Sangue	I-ABSTRACCAO
Quente	I-ABSTRACCAO
bicando	O
a	O
cabeça	O
de	O
uma	O
ave	O
,	O
que	O
lembra	O
o	O
cruzamento	O
de	O
um	O
urubu	O
com	O
uma	O
águia	O
:	O
uma	O
remissão	O
às	O
forças	O
armadas	O
norte-americanas	O
sendo	O
detonada	O
por	O
uma	O
força	O
que	O
,	O
embora	O
pareça	O
inofensiva	O
,	O
é	O
propositiva	O
,	O
intervém	O
.	O
''	O
Nessa	O
ação	O
específica	O
,	O
queríamos	O
atingir	O
os	O
cidadãos	O
médios	O
,	O
para	O
que	O
eles	O
associassem	O
os	O
alvos	O
com	O
o	O
capital	O
que	O
financia	O
a	O
guerra	O
,	O
explicam	O
.	O
Agora	O
,	O
qualquer	O
questão	O
,	O
a	O
qualquer	O
momento	O
,	O
em	O
qualquer	O
lugar	O
poderá	O
ser	O
o	O
próximo	O
alvo	O
do	O
fervilhar	O
sanguíneo	O
dos	O
coligados	O
anônimos	O
da	O
''	O
Operação	B-ABSTRACCAO
Sangue	I-ABSTRACCAO
Quente	I-ABSTRACCAO
.	O
Motivos	O
por	O
aqui	O
não	O
faltam	O
.	O
Mas	O
o	O
grupo	O
ambiciona	O
mais	O
:	O
quer	O
instigar	O
os	O
cidadãos	O
a	O
ações	O
semelhantes	O
.	O
Ou	O
,	O
no	O
mínimo	O
a	O
um	O
exercício	O
de	O
pensamento	O
.	O
Um	B-TEMPO
dia	I-TEMPO
desses	I-TEMPO
uma	O
estátua	O
de	O
gente	O
importante	O
pode	O
aparecer	O
ensacada	O
(	O
como	O
fizeram	O
os	O
três	O
artistas	O
do	O
grupo	O
''	O
3Nós3	B-PESSOA
,	O
no	B-TEMPO
início	I-TEMPO
da	I-TEMPO
década	I-TEMPO
de	I-TEMPO
80	I-TEMPO
,	O
tempos	B-TEMPO
em	O
que	O
São	B-LOCAL
Paulo	I-LOCAL
amanhecia	O
mais	O
surpreendente	O
)	O
ou	O
algo	O
do	O
gênero	O
.	O
Permanecer	O
no	O
anonimato	O
é	O
,	O
segundo	O
dizem	O
,	O
muito	O
mais	O
uma	O
questão	O
ligada	O
à	O
estratégia	O
do	O
que	O
ao	O
temor	O
de	O
autoridades	O
.	O
Ou	O
da	O
confusão	O
que	O
estas	O
fazem	O
quando	O
não	O
distinguem	O
vândalos	O
de	O
manifestantes	O
.	O
Numa	O
guerra	O
sem	O
armas	O
de	O
fogo	O
,	O
o	O
anonimato	O
pode	O
ser	O
a	O
melhor	O
estratégia	O
.	O
AÇÃO	O
ENTRE	O
AMIGOS	O
-	O
O	O
plano	O
foi	O
discutido	O
,	O
a	O
estratégia	O
de	O
ação	O
muito	O
bem	O
pensada	O
.	O
Reuniões	O
de	O
cúpula	O
na	O
Toca	B-LOCAL
dos	I-LOCAL
Carcarás	I-LOCAL
-	O
nome	O
dado	O
ao	O
local	O
que	O
abrigou	O
os	O
latinos	O
de	O
sangue	O
quente	O
-	O
levantavam	O
questões	O
ideológicas	O
e	O
operacionais	O
.	O
Mapa	O
do	O
itinerário	O
pronto	O
,	O
tinta	O
fresca	O
na	O
bagagem	O
.	O
Alguns	O
,	O
tomados	O
pela	O
''	O
síndrome	O
do	O
amarelismo	O
,	O
abortaram	O
antes	O
do	O
ataque	O
.	O
''	O
Melhor	O
assim	O
,	O
disseram	O
alguns	O
.	O
Aquela	B-TEMPO
madrugada	I-TEMPO
pertenceu	O
ao	O
deserto	O
.	O
No	O
céu	O
cinza	O
,	O
uma	O
semi-lua	O
era	O
a	O
única	O
em	O
vigília	O
.	O
O	O
clima	O
era	O
protetor	O
porque	O
não	O
tinha	O
olhos	O
,	O
mas	O
a	O
calma	O
das	O
ruas	O
sem	O
gente	O
provocava	O
uma	O
sensação	O
de	O
vulnerabilidade	O
.	O
O	O
medo	O
veio	O
porque	O
havia	O
também	O
outras	O
viaturas	O
:	O
policiais	O
federais	O
e	O
militares	O
estavam	O
em	O
atividade	O
.	O
A	O
primeira	O
bomba	O
que	O
atingiu	O
o	O
Citibank	B-LOCAL
da	O
Rua	B-LOCAL
Miguel	I-LOCAL
Calmon	I-LOCAL
,	O
no	O
Comércio	B-LOCAL
,	O
e	O
que	O
deveria	O
ser	O
silenciosa	O
como	O
planejado	O
fez	O
um	O
estrondo	O
alto	O
.	O
Pernas	O
bambas	O
titubearam	O
.	O
Sorte	O
a	O
ronda	O
da	O
Polícia	B-ORGANIZACAO
Federal	I-ORGANIZACAO
que	O
estava	O
na	O
área	O
ter	O
mais	O
o	O
que	O
fazer	O
naquele	B-TEMPO
momento	I-TEMPO
.	O
Da	O
mesma	O
forma	O
com	O
os	O
homens	O
da	O
viatura	O
da	O
Polícia	B-ORGANIZACAO
Militar	I-ORGANIZACAO
ocupados	O
em	O
espancar	O
dois	O
homens	O
em	O
outra	O
esquina	O
e	O
nada	O
viram	O
.	O
Uma	O
prostituta	O
entretia	O
a	O
guarda	O
de	O
outra	O
viatura	O
na	O
Manoel	B-LOCAL
Dias	I-LOCAL
e	O
o	O
coletivo	O
pôde	O
agir	O
sem	O
problemas	O
no	O
BankBoston	B-LOCAL
,	O
último	O
banco-alvo	O
da	O
ação	O
.	O
Enquanto	O
cumpriam	O
a	O
missão	O
,	O
um	O
advogado	O
aguardava	O
o	O
pior	O
,	O
preparado	O
.	O
Eles	O
alegariam	O
protesto	O
e	O
desobediência	O
civil	O
,	O
mas	O
por	O
estar	O
dentro	O
de	O
uma	O
ação	O
política	O
integrada	O
,	O
provavelmente	O
seriam	O
enquadrados	O
em	O
crime	O
de	O
vandalismo	O
e	O
formação	O
de	O
quadrilha	O
.	O
O	O
plantão	O
insone	O
foi	O
dispensado	O
quando	O
todos	O
se	O
reencontraram	O
ainda	O
com	O
bombas	O
armadas-não	O
detonadas	O
e	O
com	O
todos	O
os	O
alvos	O
atingidos	O
.	O
Aliviados	O
,	O
alguém	O
do	O
grupo	O
levantou	O
o	O
fato	O
de	O
nenhum	O
deles	O
nunca	O
ter	O
participado	O
de	O
uma	O
ação	O
clandestina	O
.	O
Só	O
naquele	B-TEMPO
momento	I-TEMPO
,	O
eles	O
avaliaram	O
o	O
perigo	O
de	O
uma	O
bala	O
ter	O
sido	O
disparada	O
ou	O
um	O
policial	O
ter	O
perseguido	O
os	O
carros	O
.	O
As	O
moças	O
acharam	O
melhor	O
não	O
irem	O
direto	O
para	O
casa	O
:	O
voltaram	O
à	O
cena	O
do	O
crime	O
como	O
boas	O
criminosas	O
para	O
fotografar	O
e	O
flagrar	O
dois	O
vigias	O
e	O
dois	O
cães	O
,	O
todos	O
de	O
guarda	O
dormindo	O
relaxados	O
,	O
bem	O
de	O
frente	O
para	O
a	O
fachada	O
iluminada	O
do	O
Citibank	B-LOCAL
da	O
Barra	B-LOCAL
,	O
tingida	O
de	O
tinta	O
ainda	O
quente	O
.	O
(	O
1	O
)	O
Esta	O
matéria	O
foi	O
escrita	O
com	O
base	O
em	O
relatos	O
dos	O
participantes	O
que	O
preferiram	O
não	O
se	O
identificar	O
.	O
16	B-TEMPO
de	I-TEMPO
abril	I-TEMPO
de	I-TEMPO
2003	I-TEMPO
Fontes	O
:	O
Centro	O
de	O
Mídia	O
Independente	O
(	O
www.midiaindependente.org	O
)	O
.	O
Jornal	O
A	O
Tarde	O
(	O
www.atarde.com.br	O
)	O
.	O
Tratado	B-OBRA
de	I-OBRA
Lisboa	I-OBRA
(	O
2007	B-TEMPO
)	O
O	O
Tratado	B-OBRA
de	I-OBRA
Lisboa	I-OBRA
ou	O
Tratado	B-OBRA
de	I-OBRA
Reforma	I-OBRA
,	O
é	O
o	O
acordo	O
ratificado	O
pelo	O
Conselho	B-ORGANIZACAO
da	O
União	B-ORGANIZACAO
Europeia	I-ORGANIZACAO
em	O
Lisboa	B-LOCAL
,	O
a	B-TEMPO
19	I-TEMPO
de	I-TEMPO
Outubro	I-TEMPO
de	I-TEMPO
2007	I-TEMPO
,	O
e	O
que	O
substitui	O
a	O
Constituição	B-OBRA
europeia	O
de	B-TEMPO
2004	I-TEMPO
.	O
[	O
1	O
]	O
O	O
Tratado	B-OBRA
de	I-OBRA
Lisboa	I-OBRA
confere	O
à	O
União	B-ORGANIZACAO
Europeia	I-ORGANIZACAO
,	O
personalidade	O
jurídica	O
própria	O
para	O
assinar	O
acordos	O
internacionais	O
a	O
nível	O
comunitário	O
.	O
O	O
termo	O
«	O
Comunidade	B-ABSTRACCAO
»	O
será	O
substituído	O
por	O
«	O
União	B-ABSTRACCAO
»	O
,	O
nomeia	O
o	O
Alto	B-PESSOA
Representante	I-PESSOA
para	I-PESSOA
a	I-PESSOA
Política	I-PESSOA
Exterior	I-PESSOA
e	I-PESSOA
de	I-PESSOA
Segurança	I-PESSOA
Comum	I-PESSOA
da	O
União	B-ORGANIZACAO
Europeia	I-ORGANIZACAO
e	O
estabelece	O
a	O
aplicação	O
formal	O
da	O
dupla	O
maioria	O
a	B-TEMPO
partir	I-TEMPO
de	I-TEMPO
2014	I-TEMPO
.	O
História	O
A	O
emenda	O
proposta	O
pela	O
Presidência	B-PESSOA
alemã	O
do	O
Conselho	B-ORGANIZACAO
da	O
União	B-ORGANIZACAO
Europeia	I-ORGANIZACAO
(	O
2007	B-TEMPO
)	O
a	B-TEMPO
19	I-TEMPO
de	I-TEMPO
Maio	I-TEMPO
de	I-TEMPO
2007	I-TEMPO
incluiu	O
a	O
''	O
essência	O
da	O
Constituição	B-OBRA
''	O
.	O
A	O
proposta	O
foi	O
apresentada	O
após	O
as	O
reuniões	O
de	O
trabalho	O
entre	O
a	O
presidência	O
e	O
os	O
delegados	O
dos	O
27	B-VALOR
estados	O
membros	O
durante	B-TEMPO
o	I-TEMPO
primeiro	I-TEMPO
semestre	I-TEMPO
de	I-TEMPO
2007	I-TEMPO
.	O
Decidiu-se	O
abandonar	O
o	O
formato	O
do	O
'	O
Tratado	O
constitucional	O
'	O
e	O
,	O
em	O
alternativa	O
,	O
dar	O
impulso	O
a	O
um	O
tratado	O
clássico	O
que	O
introduza	O
emendas	O
nos	O
dois	O
