Mosteiro	B-OBRA
Santa	B-ORGANIZACAO
Cruz	I-ORGANIZACAO
,	O
uma	O
vez	O
que	O
um	O
parente	O
seu	O
(	O
D.	B-PESSOA
Bento	I-PESSOA
de	I-PESSOA
Camões	I-PESSOA
)	O
era	O
prior	O
do	O
mosteiro	O
na	O
época	O
,	O
e	O
há	O
evidências	O
em	O
sua	O
poesia	O
de	O
uma	O
estadia	O
em	O
Coimbra	B-LOCAL
.	O
Restauração	B-ACONTECIMENTO
da	I-ACONTECIMENTO
Independência	I-ACONTECIMENTO
Guerra	B-ACONTECIMENTO
da	I-ACONTECIMENTO
Restauração	I-ACONTECIMENTO
Finalmente	O
,	O
um	O
sentimento	O
profundo	O
de	O
autonomia	O
estava	O
a	O
crescer	O
e	O
foi	O
consumado	O
na	O
revolta	O
de	B-TEMPO
1640	I-TEMPO
,	O
na	O
qual	O
um	O
grupo	O
de	O
conspiradores	O
da	O
nobreza	O
aclamou	O
o	O
duque	B-PESSOA
de	I-PESSOA
Bragança	I-PESSOA
como	O
Rei	B-PESSOA
de	O
Portugal	B-LOCAL
,	O
com	O
o	O
título	O
de	O
D.	B-PESSOA
João	I-PESSOA
IV	I-PESSOA
(	O
1640-1656	B-TEMPO
)	O
,	O
dando	O
início	O
à	O
quarta	O
Dinastia	B-PESSOA
--	O
Dinastia	B-PESSOA
de	I-PESSOA
Bragança	I-PESSOA
.	O
O	O
esforço	O
nacional	O
foi	O
mantido	O
durante	B-TEMPO
vinte	I-TEMPO
e	I-TEMPO
oito	I-TEMPO
anos	I-TEMPO
,	O
com	O
o	O
qual	O
foi	O
possível	O
suster	O
as	O
sucessivas	O
tentativas	O
de	O
invasão	O
dos	O
exércitos	O
de	O
Filipe	B-PESSOA
III	I-PESSOA
e	O
vencê-los	O
nas	O
mais	O
importantes	O
batalhas	O
,	O
assinando	O
o	O
tratado	O
de	O
paz	O
definitivo	O
em	B-TEMPO
1668	I-TEMPO
.	O
Esses	B-TEMPO
anos	I-TEMPO
foram	O
bem	O
sucedidos	O
devido	O
à	O
conjugação	O
de	O
diversas	O
vertentes	O
como	O
a	O
coincidência	O
das	O
revoltas	O
na	O
Catalunha	B-LOCAL
,	O
os	O
esforços	O
diplomáticos	O
da	O
Inglaterra	B-ORGANIZACAO
,	O
França	B-ORGANIZACAO
,	O
Holanda	B-ORGANIZACAO
e	O
Roma	B-ORGANIZACAO
,	O
a	O
reorganização	O
do	O
exército	O
português	O
,	O
a	O
reconstrução	O
de	O
fortalezas	O
e	O
a	O
consolidação	O
política	O
e	O
administrativa	O
.	O
Paralelamente	O
,	O
as	O
tropas	O
portuguesas	O
conseguiram	O
expulsar	O
os	O
holandeses	O
do	O
Brasil	B-LOCAL
,	O
como	O
também	O
de	O
Angola	B-LOCAL
e	O
de	O
São	B-LOCAL
Tomé	I-LOCAL
e	I-LOCAL
Príncipe	I-LOCAL
(	O
1641-1654	B-TEMPO
)	O
,	O
restabelecendo	O
o	O
poder	O
atlântico	O
português	O
.	O
No	O
entanto	O
,	O
as	O
perdas	O
no	O
Oriente	B-LOCAL
tornaram-se	O
irreversíveis	O
e	O
Ceuta	B-LOCAL
ficaria	O
na	O
posse	O
dos	O
Habsburgo	B-PESSOA
.	O
Devido	O
a	O
estarem	O
indisponíveis	O
as	O
mercadorias	O
indianas	O
,	O
Portugal	B-ORGANIZACAO
passou	O
a	O
só	O
obter	O
lucro	O
com	O
a	O
cana-de-açúcar	O
do	O
Brasil	B-LOCAL
.	O
O	O
Tour	B-ACONTECIMENTO
de	O
França	B-LOCAL
de	B-TEMPO
2009	I-TEMPO
vai	O
começar	O
no	O
Mónaco	B-LOCAL
com	O
um	O
contra-relógio	O
de	O
15	B-VALOR
quilómetros	I-VALOR
,	O
numa	O
etapa	O
que	O
também	O
terminará	O
no	O
principado	O
monegasco	O
.	O
O	O
início	O
do	O
contra-relógio	O
terá	O
lugar	O
precisamente	O
no	O
mesmo	O
local	O
do	O
local	O
de	O
partida	O
das	O
provas	O
de	O
Fórmula	B-ABSTRACCAO
1	I-ABSTRACCAO
.	O
''	O
O	O
prestígio	O
do	O
principado	O
,	O
a	O
filosofia	O
que	O
tem	O
para	O
o	O
desporto	O
e	O
grandes	O
eventos	O
e	O
a	O
localização	O
geográfrica	O
''	O
foram	O
apontados	O
por	O
Christian	B-PESSOA
Prudhomme	I-PESSOA
como	O
justificação	O
para	O
a	O
decisão	O
.	O
O	O
Tour	B-ACONTECIMENTO
de	O
França	B-LOCAL
voltará	O
assim	O
ao	O
Mónaco	B-LOCAL
,	O
depois	B-TEMPO
de	I-TEMPO
45	I-TEMPO
anos	I-TEMPO
ausente	O
.	O
Multibanco	O
Multibanco	B-COISA
é	O
uma	O
marca	O
registada	O
propriedade	O
da	O
empresa	O
SIBS	B-ORGANIZACAO
.	O
O	O
termo	O
é	O
utilizado	O
comumente	O
para	O
designar	O
as	O
caixas	O
automáticas	O
(	O
as	O
máquinas	O
que	O
permitem	O
a	O
realização	O
de	O
operações	O
bancárias	O
em	O
regime	O
de	O
auto-serviço	O
)	O
,	O
sendo	O
mesmo	O
utilizados	O
em	O
relação	O
a	O
caixas	O
automáticas	O
de	O
sistema	O
outros	O
que	O
o	O
controlado	O
pela	O
SIBS	B-ORGANIZACAO
.	O
Neste	O
contexto	O
,	O
também	O
se	O
utiliza	O
o	O
termo	O
ATM	B-ABSTRACCAO
,	O
do	O
inglês	O
Automatic	B-ABSTRACCAO
Teller	I-ABSTRACCAO
Machine	I-ABSTRACCAO
.	O
Enquanto	O
Portugal	B-LOCAL
foi	O
um	O
dos	O
últimos	O
países	O
da	O
Europa	B-LOCAL
ocidental	O
a	O
instalá-las	O
,	O
o	O
equipamento	O
usado	O
representou	O
o	O
que	O
havia	O
de	O
mais	O
avançado	O
,	O
baseado	O
nas	O
experiências	O
de	O
outros	O
países	O
,	O
muitos	O
dos	O
quais	O
gastam	O
agora	O
imenso	O
dinheiro	O
para	O
substituir	O
e	O
actualizar	O
máquinas	O
obsoletas	O
.	O
O	O
número	O
de	O
caixas	O
Multibanco	B-COISA
mais	O
do	O
que	O
triplicou	O
em	O
Portugal	B-LOCAL
na	B-TEMPO
última	I-TEMPO
década	I-TEMPO
,	O
revela	O
um	O
estudo	O
da	O
Marktest	B-ORGANIZACAO
.	O
Desde	B-TEMPO
1995	I-TEMPO
,	O
triplicou	O
também	O
o	O
valor	O
mensal	O
médio	O
de	O
levantamentos	O
per	O
capita	O
,	O
revelam	O
os	O
dados	O
fornecidos	O
pela	O
SIBS	B-ORGANIZACAO
e	O
incluídos	O
na	O
pesquisa	O
«	O
Os	B-OBRA
Concelhos	I-OBRA
Portugueses	I-OBRA
--	I-OBRA
1995/2005	I-OBRA
»	O
.	O
Em	O
Portugal	B-LOCAL
,	O
os	O
multibancos	O
têm	O
tido	O
muito	O
sucesso	O
,	O
o	O
que	O
levou	O
ao	O
aparecimento	O
de	O
novos	O
serviços	O
não	O
bancários	O
,	O
como	O
a	O
venda	O
de	O
bilhetes	O
ou	O
o	O
pagamento	O
de	O
serviços	O
.	O
Neste	B-TEMPO
momento	I-TEMPO
a	O
Rede	B-COISA
Multibanco	I-COISA
é	O
uma	O
das	O
mais	O
sofisticadas	O
redes	O
interbancárias	O
do	O
mundo	O
.	O
Também	O
é	O
o	O
nome	O
de	O
um	O
cartão	O
de	O
débito	O
.	O
A	O
MINHOCA	O
E	O
A	O
MAÇÃ	O
Durante	O
a	O
discussão	O
sobre	O
a	O
natureza	O
do	O
salazarismo	O
,	O
e	O
depois	O
de	O
assinalar	O
,	O
com	O
o	O
fastio	O
do	O
costume	O
,	O
a	O
ignorância	O
grotesca	O
do	O
adversário	O
,	O
Vasco	B-PESSOA
Pulido	I-PESSOA
Valente	I-PESSOA
recomendou-lhe	O
esta	O
reflexão	O
:	O
«	O
Vítor	B-PESSOA
Dias	I-PESSOA
que	O
puxe	O
pela	O
cabeça	O
:	O
existe	O
em	O
Portugal	B-LOCAL
alguém	O
ou	O
alguma	O
coisa	O
a	O
que	O
o	O
PCP	B-PESSOA
já	O
não	O
chamou	O
'fascista	O
?	O
?	O
»	O
Bom	O
argumento	O
.	O
De	O
facto	O
,	O
a	O
repetição	O
exaustiva	O
da	O
mesma	O
acusação	O
desacredita	O
o	O
acusador	O
.	O
Proponho	O
,	O
por	O
isso	O
,	O
outra	O
reflexão	O
.	O
Vasco	B-PESSOA
Pulido	I-PESSOA
Valente	I-PESSOA
que	O
puxe	O
pela	O
cabeça	O
:	O
existe	O
em	O
Portugal	B-LOCAL
alguém	O
ou	O
alguma	O
coisa	O
a	O
que	O
Vasco	B-PESSOA
Pulido	I-PESSOA
Valente	I-PESSOA
já	O
não	O
tenha	O
chamado	O
''	O
ignorante	O
''	O
?	O
Direitos	O
Fundamentais	O
Pöttering	B-PESSOA
,	O
Sócrates	B-PESSOA
e	O
Barroso	B-PESSOA
assinam	O
Carta	B-OBRA
dos	I-OBRA
Direitos	I-OBRA
Fundamentais	I-OBRA
da	O
UE	B-ORGANIZACAO
Os	O
Presidentes	B-PESSOA
do	O
Parlamento	B-ORGANIZACAO
Europeu	I-ORGANIZACAO
,	O
do	O
Conselho	B-ORGANIZACAO
e	O
da	O
Comissão	B-ORGANIZACAO
assinaram	O
,	O
a	B-TEMPO
12	I-TEMPO
de	I-TEMPO
Dezembro	I-TEMPO
de	I-TEMPO
2007	I-TEMPO
,	O
em	O
Estrasburgo	B-LOCAL
,	O
a	O
Carta	B-OBRA
dos	I-OBRA
Direitos	I-OBRA
Fundamentais	I-OBRA
da	O
União	B-ORGANIZACAO
Europeia	I-ORGANIZACAO
,	O
um	B-TEMPO
dia	I-TEMPO
antes	I-TEMPO
da	O
assinatura	O
do	O
Tratado	B-OBRA
de	I-OBRA
Lisboa	I-OBRA
,	O
na	O
capital	O
portuguesa	O
.	O
Os	O
três	O
salientaram	O
o	B-TEMPO
''	I-TEMPO
dia	I-TEMPO
histórico	I-TEMPO
''	I-TEMPO
para	O
os	O
cidadãos	O
europeus	O
e	O
também	O
o	O
''	O
desafio	O
quotidiano	O
''	O
e	O
o	O
''	O
compromisso	O
das	O
instituições	O
europeias	O
''	O
de	O
respeitar	O
e	O
promover	O
os	O
direitos	O
e	O
valores	O
fundamentais	O
.	O
''	O
Trata-se	O
de	B-TEMPO
um	I-TEMPO
dia	I-TEMPO
feliz	O
para	O
as	O
cidadãs	O
e	O
os	O
cidadãos	O
da	O
União	B-LOCAL
Europeia	I-LOCAL
''	O
,	O
em	O
que	O
se	O
festejam	O
''	O
os	O
nossos	O
valores	O
comuns	O
''	O
,	O
afirmou	O
o	O
Presidente	B-PESSOA
do	O
Parlamento	B-ORGANIZACAO
Europeu	I-ORGANIZACAO
,	O
Hans-Gert	B-PESSOA
PÖTTERING	I-PESSOA
,	O
no	O
discurso	O
que	O
antecedeu	O
a	O
assinatura	O
da	O
Carta	B-OBRA
dos	I-OBRA
Direitos	I-OBRA
Fundamentais	I-OBRA
da	O
União	B-ORGANIZACAO
Europeia	I-ORGANIZACAO
.	O
Relembrando	O
o	O
''	O
caminho	O
significativo	O
''	O
que	O
foi	O
necessário	O
percorrer	O
até	O
chegar	O
a	B-TEMPO
este	I-TEMPO
momento	I-TEMPO
,	O
afirmou	O
que	O
''	O
os	O
ensinamentos	O
da	O
história	O
da	O
Europa	B-LOCAL
foram	O
tomados	O
em	O
consideração	O
''	O
,	O
num	O
documento	O
que	O
garante	O
''	O
valores	O
como	O
a	O
liberdade	O
e	O
a	O
segurança	O
''	O
.	O
''	O
Com	O
a	O
proclamação	O
da	O
Carta	B-OBRA
,	O
temos	O
a	O
obrigação	O
e	O
a	O
oportunidade	O
de	O
dar	O
aos	O
quase	B-VALOR
500	I-VALOR
milhões	I-VALOR
de	O
cidadãos	O
a	O
ideia	O
de	O
uma	O
Europa	B-LOCAL
unida	O
.	O
Somos	O
essencialmente	O
uma	O
comunidade	O
de	O
valores	O
--	O
são	O
estes	O
valores	O
comuns	O
que	O
constituem	O
o	O
fundamento	O
da	O
União	B-ABSTRACCAO
Europeia	I-ABSTRACCAO
''	O
,	O
declarou	O
.	O
Hans-Gert	B-PESSOA
PÖTTERING	I-PESSOA
destacou	O
ainda	O
a	O
importância	O
,	O
para	O
o	O
PE	B-ORGANIZACAO
,	O
de	O
ver	O
reconhecido	O
o	O
valor	O
juridicamente	O
vinculativo	O
da	O
Carta	B-OBRA
,	O
um	O
passo	O
''	O
essencial	O
no	O
quadro	O
de	O
reforma	O
dos	O
Tratados	B-OBRA
e	O
essencial	O
para	O
a	O
identidade	O
europeia	O
''	O
.	O
''	O
Sem	O
estes	O
valores	O
,	O
a	O
União	B-ABSTRACCAO
Europeia	I-ABSTRACCAO
não	O
teria	O
futuro	O
''	O
.	O
Dentro	O
e	O
fora	O
da	O
Europa	B-LOCAL
,	O
''	O
temos	O
o	O
dever	O
de	O
sempre	O
defender	O
a	O
dignidade	O
e	O
os	O
direitos	O
humanos	O
''	O
,	O
concluiu	O
.	O
Também	O
o	O
Presidente	B-PESSOA
em	O
exercício	O
do	O
Conselho	B-ORGANIZACAO
da	O
UE	B-ORGANIZACAO
José	B-PESSOA
SÓCRATES	I-PESSOA
,	O
destacou	O
o	B-TEMPO
dia	I-TEMPO
de	I-TEMPO
hoje	I-TEMPO
como	O
''	O
uma	O
data	O
fundamental	O
na	O
história	O
da	O
integração	O
europeia	O
''	O
.	O
''	O
A	B-TEMPO
partir	I-TEMPO
de	I-TEMPO
hoje	I-TEMPO
,	O
e	O
talvez	O
para	O
incómodo	O
de	O
alguns	O
,	O
os	O
direitos	O
fundamentais	O
passam	O
formalmente	O
,	O
e	O
de	O
forma	O
irreversível	O
,	O
a	O
fazer	O
parte	O
do	O
património	O
comum	O
da	O
UE	B-ORGANIZACAO
.	O
Um	O
património	O
ético	O
,	O
de	O
cidadania	O
e	O
do	O
melhor	O
que	O
há	O
na	O
civilização	O
europeia	O
!	O
''	O
,	O
afirmou	O
o	O
Primeiro-Ministro	B-PESSOA
português	O
.	O
Manifestando-se	O
''	O
muito	O
honrado	O
como	O
europeu	O
e	O
como	O
português	O
''	O
por	O
participar	O
na	O
cerimónia	O
de	O
proclamação	O
da	O
Carta	B-OBRA
dos	I-OBRA
Direitos	I-OBRA
Fundamentais	I-OBRA
da	O
UE	B-ORGANIZACAO
--	O
que	O
definiu	O
como	O
''	O
a	O
mais	O
importante	O
de	O
toda	O
a	O
carreira	O
política	O
''	O
--	O
SÓCRATES	B-PESSOA
salientou	O
ainda	O
o	O
compromisso	O
assumido	O
pelas	O
três	O
instituições	O
--	O
PE	B-ORGANIZACAO
,	O
Conselho	B-ORGANIZACAO
e	O
Comissão	B-ORGANIZACAO
--	O
de	O
que	O
''	O
os	O
valores	O
fundamentais	O
serão	O
respeitados	O
e	O
aplicados	O
''	O
.	O
A	O
Carta	B-OBRA
''	O
representa	O
um	O
compromisso	O
das	O
instituições	O
da	O
União	B-ORGANIZACAO
de	O
a	O
respeitarem	O
e	O
aplicarem	O
quotidianamente	B-TEMPO
.	O
Só	O
assim	O
seremos	O
dignos	O
herdeiros	O
do	O
que	O
há	O
de	O
melhor	O
na	O
nossa	O
identidade	O
colectiva	O
e	O
tradição	O
comum	O
de	O
uma	O
Europa	B-ORGANIZACAO
que	O
honra	O
os	O
direitos	O
e	O
as	O
garantias	O
dos	O
cidadãos	O
''	O
.	O
Para	O
SÓCRATES	B-PESSOA
,	O
esta	O
Carta	B-OBRA
''	O
vai	O
para	O
além	O
''	O
dos	O
cidadãos	O
da	O
UE	B-LOCAL
,	O
representando	O
''	O
um	O
esteio	O
fundamental	O
da	O
convicção	O
de	O
um	O
mundo	O
melhor	O
e	O
de	O
que	O
os	O
direitos	O
são	O
universalmente	O
respeitados	O
''	O
.	O
Expressando	O
ainda	O
a	O
''	O
honra	O
''	O
por	O
Portugal	B-ORGANIZACAO
ficar	O
associado	O
a	O
''	O
uma	O
importante	O
etapa	O
da	O
cidadania	O
europeia	O
''	O
--	O
foi	O
durante	O
a	O
Presidência	B-ACONTECIMENTO
em	B-TEMPO
2000	I-TEMPO
que	O
se	O
iniciou	O
a	O
Convenção	B-OBRA
que	O
deu	O
origem	O
à	O
Carta	B-OBRA
e	O
é	O
durante	O
a	O
actual	O
Presidência	B-ACONTECIMENTO
que	O
a	O
Carta	B-OBRA
é	O
proclamada	O
--	O
SÓCRATES	B-PESSOA
alertou	O
,	O
no	O
entanto	O
,	O
para	O
o	O
facto	O
de	O
a	O
tarefa	O
ainda	O
não	O
estar	O
acabada	O
.	O
''	O
O	O
combate	O
pelos	O
direitos	O
fundamentais	O
é	O
uma	O
tarefa	O
quotidiana	O
,	O
uma	O
tarefa	O
sem	O
fim	O
,	O
dos	O
Estados	B-ORGANIZACAO
,	O
das	O
sociedades	O
civis	O
,	O
das	O
empresas	O
,	O
dos	O
sindicatos	O
,	O
dos	O
cidadãos	O
.	O
A	O
sua	O
defesa	O
é	O
o	O
reconhecimento	O
de	O
um	O
valor	O
essencial	O
à	O
identidade	O
europeia	O
,	O
faz	O
parte	O
do	O
nosso	O
código	O
genético	O
,	O
e	O
esta	O
é	O
a	O
Europa	B-ORGANIZACAO
a	O
que	O
eu	O
quero	O
pertencer	O
''	O
,	O
concluiu	O
.	O
Também	O
o	O
Presidente	B-PESSOA
da	O
Comissão	B-ORGANIZACAO
Europeia	I-ORGANIZACAO
,	O
José	B-PESSOA
Manuel	I-PESSOA
Durão	I-PESSOA
BARROSO	I-PESSOA
,	O
declarou	O
que	O
,	O
com	O
a	O
Carta	B-OBRA
dos	I-OBRA
Direitos	I-OBRA
Fundamentais	I-OBRA
,	O
a	O
Europa	B-ORGANIZACAO
está	O
''	O
mais	O
equipada	O
para	O
levar	O
a	O
cabo	O
o	O
seu	O
combate	O
pela	O
liberdade	O
,	O
democracia	O
e	O
paz	O
''	O
.	O
''	O
A	O
Carta	B-OBRA
encorajará	O
a	O
UE	B-ORGANIZACAO
numa	O
verdadeira	O
cultura	O
dos	O
direitos	O
fundamentais	O
.	O
Comprometemo-nos	O
,	O
sobretudo	O
,	O
a	O
respeitar	O
os	O
nossos	O
próprios	O
direitos	O
.	O
Pode	O
parecer	O
fácil	O
de	O
assumir	O
,	O
mas	O
é	O
,	O
na	O
verdade	O
,	O
um	O
verdadeiro	O
desafio	O
quotidiano	O
''	O
,	O
salientou	O
BARROSO	B-PESSOA
.	O
''	O
Trata-se	O
de	O
um	O
êxito	O
extraordinário	O
de	O
que	O
a	O
UE	B-ORGANIZACAO
se	O
deve	O
sentir	O
orgulhosa	O
.	O
É	O
particularmente	O
importante	O
que	O
aconteça	O
numa	O
Europa	B-ORGANIZACAO
alargada	O
que	O
esteve	O
dividia	O
por	O
regimes	O
ditatoriais	O
.	O
Se	O
conjugarmos	O
esforços	O
para	O
estimular	O
esta	O
cultura	O
de	O
direitos	O
humanos	O
,	O
daremos	O
um	O
contributo	O
essencial	O
para	O
uma	O
Europa	B-ORGANIZACAO
de	O
valores	O
''	O
,	O
concluiu	O
.	O
Depois	O
de	O
a	O
Carta	B-OBRA
ser	O
assinada	O
pelos	O
Presidentes	B-PESSOA
das	O
três	O
instituições	O
,	O
ouviu-se	O
o	O
hino	O
europeu	O
no	O
hemiciclo	O
de	O
Estrasburgo	B-LOCAL
.	O
A	O
cerimónia	O
de	O
proclamação	O
foi	O
interrompida	O
em	O
diversas	O
ocasiões	O
por	O
uma	O
minoria	O
de	O
deputados	O
que	O
protestaram	O
nas	O
últimas	O
bancadas	O
do	O
hemiciclo	O
,	O
exigindo	O
a	O
realização	O
de	O
um	O
referendo	O
ao	O
Tratado	B-OBRA
de	I-OBRA
Lisboa	I-OBRA
.	O
Os	O
protestos	O
foram	O
calados	O
pelos	O
aplausos	O
da	O
maioria	O
dos	O
eurodeputados	O
e	O
pelo	O
próprio	O
Presidente	B-PESSOA
do	O
Conselho	B-ORGANIZACAO
,	O
no	O
início	O
do	O
seu	O
discurso	O
:	O
''	O
Por	O
mais	O
que	O
muitos	O
gritem	O
tentando	O
impedir	O
os	O
outros	O
de	O
falar	O
,	O
esta	O
é	O
uma	O
data	O
fundamental	O
da	O
história	O
europeia	O
''	O
,	O
afirmou	O
José	B-PESSOA
SÓCRATES	I-PESSOA
.	O
O	O
líder	B-PESSOA
do	I-PESSOA
PPE/DE	I-PESSOA
,	O
Joseph	B-PESSOA
DAUL	I-PESSOA
,	O
criticou	O
os	O
protestos	O
,	O
afirmando	O
que	O
o	O
PE	B-ORGANIZACAO
é	O
''	O
um	O
hemiciclo	O
onde	O
reina	O
a	O
democracia	O
''	O
não	O
sendo	O
,	O
por	O
isso	O
,	O
''	O
digno	O
actuar	O
desta	O
maneira	O
''	O
.	O
No	O
mesmo	O
registo	O
,	O
Martin	B-PESSOA
SCHULZ	I-PESSOA
(	O
PSE	B-ORGANIZACAO
,	O
DE	B-ORGANIZACAO
)	O
,	O
líder	B-PESSOA
do	I-PESSOA
PSE	I-PESSOA
,	O
recordou	O
que	O
,	O
na	O
República	B-ACONTECIMENTO
de	I-ACONTECIMENTO
Weimar	I-ACONTECIMENTO
,	O
se	O
queria	O
acabar	O
com	O
os	O
inimigos	O
em	O
forma	O
de	O
coro	O
e	O
quem	O
dirigia	O
esse	O
coro	O
era	O
Hitler	B-PESSOA
''	O
.	O
Do	O
grupo	O
ALDE	B-ORGANIZACAO
,	O
Graham	B-PESSOA
WATSON	I-PESSOA
lançou	O
uma	O
petição	O
para	O
que	O
a	O
Presidência	B-PESSOA
do	O
PE	B-ORGANIZACAO
use	O
os	O
poderes	O
que	O
lhe	O
confere	O
o	O
regimento	O
''	O
para	O
mandar	O
embora	O
um	O
deputado	O
que	O
se	O
comporte	O
de	O
maneira	O
indigna	O
''	O
:	O
''	O
Uma	O
atitude	O
como	O
esta	O
não	O
se	O
pode	O
tolerar	O
e	O
traz-nos	O
o	O
pior	O
de	O
um	O
estádio	O
de	O
futebol	O
''	O
,	O
afirmou	O
.	O
Francis	B-PESSOA
WURTZ	I-PESSOA
,	O
da	O
CEUE/EVN	B-ORGANIZACAO
,	O
condenou	O
''	O
de	O
maneira	O
absoluta	O
as	O
declarações	O
antieuropeias	O
e	O
indignas	O
''	O
que	O
se	O
ouviram	O
no	O
hemiciclo	O
:	O
''	O
O	O
meu	O
grupo	O
está	O
a	O
favor	O
de	O
um	O
referendo	O
,	O
mas	O
opõe-se	O
a	O
acções	O
como	O
esta	O
''	O
,	O
afirmou	O
.	O
Também	O
o	O
co-presidente	B-PESSOA
dos	I-PESSOA
Verdes/ALE	I-PESSOA
,	O
Daniel	B-PESSOA
COHN-BENDIT	I-PESSOA
,	O
se	O
mostrou	O
''	O
consternado	O
''	O
com	O
o	O
ocorrido	O
,	O
mas	O
pediu	O
que	O
não	O
se	O
dramatize	O
a	O
situação	O
:	O
''	O
Há	O
50	B-VALOR
loucos	O
mas	O
há	O
700	B-VALOR
sãos	O
''	O
;	O
''	O
não	O
peçamos	O
a	O
expulsão	O
destes	O
loucos	O
porque	O
um	O
Parlamento	B-ORGANIZACAO
livre	O
é	O
aquele	O
que	O
aguenta	O
os	O
loucos	O
que	O
lhe	O
são	O
desagradáveis	O
''	O
.	O
Da	O
mesma	O
forma	O
,	O
para	O
Brian	B-PESSOA
CROWLEY	I-PESSOA
,	O
da	O
UEN	B-ORGANIZACAO
,	O
o	O
ocorrido	O
''	O
superou	O
o	O
permissível	O
''	O
.	O
Do	O
grupo	O
IND/DEM	B-ORGANIZACAO
,	O
Jens-Peter	B-PESSOA
BONDE	I-PESSOA
assinalou	O
que	O
,	O
pessoalmente	O
,	O
não	O
participou	O
