Juventude	B-OBRA_PLANO
genealógica	O
com	O
Fernando	B-PESSOA_INDIVIDUAL
de	O
Bulhões	B-PESSOA_INDIVIDUAL
,	O
nome	O
de	O
baptismo	O
de	O
Santo	B-PESSOA_INDIVIDUAL
António	I-PESSOA_INDIVIDUAL
,	O
cujo	O
dia	B-TEMPO_FREQUENCIA
tradicionalmente	O
consagrado	O
em	O
Lisboa	B-LOCAL_HUMANO
é	O
13	B-TEMPO_TEMPO_CALEND
de	I-TEMPO_TEMPO_CALEND
Junho	I-TEMPO_TEMPO_CALEND
,	O
dia	B-TEMPO_FREQUENCIA
em	O
que	O
Fernando	B-PESSOA_INDIVIDUAL
Pessoa	I-PESSOA_INDIVIDUAL
nasceu.	O
A	O
sua	O
infância	O
e	O
adolescência	O
foram	O
marcadas	O
por	O
factos	O
que	O
o	O
influenciariam	O
posteriormente.	O
Às	B-TEMPO_FREQUENCIA
cinco	O
horas	B-TEMPO_DURACAO
da	O
manhã	B-TEMPO_TEMPO_CALEND
de	I-TEMPO_TEMPO_CALEND
24	I-TEMPO_TEMPO_CALEND
de	I-TEMPO_TEMPO_CALEND
Julho	I-TEMPO_TEMPO_CALEND
de	I-TEMPO_TEMPO_CALEND
1893	O
,	O
o	O
seu	O
pai	O
morre	O
com	O
43	B-VALOR_QUANTIDADE
anos	I-VALOR_QUANTIDADE
vítima	O
de	O
tuberculose.	O
A	O
morte	O
é	O
reportada	O
no	O
Diário	B-PESSOA_GRUPOMEMBRO
de	I-PESSOA_GRUPOMEMBRO
Notícias	I-PESSOA_GRUPOMEMBRO
do	O
dia	B-TEMPO_FREQUENCIA
.	O
Joaquim	B-PESSOA_INDIVIDUAL
de	I-PESSOA_INDIVIDUAL
Seabra	O
Pessoa	B-PESSOA_INDIVIDUAL
deixou-o	O
com	O
apenas	O
cinco	B-TEMPO_TEMPO_CALEND
anos	I-TEMPO_TEMPO_CALEND
,	O
a	O
mãe	O
e	O
o	O
seu	O
irmão	O
Jorge	B-PESSOA_INDIVIDUAL
que	O
viria	O
a	B-TEMPO_TEMPO_CALEND
falecer	O
no	O
outro	B-TEMPO_GENERICO
ano	I-TEMPO_GENERICO
sem	O
chegar	O
a	B-TEMPO_TEMPO_CALEND
completar	O
um	O
ano.	O
A	O
mãe	O
então	O
vê-se	O
obrigada	O
a	B-TEMPO_TEMPO_CALEND
leiloar	O
parte	O
da	O
mobília	O
e	O
mudam-se	O
para	O
uma	O
casa	O
mais	B-VALOR_QUANTIDADE
modesta	O
,	O
o	O
terceiro	O
andar	O
do	O
n.º	O
104	O
da	O
Rua	B-LOCAL_HUMANO
de	I-LOCAL_HUMANO
São	B-LOCAL_HUMANO
Marçal	O
.	O
É	O
também	O
nesse	B-TEMPO_TEMPO_CALEND
período	I-TEMPO_TEMPO_CALEND
que	O
surge	O
o	O
seu	O
primeiro	O
heterónimo	O
,	O
Chevalier	O
de	O
Pas	O
,	O
facto	O
relatado	O
pelo	O
próprio	O
Fernando	B-PESSOA_INDIVIDUAL
Pessoa	I-PESSOA_INDIVIDUAL
a	B-TEMPO_TEMPO_CALEND
Adolfo	O
Casais	O
Monteiro	B-PESSOA_INDIVIDUAL
,	O
numa	O
carta	O
de	O
1935	B-TEMPO_TEMPO_CALEND
em	O
que	O
fala	O
extensamente	O
sobre	O
a	B-TEMPO_TEMPO_CALEND
origem	O
dos	O
heterónimos.	O
Ainda	O
no	O
mesmo	B-TEMPO_TEMPO_CALEND
ano	I-TEMPO_TEMPO_CALEND
cria	O
seu	O
primeiro	O
poema	O
,	O
um	O
verso	O
curto	O
com	O
a	B-TEMPO_TEMPO_CALEND
infantil	O
epígrafe	O
de	O
À	O
Minha	O
Querida	O
Mamã	O
.	O
Sua	O
mãe	O
casa-se	O
pela	O
segunda	O
vez	O
em	B-TEMPO_TEMPO_CALEND
1895	O
por	O
procuração	O
,	O
na	O
Igreja	B-OBRA_ARTE
de	I-OBRA_ARTE
São	B-LOCAL_HUMANO
Mamede	O
em	O
Lisboa	B-LOCAL_HUMANO
,	O
com	O
o	O
Comandante	O
João	B-PESSOA_INDIVIDUAL
Miguel	B-PESSOA_INDIVIDUAL
Rosa	I-PESSOA_INDIVIDUAL
,	O
cônsul	O
de	O
Portugal	B-LOCAL_HUMANO
em	B-TEMPO_TEMPO_CALEND
Durban	B-LOCAL_HUMANO
(	O
África	B-LOCAL_HUMANO
do	I-LOCAL_HUMANO
Sul	I-LOCAL_HUMANO
)	O
,	O
o	O
qual	O
havia	O
conhecido	O
um	B-TEMPO_GENERICO
ano	I-TEMPO_GENERICO
antes	B-TEMPO_TEMPO_CALEND
.	O
Em	B-TEMPO_TEMPO_CALEND
África	B-OBRA_REPRODUZIDA
,	O
Pessoa	B-PESSOA_INDIVIDUAL
viria	O
a	B-TEMPO_TEMPO_CALEND
demonstrar	O
possuir	O
desde	B-TEMPO_TEMPO_CALEND
cedo	O
habilidades	O
para	O
a	B-TEMPO_TEMPO_CALEND
literatura.	O
Em	B-TEMPO_TEMPO_CALEND
razão	O
do	O
casamento	O
,	O
muda-se	O
com	O
a	O
mãe	O
e	O
um	O
tio-avô	O
,	O
Manuel	B-PESSOA_INDIVIDUAL
Gualdino	O
da	O
Cunha	B-PESSOA_INDIVIDUAL
,	O
para	O
Durban	B-LOCAL_HUMANO
,	O
onde	O
passa	O
a	O
maior	O
parte	O
da	O
sua	O
juventude.	O
Viajam	O
no	O
navio	O
Funchal	O
até	O
à	O
Madeira	B-ORGANIZACAO_INSTITUICAO
e	O
depois	O
no	O
paquete	O
Inglês	O
Hawarden	O
Castle	O
até	O
ao	B-TEMPO_TEMPO_CALEND
Cabo	B-LOCAL_HUMANO
da	O
Boa	O
Esperança	O
.	O
Tendo	O
que	O
dividir	O
a	O
atenção	O
da	O
mãe	O
com	O
os	O
filhos	O
do	O
casamento	O
e	O
com	O
o	O
padrasto	O
,	O
Pessoa	B-PESSOA_INDIVIDUAL
isola-se	O
,	O
o	O
que	O
lhe	O
propiciava	O
momentos	O
de	O
reflexão.	O
Em	B-TEMPO_TEMPO_CALEND
Durban	B-LOCAL_HUMANO
recebe	O
uma	O
educação	O
britânica	O
,	O
o	O
que	O
lhe	O
proporciona	O
um	O
profundo	O
contacto	O
com	O
a	O
língua	O
inglesa.	O
Os	O
seus	O
primeiros	O
textos	O
e	O
estudos	O
são	O
feitos	O
em	B-TEMPO_TEMPO_CALEND
inglês.	O
Mantém	O
contato	O
com	O
a	O
literatura	O
inglesa	O
através	O
de	O
autores	O
como	O
Shakespeare	B-PESSOA_INDIVIDUAL
,	O
Edgar	B-PESSOA_INDIVIDUAL
Allan	B-PESSOA_INDIVIDUAL
Poe	O
,	O
John	B-PESSOA_INDIVIDUAL
Milton	O
,	O
Lord	O
Byron	O
,	O
John	B-PESSOA_INDIVIDUAL
Keats	O
,	O
Percy	O
Shelley	O
,	O
Alfred	B-PESSOA_INDIVIDUAL
Tennyson	O
,	O
entre	O
outros.	O
O	O
inglês	O
teve	O
grande	O
destaque	O
na	O
sua	O
vida	O
,	O
trabalhando	O
com	O
o	O
idioma	O
quando	O
,	O
mais	B-TEMPO_TEMPO_CALEND
tarde	I-TEMPO_TEMPO_CALEND
,	O
se	O
torna	O
correspondente	O
comercial	O
em	O
Lisboa	B-LOCAL_HUMANO
,	O
além	O
de	O
utilizar	O
o	O
idioma	O
em	O
alguns	O
dos	O
seus	O
textos	O
e	O
traduzir	O
trabalhos	O
de	O
poetas	O
ingleses	O
,	O
como	O
O	O
Corvo	O
e	O
Annabel	O
Lee	B-PESSOA_INDIVIDUAL
de	O
Edgar	B-PESSOA_INDIVIDUAL
Allan	B-PESSOA_INDIVIDUAL
Poe	O
.	O
Com	O
excepção	O
de	O
Mensagem	O
,	O
os	O
únicos	O
livros	O
publicados	O
em	B-TEMPO_TEMPO_CALEND
vida	O
são	O
os	O
das	O
colectâneas	O
dos	O
seus	O
poemas	O
ingleses	O
:	B-OBRA_REPRODUZIDA
Antinous	O
e	O
35	O
Sonnets	O
e	O
English	O
Poems	O
I	B-LOCAL_VIRTUAL
-	O
II	B-ACONTECIMENTO_ORGANIZADO
e	O
III	B-PESSOA_INDIVIDUAL
,	O
escritos	O
entre	O
1918	O
e	O
1921	O
.	O
Faz	O
o	O
curso	O
primário	O
na	O
escola	O
de	O
freiras	O
irlandesas	O
da	O
West	B-ABSTRACCAO_DISCIPLINA
Street	B-ABSTRACCAO_DISCIPLINA
,	O
onde	O
realiza	O
a	O
sua	O
primeira	O
comunhão	O
e	O
percorre	O
em	O
três	O
anos	O
o	O
equivalente	O
a	B-TEMPO_TEMPO_CALEND
cinco.	O
Em	B-TEMPO_TEMPO_CALEND
1899	O
ingressa	O
na	O
Durban	B-LOCAL_HUMANO
High	O
School	B-ORGANIZACAO_INSTITUICAO
,	O
onde	O
permanecerá	O
durante	O
três	B-TEMPO_TEMPO_CALEND
anos	I-TEMPO_TEMPO_CALEND
e	O
será	O
um	O
dos	O
primeiros	O
alunos	O
da	O
turma	O
,	O
no	O
mesmo	B-TEMPO_TEMPO_CALEND
ano	I-TEMPO_TEMPO_CALEND
cria	O
o	O
pseudónimo	O
Alexander	O
Search	O
,	O
no	O
qual	O
envia	O
cartas	O
a	O
si	O
mesmo	B-TEMPO_TEMPO_CALEND
utilizando	O
esse	O
nome.	O
No	B-TEMPO_TEMPO_CALEND
ano	I-TEMPO_TEMPO_CALEND
de	B-TEMPO_GENERICO
1901	O
é	O
aprovado	O
com	O
distinção	O
no	O
seu	O
primeiro	O
exame	O
da	O
Cape	O
Scholl	O
High	O
Examination	O
,	O
escreve	O
os	O
primeiros	O
poemas	O
em	B-TEMPO_TEMPO_CALEND
inglês.	O
Na	O
mesma	O
época	O
morre	O
sua	O
irmã	O
Madalena	O
Henriqueta	O
,	O
de	B-TEMPO_TEMPO_CALEND
dois	O
anos.	O
De	O
férias	O
,	O
parte	O
em	B-TEMPO_TEMPO_CALEND
1901	O
com	O
a	B-TEMPO_TEMPO_CALEND
família	O
para	O
Portugal	B-LOCAL_HUMANO
.	O
No	B-TEMPO_FREQUENCIA
navio	O
em	O
que	O
viajam	O
,	O
o	O
paquete	O
König	O
,	O
vem	O
o	O
corpo	O
da	O
sua	O
irmã	O
falecida.	O
Em	B-TEMPO_TEMPO_CALEND
Lisboa	B-OBRA_PLANO
mora	O
com	O
a	B-TEMPO_TEMPO_CALEND
família	O
em	B-TEMPO_TEMPO_CALEND
Pedrouços	O
e	O
depois	O
na	O
Avenida	B-LOCAL_HUMANO
de	O
D.	B-PESSOA_INDIVIDUAL
Carlos	I-PESSOA_INDIVIDUAL
I	B-LOCAL_VIRTUAL
,	O
n.º.	O
109	O
,	O
3º.	O
Esquerdo.	O
Na	O
capital	O
portuguesa	O
nasce	O
João	B-PESSOA_INDIVIDUAL
Maria	B-OBRA_ARTE
,	O
quarto	O
filho	O
do	O
segundo	B-TEMPO_TEMPO_CALEND
casamento	O
da	O
mãe	O
de	O
Pessoa	B-PESSOA_INDIVIDUAL
.	O
Viaja	O
com	O
o	O
padrasto	O
,	O
a	O
mãe	O
e	O
os	O
irmãos	O
à	O
Ilha	B-OBRA_REPRODUZIDA
Terceira	B-ABSTRACCAO_DISCIPLINA
,	O
nos	O
Açores	B-LOCAL_FISICO
,	O
onde	O
vive	O
a	B-TEMPO_TEMPO_CALEND
família	O
materna.	O
Também	O
partem	O
para	O
Tavira	O
onde	O
para	O
visitar	O
os	O
parentes	O
paternos.	O
Nessa	B-TEMPO_TEMPO_CALEND
época	O
escreve	O
a	B-TEMPO_TEMPO_CALEND
poesia	O
Quando	O
ela	O
passa	O
.	O
Fernando	B-PESSOA_INDIVIDUAL
Pessoa	I-PESSOA_INDIVIDUAL
permanece	O
em	O
Lisboa	B-LOCAL_HUMANO
enquanto	O
todos	O
regressam	O
para	O
Durban	B-LOCAL_HUMANO
:	B-OBRA_REPRODUZIDA
a	O
mãe	O
,	O
o	O
padrasto	O
,	O
os	O
irmãos	O
e	O
a	B-TEMPO_TEMPO_CALEND
criada	O
Paciência	O
que	O
viera	O
com	O
eles.	O
Volta	B-ACONTECIMENTO_ORGANIZADO
sozinho	O
para	O
a	O
África	B-ORGANIZACAO_ADMINISTRACAO
no	O
vapor	O
Herzog	B-PESSOA_INDIVIDUAL
.	O
Na	O
mesma	O
época	O
,	O
tenta	O
escrever	O
romances	O
em	O
inglês	O
e	O
matricula-se	O
na	O
Commercial	O
School	B-ORGANIZACAO_INSTITUICAO
.	O
Lá	O
estuda	O
à	O
noite	B-TEMPO_TEMPO_CALEND
enquanto	O
de	O
dia	B-TEMPO_FREQUENCIA
se	O
ocupa	O
com	O
disciplinas	O
humanísticas.	O
Em	B-TEMPO_TEMPO_CALEND
1903	O
,	O
candidata-se	O
à	O
Universidade	B-ORGANIZACAO_INSTITUICAO
do	B-ABSTRACCAO_DISCIPLINA
Cabo	B-LOCAL_HUMANO
da	O
Boa	O
Esperança	O
.	O
Na	O
prova	O
de	O
exame	O
para	O
a	B-TEMPO_TEMPO_CALEND
admissão	O
,	O
não	O
obtém	O
uma	O
boa	O
classificação	O
,	O
mas	O
tira	O
a	O
melhor	O
nota	O
entre	O
os	O
899	O
candidatos	O
no	O
ensaio	O
de	O
estilo	O
inglês.	O
Recebe	O
por	O
isso	O
o	O
Queen	B-OBRA_REPRODUZIDA
Victoria	O
Memorial	B-LOCAL_HUMANO
Prize	O
(	O
«	O
Prémio	O
Rainha	O
Vitória	B-LOCAL_HUMANO
»	O
)	O
.	O
Um	B-ABSTRACCAO_NOME
ano	B-TEMPO_TEMPO_CALEND
depois	I-TEMPO_TEMPO_CALEND
novamente	O
ingressa	O
na	O
Durban	B-LOCAL_HUMANO
High	O
School	B-ORGANIZACAO_INSTITUICAO
onde	O
frequenta	O
o	O
equivalente	O
a	O
um	O
primeiro	O
ano	O
universitário	O
,	O
Aprofunda	O
a	O
sua	O
cultura	O
,	O
lendo	O
clássicos	O
ingleses	O
e	O
latinos	O
;	O
escreve	O
poesia	O
e	O
prosa	O
em	O
inglês	O
e	O
surgem	O
os	O
heterónimos	O
Charles	O
Robert	B-PESSOA_INDIVIDUAL
Anon	O
e	O
H.	B-PESSOA_INDIVIDUAL
M.	B-OBRA_REPRODUZIDA
F.	B-PESSOA_INDIVIDUAL
Lecher	O
;	O
nasce	O
z	O
sua	O
irmã	O
Maria	B-PESSOA_INDIVIDUAL
Clara	B-OBRA_ARTE
e	O
publica	O
o	O
jornal	O
do	O
liceu	O
um	O
ensaio	O
crítico	O
intitulado	O
Macaulay	O
.	O
Por	O
fim	O
,	O
encerra	O
os	O
seus	O
bem	O
sucedidos	O
estudos	O
na	B-OBRA_REPRODUZIDA
África	B-LOCAL_HUMANO
do	I-LOCAL_HUMANO
Sul	I-LOCAL_HUMANO
após	O
realizar	O
na	O
Universidade	B-ORGANIZACAO_INSTITUICAO
o	O
«	O
Intermediate	O
Examination	O
in	B-ABSTRACCAO_DISCIPLINA
Arts	B-ABSTRACCAO_DISCIPLINA
»	O
,	O
adquirindo	O
bons	O
resultados.	O
Volta	B-ACONTECIMENTO_ORGANIZADO
definitiva	O
a	B-TEMPO_TEMPO_CALEND
Portugal	B-ORGANIZACAO_ADMINISTRACAO
e	O
início	O
de	B-TEMPO_TEMPO_CALEND
carreira	O
Deixando	O
a	B-TEMPO_TEMPO_CALEND
família	O
em	B-TEMPO_TEMPO_CALEND
Durban	B-LOCAL_HUMANO
,	O
regressou	O
definitivamente	O
à	O
capital	O
portuguesa	O
,	O
sozinho	O
,	O
em	B-TEMPO_TEMPO_CALEND
1905	I-TEMPO_TEMPO_CALEND
.	O
Passa	O
a	O
viver	O
com	O
a	B-TEMPO_TEMPO_CALEND
avó	O
Dionísia	O
e	O
as	O
duas	O
tias	O
na	O
Rua	B-LOCAL_HUMANO
da	O
Bela	O
Vista	O
,	O
17.	O
A	O
mãe	O
e	O
o	O
padrasto	O
também	O
retornam	O
a	B-TEMPO_TEMPO_CALEND
Lisboa	B-OBRA_PLANO
,	O
durante	O
um	O
período	O
de	O
férias	O
de	O
um	B-TEMPO_TEMPO_CALEND
ano	I-TEMPO_TEMPO_CALEND
em	O
que	O
Pessoa	B-PESSOA_INDIVIDUAL
volta	O
a	B-TEMPO_TEMPO_CALEND
morar	O
com	O
eles.	O
Continua	O
a	O
produção	O
de	O
poemas	O
em	O
inglês	O
e	O
em	B-TEMPO_TEMPO_CALEND
1906	I-TEMPO_TEMPO_CALEND
matricula-se	O
no	O
Curso	B-ABSTRACCAO_DISCIPLINA
Superior	I-ABSTRACCAO_DISCIPLINA
de	O
Letras	B-ABSTRACCAO_DISCIPLINA
(	O
actual	O
Faculdade	B-ORGANIZACAO_INSTITUICAO
de	O
Letras	B-ABSTRACCAO_DISCIPLINA
da	O
Universidade	B-ORGANIZACAO_INSTITUICAO
de	O
Lisboa	B-LOCAL_HUMANO
)	O
,	O
que	O
abandona	O
sem	O
sequer	O
completar	O
o	O
primeiro	O
ano	O
.	O
É	O
nesta	O
época	O
que	O
entra	O
em	B-TEMPO_TEMPO_CALEND
contacto	O
com	O
importantes	O
escritores	O
de	O
literatura	O
da	O
língua	O
portuguesa.	O
Interessa-se	O
pela	O
obra	O
de	O
Cesário	O
Verde	O
e	O
pelos	O
sermões	O
do	O
Padre	B-PESSOA_INDIVIDUAL
Antônio	B-PESSOA_INDIVIDUAL
Vieira	I-PESSOA_INDIVIDUAL
.	O
Em	B-TEMPO_TEMPO_CALEND
Agosto	I-TEMPO_TEMPO_CALEND
de	I-TEMPO_TEMPO_CALEND
1907	O
,	O
morre	O
a	O
sua	O
avó	O
Dionísia	O
,	O
deixando-lhe	O
uma	O
pequena	O
herança.	O
Com	O
esse	O
dinheiro	O
,	O
monta	O
uma	O
pequena	O
tipografia	O
,	O
que	O
rapidamente	O
faliu	O
,	O
na	O
Rua	B-LOCAL_HUMANO
da	O
Conceição	O
da	O
Glória	O
,	O
38-4.º	O
,	O
sob	O
o	O
nome	O
de	O
«	O
Empresa	O
Íbis	O
--	O
-	O
Tipografia	O
Editora	O
--	O
-	O
Oficinas	O
a	B-TEMPO_TEMPO_CALEND
Vapor	O
».	O
A	O
partir	O
de	B-TEMPO_TEMPO_CALEND
1908	I-TEMPO_TEMPO_CALEND
,	O
dedica-se	O
à	O
tradução	O
de	O
correspondência	O
comercial	O
,	O
um	O
trabalho	O
que	O
poderíamos	O
chamar	O
de	O
``	O
correspondente	O
estrangeiro	O
''	B-PESSOA_INDIVIDUAL
.	O
Nessa	O
profissão	O
trabalha	O
a	O
vida	O
toda	O
,	O
tendo	O
uma	O
modesta	O
vida	O
pública.	O
Inicia	O
a	O
sua	O
actividade	O
de	O
ensaista	O
e	O
crítico	O
literário	O
com	O
a	O
publicação	O
,	O
em	B-TEMPO_TEMPO_CALEND
1912	O
,	O
na	O
revista	O
«	O
Águia	O
»	O
,	O
do	O
artigo	O
«	O
A	O
nova	O
poesia	O
portuguesa	O
sociologicamente	O
considerada	O
»	O
,	O
a	O
que	O
se	O
seguiriam	O
outros.	O
Pessoa	B-PESSOA_INDIVIDUAL
é	O
internado	O
no	O
dia	B-TEMPO_TEMPO_CALEND
29	I-TEMPO_TEMPO_CALEND
de	I-TEMPO_TEMPO_CALEND
Novembro	I-TEMPO_TEMPO_CALEND
de	I-TEMPO_TEMPO_CALEND
1935	I-TEMPO_TEMPO_CALEND
,	O
no	O
Hospital	B-LOCAL_HUMANO
de	I-LOCAL_HUMANO
São	B-LOCAL_HUMANO
Luís	B-PESSOA_INDIVIDUAL
dos	O
Franceses	O
,	O
com	O
diagnóstico	O
de	O
``	O
cólica	O
hepática	O
''	B-PESSOA_INDIVIDUAL
(	O
provavelmente	O
uma	O
colangite	O
aguda	O
causada	O
por	O
cálculo	O
biliar	O
)	O
,	O
falecendo	O
de	O
suas	O
complicações	O
,	O
possivelmente	O
associada	O
a	O
uma	O
cirrose	O
hepática	O
provocada	O
pelo	O
óbvio	O
excesso	O
de	O
álcool	O
ao	O
longo	O
da	O
sua	O
vida	O
(	O
a	O
título	O
de	O
curiosidade	O
acredita-se	O
que	O
era	O
muito	O
fiel	O
à	O
aguardente	O
``	O
Águia	O
Real	B-LOCAL_HUMANO
``	O
)	O
.	O
No	B-TEMPO_FREQUENCIA
dia	I-TEMPO_FREQUENCIA
30	B-TEMPO_TEMPO_CALEND
de	I-TEMPO_TEMPO_CALEND
Novembro	I-TEMPO_TEMPO_CALEND
morre	O
aos	O
47	O
anos	O
.	O
Nos	B-TEMPO_TEMPO_CALEND
últimos	I-TEMPO_TEMPO_CALEND
momentos	O
da	O
sua	O
vida	O
pede	O
os	O
óculos	O
e	O
clama	O
pelos	O
seus	O
heterónimos.	O
A	O
sua	O
última	O
frase	O
é	O
escrita	O
no	O
idioma	O
no	O
qual	O
foi	O
educado	O
,	O
o	O
inglês	O
:	B-OBRA_REPRODUZIDA
I	B-LOCAL_VIRTUAL
know	O
not	O
what	O
tomorrow	O
will	B-OBRA_REPRODUZIDA
bring	O
(	O
``	O
Eu	O
não	O
sei	O
o	O
que	O
o	O
amanhã	B-TEMPO_TEMPO_CALEND
trará	O
''	B-PESSOA_INDIVIDUAL
)	O
.	O
Legado	O
[	O
...	O
]	O
Analogamente	O
a	B-TEMPO_TEMPO_CALEND
Pompeu	O
que	O
disse	O
que	O
``	O
navegar	O
é	O
preciso	O
;	O
viver	O
não	O
é	O
preciso	O
''	B-PESSOA_INDIVIDUAL
,	O
Pessoa	B-PESSOA_INDIVIDUAL
diz	O
,	O
no	O
poema	O
Navegar	O
é	O
Preciso	O
,	O
que	O
``	O
viver	O
não	O
é	O
necessário	O
;	O
o	O
que	O
é	O
necessário	O
é	O
criar	O
''	B-PESSOA_INDIVIDUAL
.	O
Outra	O
interpretação	O
comum	O
deste	O
poema	O
diz	O
respeito	O
ao	O
fato	O
de	O
que	O
a	O
navegação	O
foi	O
resultado	O
de	O
uma	O
atitude	O
racionalista	O
do	O
mundo	O
ocidental	O
(	O
a	O
navegação	O
exigiria	O
precisão	O
)	O
enquanto	O
a	O
vida	O
poderia	O
dispensar	O
tal	O
precisão.	O
Sobre	O
Fernando	B-PESSOA_INDIVIDUAL
Pessoa	I-PESSOA_INDIVIDUAL
,	O
o	O
poeta	O
mexicano	O
ganhador	O
do	O
Nobel	O
de	O
Literatura	O
Octavio	O
Paz	B-ABSTRACCAO_DISCIPLINA
diz	O
que	O
``	O
os	O
poetas	O
não	O
têm	O
biografia.	O
Sua	O
obra	O
é	O
sua	O
biografia	O
''	B-PESSOA_INDIVIDUAL
e	O
que	O
,	O
no	O
caso	O
do	O
poeta	O
português	O
,	O
``	O
nada	O
em	O
sua	O
vida	O
é	O
surpreendente	O
--	O
-	O
nada	O
,	O
exceto	O
seus	O
poemas	O
''	B-PESSOA_INDIVIDUAL
.	O
O	O
crítico	O
literário	O
estadunidense	O
Harold	O
Bloom	O
considerou-o	O
,	O
no	O
seu	O
livro	O
The	B-OBRA_REPRODUZIDA
Western	O
Canon	O
(	O
``	O
O	O
Cânone	O
Ocidental	B-LOCAL_HUMANO
``	O
)	O
,	O
o	O
mais	O
representativo	O
poeta	O
do	O
século	B-TEMPO_TEMPO_CALEND
XX	I-TEMPO_TEMPO_CALEND
,	O
ao	O
lado	O
do	O
chileno	O
Pablo	O
Neruda	O
.	O
[	O
3	B-TEMPO_TEMPO_CALEND
]	O
Na	O
comemoração	O
do	O
centenário	O
do	O
seu	O
nascimento	O
em	B-TEMPO_TEMPO_CALEND
1988	O
,	O
seu	O
corpo	O
foi	O
transladado	O
para	O
o	O
Mosteiro	B-LOCAL_HUMANO
dos	I-LOCAL_HUMANO
Jerónimos	I-LOCAL_HUMANO
,	O
confirmando	O
o	O
reconhecimento	O
que	O
não	O
teve	O
em	B-TEMPO_TEMPO_CALEND
vida.	O
[	O
editar	O
]	O
Pessoa	B-PESSOA_INDIVIDUAL
e	O
o	O
ocultismo	O
Fernando	B-PESSOA_INDIVIDUAL
Pessoa	I-PESSOA_INDIVIDUAL
possuía	O
ligações	O
com	O
o	O
ocultismo	O
e	O
o	O
misticismo	O
,	O
