Coletivo	B-ABSTRACCAO_DISCIPLINA
Secretaria	B-ORGANIZACAO_ADMINISTRACAO
de	I-ORGANIZACAO_ADMINISTRACAO
Desenvolvimento	B-ORGANIZACAO_INSTITUICAO
Sustentável	O
do	O
Governo	B-ORGANIZACAO_ADMINISTRACAO
do	O
Estado	B-LOCAL_HUMANO
do	B-PESSOA_CARGO
Amazonas	O
.	O
Impedidos	O
de	O
apresentar	O
a	O
obra	O
-	O
e	O
tendo	O
suas	O
páginas	O
do	O
catálogo	O
da	O
mostra	O
cobertas	O
por	O
tarjas	O
pretas	O
-	O
,	O
os	O
dinamarqueses	O
distribuíram	O
o	O
Guaraná	B-COISA_CLASSE
Power	I-COISA_CLASSE
,	O
sem	O
rótulo	O
,	O
em	B-TEMPO_TEMPO_CALEND
vernissages	O
na	O
Galeria	B-LOCAL_HUMANO
Vermelho	B-LOCAL_HUMANO
e	O
Instituto	B-ORGANIZACAO_INSTITUICAO
Tomie	O
Ohtake	O
,	O
além	O
de	O
pontos	O
espalhados	O
pela	O
capital	O
paulista.	O
O	O
coletivo	O
Superflex	B-PESSOA_GRUPOMEMBRO
já	O
recebeu	O
elogios	O
do	O
Ministro	B-PESSOA_CARGO
da	I-PESSOA_CARGO
Cultura	I-PESSOA_CARGO
Gilberto	B-PESSOA_INDIVIDUAL
Gil	I-PESSOA_INDIVIDUAL
em	B-TEMPO_TEMPO_CALEND
junho	I-TEMPO_TEMPO_CALEND
deste	O
ano	O
,	O
ao	O
apresentar	O
no	O
Brasil	O
o	O
projeto	O
Free	B-ABSTRACCAO_NOME
Beer	I-ABSTRACCAO_NOME
(	O
``	O
cerveja	O
livre	O
''	B-PESSOA_INDIVIDUAL
)	O
,	O
cerveja	O
cuja	O
fórmula	O
é	O
licenciada	O
em	B-TEMPO_TEMPO_CALEND
Creative	B-PESSOA_CARGO
Commons	I-PESSOA_CARGO
e	O
permite	O
que	O
qualquer	O
pessoa	O
interessada	O
possa	O
fabricá-la	O
ou	O
aprimorá-la.	O
Na	O
entrevista	O
coletiva	O
dos	O
organizadores	O
da	O
Bienal	B-ACONTECIMENTO_ORGANIZADO
,	O
o	O
presidente	B-PESSOA_CARGO
da	I-PESSOA_CARGO
Fundação	B-ORGANIZACAO_INSTITUICAO
Bienal	B-ACONTECIMENTO_ORGANIZADO
,	O
Manuel	B-PESSOA_INDIVIDUAL
Francisco	I-PESSOA_INDIVIDUAL
Pires	O
da	O
Costa	B-PESSOA_INDIVIDUAL
,	O
optou	O
por	O
,	O
além	O
de	O
responsabilizar	O
a	B-TEMPO_TEMPO_CALEND
assessoria	O
jurídica	O
,	O
emitir	O
sua	O
opinião	O
pessoal	O
acerca	O
da	O
obra	O
polêmica	O
:	B-OBRA_REPRODUZIDA
``	O
Eu	O
jamais	O
interferi	O
no	O
mérito	O
das	O
obras	O
selecionadas.	O
Aliás	O
,	O
a	B-TEMPO_TEMPO_CALEND
acho	O
de	O
muito	O
mau	O
gosto	O
e	O
,	O
se	O
não	O
julguei	O
,	O
estou	O
julgando	O
agora.	O
Foi	O
o	O
departamento	O
jurídico	O
da	O
Bienal	B-ACONTECIMENTO_ORGANIZADO
quem	O
informou	O
que	O
essa	O
obra	O
não	O
estava	O
de	O
acordo	O
com	O
as	O
regras	O
da	O
legislação	O
brasileira	O
''	B-PESSOA_INDIVIDUAL
.	O
''	O
O	O
que	O
eles	O
sempre	O
nos	O
disseram	O
é	O
que	O
isso	O
[	O
a	O
referência	O
à	O
marca	O
do	O
guaraná	O
Antarctica	O
]	O
poderia	O
ser	O
um	O
problema	O
,	O
mas	O
o	O
presidente	B-PESSOA_CARGO
nunca	O
nos	O
deu	O
respostas	O
claras.	O
Nossas	O
obras	O
sempre	O
envolvem	O
negociação	O
,	O
mas	O
com	O
ele	O
tivemos	O
as	O
portas	O
fechadas.	O
Se	O
eles	O
olhassem	O
como	O
ficou	O
a	B-TEMPO_TEMPO_CALEND
lata	O
[	O
diferente	O
da	O
criação	O
original	O
]	O
,	O
não	O
haveria	O
problema	O
legal	O
''	B-PESSOA_INDIVIDUAL
,	O
afirmou	O
Jakob	B-PESSOA_INDIVIDUAL
Fenger	B-PESSOA_INDIVIDUAL
,	O
um	O
dos	O
membros	O
do	O
coletivo	O
,	O
em	B-TEMPO_TEMPO_CALEND
entrevista	O
para	O
a	B-TEMPO_TEMPO_CALEND
Folha	B-PESSOA_MEMBRO
de	I-PESSOA_MEMBRO
São	B-LOCAL_HUMANO
Paulo	I-LOCAL_HUMANO
,	O
em	O
matéria	O
que	O
informa	O
ainda	O
:	B-OBRA_REPRODUZIDA
``	O
Por	O
meio	O
de	O
sua	O
assessoria	O
,	O
a	B-TEMPO_TEMPO_CALEND
AmBev	O
[	O
fabricante	O
do	O
guaraná	O
Antarctica	O
]	O
declarou	O
não	O
ver	O
problema	O
na	O
obra.	O
Diz	O
não	O
ter	O
tido	O
nenhum	O
contato	O
com	O
o	O
grupo	O
''	B-PESSOA_INDIVIDUAL
.	O
O	O
Superflex	B-PESSOA_GRUPOMEMBRO
ainda	O
distribuiu	O
à	O
imprensa	O
,	O
no	B-TEMPO_TEMPO_CALEND
dia	I-TEMPO_TEMPO_CALEND
da	B-TEMPO_GENERICO
coletiva	O
,	O
o	O
documento	O
``	O
A	O
obra	O
de	O
arte	O
que	O
os	O
brasileiros	O
não	O
terão	O
permissão	O
de	O
ver	O
na	O
Bienal	B-ACONTECIMENTO_ORGANIZADO
``	O
.	O
Nele	O
,	O
afirma-se	O
que	O
o	O
``	O
presidente	B-PESSOA_CARGO
da	I-PESSOA_CARGO
Fundação	B-ORGANIZACAO_INSTITUICAO
Bienal	B-ACONTECIMENTO_ORGANIZADO
censurou	O
um	O
trabalho	O
com	O
reconhecimento	O
internacional	O
para	O
o	O
público	O
brasileiro	O
''	O
,	O
que	O
,	O
segundo	O
o	O
texto	O
divulgado	O
,	O
teria	O
sido	O
recusado	O
``	O
por	O
não	O
ser	O
considerada	O
uma	O
'atividade	O
artística	O
'	O
''	O
.	O
A	O
polêmica	O
gerada	O
pela	O
Fundação	B-ORGANIZACAO_INSTITUICAO
Bienal	B-ACONTECIMENTO_ORGANIZADO
fortaleceu	O
a	B-TEMPO_TEMPO_CALEND
ação	O
política	O
do	O
coletivo	O
dinamarquês	O
,	O
tendo	O
a	O
censura	O
gerado	O
uma	O
reação	O
oposta	O
à	O
desejada.	O
Foi	O
grande	O
o	O
interesse	O
público	O
pelo	O
modelo	O
econômico	O
e	O
social	O
do	O
projeto	O
Guaraná	B-COISA_CLASSE
Power	I-COISA_CLASSE
--	O
baseado	O
no	O
colaborativismo	O
do	O
software	O
livre	O
--	O
e	O
positiva	O
a	B-TEMPO_TEMPO_CALEND
repercussão	O
do	O
tema	O
,	O
exatamente	O
onde	O
interessa	O
:	B-OBRA_REPRODUZIDA
no	O
país	O
fornecedor	O
da	O
matéria-prima	O
de	O
uma	O
das	O
bebidas	O
estrangeiras	O
mais	B-VALOR_QUANTIDADE
famosas	O
no	O
exterior.	O
Cavaco	B-PESSOA_INDIVIDUAL
começa	O
ano	O
com	O
recados	O
de	O
maior	O
exigência	O
ao	O
Governo	B-ORGANIZACAO_ADMINISTRACAO
O	O
Presidente	B-PESSOA_CARGO
da	I-PESSOA_CARGO
República	I-PESSOA_CARGO
,	O
Aníbal	O
Cavaco	B-PESSOA_INDIVIDUAL
Silva	I-PESSOA_INDIVIDUAL
,	O
vai	O
deixar	O
uma	O
série	O
de	O
recados	O
ao	O
Governo	B-ORGANIZACAO_ADMINISTRACAO
nas	O
palavras	O
que	O
vai	O
dirigir	O
ao	O
país	O
no	O
primeiro	O
dia	B-TEMPO_FREQUENCIA
do	I-TEMPO_FREQUENCIA
ano	B-TEMPO_TEMPO_CALEND
.	O
A	O
notícia	O
faz	O
manchete	O
na	O
edição	O
desta	O
terça-feira	B-TEMPO_TEMPO_CALEND
do	O
Jornal	O
de	O
Notícias	B-COISA_CLASSE
,	O
com	O
o	O
diário	O
portuense	O
a	B-TEMPO_TEMPO_CALEND
assegurar	O
que	O
Cavaco	B-PESSOA_INDIVIDUAL
prepara	O
,	O
para	O
a	O
sua	O
primeira	O
comunicação	O
em	B-TEMPO_TEMPO_CALEND
2008	I-TEMPO_TEMPO_CALEND
ao	O
País	O
,	O
um	O
discurso	O
com	O
menos	O
optimismo	O
do	O
que	O
o	O
transmitido	O
por	O
Sócrates	B-PESSOA_INDIVIDUAL
mensagem	O
de	O
Natal	B-ABSTRACCAO_IDEIA
.	O
Afirmando	O
esperar	O
um	B-TEMPO_TEMPO_CALEND
ano	I-TEMPO_TEMPO_CALEND
de	B-TEMPO_GENERICO
2008	I-TEMPO_GENERICO
mais	B-VALOR_QUANTIDADE
exigente	O
do	O
que	O
2007	B-TEMPO_TEMPO_CALEND
,	O
o	O
Presidente	B-PESSOA_CARGO
da	I-PESSOA_CARGO
República	B-ACONTECIMENTO_EVENTO
promete	O
,	O
ao	B-TEMPO_GENERICO
longo	I-TEMPO_GENERICO
do	O
próximo	B-TEMPO_TEMPO_CALEND
ano	I-TEMPO_TEMPO_CALEND
,	O
dar	O
toda	O
a	O
atenção	O
a	B-TEMPO_TEMPO_CALEND
temas	O
sociais	O
,	O
sobretudo	O
o	O
desemprego	O
,	O
e	O
andar	O
pelo	O
país	O
a	B-TEMPO_TEMPO_CALEND
mostrar	O
bons	O
exemplos	O
da	O
criação	O
de	O
postos	O
de	O
trabalho.	O
Segundo	O
o	O
JN	O
,	O
Cavaco	B-PESSOA_INDIVIDUAL
silva	O
vai	O
ainda	O
aproveitar	O
a	B-TEMPO_TEMPO_CALEND
ocasião	O
para	O
sublinhar	O
a	O
expectativa	O
criada	O
em	O
relação	O
aos	O
resultados	O
que	O
pediu	O
no	B-TEMPO_TEMPO_CALEND
ano	I-TEMPO_TEMPO_CALEND
passado	I-TEMPO_TEMPO_CALEND
ao	O
Governo	B-ORGANIZACAO_ADMINISTRACAO
,	O
para	O
as	O
áreas	O
da	O
economia	O
,	O
educação	O
e	O
justiça	O
A	O
MÚSICA	O
É	O
A	O
MENSAGEM	O
Por	O
Hari	O
Kunzru	O
A	O
relação	O
do	O
tecno	O
com	O
o	O
binômio	O
homem-máquina	O
,	O
no	O
diálogo	O
com	O
Jeff	O
Mills	O
,	O
o	O
legendário	O
produtor	O
de	O
tecno	O
de	O
Detroit	O
nos	O
leva	O
a	B-TEMPO_TEMPO_CALEND
impressionantes	O
insights	O
do	O
impacto	O
que	O
a	B-TEMPO_TEMPO_CALEND
terceira	O
onda	O
tem	O
causado	O
na	O
paisagem	O
contemporânea.	O
Detroit	O
,	O
essa	O
``	O
cidade	O
portátil	O
''	B-PESSOA_INDIVIDUAL
,	O
virtualizada	O
na	O
minimalista	O
batida	O
de	O
um	O
sequenciador	O
automático	O
,	O
profetiza	O
em	O
sua	O
música	O
-	O
que	O
já	O
nos	O
deu	O
a	B-TEMPO_TEMPO_CALEND
Motown	O
,	O
Stooges	O
,	O
e	O
MC5	O
-	O
o	O
zeitgeist	O
deste	O
início	O
de	B-TEMPO_GENERICO
milênio	B-TEMPO_TEMPO_CALEND
.	O
Uma	O
Cidade	B-OBRA_REPRODUZIDA
Difícil	O
Detroit	O
tem	O
por	O
longo	B-TEMPO_DURACAO
tempo	I-TEMPO_DURACAO
sido	O
um	O
lugar	O
de	O
referência	O
na	O
imaginação	O
sônica.	O
Com	O
o	O
fim	O
da	O
escravatura	O
,	O
ela	O
se	O
tornou	O
,	O
como	O
Chicago	B-LOCAL_HUMANO
,	O
um	O
das	O
estações	O
ferroviárias	O
do	O
êxodo	O
negro	O
na	O
direção	O
do	O
norte.	O
As	B-TEMPO_GENERICO
ferrovias	O
atuavam	O
como	O
artérias	O
culturais	O
,	O
trasmitindo	O
pessoas	O
e	O
formas	O
culturais	O
do	O
profundo	O
sul	O
de	O
New	O
Orleans	O
e	O
o	O
rural	O
Delta	O
do	O
Mississipi	O
,	O
pelo	O
centro-oeste	O
e	O
para	O
o	O
iluminado	O
mundo	O
novo	O
urbano	O
dos	O
Grandes	B-LOCAL_HUMANO
Lagos	B-ACONTECIMENTO_ORGANIZADO
.	O
No	B-TEMPO_FREQUENCIA
processo	O
o	O
som	O
acústico	O
do	O
Blues	B-ABSTRACCAO_DISCIPLINA
do	O
Delta	O
foi	O
exposto	O
ao	O
ruído	O
das	O
linhas	O
de	O
produção	O
industrial	O
,	O
e	O
se	O
transmutou	O
no	O
boogie	O
de	O
trem	O
a	B-TEMPO_TEMPO_CALEND
vapor	O
,	O
de	B-TEMPO_TEMPO_CALEND
chão	O
de	O
fábrica	O
do	O
Rythm'n'Blues	O
elétrico.	O
O	O
Blues	B-ABSTRACCAO_DISCIPLINA
de	O
Basin	O
Street	B-ABSTRACCAO_DISCIPLINA
vira	O
a	B-TEMPO_TEMPO_CALEND
Pegada	O
da	O
Cidade	B-OBRA_REPRODUZIDA
Motor	O
(	O
Motor	O
City	O
Stomp	O
)	O
.	O
Quando	O
do	O
boom	O
dos	O
anos	O
sessenta	O
,	O
Detroit	O
era	O
sinônimo	O
das	O
esperançosas	O
ficções-soul	O
de	O
três	O
minutos	B-TEMPO_TEMPO_CALEND
da	I-TEMPO_TEMPO_CALEND
Motown	O
,	O
um	O
selo	O
cuja	O
ética	O
produtivista	O
e	O
apelo	O
de	O
mercado	O
massificado	O
foi	O
sempre	O
um	O
irônico	O
espelho	O
da	O
cultura	O
da	O
Ford	O
e	O
da	O
General	B-ORGANIZACAO_EMPRESA
Motors	I-ORGANIZACAO_EMPRESA
que	O
dominava	O
as	O
vidas	O
de	O
seu	O
jovem	O
público	O
negro.	O
O	O
povo	O
da	O
Motown	O
deu	O
seus	O
primeiros	O
passos	O
dançando	O
nas	O
ruas	O
,	O
mas	O
,	O
à	O
medida	O
que	O
os	O
70	B-VALOR_QUANTIDADE
iam	O
passando	O
,	O
eles	O
foram	O
gradualmente	O
reduzidos	O
a	O
viver	O
só	O
para	O
a	B-TEMPO_TEMPO_CALEND
cidade.	O
Durante	B-TEMPO_TEMPO_CALEND
os	I-TEMPO_TEMPO_CALEND
desolados	O
anos	O
Reagan	O
,	O
Detroit	O
parecia	O
uma	O
zona	O
morta	O
,	O
um	O
símbolo	O
do	O
fim	O
da	O
velha	O
ordem	O
industrial.	O
Mas	O
pelo	O
começo	B-TEMPO_TEMPO_CALEND
dos	I-TEMPO_TEMPO_CALEND
noventa	O
a	B-TEMPO_TEMPO_CALEND
decadente	O
cidade	O
,	O
tendo	O
absorvido	O
o	O
trauma	O
da	O
crise	O
do	O
petróleo	O
e	O
a	B-TEMPO_TEMPO_CALEND
recessão	O
mundial	O
,	O
reinventou-se	O
como	O
o	O
imaginário	O
e	O
sombrio	O
coração	O
de	O
uma	O
nova	O
cultura	O
urbana	O
global.	O
O	O
tecno	O
de	O
Detroit	O
é	O
o	O
som	O
da	O
cidade.	O
Não	O
das	O
pessoas	O
da	O
cidade	O
,	O
mas	O
da	O
própria	O
cidade.	O
Os	O
humanos	O
,	O
se	O
eles	O
ainda	O
estão	O
vivos	O
mesmo	O
,	O
foram	O
totalmente	O
cooptados	O
pela	O
máquina	O
urbana	O
,	O
absorvidos	O
em	B-TEMPO_TEMPO_CALEND
seus	O
processos	O
,	O
seus	O
corpos	O
disciplinados	O
pelos	O
ritmos	O
implacáveis	O
dela.	O
Não	O
é	O
exagero	O
dizer	O
que	O
este	O
estilo	O
,	O
com	O
seus	O
frios	O
tons	O
sintéticos	O
e	O
batidas	O
rápidas	O
e	O
rígidas	O
de	O
quatro-por-quatro	O
teve	O
provavelmente	O
mais	B-VALOR_QUANTIDADE
influencia	O
no	O
tipo	O
de	O
música	O
que	O
soa	O
pelo	O
mundo	O
do	O
que	O
qualquer	O
outro	O
gênero	O
desde	B-TEMPO_TEMPO_CALEND
o	O
Blues	B-ABSTRACCAO_DISCIPLINA
.	O
Transmissões	O
do	O
Futuro	O
:	B-OBRA_REPRODUZIDA
A	O
síntese	O
de	O
Detroit	O
de	O
grooves	O
de	O
trance	O
funk	O
e	O
futurismo	O
disco	O
europeu	O
foi	O
realizada	O
por	O
um	O
surpreendentemente	O
pequeno	O
círculo	O
de	O
produtores	O
,	O
que	O
começaram	O
seus	O
experimentos	O
em	B-TEMPO_TEMPO_CALEND
meados	O
dos	O
80	B-VALOR_QUANTIDADE
.	O
As	O
estórias	O
de	O
Cybotron	O
,	O
Model	O
500	B-VALOR_QUANTIDADE
e	O
a	B-TEMPO_TEMPO_CALEND
transição	O
da	O
disco	O
para	O
o	O
eletro-funk	O
para	O
o	O
tecno	O
foram	O
muito	O
bem	O
contadas	O
em	B-TEMPO_TEMPO_CALEND
outras	O
paragens	O
por	O
escritores	O
como	O
Matthew	O
Collin	O
(	O
Altered	O
State	O
)	O
e	O
Kodwo	O
Eshun	O
(	O
More	O
Brilliant	B-ACONTECIMENTO_ORGANIZADO
Than	O
The	B-PESSOA_GRUPOMEMBRO
Sun	O
:	B-OBRA_REPRODUZIDA
Adventures	O
In	O
Sonic	O
Fiction	B-OBRA_REPRODUZIDA
)	O
.	O
Um	O
dos	O
pioneiros	O
foi	O
Jeff	O
Mills	O
,	O
que	O
,	O
como	O
produtor	O
e	O
DJ	B-PESSOA_INDIVIDUAL
,	O
tem	O
semeado	O
o	O
som	O
de	O
Durban	B-LOCAL_HUMANO
a	B-TEMPO_TEMPO_CALEND
Tóquio	O
,	O
e	O
a	B-TEMPO_TEMPO_CALEND
ele	O
não	O
se	O
deveria	O
atribuir	O
pouca	O
responsabilidade	O
pelo	O
fato	O
de	O
que	O
seres	O
urbanos	O
de	O
todo	O
o	O
mundo	O
agora	O
vivam	O
numa	O
paisagem	O
midiática	O
onde	O
enxutas	O
batidas	O
eletrônicas	O
servem	O
como	O
trilha	O
sonora	O
para	O
tudo	O
,	O
desde	O
idas	O
ao	O
shopping	O
e	O
suas	O
experiências	O
com	O
drogas	O
,	O
a	B-TEMPO_TEMPO_CALEND
noites	O
em	O
casa	O
em	O
frente	O
da	O
tv.	O
Mills	O
é	O
um	O
homem	O
calmo	O
,	O
um	O
tipo	O
parecido	O
com	O
um	O
pássaro	O
,	O
com	O
uma	O
cara	O
ossuda	O
e	O
longos	O
dedos.	O
Quando	O
está	O
na	O
cabine	O
ele	O
usa	O
três	B-TEMPO_TEMPO_CALEND
picapes	O
,	O
raramente	O
tocando	O
um	O
vinil	O
por	O
mais	B-VALOR_QUANTIDADE
de	I-VALOR_QUANTIDADE
um	O
minuto	B-TEMPO_FREQUENCIA
,	O
e	O
frequentemente	B-TEMPO_FREQUENCIA
abrindo	O
todos	O
os	O
três	B-TEMPO_GENERICO
canais	O
ao	O
mesmo	O
tempo	O
;	O
filtrando	O
o	O
som	O
,	O
logo	O
uma	O
picape	O
toca	O
a	O
linha	O
de	O
baixo	O
,	O
o	O
segundo	O
a	O
linha	O
do	O
meio	O
e	O
o	O
terceiro	B-TEMPO_TEMPO_CALEND
a	O
linha	O
principal.	O
Seu	O
envolvimento	O
com	O
as	O
máquinas	O
é	O
tão	O
intenso	O
,	O
tão	O
concentrado	O
que	O
,	O
como	O
ele	O
se	O
lança	O
do	O
mixer	O
para	O
a	B-TEMPO_TEMPO_CALEND
picape	O
,	O
Mills	O
o	O
DJ	B-PESSOA_INDIVIDUAL
parece	O
evidentemente	O
um	O
componente	O
de	O
uma	O
assemblage	O
homem-máquina	O
,	O
um	O
sistema	O
que	O
inclui	O
público	O
,	O
PA	O
,	O
o	O
aparato	O
completo	O
da	O
produção	O
de	O
vinis	O
,	O
e	O
o	O
Stylus	O
de	O
cartucho	O
,	O
cuja	O
sensibilidade	O
ele	O
aprimorou	O
de	O
forma	O
que	O
o	O
cartucho	O
produza	O
um	O
triplo	O
zumbido	O
raivoso	O
e	O
metálico.	O
Não	O
é	O
surpreendente	O
que	O
quando	O
Mills	O
descreve	O
a	B-TEMPO_TEMPO_CALEND
experiencia	O
de	O
fazer	O
música	O
num	O
estúdio	O
,	O
ele	O
está	O
preocupado	O
com	O
a	B-TEMPO_TEMPO_CALEND
frustração	O
que	O
sente	O
quando	O
``	O
a	O
mensagem	O
''	B-PESSOA_INDIVIDUAL
(	O
para	O
Mills	O
música	O
é	O
sempre	O
``	O
a	O
mensagem	O
''	B-PESSOA_INDIVIDUAL
,	O
ou	O
``	O
comunicação	O
''	B-PESSOA_INDIVIDUAL
)	O
é	O
perdida	O
ou	O
degradada	O
na	O
transmissão	O
da	O
mente	O
para	O
o	O
DAT	O
.	O
''	O
O	O
produtor	O
tem	O
de	O
transferir	O
o	O
que	O
ele	O
está	O
pensando	O
para	O
suas	O
mãos	O
e	O
então	O
para	O
a	B-TEMPO_TEMPO_CALEND
máquina	O
,	O
''	B-PESSOA_INDIVIDUAL
ele	O
explica.	O
''	B-PESSOA_INDIVIDUAL
Quanto	O
melhor	O
o	O
produtor	O
,	O
mais	O
clara	O
será	O
a	B-TEMPO_TEMPO_CALEND
imagem.	O
É	O
uma	O
tradução	O
de	O
minhas	O
mãos	O
para	O
a	B-TEMPO_TEMPO_CALEND
máquina.	O
E	O
é	O
aí	O
normalmente	O
onde	O
ela	O
[	O
a	B-TEMPO_TEMPO_CALEND
máquina	O
]	O
,	O
se	O
perde	O
.	O
''	O
De	O
certa	O
forma	O
este	O
é	O
um	O
sentimento	O
padrão	O
,	O
um	O
anseio	O
expresso	O
por	O
todo	O
artista	O
desde	B-TEMPO_TEMPO_CALEND
que	O
os	O
românticos	O
começaram	O
a	B-TEMPO_TEMPO_CALEND
lamentar	O
a	B-TEMPO_TEMPO_CALEND
lacuna	O
entre	O
a	B-TEMPO_TEMPO_CALEND
inspiração	O
e	O
o	O
artefato.	O
Mas	O
o	O
anseio	O
de	O
Mills	O
por	O
uma	O
simbiose	O
mais	B-VALOR_QUANTIDADE
próxima	O
com	O
seus	O
instrumentos	O
deriva	O
para	O
um	O
desejo	O
pela	O
cyborguização	O
,	O
pela	O
integração	O
física.	O
''	B-PESSOA_INDIVIDUAL
O	O
que	O
eu	O
tenho	O
esperança	O
''	B-PESSOA_INDIVIDUAL
,	O
ele	O
diz	O
,	O
``	O
é	O
de	O
que	O
alguém	O
crie	O
um	O
sequenciador	O
que	O
traduza	O
o	O
que	O
você	O
está	O
pensando	O
para	O
um	O
teclado	O
ou	O
gerador	O
de	O
som.	O
Muitas	B-TEMPO_FREQUENCIA
idéias	O
ficam	O
perdidas	O
porque	O
não	O
podemos	O
fazer	O
com	O
que	O
nossas	O
máquinas	O
realizem	O
exatamente	O
o	O
que	O
nós	O
pensamos	O
.	O
''	O
Para	O
uma	O
cultura	O
musical	O
dominante	O
que	O
está	O
acostumada	O
a	O
tratar	O
álbuns	O
como	O
``	O
obras	O
''	B-PESSOA_INDIVIDUAL
,	O
objetos	O
invioláveis	O
que	O
contém	O
algum	O
tipo	O
de	O
essência	O
artística	O
,	O
a	O
concepção	O
de	O
Mills	O
sobre	O
música	O
pode	O
parecer	O
estranha.	O
''	B-PESSOA_INDIVIDUAL
Depois	O
que	O
faz	O
o	O
álbum	O
''	B-PESSOA_INDIVIDUAL
,	O
ele	O
diz	O
,	O
``	O
você	O
põe	O
a	O
idéia	O
nas	O
mãos	O
do	O
DJ	B-PESSOA_INDIVIDUAL
e	O
é	O
ele	O
quem	O
decide	O
remodelar	O
essa	O
mensagem	O
no	O
momento	B-TEMPO_GENERICO
mais	B-VALOR_QUANTIDADE
oportuno	O
ou	O
da	O
melhor	O
forma	O
.	O
''	O
Ele	O
parece	O
pensar	O
a	O
obra	O
musical	O
como	O
processo	O
,	O
como	O
fluxo	O
de	O
informação	O
,	O
abrindo	O
um	O
canal	O
entre	O
produtor	O
e	O
público	O
dançante.	O
A	O
linguagem	O
de	O
mensagens	O
,	O
comunicações	O
e	O
comunicados	O
oficiais	O
e	O
oficiosos	O
de	O
Mills	O
é	O
parte	O
da	O
teologia	O
que	O
guia	O
o	O
tecno	O
de	O
Detroit	O
:	B-OBRA_REPRODUZIDA
a	B-TEMPO_TEMPO_CALEND
estória	O
do	O
circuito	O
informacional	O
que	O
corre	O
do	O
futuro	O
para	O
o	B-TEMPO_TEMPO_CALEND
presente	I-TEMPO_TEMPO_CALEND
,	O
do	O
Claro	B-LOCAL_FISICO
Amanhã	O
dos	O
cruzadores	O
pesados	O
drexciyanos	O
,	O
de	B-TEMPO_TEMPO_CALEND
OVNIs	O
(	O
'você	O
provavelmente	O
verá	O
um	O
voando	O
...	O
'	O
)	O
e	O
dos	O
anéis	O
de	O
Saturno	O
,	O
diretamente	O
de	O
volta	O
para	O
as	O
rôtas	O
rotas	O
de	O
hoje	B-TEMPO_GENERICO
.	O
É	O
um	O
circuito	O
que	O
canaliza	O
energia	O
através	O
do	O
corpo	O
do	O
produtor	O
para	O
seu	O
estúdio	O
,	O
energia	O
