THANKSGIVING	B-ACONTECIMENTO
casa	O
que	O
era	O
a	O
cara	O
dele	O
-	O
a	O
Deutsche	B-LOCAL
de	I-LOCAL
la	I-LOCAL
Meurthe	I-LOCAL
,	O
a	O
mais	O
antiga	O
,	O
a	O
mais	O
clássica	O
,	O
aquela	O
onde	O
Simone	B-PESSOA
de	I-PESSOA
Beauvoir	I-PESSOA
ia	O
visitar	O
o	O
estudante	O
Jean	B-PESSOA
-	I-PESSOA
Paul	I-PESSOA
Sartre	I-PESSOA
.	O
Quando	O
eu	O
cheguei	O
,	O
deu	O
-	O
me	O
a	O
conhecer	O
a	O
área	O
de	O
Montparnasse	B-LOCAL
e	O
do	O
Port	B-LOCAL
Royal	I-LOCAL
.	O
Nessa	B-TEMPO
altura	I-TEMPO
era	O
um	O
parisiense	O
com	O
uma	O
costela	O
americana	O
,	O
português	O
q.b	O
.	O
e	O
vagamente	O
judeu	O
.	O
Agora	O
é	O
um	O
americano	O
parisiense	O
,	O
um	O
verdadeiro	O
mangeur	O
de	O
fromage	O
.	O
Pôs	O
a	O
Europa	B-ABSTRACCAO
e	O
a	O
Teoria	B-ABSTRACCAO
das	I-ABSTRACCAO
Cordas	I-ABSTRACCAO
de	O
parte	O
e	O
foi	O
para	O
a	O
melhor	O
cidade	O
da	O
América	B-LOCAL
do	I-LOCAL
Norte	I-LOCAL
mostrar	O
que	O
um	O
físico	O
matemático	O
é	O
pau	O
para	O
toda	O
a	O
obra	O
-	O
nem	O
que	O
seja	O
para	O
mostrar	O
que	O
a	O
Biologia	B-ABSTRACCAO
Celular	I-ABSTRACCAO
é	O
só	O
"	O
quebra	O
de	O
simetria	O
"	O
e	O
que	O
não	O
há	O
nada	O
como	O
o	B-TEMPO
outono	I-TEMPO
na	O
Nova	B-LOCAL
Inglaterra	I-LOCAL
.	O
Que	O
rica	O
prenda	O
de	B-TEMPO
Thanksgiving	I-TEMPO
.	O
Bem	O
vindo	O
,	O
Pedro	B-PESSOA
.	O
EFEMÉRIDE	O
A	B-TEMPO
24	I-TEMPO
de	I-TEMPO
Novembro	I-TEMPO
de	I-TEMPO
1960	I-TEMPO
,	O
no	O
restaurante	O
Le	B-LOCAL
Vrai	I-LOCAL
Gascon	I-LOCAL
(	O
n.º	O
82	O
da	O
rue	O
du	O
Bac	B-LOCAL
,	O
Paris	B-LOCAL
)	O
,	O
em	O
torno	O
dessas	O
figuras	O
majestáticas	O
que	O
eram	O
Raymond	B-PESSOA
Queneau	I-PESSOA
e	O
François	B-PESSOA
Le	I-PESSOA
Lionnais	I-PESSOA
,	O
nasceu	O
uma	O
das	O
mais	O
heterodoxas	O
correntes	O
literárias	O
do	B-TEMPO
século	I-TEMPO
XX	I-TEMPO
.	O
Desafio	O
intelectual	O
e	O
brincadeira	O
de	O
literatos	O
apaixonados	O
pela	O
sua	O
língua	O
,	O
explosiva	O
mistura	O
de	O
cérebros	O
moldados	O
pelas	O
leis	O
da	O
gramática	O
e	O
mentes	O
científicas	O
habituadas	O
a	O
todo	O
o	O
tipo	O
de	O
operações	O
lógicas	O
,	O
o	O
OuLiPo	B-ABSTRACCAO
(	O
Ouvroir	B-ABSTRACCAO
de	I-ABSTRACCAO
Littérature	I-ABSTRACCAO
Potentiel	I-ABSTRACCAO
)	O
veio	O
libertar	O
a	O
literatura	O
da	O
forma	O
mais	O
radical	O
:	O
acorrentando	O
-	O
a	O
.	O
Isto	O
é	O
,	O
inventando	O
um	O
sem	O
número	O
de	O
constrangimentos	O
que	O
estimulam	O
a	O
imaginação	O
e	O
a	O
perícia	O
verbal	O
de	O
quem	O
escreve	O
.	O
Na	O
definição	O
sucinta	O
de	O
Queneau	B-PESSOA
,	O
um	O
autor	O
oulipiano	O
é	O
um	O
«	O
rato	O
que	O
constrói	O
o	O
labirinto	O
do	O
qual	O
se	O
propõe	O
sair	O
»	O
.	O
Um	O
labirinto	O
de	O
palavras	O
,	O
claro	O
;	O
um	O
labirinto	O
textual	O
.	O
E	O
se	O
grande	O
parte	O
da	O
produção	O
destes	O
autores	O
auto	O
-	O
espartilhados	O
não	O
sobrevive	O
fora	O
do	O
contexto	O
em	O
que	O
surgiu	O
,	O
enquanto	O
mecanismo	O
lúdico	O
ou	O
exercício	O
de	O
estilo	O
,	O
o	O
certo	O
é	O
que	O
os	O
processos	O
do	O
OuLiPo	B-ABSTRACCAO
estão	O
inscritos	O
na	O
estrutura	O
de	O
algumas	O
obras	O
-	O
primas	O
de	O
autores	O
como	O
Italo	B-PESSOA
Calvino	I-PESSOA
(	O
Se	B-OBRA
Numa	I-OBRA
Noite	I-OBRA
de	I-OBRA
Inverno	I-OBRA
um	I-OBRA
Viajante	I-OBRA
)	O
ou	O
Georges	B-PESSOA
Perec	I-PESSOA
(	O
A	B-OBRA
Vida	I-OBRA
Modo	I-OBRA
de	I-OBRA
Usar	I-OBRA
;	O
La	B-OBRA
Disparition	I-OBRA
;	O
etc	O
)	O
.	O
Quanto	O
mais	O
não	O
fosse	O
por	O
isso	O
,	O
já	O
valeria	O
a	O
pena	O
celebrar	O
os	B-TEMPO
45	I-TEMPO
anos	I-TEMPO
de	O
um	O
movimento	O
que	O
continua	O
activo	O
e	O
em	O
expansão	O
(	O
investigar	O
aqui	O
)	O
.	O
CCB	B-ACONTECIMENTO
15	I-ACONTECIMENTO
ANOS	I-ACONTECIMENTO
|	O
UM	O
PRESENTE	O
AOS	O
ESPECTADORES	O
Com	O
um	O
grande	O
concerto	O
realizado	O
ao	O
ar	O
livre	O
,	O
na	O
Praça	B-LOCAL
do	I-LOCAL
Museu	I-LOCAL
,	O
no	B-TEMPO
dia	I-TEMPO
21	I-TEMPO
de	I-TEMPO
Março	I-TEMPO
de	I-TEMPO
1993	I-TEMPO
,	O
o	O
CCB	B-ORGANIZACAO
iniciava	O
,	O
há	B-TEMPO
quinze	I-TEMPO
anos	I-TEMPO
,	O
a	O
sua	O
actividade	O
como	O
centro	O
de	O
produção	O
e	O
apresentação	O
de	O
espectáculos	O
e	O
exposições	O
o	O
maior	O
de	O
Portugal	B-LOCAL
.	O
O	O
Grande	B-LOCAL
Auditório	I-LOCAL
viria	O
a	O
ser	O
inaugurado	O
seis	B-TEMPO
meses	I-TEMPO
depois	I-TEMPO
,	O
a	B-TEMPO
22	I-TEMPO
de	I-TEMPO
Setembro	I-TEMPO
,	O
com	O
um	O
recital	O
da	O
soprano	O
catalã	O
Montserrat	B-PESSOA
Caballé	I-PESSOA
,	O
enquanto	O
o	O
Pequeno	B-LOCAL
Auditório	I-LOCAL
abrira	O
as	O
suas	O
portas	O
em	B-TEMPO
Junho	I-TEMPO
com	O
um	O
espectáculo	O
do	O
violoncelista	O
Anner	B-PESSOA
Bylsma	I-PESSOA
.	O
Neste	O
arco	O
temporal	O
de	B-TEMPO
15	I-TEMPO
anos	I-TEMPO
,	O
o	O
CCB	B-ORGANIZACAO
apresentou	O
ao	O
público	O
de	O
Lisboa	B-LOCAL
artistas	O
tão	O
diversos	O
como	O
Sviatoslav	B-PESSOA
Richter	I-PESSOA
e	O
Cecilia	B-PESSOA
Bartoli	I-PESSOA
,	O
Pina	B-PESSOA
Bausch	I-PESSOA
et	O
Pippo	B-PESSOA
Delbono	I-PESSOA
,	O
Peter	B-PESSOA
Brook	I-PESSOA
e	O
Jordi	B-PESSOA
Savall	I-PESSOA
,	O
Philip	B-PESSOA
Glass	I-PESSOA
et	O
Keith	B-PESSOA
Jarrett	I-PESSOA
,	O
a	O
Royal	B-PESSOA
Shakespeare	I-PESSOA
Company	I-PESSOA
e	O
o	O
Piccolo	B-PESSOA
Teatro	I-PESSOA
di	I-PESSOA
Milano	I-PESSOA
,	O
Robert	B-PESSOA
Lepage	I-PESSOA
e	O
a	O
companhia	O
Cheek	B-PESSOA
by	I-PESSOA
Jowl	I-PESSOA
,	O
a	O
companhia	O
de	O
ópera	O
do	O
Teatro	B-ORGANIZACAO
Mariinski	I-ORGANIZACAO
de	O
S.	B-LOCAL
Petersburgo	I-LOCAL
e	O
The	B-PESSOA
Wooster	I-PESSOA
Group	I-PESSOA
.	O
Aqui	O
se	O
estrearam	O
os	O
The	B-PESSOA
Gift	I-PESSOA
,	O
aqui	O
actuaram	O
Maria	B-PESSOA
João	I-PESSOA
Pires	I-PESSOA
e	O
Bernardo	B-PESSOA
Sassetti	I-PESSOA
,	O
aqui	O
se	O
apresentaram	O
os	O
Madredeus	B-PESSOA
e	O
GNR	B-PESSOA
,	O
Sérgio	B-PESSOA
Godinho	I-PESSOA
e	O
Luís	B-PESSOA
Represas	I-PESSOA
,	O
Jorge	B-PESSOA
Palma	I-PESSOA
e	O
Mariza	B-PESSOA
.	O
Os	O
visitantes	O
do	O
CCB	B-LOCAL
puderam	O
ver	O
nestes	B-TEMPO
anos	I-TEMPO
exposições	O
de	O
Roy	B-PESSOA
Lichtenstein	I-PESSOA
e	O
Frida	B-PESSOA
Kahlo	I-PESSOA
,	O
de	O
Robert	B-PESSOA
Rauschenberg	I-PESSOA
e	O
de	O
Paula	B-PESSOA
Rêgo	I-PESSOA
,	O
de	O
Antoni	B-PESSOA
Tàpies	I-PESSOA
e	O
de	O
Helena	B-PESSOA
Almeida	I-PESSOA
,	O
de	O
Júlio	B-PESSOA
Pomar	I-PESSOA
e	O
de	O
Sabine	B-PESSOA
Hornig	I-PESSOA
,	O
de	O
Candida	B-PESSOA
Höfer	I-PESSOA
e	O
de	O
Sebastião	B-PESSOA
Salgado	I-PESSOA
,	O
de	O
Aleksander	B-PESSOA
Rodchenko	I-PESSOA
e	O
de	O
Louise	B-PESSOA
Bourgeois	I-PESSOA
.	O
Durante	B-TEMPO
estes	I-TEMPO
anos	I-TEMPO
de	O
viragem	O
do	B-TEMPO
século	I-TEMPO
,	O
o	O
CCB	B-LOCAL
acolheu	O
alguns	O
dos	O
maiores	O
espectáculos	O
apresentados	O
em	O
Lisboa	B-LOCAL
,	O
tornando	O
-	O
se	O
um	O
dos	O
equipamentos	O
culturais	O
de	O
referência	O
do	O
país	O
e	O
um	O
parceiro	O
crescentemente	O
procurado	O
por	O
insituições	O
culturais	O
internacionais	O
.	O
O	O
balanço	O
desta	B-TEMPO
década	I-TEMPO
e	I-TEMPO
meia	I-TEMPO
de	O
actividade	O
praticamente	O
ininterrupta	O
(	O
o	O
Centro	B-LOCAL
só	O
fecha	O
no	B-TEMPO
Dia	I-TEMPO
de	I-TEMPO
Natal	I-TEMPO
)	O
mede	O
-	O
se	O
pela	O
frequência	O
diária	O
de	O
centenas	O
de	O
pessoas	O
,	O
que	O
habitam	O
os	O
espaços	O
de	O
estudo	O
e	O
lazer	O
do	O
CCB	B-LOCAL
,	O
além	O
dos	O
muitos	O
milhares	O
que	O
ferquentam	O
as	O
suas	O
actividades	O
.	O
Em	B-TEMPO
2006	I-TEMPO
,	O
150.000	B-VALOR
pessoas	O
assistiram	O
a	O
espectáculos	O
,	O
200.000	B-VALOR
visitaram	O
as	O
exposições	O
,	O
90.000	B-VALOR
frequentaram	O
reuniões	O
e	O
congressos	O
,	O
20.000	B-VALOR
crianças	O
participaram	O
em	O
actividades	O
de	O
pedagogia	O
e	O
animação	O
.	O
É	O
por	O
isso	O
que	O
as	O
comemorações	O
dos	O
15	B-VALOR
anos	I-VALOR
de	O
actividade	O
do	O
CCB	B-ORGANIZACAO
,	O
que	O
decorrerão	O
ao	B-TEMPO
longo	I-TEMPO
do	I-TEMPO
ano	I-TEMPO
de	I-TEMPO
2008	I-TEMPO
,	O
vão	O
ser	O
especialmente	O
orientadas	O
para	O
o	O
público	O
que	O
fez	O
do	O
CCB	B-LOCAL
um	O
equipamento	O
indipensável	O
na	O
vida	O
cultural	O
da	O
cidade	O
.	O
Não	O
editaremos	O
álbuns	O
auto	O
-	O
congratulatórios	O
nem	O
promoveremos	O
grandes	O
jantares	O
de	O
celebração	O
;	O
não	O
lançaremos	O
fogo	O
de	O
artifício	O
nem	O
nos	O
envolveremos	O
em	O
extravagâncias	O
de	O
programação	O
que	O
estariam	O
para	O
lá	O
da	O
nossa	O
dimensão	O
e	O
recursos	O
.	O
Investiremos	O
tudo	O
o	O
que	O
está	O
ao	O
nosso	O
alcance	O
para	O
tornar	O
a	O
programação	O
de	O
espectáculos	O
de	B-TEMPO
2008	I-TEMPO
mais	O
acessível	O
aos	O
frequentadores	O
do	O
CCB	B-ORGANIZACAO
.	O
Assim	O
,	O
um	O
conjunto	O
de	O
espectáculos	O
programados	O
para	O
o	O
Grande	B-LOCAL
Auditório	I-LOCAL
foi	O
escolhido	O
para	O
integrar	O
a	O
série	O
CCB	B-ACONTECIMENTO
15	I-ACONTECIMENTO
Anos	I-ACONTECIMENTO
,	O
em	O
que	O
o	O
leque	O
de	O
preços	O
se	O
situa	O
em	O
média	O
30%	B-VALOR
abaixo	O
dos	O
preços	O
normalmente	O
praticados	O
para	O
espectáculos	O
semelhantes	O
,	O
mantendo	O
-	O
se	O
além	O
disso	O
os	O
descontos	O
habituais	O
.	O
Mais	O
:	O
nos	O
casos	O
em	O
que	O
isso	O
seja	O
tecnicamente	O
possível	O
,	O
os	O
lugares	O
de	O
Galeria	B-LOCAL
(	O
em	O
pé	O
,	O
por	B-TEMPO
vezes	I-TEMPO
com	O
visibilidade	O
reduzida	O
)	O
serão	O
postos	O
à	O
venda	O
ao	O
preço	O
único	O
de	O
5	B-VALOR
EUR	I-VALOR
(	O
estes	O
naturalmente	O
sem	O
desconto	O
)	O
,	O
permitindo	O
que	O
toda	O
a	O
gente	O
tenha	O
acesso	O
aos	O
espectáculos	O
de	O
maior	O
atractividade	O
para	O
o	O
público	O
.	O
As	O
comemorações	O
terão	O
assim	O
início	O
já	O
em	B-TEMPO
Dezembro	I-TEMPO
,	O
com	O
a	O
apresentação	O
da	O
Oratória	B-OBRA
de	I-OBRA
Natal	I-OBRA
de	O
J.	B-PESSOA
S.	I-PESSOA
Bach	I-PESSOA
pela	O
Akademie	B-PESSOA
für	I-PESSOA
Alte	I-PESSOA
Musik	I-PESSOA
e	O
o	O
RIAS	B-PESSOA
Kammerchor	I-PESSOA
de	O
Berlim	B-LOCAL
,	O
para	O
a	O
qual	O
o	O
preço	O
dos	O
bilhetes	O
varia	O
entre	O
os	O
5	B-VALOR
(	O
Galerias	B-LOCAL
)	O
e	O
os	O
25	B-VALOR
EUR	I-VALOR
(	O
1ª	B-LOCAL
Plateia	I-LOCAL
)	O
;	O
em	B-TEMPO
Janeiro	I-TEMPO
,	O
a	O
ópera	O
visual	O
Operação	B-OBRA
Orfeu	I-OBRA
,	O
apresentada	O
pela	O
companhia	O
dinamarquesa	O
Hotel	B-PESSOA
ProForma	I-PESSOA
,	O
será	O
também	O
um	O
espectáculo	O
CCB	B-ACONTECIMENTO
15	I-ACONTECIMENTO
Anos	I-ACONTECIMENTO
(	O
bilhetes	O
entre	B-VALOR
15	I-VALOR
e	I-VALOR
20	I-VALOR
EUR	I-VALOR
):	O
CCB	B-ACONTECIMENTO
15	I-ACONTECIMENTO
Anos	I-ACONTECIMENTO
será	O
também	O
o	O
ciclo	O
de	O
piano	O
Beethoven	B-ACONTECIMENTO
2008	I-ACONTECIMENTO
(	O
cinco	O
recitais	O
com	O
o	O
preço	O
único	O
de	O
15	B-VALOR
EUR	I-VALOR
por	O
concerto	O
)	O
.	O
E	O
em	B-TEMPO
Fevereiro	I-TEMPO
haverá	O
três	O
espectáculos	O
integrados	O
nas	O
comemorações	O
:	O
o	O
concerto	O
do	O
quinteto	O
de	O
Enrico	B-PESSOA
Rava	I-PESSOA
,	O
um	O
dos	O
maiores	O
trompetistas	O
de	O
jazz	O
da	O
actualidade	O
,	O
oferecerá	O
preços	O
entre	B-VALOR
os	I-VALOR
5	I-VALOR
e	I-VALOR
os	I-VALOR
20	I-VALOR
EUR	I-VALOR
;	O
as	O
duas	O
récitas	O
da	O
coreografia	O
de	O
William	B-PESSOA
Forsythe	I-PESSOA
Impressing	B-OBRA
the	I-OBRA
Czar	I-OBRA
,	O
pelo	O
Ballet	B-PESSOA
Real	I-PESSOA
da	I-PESSOA
Flandres	I-PESSOA
,	O
terão	O
bilhetes	O
entre	B-VALOR
5	I-VALOR
e	I-VALOR
30	I-VALOR
EUR	I-VALOR
;	O
e	O
a	O
Carta	B-ACONTECIMENTO
Branca	I-ACONTECIMENTO
a	I-ACONTECIMENTO
Jorge	I-ACONTECIMENTO
Palma	I-ACONTECIMENTO
,	O
no	B-TEMPO
último	I-TEMPO
dia	I-TEMPO
do	I-TEMPO
mês	I-TEMPO
,	O
propõe	O
entradas	O
entre	B-VALOR
5	I-VALOR
e	I-VALOR
20	I-VALOR
EUR	I-VALOR
.	O
Mas	O
a	O
festa	O
vai	O
continuar	O
ao	B-TEMPO
longo	I-TEMPO
do	I-TEMPO
ano	I-TEMPO
de	I-TEMPO
2008	I-TEMPO
.	O
Cada	O
edição	O
do	O
Programa	B-OBRA
de	I-OBRA
Actividades	I-OBRA
assinalará	O
com	O
o	O
selo	O
CCB	B-ACONTECIMENTO
15	I-ACONTECIMENTO
Anos	I-ACONTECIMENTO
os	O
espectáculos	O
integrados	O
nesta	O
oferta	O
especial	O
.	O
E	O
contamos	O
com	O
todos	O
,	O
nesta	O
comemoração	O
de	O
uma	O
data	O
que	O
deve	O
ser	O
pretexto	O
para	O
uma	O
renovação	O
da	O
nossa	O
ligação	O
com	O
o	O
público	O
que	O
connosco	O
habita	O
,	O
todos	B-TEMPO
os	I-TEMPO
dias	I-TEMPO
,	O
de	B-TEMPO
há	I-TEMPO
15	I-TEMPO
anos	I-TEMPO
para	I-TEMPO
cá	I-TEMPO
,	O
o	O
Centro	B-LOCAL
Cultural	I-LOCAL
de	O
Belém	B-LOCAL
.	O
Que	O
percentagem	O
do	O
orçamento	O
da	O
União	B-ORGANIZACAO
Europeia	I-ORGANIZACAO
se	O
destina	O
à	O
 	O
agricultura	O
?	O
Quantos	O
países	O
são	O
oficialmente	O
candidatos	O
à	O
 	O
adesão	O
à	O
  	O
Otan	B-ORGANIZACAO
?	O
Que	O
sinfonia	O
compôs	O
Beethoven	B-PESSOA
em	B-TEMPO
1824	I-TEMPO
?	O
Que	O
país	O
não	O
é	O
membro	O
da	O
ONU	B-ORGANIZACAO
?	O
Quem	O
se	O
pensa	O
ter	O
participado	O
na	O
tentativa	O
de	O
assassínio	O
de	O
Juan	B-PESSOA
Carlos	I-PESSOA
em	B-TEMPO
1995	I-TEMPO
?	O
Quem	O
era	O
o	O
pai	O
de	O
Isabel	B-PESSOA
II	I-PESSOA
?	O
Quem	O
foi	O
chanceler	B-PESSOA
da	I-PESSOA
Alemanha	I-PESSOA
de	B-TEMPO
1974	I-TEMPO
a	I-TEMPO
1982	I-TEMPO
?	O
Quando	O
ocorreu	O
a	O
coroação	O
oficial	O
de	O
Isabel	B-PESSOA
II	I-PESSOA
?	O
Em	O
que	O
ano	O
foi	O
proposta	O
pela	O
primeira	O
vez	O
a	O
"	O
Parceria	B-OBRA
para	I-OBRA
a	I-OBRA
Paz	I-OBRA
"	O
?	O
Quem	O
comandou	O
a	O
Insurreição	B-ACONTECIMENTO
de	I-ACONTECIMENTO
Varsóvia	I-ACONTECIMENTO
?	O
Quem	O
escreveu	O
a	O
epopeia	O
fantástica	O
"	O
O	B-OBRA
Senhor	I-OBRA
dos	I-OBRA
Anéis	I-OBRA
"	O
?	O
Como	O
se	O
chama	O
a	O
mulher	O
de	O
George	B-PESSOA
H.	I-PESSOA
W.	I-PESSOA
Bush	I-PESSOA
?	O
Como	O
se	O
chama	O
a	O
primeira	O
mulher	O
a	O
escalar	O
o	O
Evereste	B-LOCAL
sem	O
máscara	O
de	O
oxigénio	O
?	O
Quem	O
ficou	O
conhecido	O
como	O
o	O
"	O
chanceler	O
de	O
ferro	O
"	O
?	O
Em	O
que	O
ano	O
foi	O
assassinado	O
Martin	B-PESSOA
Luther	I-PESSOA
King	I-PESSOA
?	O
Em	O
que	O
cidade	O
nasceu	O
Wolfgang	B-PESSOA
Amadeus	I-PESSOA
Mozart	I-PESSOA
?	O
Quantos	O
estados	O
tem	O
a	O
Alemanha	B-LOCAL
?	O
Quem	O
é	O
Stephen	B-PESSOA
Hawking	I-PESSOA
?	O
O	O
que	O
é	O
o	O
hapkido	O
?	O
Quem	O
se	O
tornou	O
chanceler	O
após	O
ter	O
sido	O
ministro	O
-	O
presidente	O
da	O
Renânia	B-LOCAL
-	I-LOCAL
Palatinado	I-LOCAL
?	O
Que	O
rei	O
morreu	O
em	B-TEMPO
1718	I-TEMPO
?	O
Em	O
que	O
ano	O
morreu	O
Charles	B-PESSOA
de	I-PESSOA
Gaulle	I-PESSOA
?	O
Qual	O
é	O
a	O
altura	O
da	O
Torre	B-OBRA
Eiffel	I-OBRA
?	O
O	O
que	O
é	O
o	O
top	O
quark	O
?	O
De	O
acordo	O
com	O
o	O
modelo	O
"	O
standard	O
"	O
,	O
quais	O
são	O
as	O
três	O
partículas	O
elementares	O
da	O
física	O
?	O
Que	O
proporção	O
do	O
leite	O
vendido	O
é	O
usado	O
com	O
cereais	O
ao	O
pequeno	O
-	O
almoço	O
?	O
Em	O
que	O
ano	O
teve	O
lugar	O
o	O
Desembarque	B-ACONTECIMENTO
da	I-ACONTECIMENTO
Normandia	I-ACONTECIMENTO
?	O
Quando	O
foi	O
assinada	O
a	O
"	O
Convenção	B-OBRA
de	I-OBRA
Basileia	I-OBRA
sobre	I-OBRA
o	I-OBRA
Controlo	I-OBRA
de	I-OBRA
Movimentos	I-OBRA
Transfronteiriços	I-OBRA
de	I-OBRA
Resíduos	I-OBRA
Perigosos	I-OBRA
"	O
?	O
A	O
que	O
se	O
refere	O
o	O
termo	O
"	O
Les	B-ABSTRACCAO
Six	I-ABSTRACCAO
"	O
em	O
música	O
?	O
A	O
quem	O
pertencia	O
Nice	B-LOCAL
de	B-TEMPO
1814	I-TEMPO
a	I-TEMPO
1860	I-TEMPO
?	O
Qual	O
é	O
a	O
sigla	O
da	O
Administração	B-ORGANIZACAO
Federal	I-ORGANIZACAO
de	I-ORGANIZACAO
Aviação	I-ORGANIZACAO
?	O
O	O
que	O
é	O
o	O
GI	O
Joe	O
?	O
Qual	O
a	O
estrutura	O
cujo	O
afundamento	O
causou	O
controvérsia	O
na	O
cimeira	O
dos	O
G7	B-ORGANIZACAO
em	O
Halifax	B-LOCAL
?	O
Quem	O
foi	O
Alexander	B-PESSOA
Graham	I-PESSOA
Bell	I-PESSOA
?	I-PESSOA
Quem	O
é	O
Danuta	B-PESSOA
Walesa	I-PESSOA
?	O
Quem	O
é	O
Vigdís	B-PESSOA
Finnbogadóttir	I-PESSOA
?	O
Quem	O
eram	O
os	O
cossacos	O
?	O
O	O
que	O
é	O
o	O
ECU	B-COISA
verde	O
?	O
O	O
que	O
é	O
o	O
dracma	O
?	O
Quem	O
preside	O
à	O
  	O
RAI	B-ORGANIZACAO
?	O
Quem	O
é	O
o	O
director	O
de	O
operações	O
da	O
NASA	B-ORGANIZACAO
?	O
Em	O
que	O
ano	O
se	O
afundou	O
o	O
Titanic	B-COISA
?	O
Em	O
que	O
data	O
é	O
que	O
os	O
Estados	B-ORGANIZACAO
Unidos	I-ORGANIZACAO
invadiram	O
o	O
Haiti	B-LOCAL
?	O
Em	O
que	O
ano	O
foi	O
a	O
Revolução	B-ACONTECIMENTO
de	I-ACONTECIMENTO
Outubro	I-ACONTECIMENTO
?	O
Em	O
que	O
ano	O
ocorreu	O
a	O
retirada	O
de	O
Dunquerque	B-LOCAL
?	O
Onde	O
é	O
a	O
sede	O
da	O
Interpol	B-ORGANIZACAO
?	O
Onde	O
é	O
que	O
Braque	B-PESSOA
e	O
Picasso	B-PESSOA
trabalharam	O
juntos	O
?	O
De	O
que	O
organização	O
era	O
Sergio	B-PESSOA
Balanzino	I-PESSOA
secretário	O
-	O
geral	O
?	O
De	O
que	O
estúdio	O
cinematográfico	O
foi	O
Cedric	B-PESSOA
Gibbons	I-PESSOA
director	O
artístico	O
?	O
Quantos	O
habitantes	O
tem	O
Longyearbyen	B-LOCAL
?	O
Qual	O
o	O
principal	O
componente	O
da	O
aspirina	O
?	O
Com	O
que	O
bicicleta	O
bateu	O
Miguel	B-PESSOA
Induráin	I-PESSOA
o	O
recorde	O
da	O
hora	O
?	O
Quem	O
venceu	O
a	O
Volta	B-ACONTECIMENTO
a	I-ACONTECIMENTO
França	I-ACONTECIMENTO
em	B-TEMPO
1988	I-TEMPO
?	O
A	O
que	O
organização	O
aderiu	O
a	O
Grécia	B-ORGANIZACAO
em	B-TEMPO
1952	I-TEMPO
?	O
Quantos	O
países	O
visitou	O
Nixon	B-PESSOA
entre	B-TEMPO
1953	I-TEMPO
e	I-TEMPO
1959	I-TEMPO
?	O
Que	O
cargo	O
ocupava	O
François	B-PESSOA
Mitterrand	I-PESSOA
ao	O
ingressar	O
no	O
hospital	O
de	O
Cochin	B-LOCAL
?	O
Quais	O
são	O
as	O
três	O
repúblicas	O
bálticas	O
?	O
Quais	O
são	O
as	O
três	O
repúblicas	O
soviéticas	O
eslavas	O
?	O
O	O
que	O
é	O
o	O
Challenger	O
?	O
Quem	O
é	O
Ernesto	B-PESSOA
Zedillo	I-PESSOA
Ponce	I-PESSOA
de	I-PESSOA
León	I-PESSOA
?	O
Quem	O
era	O
primeiro	O
-	O
ministro	O
britânico	O
antes	O
