Revisão	B-Evento
consentimento	O
para	O
que	O
este	O
seja	O
utilizado	O
para	O
os	O
efeitos	O
previstos	O
na	O
al.	O
c	O
)	O
do	O
nº	O
1	O
do	O
art.	O
112º	O
do	O
código	O
do	O
procedimento	O
administrativo.	O
O	O
futuro	O
energético	O
da	O
União	B-Organizacao
Europeia	I-Organizacao
:	O
mercados	O
de	O
energia	O
,	O
sustentabilidade	O
e	O
independência	O
energética	B-Hora
|	O
Prof.	O
Doutor	O
Fernando	B-Pessoa
de	I-Pessoa
Llano	I-Pessoa
Paz	O
15	B-Data
e	O
16	B-Data
de	I-Data
fevereiro	I-Data
,	O
18:30	B-Pessoa
Descarregue	I-Pessoa
as	O
apresentações	O
dos	O
seminários	O
:	O
O	O
Mix	B-Organizacao
energético	I-Organizacao
Europeu	I-Organizacao
:	I-Organizacao
Cenários	B-Pessoa
2030-2050	I-Pessoa
Planeamento	I-Pessoa
energético	I-Pessoa
e	I-Pessoa
Modern	B-Pessoa
Portfolio	I-Pessoa
Theory	I-Pessoa
:	O
Uma	O
tecnologia	O
relevante	O
AsSALTO	O
:	O
quarta	O
sessão	O
de	O
Desenho	O
e	O
Escrita	O
13	B-Data
de	I-Data
Fevereiro	I-Data
de	I-Data
2017	I-Data
,	O
9:00	B-Hora
-	O
12:30	B-Hora
,	O
Praça	O
de	O
Gomes	B-Pessoa
Teixeira	I-Pessoa
14/22	I-Pessoa
,	O
Porto	O
O	O
quarto	O
AsSALTO	O
já	O
tem	O
data	O
marcada	O
para	O
o	O
dia	O
13	B-Data
de	I-Data
Fevereiro	I-Data
de	I-Data
2017	I-Data
,	O
9h00	O
–	O
12h30	B-Hora
,	O
na	O
Praça	B-Localizacao
de	I-Localizacao
Gomes	I-Localizacao
Teixeira	I-Localizacao
14/22	I-Localizacao
,	I-Localizacao
Porto	I-Localizacao
.	O
A	O
entrada	O
é	O
livre.	O
AsSALTO	O
é	O
uma	O
actividade	O
de	O
Desenho	O
e	O
Escrita	O
que	O
tem	O
lugar	O
em	O
espaços	O
anónimos	O
da	O
cidade	O
do	O
Porto	O
na	O
iminência	B-UnidadeOrganica
de	O
serem	O
transformados	O
onde	O
o	O
público	O
é	O
convidado	O
a	O
descobrir	O
e	O
registar	O
lugares	O
privados	O
,	O
gerando	O
narrativas	O
contraditórias	O
e	O
discussões	O
desenhadas	O
,	O
sobre	O
a	O
cidade	O
,	O
os	O
seus	O
espaços	O
e	O
os	O
seus	O
imaginários.	O
A	O
proposta	O
AsSALTO	O
insere-se	O
no	O
projecto	O
'Coleção	O
de	O
Desenhos	O
.	O
Escola	O
de	O
Arquitectura	O
do	O
Porto	O
'	O
,	O
promovido	O
pelo	O
Centro	B-Organizacao
de	I-Organizacao
Estudos	I-Organizacao
de	I-Organizacao
Arquitectura	I-Organizacao
e	I-Organizacao
Urbanismo	I-Organizacao
da	I-Organizacao
Faculdade	B-UnidadeOrganica
de	I-UnidadeOrganica
Arquitectura	I-UnidadeOrganica
da	I-UnidadeOrganica
Universidade	I-UnidadeOrganica
do	I-UnidadeOrganica
Porto	I-UnidadeOrganica
(	O
CEAU-FAUP	B-UnidadeOrganica
)	O
–	O
Grupo	O
Arquitectura	O
:	O
Teoria	O
,	O
Projecto	O
,	O
História	O
(	O
ATPH	O
)	O
.	O
Este	O
projecto	O
conta	O
com	O
a	O
colaboração	O
da	O
Universidade	B-Organizacao
do	I-Organizacao
Porto	I-Organizacao
Digital	I-Organizacao
(	O
UPdigital	B-Organizacao
)	O
,	O
Faculdades	O
de	B-UnidadeOrganica
Letras	I-UnidadeOrganica
(	O
FLUP	B-UnidadeOrganica
)	O
e	O
Engenharia	O
da	O
U.Porto	B-Organizacao
(	O
FEUP	B-UnidadeOrganica
)	O
,	O
Fundação	B-Organizacao
Marques	I-Organizacao
da	I-Organizacao
Silva	I-Organizacao
(	O
FIMS	B-Organizacao
)	O
,	O
Ordem	O
dos	O
Arquitectos	O
-	O
Secção	B-Organizacao
Regional	I-Organizacao
do	I-Organizacao
Norte	I-Organizacao
(	O
OASRN	B-Organizacao
)	O
e	O
Sistema	O
do	O
Futuro	O
–	O
Multimédia	O
,	O
Gestão	O
e	O
Arte	O
.	O
Data	O
13	B-Data
de	I-Data
Janeiro	I-Data
de	I-Data
2017	I-Data
(	O
Segunda-feira	O
)	O
Horário	O
A	O
sessão	O
está	O
a	O
decorrer	O
em	O
contínuo	O
,	O
entre	O
as	O
9h00	B-Hora
e	O
as	O
12h30	B-Hora
Localização	O
Praça	B-UnidadeOrganica
de	I-UnidadeOrganica
Gomes	I-UnidadeOrganica
Teixeira	I-UnidadeOrganica
14/22	I-UnidadeOrganica
,	I-UnidadeOrganica
Porto	B-Localizacao
(	O
mais	O
informações	O
brevemente	O
disponíveis	O
)	O
Organização	O
Carlos	B-Pessoa
Machado	I-Pessoa
e	I-Pessoa
Moura	I-Pessoa
,	O
Noémia	B-Pessoa
Herdade	I-Pessoa
Gomes	I-Pessoa
,	O
Rui	B-Pessoa
Neto	I-Pessoa
Centro	O
de	O
Estudos	O
de	O
Arquitectura	O
e	O
Urbanismo	O
da	O
Faculdade	B-UnidadeOrganica
de	I-UnidadeOrganica
Arquitectura	I-UnidadeOrganica
da	I-UnidadeOrganica
Universidade	I-UnidadeOrganica
do	I-UnidadeOrganica
Porto	I-UnidadeOrganica
(	O
CEAU-FAUP	B-UnidadeOrganica
)	O
Público	O
alvo	O
Público	O
em	O
geral	O
de	O
todas	O
as	O
idades	O
Material	B-Pessoa
Cada	I-Pessoa
participante	O
é	O
responsável	O
pelo	O
material	O
necessário	O
à	O
elaboração	O
dos	O
desenhos	O
e	O
dos	O
textos.	O
Apoios	O
Fundação	B-Organizacao
para	I-Organizacao
a	I-Organizacao
Ciência	I-Organizacao
e	I-Organizacao
a	I-Organizacao
Tecnologia	I-Organizacao
(	O
FCT	B-Organizacao
)	O
|	O
Compete	B-Organizacao
2020	I-Organizacao
|	O
Portugal	B-Organizacao
2020	I-Organizacao
|	O
União	B-Organizacao
Europeia	I-Organizacao
(	O
UE	B-Organizacao
)	O
-	O
Fundo	B-Organizacao
Europeu	I-Organizacao
do	I-Organizacao
Desenvolvimento	I-Organizacao
Regional	I-Organizacao
.	O
Parcerias	O
P3	B-Hora
|	O
GSADesign	B-Hora
|	O
Cátia	B-Pessoa
Cunha	I-Pessoa
Pimentel	I-Pessoa
+	O
info	O
www.assalto.pt	O
Concursos	O
e	O
Anúncios	O
FCT	B-Organizacao
2017	O
A	O
FCT	B-Organizacao
informa	O
que	O
no	O
período	O
de	O
26	B-Data
de	I-Data
janeiro	I-Data
a	O
21	B-Data
de	I-Data
fevereiro	I-Data
de	I-Data
2017	I-Data
anunciou	O
a	O
abertura	O
dos	O
seguintes	O
concursos	O
:	O
Até	O
28-02-2017	O
Bolsas	O
UNESCO	B-Organizacao
/PhosAgro/IUPAC	I-Organizacao
-	I-Organizacao
Investigação	O
em	O
Química	B-Curso
Verde	I-Curso
Até	I-Curso
28-02-2017	I-Curso
EDCTP	I-Curso
-	I-Curso
Chamada	O
para	O
peritos	O
em	O
investigação	O
sobre	O
implementação	O
e	O
ética	O
biomédica	O
(	O
prolongamento	B-Organizacao
do	I-Organizacao
prazo	I-Organizacao
)	O
Até	O
12-04-2017	B-Data
Concurso	O
para	O
Projetos	O
de	O
Investigação	O
Exploratória	O
-	O
Programa	B-Organizacao
Carnegie	I-Organizacao
Mellon	I-Organizacao
Portugal	I-Organizacao
-	O
2017	B-Data
Até	O
12-04-2017	B-Data
Concurso	I-Data
de	O
Apoio	O
à	O
Formação	O
de	O
Redes	O
Internacionais	O
entre	O
centros	B-Data
de	O
investigação	O
do	O
Governo	B-Organizacao
Chileno-	I-Organizacao
2017	I-Organizacao
Até	O
27-04-2017	B-Data
CYTED	B-Hora
-	O
Convocatória	B-Organizacao
para	O
apresentação	O
de	O
Redes	B-Pessoa
Temáticas	I-Pessoa
Até	I-Pessoa
05-05-2017	I-Pessoa
ERA-MIN	I-Pessoa
Concurso	I-Pessoa
Conjunto	O
2017	O
para	O
projetos	O
colaborativos	O
transnacionais	B-Organizacao
(	O
submissão	O
de	O
pré-propostas	O
)	O
Até	O
11-05-2017	B-Data
CYTED	B-Hora
-	O
Convocatória	B-Organizacao
para	I-Organizacao
Fóruns	I-Organizacao
empresa/universidade	I-Organizacao
Outros	I-Organizacao
anúncios	I-Organizacao
e	O
eventos	O
:	O
13º	B-Pessoa
PubhD	I-Pessoa
UMinho	I-Pessoa
-	O
áreas	O
:	O
Biologia	O
Molecular	O
e	O
Psicologia	O
(	O
Guimarães	B-Localizacao
,	O
24	B-Data
fevereiro	I-Data
2017	I-Data
)	O
Dia	O
Internacional	O
das	O
Mulheres	O
e	O
das	O
Raparigas	O
na	O
Ciência	O
(	O
UBI	B-Organizacao
-	O
24	B-Data
de	I-Data
Fevereiro	I-Data
2017	I-Data
)	O
Carreiras	O
e	O
Tecnologias	O
na	O
Física	O
de	O
Partículas	O
-	O
Dia	O
da	O
Carreira	B-Organizacao
-	I-Organizacao
LIP	I-Organizacao
(	I-Organizacao
Lisboa	I-Organizacao
,	O
1	B-Data
de	I-Data
março	I-Data
,	O
IST	O
)	O
Carreiras	O
e	O
Tecnologias	O
na	O
Física	O
de	O
Partículas	O
-	O
Dia	O
da	O
Tecnologia	O
-	O
CERN	B-Organizacao
(	I-Organizacao
Lisboa	I-Organizacao
,	O
2	B-Data
de	I-Data
março	I-Data
,	O
FCUL	O
)	O
Todos	O
os	O
concursos	O
,	O
anúncios	O
e	O
eventos	O
podem	O
ser	O
consultados	O
na	O
seguinte	O
página	O
:	O
http	O
:	O
//www.fct.pt/calendario/	O
Provas	O
de	O
Mestrado	B-Curso
em	I-Curso
Ciências	I-Curso
da	I-Curso
Educação	I-Curso
-	I-Curso
Flora	I-Curso
Pizetta	I-Curso
Torres	I-Curso
21	B-Data
de	I-Data
dezembro	I-Data
|	O
14h30	B-Hora
|	O
Sala	B-Localizacao
241	I-Localizacao
Provas	O
de	O
Mestrado	B-Curso
em	I-Curso
Educação	I-Curso
e	I-Curso
Formação	O
de	O
Adultos	O
,	O
requeridas	O
pela	O
Lic.ª	O
Flora	B-Pessoa
Pizetta	I-Pessoa
Torres	I-Pessoa
.	O
Discussão	O
da	O
dissertação	O
intitulada	O
:	O
``	O
Vivências	O
no	O
Ensino	O
Superior	O
:	O
A	O
experiência	O
da	O
Mentoria	O
na	O
FPCEUP	B-UnidadeOrganica
``	O
.	O
JÚRI	O
:	O
Doutor	O
João	B-Pessoa
Carlos	I-Pessoa
Pereira	I-Pessoa
Caramelo	I-Pessoa
(	O
Presidente	O
)	O
Doutora	O
Elisabete	B-Pessoa
Maria	I-Pessoa
Soares	I-Pessoa
Ferreira	I-Pessoa
(	O
Vogal	O
)	O
Doutora	O
Maria	B-Pessoa
Teresa	I-Pessoa
Guimarães	I-Pessoa
de	I-Pessoa
Medina	I-Pessoa
(	O
Orientadora	O
)	O
A	O
sessão	O
é	O
aberta	O
a	O
todos	O
os	O
interessados.	O
CDUP-UP	B-Organizacao
|	O
Técnico	O
Superior	O
|	O
Gestão	O
Desportiva	O
(	O
CT	O
tempo	O
indeterminado	O
)	O
Candidaturas	O
até	O
22	B-Data
de	I-Data
dezembro	I-Data
de	I-Data
2016	I-Data
Nos	O
termos	O
previstos	O
do	O
artigo	O
147.º	O
do	O
Código	O
do	O
Trabalho	O
,	O
aprovado	O
pela	O
Lei	O
n.º	O
7/2009	O
,	O
de	O
12	B-Data
de	I-Data
fevereiro	I-Data
,	O
torna-se	O
público	O
que	O
se	O
encontra	O
aberto	O
um	O
processo	O
de	O
recrutamento	O
e	O
seleção	O
,	O
com	O
vista	O
à	O
admissão	O
de	O
um	O
Técnico	O
Superior	O
,	O
em	O
regime	O
de	O
contrato	O
de	O
trabalho	O
privado	O
por	O
tempo	O
indeterminado	O
,	O
para	O
o	O
Centro	O
de	O
Desporto	O
da	O
Universidade	B-Organizacao
do	I-Organizacao
Porto	I-Organizacao
,	O
na	O
área	O
de	O
Gestão	O
Desportiva.	O
O	O
período	O
normal	O
de	O
trabalho	O
semanal	O
é	O
de	O
quarenta	O
horas.	O
A	O
remuneração	O
será	O
a	O
acertar	O
conforme	O
os	O
valores	O
aplicáveis	O
aos	O
Técnicos	O
Superiores	O
e	O
constantes	O
da	O
Tabela	O
Remuneratória	O
do	O
Regulamento	O
de	O
Celebração	O
de	O
Contratos	O
de	O
Trabalho	O
de	O
Pessoal	O
Não	O
Docente	O
e	O
Não	O
Investigador	O
da	O
Universidade	B-Organizacao
do	I-Organizacao
Porto	I-Organizacao
,	O
acrescida	O
do	O
subsídio	O
de	O
refeição.	O
1.	B-Data
Poderão	I-Data
candidatar-se	O
todos	O
os	O
indivíduos	O
maiores	O
,	O
possuidores	O
dos	O
seguintes	O
requisitos	O
mínimos	O
,	O
comprovados	O
documentalmente	O
:	O
a	O
)	O
Habilitações	O
literárias	O
-	O
Licenciatura	O
ou	O
Superior	O
em	O
Ciências	O
do	O
Desporto	B-Organizacao
/	O
Educação	O
Física	B-Data
/	O
Gestão	B-Data
Desportiva	O
;	O
b	O
)	O
Experiência	O
comprovada	O
em	O
gestão	O
de	O
eventos	O
desportivos	O
nacionais	O
e	O
internacionais	O
;	O
c	O
)	O
Título	O
Profissional	O
válido	O
de	O
Diretor	O
Técnico	O
passado	O
pelo	O
Instituto	B-Organizacao
Português	I-Organizacao
do	I-Organizacao
Desporto	I-Organizacao
e	I-Organizacao
Juventude	I-Organizacao
,	O
I.P.	O
;	O
d	O
)	O
Disponibilidade	O
para	O
iniciar	O
funções	O
a	O
partir	O
de	O
1	B-Data
de	I-Data
março	I-Data
de	I-Data
2017	I-Data
.	O
2.	O
Condições	O
de	O
preferência	O
:	O
a	O
)	O
Exercício	O
de	O
funções	O
na	O
área	O
da	O
gestão	O
do	O
Desporto	O
no	O
Ensino	O
Superior	O
;	O
b	O
)	O
Experiência	O
profissional	O
em	O
serviços	O
desportivos	O
do	O
Ensino	O
Superior	O
;	O
c	O
)	O
Currículo	O
desportivo	O
como	O
atleta	O
e/ou	O
dirigente	O
;	O
d	O
)	O
Fluência	O
na	O
língua	O
inglesa	O
(	O
falada	O
e	O
escrita	O
)	O
.	O
3.	O
Funções	O
a	O
desempenhar	O
:	O
a	O
)	O
Planear	O
,	O
coordenar	O
e	O
organizar	O
atividades	O
e	O
eventos	O
desportivos	O
;	O
b	O
)	O
Gerir	O
infraestruturas	O
desportivas	O
;	O
c	O
)	O
Organizar	O
o	O
processo	O
de	O
participação	O
das	O
equipas	O
da	O
Universidade	B-Organizacao
do	I-Organizacao
Porto	I-Organizacao
nas	O
competições	B-Localizacao
Nacionais	I-Localizacao
e	O
Internacionais	O
Universitárias	O
;	O
d	O
)	O
Assegurar	O
a	O
conservação	O
e	O
manutenção	O
das	O
Instalações	O
,	O
equipamentos	O
e	O
materiais	O
desportivos	O
;	O
e	O
)	O
Coadjuvar	O
o	O
Diretor	O
do	O
CDUP-UP	B-Organizacao
;	O
f	O
)	O
Identificar	O
as	O
prioridades	O
estratégicas	O
nos	O
contextos	O
em	O
que	O
opera	O
e	O
elaborar	O
metodologias	O
de	O
avaliação	O
,	O
nas	O
diversas	O
modalidades	O
,	O
como	O
elemento	O
regulador	B-Hora
e	O
promotor	O
da	O
qualidade	O
das	O
organizações	O
desportivas.	B-Pessoa
4.	I-Pessoa
As	O
candidaturas	O
deverão	O
ser	O
enviadas	O
para	O
o	O
endereço	O
eletrónico	O
candidaturasrh	O
@	O
sp.up.pt	O
,	O
com	O
o	O
assunto	O
“Téc.	O
Sup.	B-Organizacao
–	I-Organizacao
CDUP	I-Organizacao
(	O
Gestão	O
Desportiva	O
)	O
–	O
Nome	O
do	O
candidato”	O
,	O
até	O
ao	O
dia	O
22	B-Data
de	I-Data
dezembro	I-Data
de	I-Data
2016	I-Data
,	O
acompanhadas	O
da	O
seguinte	O
documentação	O
de	O
apresentação	O
obrigatória	O
:	O
a	O
)	O
Curriculum	O
vitae	O
,	O
com	O
indicação	O
expressa	O
da	O
morada	O
completa	O
;	O
b	O
)	O
Cópia	O
do	O
(	O
s	O
)	O
certificado	O
(	O
s	O
)	O
das	O
habilitações	O
exigidas	O
;	O
c	O
)	O
Documento	O
(	O
s	O
)	O
comprovativo	O
(	O
s	O
)	O
da	O
experiência	O
profissional	O
;	O
d	O
)	O
Quaisquer	O
documentos	O
que	O
os	O
candidatos	O
entendam	O
ser	O
relevantes	O
para	O
apreciação	O
do	O
seu	O
mérito.	O
5.	O
A	O
não	O
apresentação	O
de	O
todos	O
os	O
documentos	O
solicitados	O
implica	O
a	O
exclusão	O
do	O
processo	O
de	O
seleção.	O
6.	O
A	O
seleção	O
será	O
feita	O
por	O
avaliação	O
curricular	O
,	O
prova	O
de	O
conhecimentos	O
escrita	O
(	O
na	O
qual	O
uma	O
classificação	O
inferior	O
a	O
10	B-Data
valores	I-Data
implica	O
a	O
exclusão	O
do	O
candidato	O
)	O
e	O
entrevista	O
(	O
aos	O
10	O
candidatos	O
melhor	O
classificados	O
na	O
avaliação	O
curricular	O
e	O
prova	O
de	O
conhecimentos	O
escrita	O
)	O
.	O
7.	O
Esta	O
iniciativa	O
não	O
gera	O
compromisso	O
algum	O
com	O
eventuais	O
interessados.	O
Universidade	B-Organizacao
do	I-Organizacao
Porto	I-Organizacao
,	O
15	B-Data
de	I-Data
dezembro	I-Data
de	I-Data
2016	I-Data
O	O
Diretor	O
do	O
Centro	B-Organizacao
de	I-Organizacao
Desporto	I-Organizacao
da	I-Organizacao
Universidade	I-Organizacao
do	I-Organizacao
Porto	I-Organizacao
Dr.	O
Bruno	B-Pessoa
Augusto	I-Pessoa
Teixeira	I-Pessoa
Almeida	I-Pessoa
II	I-Pessoa
Ciclo	O
de	O
Conferências	O
Mensais	O
do	O
IS-UP	O
``	O
Contextos	O
,	O
mutações	O
e	O
desafios	O
:	O
uma	O
perspetiva	O
longitudinal	O
sobre	O
o	O
Ensino	O
Superior	O
Politécnico	O
''	O
22	B-Data
de	I-Data
fevereiro	I-Data
|	O
13h30	B-Hora
|	O
sala	O
de	O
reuniões	B-Pessoa
Dando	I-Pessoa
sequência	O
ao	O
ciclo	O
de	O
conferências	O
mensais	O
do	O
Instituto	B-UnidadeOrganica
de	I-UnidadeOrganica
Sociologia	I-UnidadeOrganica
da	I-UnidadeOrganica
Universidade	I-UnidadeOrganica
do	I-UnidadeOrganica
Porto	I-UnidadeOrganica
,	O
convida-se	O
a	O
comunidade	O
académica	O
e	O
o	O
público	O
em	O
geral	O
para	O
mais	O
um	O
encontro	O
em	O
torno	O
das	O
grandes	O
questões	O
e	O
conceitos	O
da	O
Sociologia.	O
A	O
sexta	O
conferência	O
do	O
ciclo	O
realizar-se-á	O
no	O
próximo	O
dia	O
22	B-Data
de	I-Data
fevereiro	I-Data
,	O
pelas	O
13h30	B-Hora
,	O
na	O
Sala	B-Localizacao
de	I-Localizacao
Reuniões	I-Localizacao
da	I-Localizacao
Faculdade	B-UnidadeOrganica
de	I-UnidadeOrganica
Letras	I-UnidadeOrganica
da	I-UnidadeOrganica
Universidade	I-UnidadeOrganica
do	I-UnidadeOrganica
Porto	I-UnidadeOrganica
.	O
É	O
conferencista	O
convidado	O
Luís	B-Pessoa
Nuno	I-Pessoa
Sousa	I-Pessoa
,	O
para	O
discutir	O
o	O
tema	O
dos	O
“Contextos	O
,	O
mutações	O
e	O
desafios	O
:	O
uma	O
perspetiva	O
longitudinal	O
sobre	O
o	O
Ensino	O
Superior	O
Politécnico”.	O
O	O
comentário	O
será	O
da	O
investigadora	O
do	O
Instituto	B-UnidadeOrganica
de	I-UnidadeOrganica
Sociologia	I-UnidadeOrganica
Sofia	B-Pessoa
Alexandra	I-Pessoa
Cruz	I-Pessoa
.	O
Seguir-se-á	O
,	O
como	O
habitualmente	O
,	O
um	O
debate	O
alargado	O
ao	O
público.	O
A	O
entrada	O
é	O
livre	O
e	O
todos	O
os	O
participantes	O
receberão	O
um	O
certificado	O
de	O
participação.	O
Luís	B-Pessoa
Nuno	I-Pessoa
Sousa	I-Pessoa
Licenciado	O
em	O
Sociologia	O
pela	O
FLUP	B-UnidadeOrganica
(	O
1999	B-Data
)	I-Data
,	O
mestre	O
em	O
Ciências	O
Sociais	O
pelo	O
ISCTE	B-Organizacao
(	O
2003	B-Data
)	O
e	O
doutorado	O
em	O
Sociologia	O
pela	O
FLUP	B-UnidadeOrganica
(	O
2010	B-Organizacao
)	I-Organizacao
.	O
É	O
Professor	O
Adjunto	O
na	O
Escola	B-Organizacao
Superior	I-Organizacao
de	I-Organizacao
Educação	I-Organizacao
de	I-Organizacao
Viseu	I-Organizacao
no	O
Instituto	B-Organizacao
Politécnico	I-Organizacao
de	I-Organizacao
Viseu	I-Organizacao
,	O
onde	O
exerce	O
docência	O
desde	O
2000	B-Data
ao	I-Data
nível	O
dos	O
1ºs	O
e	O
2ºs	O
ciclos	O
,	O
pós-graduações	O
,	O
complementos	O
de	O
formação	O
,	O
profissionalizações	O
em	O
serviço	O
nas	O
diversas	O
unidades	O
orgânicas	O
do	O
IPV	B-Organizacao
-	O
Escola	B-Organizacao
Superior	I-Organizacao
de	I-Organizacao
Educação	I-Organizacao
;	O
Escola	O
Superior	O
de	O
Tecnologia	O
e	O
Gestão	O
e	O
Escola	O
Superior	O
de	O
Saúde	O
.	O
Orientador	O
,	O
arguente	O
e	O
presidente	O
de	O
diversos	O
júris	O
de	O
2ºs	O
ciclos	O
do	O
IPV	O
,	O
coordenador	O
do	O
mestrado	O
de	O
Comunicação	O
e	O
Marketing	O
da	O
ESEV	O
(	O
2011	B-Organizacao
-13	I-Organizacao
)	O
e	O
membro	O
eleito	O
de	O
vários	O
órgãos	O
da	O
ESEV	B-UnidadeOrganica
.	O
Desde	O
2006	B-Data
membro	O
do	O
Instituto	B-UnidadeOrganica
de	I-UnidadeOrganica
Sociologia	I-UnidadeOrganica
da	I-UnidadeOrganica
Universidade	I-UnidadeOrganica
do	I-UnidadeOrganica
Porto	I-UnidadeOrganica
e	O
desde	O
2009	O
do	O
Centro	B-Organizacao
de	I-Organizacao
estudos	O
em	O
Educação	O
,	O
Tecnologia	O
e	O
Saúde	O
do	O
IPV	B-UnidadeOrganica
.	O
A	O
sua	O
área	O
de	O
investigação	O
tem	O
sido	O
desenvolvida	O
no	O
âmbito	O
da	O
Sociologia	O
do	O
trabalho	O
e	O
das	O
organizações	O
,	O
com	O
ênfase	O
nas	O
problemáticas	O
da	O
transição	O
para	O
o	O
trabalho	O
dos	O
diplomados	O
do	O
ensino	O
superior	O
,	O
emprego	O
e	O
mercado	O
de	O
trabalho	O
,	O
juventude	O
,	O
ensino	O
superior	O
politécnico	O
e	O
empreendedorismo.	O
FEUP	B-UnidadeOrganica
Career	I-UnidadeOrganica
Path	B-Hora
-	O
Chat	B-Organizacao
Room	I-Organizacao
PROCTER	I-Organizacao
&	I-Organizacao
amp	I-Organizacao
;	I-Organizacao
GAMBLE	O
15	B-Data
de	I-Data
fevereiro	I-Data
|	O
14h30	B-Hora
às	O
15h30	B-Hora
|	O
Sala	B-Localizacao
B031	I-Localizacao
FEUP	I-Localizacao
No	O
âmbito	O
do	O
FEUP	B-UnidadeOrganica
CAREER	I-UnidadeOrganica
PATH	I-UnidadeOrganica
(	O
Programa	O
de	O
Recrutamento	O
&	O
amp	O
;	O
Carreira	O
da	O
FEUP	B-UnidadeOrganica
)	O
a	O
Divisão	O
de	O
Cooperação	O
convida	O
os	O
estudantes	O
de	O
4º	O
e	O
5º	O
anos	O
da	O
FEUP	B-UnidadeOrganica
a	O
conhecer	O
as	O
