
** training sigarra **

** repeat 0 **

** fold 0 **
Indexing events using cutoff of 4

	Computing event counts...  done. 147459 events
 39:  ... loglikelihood=-8708.741261647614	0.9921673143043152
 40:  ... loglikelihood=-8559.327242509744	0.9923097267715094
 41:  ... loglikelihood=-8416.45792966454	0.9924657023308174
 42:  ... loglikelihood=-8279.687885261359	0.9926759302585804
 43:  ... loglikelihood=-8148.612135386514	0.992750527265206
 44:  ... loglikelihood=-8022.861620331531	0.9928115611797178
 45:  ... loglikelihood=-7902.099249747335	0.9929268474626846
 46:  ... loglikelihood=-7786.016470578817	0.9929810998311395
 47:  ... loglikelihood=-7674.330271380063	0.9930624783838219
 48:  ... loglikelihood=-7566.780559362666	0.9931506384825612
 49:  ... loglikelihood=-7463.1278569283795	0.9932523616734144
 50:  ... loglikelihood=-7363.151272956091	0.9933337402260968
 51:  ... loglikelihood=-7266.646711142204	0.9934354634169498
 52:  ... loglikelihood=-7173.425283491996	0.9934897157854048
 53:  ... loglikelihood=-7083.311901885545	0.9936050020683715
 54:  ... loglikelihood=-6996.144024663432	0.9936795990749971
 55:  ... loglikelihood=-6911.770538534602	0.9937677591737364
 56:  ... loglikelihood=-6830.050758938636	0.993842356180362
 57:  ... loglikelihood=-6750.853534361749	0.993896608548817
 58:  ... loglikelihood=-6674.05644211943	0.9939644240093857
 59:  ... loglikelihood=-6599.545064812547	0.9940254579238975
 60:  ... loglikelihood=-6527.2123381059155	0.994052584108125
 61:  ... loglikelihood=-6456.957961709447	0.9941203995686937
 62:  ... loglikelihood=-6388.687866486622	0.9941882150292624
 63:  ... loglikelihood=-6322.313731513599	0.994256030489831
 64:  ... loglikelihood=-6257.752545684085	0.9942967197661723
 65:  ... loglikelihood=-6194.9262091156015	0.9943509721346272
 66:  ... loglikelihood=-6133.761170185079	0.9943916614109685
 67:  ... loglikelihood=-6074.188094518889	0.9944323506873097
 68:  ... loglikelihood=-6016.141562688189	0.9944662584175941
 69:  ... loglikelihood=-5959.559793735692	0.9944730399636509
 70:  ... loglikelihood=-5904.384391986158	0.994520510786049
 71:  ... loglikelihood=-5850.5601148735495	0.994574763154504
 72:  ... loglikelihood=-5798.034659771205	0.9945815447005608
 73:  ... loglikelihood=-5746.758468025764	0.9946222339769021
 74:  ... loglikelihood=-5696.684544590576	0.9946629232532432
 75:  ... loglikelihood=-5647.7682918214805	0.9947375202598688
 76:  ... loglikelihood=-5599.967356149415	0.9947646464440963
 77:  ... loglikelihood=-5553.241486472908	0.9947849910822669
 78:  ... loglikelihood=-5507.552403236473	0.9948460249967788
 79:  ... loglikelihood=-5462.863677256883	0.9948731511810063
 80:  ... loglikelihood=-5419.1406174596605	0.9948799327270631
 81:  ... loglikelihood=-5376.350166764222	0.9949138404573474
 82:  ... loglikelihood=-5334.460805432972	0.9949274035494612
 83:  ... loglikelihood=-5293.442461263571	0.9949680928258025
 84:  ... loglikelihood=-5253.266426061923	0.9950155636482005
 85:  ... loglikelihood=-5213.905277887239	0.9950562529245417
 86:  ... loglikelihood=-5175.33280860474	0.9950833791087692
 87:  ... loglikelihood=-5137.5239563279065	0.9951037237469398
 88:  ... loglikelihood=-5100.454742364447	0.995144413023281
 89:  ... loglikelihood=-5064.102212320126	0.9951647576614516
 90:  ... loglikelihood=-5028.444381039846	0.9951783207535654
 91:  ... loglikelihood=-4993.460181097764	0.9951918838456791
 92:  ... loglikelihood=-4959.1294145698175	0.9952054469377929
 93:  ... loglikelihood=-4925.432707845106	0.9952325731220204
 94:  ... loglikelihood=-4892.351469255802	0.9952596993062478
 95:  ... loglikelihood=-4859.867849319501	0.9952868254904753
 96:  ... loglikelihood=-4827.964703408068	0.9953342963128734
 97:  ... loglikelihood=-4796.625556670468	0.9953614224971009
 98:  ... loglikelihood=-4765.834571052444	0.9953885486813284
 99:  ... loglikelihood=-4735.576514265727	0.9954224564116128
100:  ... loglikelihood=-4705.836730574864	0.9954428010497833
101:  ... loglikelihood=-4676.6011132765925	0.9954699272340108
102:  ... loglikelihood=-4647.856078758498	0.9954902718721814
103:  ... loglikelihood=-4619.588542031474	0.9955241796024658
104:  ... loglikelihood=-4591.7858936383855	0.9955377426945795
105:  ... loglikelihood=-4564.435977849563	0.995564868878807
106:  ... loglikelihood=-4537.5270720611825	0.9955919950630344
107:  ... loglikelihood=-4511.047867319197	0.9956259027933189
108:  ... loglikelihood=-4484.987449898174	0.9956326843393757
109:  ... loglikelihood=-4459.335283867488	0.9956462474314894
110:  ... loglikelihood=-4434.081194583827	0.99566659206966
111:  ... loglikelihood=-4409.215353052729	0.9956801551617738
112:  ... loglikelihood=-4384.728261105415	0.9957344075302288
113:  ... loglikelihood=-4360.610737341791	0.9957479706223424
114:  ... loglikelihood=-4336.853903793302	0.9957615337144562
115:  ... loglikelihood=-4313.449173262573	0.9957683152605131
116:  ... loglikelihood=-4290.388237299904	0.99577509680657
117:  ... loglikelihood=-4267.663054779225	0.9958022229907975
118:  ... loglikelihood=-4245.265841038058	0.9958157860829112
119:  ... loglikelihood=-4223.189057550371	0.995822567628968
120:  ... loglikelihood=-4201.425402099962	0.995822567628968
121:  ... loglikelihood=-4179.967799427564	0.9958429122671386
122:  ... loglikelihood=-4158.809392323841	0.9958564753592524
123:  ... loglikelihood=-4137.943533144463	0.9958768199974231
124:  ... loglikelihood=-4117.363775722722	0.9958836015434799
125:  ... loglikelihood=-4097.063867659207	0.9958971646355936
126:  ... loglikelihood=-4077.037742966719	0.9959175092737642
127:  ... loglikelihood=-4057.279515052172	0.9959242908198211
128:  ... loglikelihood=-4037.783470017115	0.9959446354579917
129:  ... loglikelihood=-4018.5440602595836	0.9959717616422192
130:  ... loglikelihood=-3999.5558983623932	0.9959717616422192
131:  ... loglikelihood=-3980.8137512516955	0.995985324734333
132:  ... loglikelihood=-3962.31253461264	0.995985324734333
133:  ... loglikelihood=-3944.0473075487134	0.9959921062803898
134:  ... loglikelihood=-3926.0132674722095	0.9960124509185604
135:  ... loglikelihood=-3908.2057452136096	0.9960599217409585
136:  ... loglikelihood=-3890.6202003407784	0.9960734848330722
137:  ... loglikelihood=-3873.252216674533	0.9961006110172997
138:  ... loglikelihood=-3856.097497993929	0.9961277372015273
139:  ... loglikelihood=-3839.1518639193787	0.9961277372015273
140:  ... loglikelihood=-3822.4112459669404	0.9961413002936409
141:  ... loglikelihood=-3805.8716837642482	0.9961548633857547
142:  ... loglikelihood=-3789.529321420765	0.9961752080239253
143:  ... loglikelihood=-3773.380404044756	0.9961819895699822
144:  ... loglikelihood=-3757.4212744007386	0.9961819895699822
145:  ... loglikelihood=-3741.648369699839	0.996188771116039
146:  ... loglikelihood=-3726.058218517477	0.9961955526620959
147:  ... loglikelihood=-3710.647437832436	0.9962023342081527
148:  ... loglikelihood=-3695.412730181442	0.9962023342081527
149:  ... loglikelihood=-3680.3508809242812	0.9962226788463234
150:  ... loglikelihood=-3665.4587556143338	0.9962362419384371
151:  ... loglikelihood=-3650.733297469849	0.9962498050305508
152:  ... loglikelihood=-3636.171524941036	0.9962498050305508
153:  ... loglikelihood=-3621.7705293694003	0.9962837127608352
154:  ... loglikelihood=-3607.5274727349256	0.9963108389450627
155:  ... loglikelihood=-3593.4395854870127	0.9963176204911196
156:  ... loglikelihood=-3579.5041644556172	0.9963176204911196
157:  ... loglikelihood=-3565.7185708398642	0.9963379651292902
158:  ... loglikelihood=-3552.0802282696836	0.996344746675347
159:  ... loglikelihood=-3538.5866209376077	0.9963650913135177
160:  ... loglikelihood=-3525.235291798876	0.9963650913135177
161:  ... loglikelihood=-3512.0238408352543	0.9963854359516883
162:  ... loglikelihood=-3498.949923381119	0.996398999043802
163:  ... loglikelihood=-3486.011248508896	0.9964193436819726
164:  ... loglikelihood=-3473.205577470842	0.9964193436819726
165:  ... loglikelihood=-3460.5307221962066	0.9964396883201432
166:  ... loglikelihood=-3447.9845438397147	0.9964532514122569
167:  ... loglikelihood=-3435.5649513806393	0.9964600329583139
168:  ... loglikelihood=-3423.2699002703107	0.9964600329583139
169:  ... loglikelihood=-3411.0973911251917	0.9964803775964844
170:  ... loglikelihood=-3399.045468464504	0.996507503780712

Training data summary:
#Sentences: 6827
#Tokens: 147459
#Organizacao entities: 2060
#Hora entities: 862
#Localizacao entities: 1419
#UnidadeOrganica entities: 1582
#Evento entities: 359
#Data entities: 2513
#Curso entities: 486
#Pessoa entities: 1929

Writing name finder model ... done (0.734s)

Wrote name finder model to
path: /home/arop/ner-re-pt/tools/open-nlp/train/models/repeat-0/sigarra/fold-0/pt-ner-sigarra.bin

Execution time: 62.945 seconds

real	1m3.135s
user	1m7.896s
sys	0m0.420s

** fold 1 **
Indexing events using cutoff of 4

	Computing event counts...  done. 149358 events
	Indexing...  done.
Sorting and merging events... done. Reduced 149358 events to 117194.
Done indexing.
Incorporating indexed data for training...  
done.
	Number of Event Tokens: 117194
	    Number of Outcomes: 17
	  Number of Predicates: 56769
...done.
Computing model parameters ...
Performing 170 iterations.
  1:  ... loglikelihood=-423163.0786404021	0.7848792833326638
  2:  ... loglikelihood=-122047.40777628554	0.8077705914648027
  3:  ... loglikelihood=-76894.41148180317	0.8856840611149052
  4:  ... loglikelihood=-56477.411110737434	0.9276101715341663
  5:  ... loglikelihood=-44969.411808590965	0.9478635225431513
  6:  ... loglikelihood=-37657.73360006107	0.95865638265108
  7:  ... loglikelihood=-32612.54318183932	0.9663626990184657
  8:  ... loglikelihood=-28916.010993896525	0.9711766360020889
  9:  ... loglikelihood=-26083.7628423633	0.974377000227641
 10:  ... loglikelihood=-23838.423841470347	0.9769814807375568
 11:  ... loglikelihood=-22010.28158913243	0.9790369447903694
 12:  ... loglikelihood=-20489.740717931378	0.9808245959372782
 13:  ... loglikelihood=-19202.838496864395	0.9821971370800359
 14:  ... loglikelihood=-18097.815954975395	0.983295169994242
 15:  ... loglikelihood=-17137.340006788214	0.9843262496819721
 16:  ... loglikelihood=-16293.783737847787	0.9852033369488076
 17:  ... loglikelihood=-15546.247566312297	0.9858862598588626
 18:  ... loglikelihood=-14878.615366225558	0.9865557921236224
 19:  ... loglikelihood=-14278.248858226318	0.9870914179354303
 20:  ... loglikelihood=-13735.088245009434	0.9875734811660574
 21:  ... loglikelihood=-13241.018799155867	0.9880890210099225
 22:  ... loglikelihood=-12789.416116182572	0.9885242169820163
 23:  ... loglikelihood=-12374.814206173289	0.9889594129541103
 24:  ... loglikelihood=-11992.659634404696	0.9892673977958998
 25:  ... loglikelihood=-11639.126755611736	0.9895753826376893
 26:  ... loglikelihood=-11310.97680434638	0.9898498908662409
 27:  ... loglikelihood=-11005.44887941648	0.9901243990947923
 28:  ... loglikelihood=-10720.174507895303	0.9905060324857055
 29:  ... loglikelihood=-10453.109949957689	0.9907671500689619
 30:  ... loglikelihood=-10202.48206126846	0.9909880957163326
 31:  ... loglikelihood=-9966.74464623158	0.9912090413637034
 32:  ... loglikelihood=-9744.543009797255	0.9914032057204837
 33:  ... loglikelihood=-9534.684969751506	0.9915772841093212
 34:  ... loglikelihood=-9336.11699784756	0.9917111905622732
 35:  ... loglikelihood=-9147.904461086597	0.9918852689511107
 36:  ... loglikelihood=-8969.215162661167	0.9920191754040627
 37:  ... loglikelihood=-8799.305555410447	0.9921798631476051
 38:  ... loglikelihood=-8637.509133245985	0.9923271602458522
 39:  ... loglikelihood=-8483.226608096329	0.9925012386346898
 40:  ... loglikelihood=-8335.917559018966	0.992581582506461
 41:  ... loglikelihood=-8195.09330170496	0.9927690515405937
 42:  ... loglikelihood=-8060.310774865515	0.9928226141217745
 43:  ... loglikelihood=-7931.16727800098	0.9929498252520789
 44:  ... loglikelihood=-7807.29592520604	0.9930167784785549
 45:  ... loglikelihood=-7688.361703724725	0.9931172083182689
 46:  ... loglikelihood=-7574.058045300217	0.9932042475126877
 47:  ... loglikelihood=-7464.103833978393	0.9932778960618113
 48:  ... loglikelihood=-7358.240786725123	0.9933582399335824
 49:  ... loglikelihood=-7256.231153584025	0.9933850212241728
 50:  ... loglikelihood=-7157.855692612542	0.9934586697732963
 51:  ... loglikelihood=-7062.911881859358	0.9935524042903627
 52:  ... loglikelihood=-6971.21233644542	0.9936461388074291
 53:  ... loglikelihood=-6882.5834036465085	0.9937331780018479
 54:  ... loglikelihood=-6796.863912890673	0.993880475100095
 55:  ... loglikelihood=-6713.904060960299	0.9939206470359807
 56:  ... loglikelihood=-6633.564415508135	0.9939942955851042
 57:  ... loglikelihood=-6555.715022377223	0.9940746394568755
 58:  ... loglikelihood=-6480.234604227746	0.994148288005999
 59:  ... loglikelihood=-6407.009839674077	0.994181764619237
 60:  ... loglikelihood=-6335.934713578554	0.9942621084910082
 61:  ... loglikelihood=-6266.909930385381	0.9943357570401318
 62:  ... loglikelihood=-6199.8423834231035	0.994382624298665
 63:  ... loglikelihood=-6134.644674007711	0.9944027102666078
 64:  ... loglikelihood=-6071.23467495	0.9944562728477885
 65:  ... loglikelihood=-6009.535133732709	0.9945031401063217
 66:  ... loglikelihood=-5949.473311198811	0.9945433120422074
 67:  ... loglikelihood=-5890.980652084483	0.9945968746233881
 68:  ... loglikelihood=-5833.992484161946	0.9946169605913309
 69:  ... loglikelihood=-5778.4477431279565	0.9946504372045689
 70:  ... loglikelihood=-5724.288720698678	0.9947039997857496
 71:  ... loglikelihood=-5671.460833656074	0.9947374763989877
 72:  ... loglikelihood=-5619.9124118375585	0.994797734302816
 73:  ... loglikelihood=-5569.594503278276	0.9948446015613492
 74:  ... loglikelihood=-5520.460694906417	0.9949048594651776
 75:  ... loglikelihood=-5472.466947360519	0.9949450314010632
 76:  ... loglikelihood=-5425.571442645174	0.9949785080143012
 77:  ... loglikelihood=-5379.734443475272	0.9950186799501868
 78:  ... loglikelihood=-5334.918163271076	0.9950588518860723
 79:  ... loglikelihood=-5291.086645874961	0.9951124144672532
 80:  ... loglikelihood=-5248.205654147197	0.9951458910804911
 81:  ... loglikelihood=-5206.242566684818	0.9951927583390243
 82:  ... loglikelihood=-5165.166281976837	0.9952530162428528
 83:  ... loglikelihood=-5124.947129375452	0.9952864928560907
 84:  ... loglikelihood=-5085.556786323224	0.9953065788240335
 85:  ... loglikelihood=-5046.968201324558	0.995366836727862
 86:  ... loglikelihood=-5009.155522200316	0.9954203993090427
 87:  ... loglikelihood=-4972.094029204104	0.9954471805996331
 88:  ... loglikelihood=-4935.760072618255	0.9954605712449283
 89:  ... loglikelihood=-4900.131014480021	0.9954940478581663
 90:  ... loglikelihood=-4865.185174120425	0.995547610439347
 91:  ... loglikelihood=-4830.901777226221	0.9955676964072898
 92:  ... loglikelihood=-4797.260908158639	0.9955743917299374
 93:  ... loglikelihood=-4764.243465287152	0.995614563665823
 94:  ... loglikelihood=-4731.8311191157445	0.9956614309243562
 95:  ... loglikelihood=-4700.006272999364	0.9956681262470038
 96:  ... loglikelihood=-4668.752026261889	0.995714993505537
 97:  ... loglikelihood=-4638.052139546646	0.9957283841508322
 98:  ... loglikelihood=-4607.891002240245	0.9957618607640703
 99:  ... loglikelihood=-4578.253601826076	0.9957685560867178
100:  ... loglikelihood=-4549.1254950337825	0.995781946732013
101:  ... loglikelihood=-4520.4927806616115	0.9957953373773082
102:  ... loglikelihood=-4492.3420739592675	0.995815423345251
103:  ... loglikelihood=-4464.66048246601	0.9958355093131938
104:  ... loglikelihood=-4437.435583208124	0.9958689859264318
105:  ... loglikelihood=-4410.655401166307	0.9958957672170222
106:  ... loglikelihood=-4384.308388929921	0.9959225485076126
107:  ... loglikelihood=-4358.383407463075	0.9959359391529078
108:  ... loglikelihood=-4332.869707910366	0.9959627204434982
109:  ... loglikelihood=-4307.756914377422	0.9959627204434982
110:  ... loglikelihood=-4283.035007625368	0.9959627204434982
111:  ... loglikelihood=-4258.6943096220175	0.995982806411441
112:  ... loglikelihood=-4234.725468898172	0.9960095877020314
113:  ... loglikelihood=-4211.119446659206	0.9960430643152693
114:  ... loglikelihood=-4187.867503607081	0.9960631502832121
115:  ... loglikelihood=-4164.961187430717	0.9960765409285074
116:  ... loglikelihood=-4142.392320923762	0.9960765409285074
117:  ... loglikelihood=-4120.15299069514	0.9960832362511549
118:  ... loglikelihood=-4098.235536435723	0.9960966268964502
119:  ... loglikelihood=-4076.6325407112463	0.9961301035096881
120:  ... loglikelihood=-4055.3368192495464	0.9961301035096881
121:  ... loglikelihood=-4034.341411695888	0.9961434941549834
122:  ... loglikelihood=-4013.6395728082566	0.9961702754455737
123:  ... loglikelihood=-3993.2247640702876	0.9961769707682213
124:  ... loglikelihood=-3973.0906456966122	0.9961903614135165
125:  ... loglikelihood=-3953.2310690111176	0.9962037520588117
126:  ... loglikelihood=-3933.640069176168	0.9962104473814594
127:  ... loglikelihood=-3914.3118582554384	0.9962372286720497
128:  ... loglikelihood=-3895.240818591414	0.9962372286720497
129:  ... loglikelihood=-3876.4214964811163	0.9962573146399925
130:  ... loglikelihood=-3857.8485961354245	0.9962707052852877
131:  ... loglikelihood=-3839.516973905125	0.9962840959305829
132:  ... loglikelihood=-3821.421632762112	0.9963041818985257
133:  ... loglikelihood=-3803.5577170212714	0.9963041818985257
134:  ... loglikelihood=-3785.9205072911927	0.9963242678664684
135:  ... loglikelihood=-3768.5054156419783	0.9963376585117637
136:  ... loglikelihood=-3751.3079809794162	0.9963510491570589
137:  ... loglikelihood=-3734.323864615633	0.9963778304476493
138:  ... loglikelihood=-3717.5488460254196	0.9963912210929444
139:  ... loglikelihood=-3700.9788187801664	0.9964113070608873
140:  ... loglikelihood=-3684.6097866502932	0.9964180023835348
141:  ... loglikelihood=-3668.437859868177	0.9964246977061825
142:  ... loglikelihood=-3652.4592515435766	0.9964514789967729
143:  ... loglikelihood=-3636.670274224613	0.996464869642068
144:  ... loglikelihood=-3621.0673365972316	0.9964782602873632
145:  ... loglikelihood=-3605.646940317166	0.9964916509326585
146:  ... loglikelihood=-3590.4056769666668	0.9965184322232489
147:  ... loglikelihood=-3575.3402251324474	0.9965184322232489
148:  ... loglikelihood=-3560.447347597406	0.9965251275458964
149:  ... loglikelihood=-3545.723888641965	0.9965251275458964
150:  ... loglikelihood=-3531.1667714492837	0.9965251275458964
151:  ... loglikelihood=-3516.7729956105272	0.9965719948044296
152:  ... loglikelihood=-3502.5396347251612	0.9965920807723724
153:  ... loglikelihood=-3488.46383409183	0.9965920807723724
154:  ... loglikelihood=-3474.542808486402	0.99659877609502
155:  ... loglikelihood=-3460.773840023161	0.9966054714176676
156:  ... loglikelihood=-3447.154276094796	0.9966188620629628
157:  ... loglikelihood=-3433.681527389391	0.9966255573856104
158:  ... loglikelihood=-3420.353065979054	0.9966322527082581
159:  ... loglikelihood=-3407.166423479003	0.9966322527082581
160:  ... loglikelihood=-3394.1191892728184	0.9966389480309056
161:  ... loglikelihood=-3381.209008801507	0.9966523386762008
162:  ... loglikelihood=-3368.433581913848	0.996665729321496
163:  ... loglikelihood=-3355.7906612754336	0.9966858152894388
164:  ... loglikelihood=-3343.2780508334276	0.9966925106120864
165:  ... loglikelihood=-3330.893604335879	0.9966925106120864
166:  ... loglikelihood=-3318.6352239017356	0.996699205934734
167:  ... loglikelihood=-3306.500858641079	0.9967259872253244
168:  ... loglikelihood=-3294.4885033227833	0.9967527685159148
169:  ... loglikelihood=-3282.5961970875583	0.9967527685159148
170:  ... loglikelihood=-3270.822022204936	0.9967594638385624

Training data summary:
#Sentences: 6884
#Tokens: 149358
#Organizacao entities: 2033
#Localizacao entities: 1364
#Hora entities: 889
#UnidadeOrganica entities: 1620
#Evento entities: 362
#Data entities: 2500
#Curso entities: 419
#Pessoa entities: 1911

Writing name finder model ... done (0.737s)

Wrote name finder model to
path: /home/arop/ner-re-pt/tools/open-nlp/train/models/repeat-0/sigarra/fold-1/pt-ner-sigarra.bin

Execution time: 64.194 seconds

real	1m4.368s
user	1m9.056s
sys	0m0.288s

** fold 2 **
Indexing events using cutoff of 4

	Computing event counts...  done. 149858 events
	Indexing...  done.
Sorting and merging events... done. Reduced 149858 events to 117556.
Done indexing.
Incorporating indexed data for training...  
done.
	Number of Event Tokens: 117556
	    Number of Outcomes: 17
	  Number of Predicates: 57830
...done.
Computing model parameters ...
Performing 170 iterations.
  1:  ... loglikelihood=-424579.68531242444	0.7846628141307104
  2:  ... loglikelihood=-124373.49378041862	0.8078180677708231
  3:  ... loglikelihood=-78524.10355686853	0.8825154479573997
  4:  ... loglikelihood=-57744.19788181477	0.9245152077299844
  5:  ... loglikelihood=-46016.86581125923	0.9455351065675506
  6:  ... loglikelihood=-38557.899942837605	0.9571994821764603
  7:  ... loglikelihood=-33406.67501964795	0.964806683660532
  8:  ... loglikelihood=-29630.02799956547	0.9697113267226307
  9:  ... loglikelihood=-26735.019969240377	0.9732747000493801
 10:  ... loglikelihood=-24439.08525447595	0.975957239520079
 11:  ... loglikelihood=-22569.18141231073	0.9780925943226254
 12:  ... loglikelihood=-21013.49053089055	0.9798542620347263
 13:  ... loglikelihood=-19696.520787224064	0.9814023942665724
 14:  ... loglikelihood=-18565.432116243996	0.9826702611805843
 15:  ... loglikelihood=-17582.106832241418	0.9836912276955518
 16:  ... loglikelihood=-16718.334607563404	0.9846387913891818
 17:  ... loglikelihood=-15952.772474081847	0.9853594736350412
 18:  ... loglikelihood=-15268.960573097229	0.9860000800758051
 19:  ... loglikelihood=-14653.98913590893	0.9865005538576519
 20:  ... loglikelihood=-14097.580153341114	0.9870210465907726
 21:  ... loglikelihood=-13591.440677289003	0.9875548852914092
 22:  ... loglikelihood=-13128.798634176572	0.9880153211707082
 23:  ... loglikelihood=-12704.064099200441	0.9884690840662493
 24:  ... loglikelihood=-12312.578465402434	0.9889295199455485
 25:  ... loglikelihood=-11950.426045603057	0.9892231312308986
 26:  ... loglikelihood=-11614.290483412766	0.9894967235649749
 27:  ... loglikelihood=-11301.34370008534	0.9898236997691148
 28:  ... loglikelihood=-11009.158841185135	0.9900372352493694
 29:  ... loglikelihood=-10735.641252093317	0.9903308465347196
 30:  ... loglikelihood=-10478.973228595094	0.9905577279824901
 31:  ... loglikelihood=-10237.569436696385	0.9907912824140186
 32:  ... loglikelihood=-10010.04068256968	0.991038182813063
 33:  ... loglikelihood=-9795.164271837195	0.9912850832121075
 34:  ... loglikelihood=-9591.859605640171	0.9914185428872666
 35:  ... loglikelihood=-9399.167965702925	0.9914852727248462
 36:  ... loglikelihood=-9216.235671269973	0.9916187324000053
 37:  ... loglikelihood=-9042.299966947683	0.9918456138477759
 38:  ... loglikelihood=-8876.677135895794	0.991979073522935
 39:  ... loglikelihood=-8718.752437349465	0.992132552149368
 40:  ... loglikelihood=-8567.971548491692	0.992299376743317
 41:  ... loglikelihood=-8423.833253764404	0.9924328364184761
 42:  ... loglikelihood=-8285.883174031447	0.9925529501261194
 43:  ... loglikelihood=-8153.708366813279	0.9927464666551001
 44:  ... loglikelihood=-8026.932659538256	0.9928665803627434
 45:  ... loglikelihood=-7905.212602258783	0.9929666751191127
 46:  ... loglikelihood=-7788.233945948356	0.9930534239079662
 47:  ... loglikelihood=-7675.708568398841	0.9931268267293037
 48:  ... loglikelihood=-7567.3717826560105	0.9932069025343992
 49:  ... loglikelihood=-7462.979973500249	0.9932936513232526
 50:  ... loglikelihood=-7362.308516155289	0.993413765030896
 51:  ... loglikelihood=-7265.149938567742	0.9934738218847176
 52:  ... loglikelihood=-7171.312294530334	0.993547224706055
 53:  ... loglikelihood=-7080.61771985156	0.9936473194624245
 54:  ... loglikelihood=-6992.901147887271	0.9937007033324881
 55:  ... loglikelihood=-6908.009164194975	0.9938475089751632
 56:  ... loglikelihood=-6825.798982959063	0.9939809686503223
 57:  ... loglikelihood=-6746.137530274126	0.9940143335691121
 58:  ... loglikelihood=-6668.900621429214	0.9940877363904497
 59:  ... loglikelihood=-6593.972221079949	0.9941344472767554
 60:  ... loglikelihood=-6521.2437766764615	0.994187831146819
 61:  ... loglikelihood=-6450.613616778621	0.9942478880006406
 62:  ... loglikelihood=-6381.98640697018	0.9943146178382202
 63:  ... loglikelihood=-6315.272657003769	0.9943813476757998
 64:  ... loglikelihood=-6250.388273608402	0.9944280585621055
 65:  ... loglikelihood=-6187.254154073144	0.9944881154159271
 66:  ... loglikelihood=-6125.795816308845	0.9945348263022328
 67:  ... loglikelihood=-6065.943061606776	0.9945882101722965
 68:  ... loglikelihood=-6007.629666751567	0.9946282480748442
 69:  ... loglikelihood=-5950.793102534575	0.9946349210586022
 70:  ... loglikelihood=-5895.374276049321	0.994668285977392
 71:  ... loglikelihood=-5841.317294444861	0.9946949779124238
 72:  ... loglikelihood=-5788.569248068028	0.9947350158149715
 73:  ... loglikelihood=-5737.080011154906	0.9947683807337613
 74:  ... loglikelihood=-5686.802058424714	0.9948084186363091
 75:  ... loglikelihood=-5637.690296109068	0.9948284375875829
 76:  ... loglikelihood=-5589.701906098308	0.9948684754901307
 77:  ... loglikelihood=-5542.796202028208	0.9948951674251625
 78:  ... loglikelihood=-5496.934496243032	0.9949418783114682
 79:  ... loglikelihood=-5452.079976685817	0.9950219541165637
 80:  ... loglikelihood=-5408.197592855674	0.9950419730678376
