-X- -X- -X-
pacíficas O O
. O O
Além O O
disso O O
, O O
no TEMPO TEMPO
ano TEMPO TEMPO
passado TEMPO TEMPO
os O O
próprios O O
EUA ORGANIZACAO LOCAL
introduziram O O
uma O O
lei O O
banindo O O
a O O
posse O O
de O O
bio-armas O O
, O O
inclusive O O
micróbios O O
concebidos O O
para O O
atacarem O O
materiais O O
. O O
Os O O
documentos O O
retidos O O
também O O
incluem O O
propostas O O
para O O
usar O O
bombas O O
fétidas O O
, O O
sedativos O O
e O O
derivados O O
do O O
ópio O O
como O O
armas O O
, O O
os O O
quais O O
Wheelis PESSOA PESSOA
considera O O
que O O
transgrediriam O O
a O O
Convenção OBRA ACONTECIMENTO
das OBRA ACONTECIMENTO
Armas OBRA ACONTECIMENTO
Químicas OBRA ACONTECIMENTO
de TEMPO TEMPO
1992 TEMPO TEMPO
. O O
Esta O O
convenção O O
proíbe O O
`` O O
qualquer O O
produto O O
químico O O
... O O
que O O
possa O O
causar O O
morte O O
, O O
incapacidade O O
temporária O O
ou O O
dano O O
permanente O O
'' O O
. O O
_______________ O O
Copyright O OBRA
© O OBRA
New O OBRA
Scientist O OBRA
2002 O OBRA
. O O
For O O
fair O O
use O O
only O O
. O O
A O O
URL O ORGANIZACAO
deste O O
artigo O O
é O O
: O O
www.globalresearch.ca O O
/ O O
. O O
Texto O O
extraído O O
do O O
site O O
português O O
Resistir LOCAL O
-LRI- O O
www.resistir.info O O
-RRI- O O
. O O
É O O
nós O O
na O O
fita O O
! O O
A O O
arte O O
como O O
espaço O O
de O O
reflexão O O
. O O
Juliaura PESSOA O
· O O
Porto LOCAL LOCAL
Alegre LOCAL LOCAL
-LRI- O O
RS LOCAL COISA
-RRI- O O
Não O O
creio O O
que O O
se O O
deva O O
dizer O O
mais O O
`` O O
A O O
obra O O
de O O
arte O O
como O O
espaço O O
de O O
reflexão O O
e O O
não O O
como O O
retrato O O
de O O
um O O
gueto O O
, O O
isolado O O
, O O
à O O
parte O O
do O O
contexto O O
geral O O
da O O
sociedade O O
. O O
'' O O
Com O O
a O O
citação O O
dessa O O
frase O O
de O O
Jessé PESSOA PESSOA
Oliveira PESSOA PESSOA
, O O
Fabio PESSOA PESSOA
Gomes PESSOA PESSOA
iniciou O O
matéria O O
de O O
cobertura O O
do O O
2º ACONTECIMENTO ORGANIZACAO
Encontro ACONTECIMENTO ORGANIZACAO
de ACONTECIMENTO ORGANIZACAO
Arte ACONTECIMENTO ORGANIZACAO
de ACONTECIMENTO ORGANIZACAO
Matriz ACONTECIMENTO ORGANIZACAO
Africana ACONTECIMENTO ORGANIZACAO
, O O
realizado O O
de TEMPO TEMPO
12 TEMPO TEMPO
a TEMPO TEMPO
16 TEMPO TEMPO
de TEMPO TEMPO
dezembro TEMPO TEMPO
de TEMPO TEMPO
2007 TEMPO TEMPO
no O O
Teatro LOCAL LOCAL
de LOCAL LOCAL
Arena LOCAL LOCAL
em O O
Porto LOCAL LOCAL
Alegre LOCAL LOCAL
. O O
Bem O O
baixinho O O
, O O
só O O
aqui O O
pra O O
nós O O
do O O
Overmundo PESSOA LOCAL
, O O
a O O
cobertura O O
é O O
um O O
espetáculo O O
a O O
mais O O
, O O
embora O O
não O O
fizesse O O
parte O O
da O O
programação O O
. O O
Um O O
estouro O O
, O O
como O O
diz O O
vovó PESSOA PESSOA
Marinalva PESSOA PESSOA
. O O
Fabio PESSOA O
-LRI- O O
ele O O
não O O
acentua O O
o O O
nome O O
e O O
que O O
eu O O
vou O O
fazer O O
com O O
a O O
proparoxítona O O
relativa O O
, O O
a O O
quebra O O
de O O
ditongo O O
, O O
o O O
escambáu O O
-RRI- O O
, O O
pois O O
o O O
homem O O
diz O O
que O O
Jessé PESSOA PESSOA
Oliveira PESSOA PESSOA
escreveu O O
a O O
frase O O
`` O O
a O O
propósito O O
de O O
justificar O O
a O O
escolha O O
do O O
texto O O
Transegun OBRA PESSOA
, O O
de O O
Cuti PESSOA PESSOA
, O O
como O O
primeira O O
peça O O
montada O O
pelo O O
grupo O O
CaixaPreta PESSOA O
, O O
criado O O
em TEMPO TEMPO
2002 TEMPO TEMPO
a O O
partir O O
da O O
reunião O O
de O O
artistas O O
negros O O
atuantes O O
em O O
Porto LOCAL LOCAL
Alegre LOCAL LOCAL
. O O
Aí O O
eu O O
me O O
derreti O O
toda O O
, O O
por O O
que O O
tenho O O
paixnão O O
pelo O O
Cuti PESSOA PESSOA
desde O O
que O O
sentei O O
no O O
colo O O
dele O O
. O O
Calma O O
pessoal O O
, O O
calminha O O
aí O O
. O O
Eu O O
tinha O O
dois O O
aninhos O O
de O O
idade O O
, O O
quando O O
ele O O
participou O O
em O O
um O O
encontro O O
em O O
Porto LOCAL LOCAL
, O O
na O O
Câmara LOCAL LOCAL
de LOCAL LOCAL
Vereadores LOCAL LOCAL
, O O
e O O
'' O O
Papá PESSOA PESSOA
estava O O
lá O O
comigo O O
e O O
eu O O
só O O
queria O O
saber O O
do O O
colo O O
do O O
moço O O
lindão O O
, O O
conforme O O
a O O
resenha O O
da O O
época O O
. O O
Não O O
vamos O O
desviar O O
do O O
assunto O O
que O O
quer O O
tratar O O
é O O
da O O
presença O O
nossa O O
, O O
humana O O
, O O
nos O O
palcos O O
da O O
vida O O
. O O
É O O
disso O O
mesmo O O
, O O
de O O
diálogo O O
e O O
reflexão O O
que O O
se O O
falou O O
um O O
tantão O O
da O O
abertura O O
ao O O
encerramento O O
do O O
encontro O O
. O O
Fabio PESSOA O
diz O O
que O O
foi O O
assim O O
no O O
monólogo O LOCAL
Madrugada O LOCAL
, O O
me O O
Proteja O LOCAL
, O O
também O O
de O O
Cuti PESSOA PESSOA
, O O
interpretado O O
no TEMPO O
sábado TEMPO O
, TEMPO O
15 TEMPO VALOR
, O O
pelo O O
ator O O
Sílvio PESSOA PESSOA
Ramão PESSOA PESSOA
; O O
na O O
única O O
atração O O
musical O O
do O O
Encontro ACONTECIMENTO ORGANIZACAO
, O O
o O O
show O O
Epahei ACONTECIMENTO O
! ACONTECIMENTO O
, O O
da O O
cantora O O
e O O
compositora O O
Karine PESSOA PESSOA
Cunha PESSOA PESSOA
, O O
na TEMPO O
quinta TEMPO O
, TEMPO O
13 TEMPO VALOR
, O O
de O O
quem O O
nem O O
vou O O
falar O O
muito O O
porque O O
vira O O
prosa O O
de O O
fã O O
e O O
não O O
tô O O
aqui O O
pra O O
torrar O O
vocês O O
com O O
meu O O
gostinho O O
particular O O
e O O
sim O O
pra O O
reportar O O
as O O
coisas O O
como O O
foram O O
vistas O O
pelo O O
Fabio PESSOA PESSOA
, O O
né O O
? O O
Diz O O
ele O O
: O O
Em O O
Madrugada LOCAL LOCAL
... O O
, O O
Sílvio PESSOA PESSOA
vive O O
um O O
negro O O
de O O
alta O O
classe O O
média O O
que O O
, O O
julgando-se O O
inalcançável O O
pela O O
insegurança O O
que O O
-LRI- O O
infelizmente O O
-RRI- O O
tem O O
sido O O
a O O
marca O O
das O O
noites O O
nas O O
grandes O O
cidades O O
, O O
é O O
humilhado O O
durante O O
um O O
assalto O O
. O O
Já O O
o O O
show O O
de O O
Karine PESSOA PESSOA
se O O
apoiou O O
nas O O
canções O O
em O O
homenagem O O
a O O
diversos O O
orixás O O
que O O
estruturam O O
seu O O
segundo O O
CD O COISA
, O O
Epahei OBRA O
! OBRA O
, O O
lançado O O
em TEMPO O
agosto TEMPO O
. O O
-LRI- O O
Palhinha O LOCAL
dela O O
no O O
linque O O
, O O
di O O
grátis O O
-RRI- O O
O O O
Fabio PESSOA ORGANIZACAO
contou O O
que O O
um O O
destaque O O
do O O
Encontro ACONTECIMENTO ORGANIZACAO
foi O O
a O O
apresentação O O
na TEMPO O
sexta TEMPO O
, TEMPO O
14 TEMPO VALOR
, O O
da O O
peça O O
Taba-Taba OBRA LOCAL
, O O
texto O O
do O O
francês O O
Bernard PESSOA PESSOA
Koltès PESSOA PESSOA
, O O
que O O
marca O O
a O O
estréia O O
da O O
atriz O ABSTRACCAO
Renata PESSOA ABSTRACCAO
de PESSOA ABSTRACCAO
Lélis PESSOA ABSTRACCAO
na O O
direção O O
. O O
Teve O O
também O O
'' O O
Sortilégio ACONTECIMENTO PESSOA
Negro ACONTECIMENTO PESSOA
, O O
de O O
Abdias PESSOA PESSOA
do PESSOA PESSOA
Nascimento PESSOA PESSOA
, O O
fundador O O
do O O
Teatro ABSTRACCAO ORGANIZACAO
Experimental ABSTRACCAO ORGANIZACAO
do ABSTRACCAO ORGANIZACAO
Negro ABSTRACCAO ORGANIZACAO
-LRI- O O
TEN ABSTRACCAO ORGANIZACAO
-RRI- O O
, O O
referência O O
histórica O O
assumida O O
pelo O O
CaixaPreta ABSTRACCAO OBRA
já O OBRA
na TEMPO OBRA
época TEMPO OBRA
do O OBRA
lançamento O OBRA
de O OBRA
Transegun OBRA OBRA
. O O
E O O
recital O O
de O O
poemas O O
de O O
Oliveira PESSOA PESSOA
Silveira PESSOA PESSOA
que O O
já O O
nos O O
foi O O
muito O O
bem O O
apresentado O O
aqui O O
nas O O
nossas O O
overmundanas O O
paragens O O
pelo O O
meu O O
poeta O O
querido O O
dos O O
mais O O
mais O O
. O O
Aquela O O
história O O
da O O
presença O O
nossa O O
nos O O
palcos O O
, O O
nós O O
na O O
cena O O
, O O
nós O O
brilhando O O
, O O
nós O O
dirigindo O O
, O O
nós O O
na O O
fita O O
foi O O
assunto O O
a O O
partir O O
da O O
trajetória O O
de O O
Abdias PESSOA LOCAL
e O O
do O O
TEN ABSTRACCAO ORGANIZACAO
, O O
temas O O
abordados O O
na O O
única O O
palestra O O
do O O
Encontro ACONTECIMENTO LOCAL
, O O
feita O O
pela O O
atriz O O
Vera PESSOA PESSOA
Lopes PESSOA PESSOA
. O O
Uma O O
das O O
fundadoras O O
do O O
CaixaPreta ABSTRACCAO PESSOA
, O O
Vera PESSOA PESSOA
falou O O
, O O
segundo O O
Fabio PESSOA PESSOA
, O O
que O O
não O O
consegue O O
entender O O
porque O O
alguns O O
consideram O O
a O O
arte O O
européia O O
como O O
superior O O
, O O
dando O O
como O O
exemplo O O
que O O
o O O
teatro O O
grego O O
surgiu O O
a O O
partir O O
de O O
ritos O O
- O O
em O O
que O O
animais O O
sacrificados O O
eram O O
oferecidos O O
Dionísio PESSOA PESSOA
- O O
muito O O
semelhantes O O
às O O
oferendas O O
dos O O
cultos O O
afro-brasileiros O O
para O O
os O O
orixás O O
. O O
Vera PESSOA PESSOA
Lopes PESSOA PESSOA
deixou O O
o O O
povo O O
presente O O
acabrunhado O O
quando O O
protestou O O
firme O O
porque O O
não O O
consta O O
imagem O O
alguma O O
do O O
teatro O O
africano O O
num O O
dos O O
raros O O
livros O O
brasileiros O O
que O O
falam O O
do O O
assunto O O
- O O
História OBRA O
do OBRA O
Teatro OBRA LOCAL
-LRI- O O
1978 TEMPO TEMPO
-RRI- O O
, O O
de O O
Nélson PESSOA PESSOA
Araújo PESSOA PESSOA
. O O
Eu O O
, O O
meio O O
miolo O O
mole O O
até O O
nem O O
sei O O
porque O O
um O O
estudo O O
sério O O
, O O
em O O
profundidade O O
sobre O O
a O O
questão O O
esqueceu O O
esse O O
detalhezinho O O
. O O
Vai O O
ver O O
que O O
... O O
Ah O O
! O O
Não O O
pode O O
ser O O
por O O
... O O
Será O PESSOA
? O O
Deixemos O O
esse O O
outro O O
assunto O O
sério O O
para O O
lá O O
, O O
amizades O O
. O O
O O O
final O O
do O O
2º ACONTECIMENTO LOCAL
Encontro ACONTECIMENTO LOCAL
de ACONTECIMENTO LOCAL
Arte ACONTECIMENTO LOCAL
de ACONTECIMENTO LOCAL
Matriz ACONTECIMENTO LOCAL
Africana ACONTECIMENTO LOCAL
teve O O
a O O
apresentação O O
de O O
Hamlet OBRA PESSOA
Sincrético OBRA PESSOA
. O O
Golaço O O
da O O
produção O O
, O O
conforme O O
Fábio PESSOA PESSOA
Gomes PESSOA PESSOA
. O O
Para O O
ele O O
a O O
peça O O
dirigida O O
por O O
Jessé PESSOA PESSOA
Oliveira PESSOA PESSOA
é O O
`` O O
primorosa O O
; O O
a O O
montagem O O
relê O O
o O O
clássico O O
a O O
partir O O
de O O
uma O O
estética O O
negra O O
, O O
com O O
elementos O O
da O O
cultura O O
afro-brasileira O O
ajudando O O
a O O
contar O O
a O O
história O O
imortalizada O O
por O O
William PESSOA PESSOA
Shakespeare PESSOA PESSOA
. O O
É O O
notável O O
o O O
equilíbrio O O
que O O
Jessé PESSOA PESSOA
conseguiu O O
ao O O
mesclar O O
todos O O
estes O O
elementos O O
'' O O
. O O
E O O
segue O O
: O O
- O O
Cada O O
personagem O O
encarna O O
um O O
tipo O O
ou O O
um O O
mito O O
da O O
cultura O O
negra O O
, O O
em O O
especial O O
das O O
religiões O O
afro-brasileiras O O
: O O
Hamlet PESSOA PESSOA
é O O
Xangô PESSOA O
; O O
o O O
rei PESSOA PESSOA
Cláudio PESSOA PESSOA
, O O
Zé PESSOA OBRA
Pelintra PESSOA OBRA
; O O
e O O
Polônio PESSOA PESSOA
, O O
um O O
ex-babalorixá O O
que O O
se O O
tornou O O
pastor O O
evangélico O O
. O O
A O O
música O O
ao O O
vivo O O
-LRI- O O
o O O
próprio O O
elenco O O
manda O O
ver O O
em O O
cânticos O O
de O O
umbanda O O
, O O
sambas O O
, O O
hip-hop O O
, O O
ladainhas O O
de O O
capoeira O O
e O O
até O O
cantos O O
evangélicos O O
-RRI- O O
, O O
além O O
de O O
ajudar O O
a O O
contar O O
a O O
história O O
, O O
torna O O
o O O
nível O O
de O O
comunicação O O
do O O
espetáculo O O
com O O
a O O
platéia O O
algo O O
digno O O
de O O
nota O O
. O O
Software O O
livre O O
, O O
cultura O O
livre O O
, O O
palco O O
livre O O
... O O
Eduardo PESSOA PESSOA
EGS PESSOA PESSOA
· O PESSOA
Porto LOCAL PESSOA
Alegre LOCAL PESSOA
-LRI- O O
RS LOCAL PESSOA
-RRI- O O
· O O
20/4/2007 TEMPO VALOR
15:38 TEMPO VALOR
· O VALOR
153 VALOR VALOR
votos O O
Num O O
imenso O O
galpão O O
com O O
estruturas O O
metálicas O O
, O O
acontece O O
todo TEMPO TEMPO
ano TEMPO TEMPO
um O O
evento O O
que O O
prima O O
pela O O
liberdade O O
. O O
É O O
o O O
Fórum ACONTECIMENTO OUTRO
Internacional ACONTECIMENTO OUTRO
Software ACONTECIMENTO OUTRO
Livre ACONTECIMENTO OUTRO
, O O
o O O
fisl O O
, O O
que O O
chega O O
a O O
sua O O
oitava O O
edição O O
cada O O
vez O O
maior O O
. O O
E O O
mais O O
diversificado O O
. O O
Diferentes O O
tipos O O
circulam O O
pelo O O
local O O
em O O
harmonia O O
. O O
E O O
não O O
haveria O O
por O O
que O O
ser O O
diferente O O
. O O
Todos O O
estão O O
lá O O
por O O
um O O
motivo O O
em O O
comum O O
: O O
o O O
uso O O
de O O
ferramentas O O
livres O O
, O O
baseadas O O
na O O
colaboração O O
. O O
E O O
dentro O O
desse O O
evento O O
, O O
ocorre O O
outra O O
manifestação O O
de O O
liberdade O O
: O O
o O O
Criei ACONTECIMENTO PESSOA
, ACONTECIMENTO O
Tive ACONTECIMENTO OBRA
Como ACONTECIMENTO OBRA
! ACONTECIMENTO OBRA
, O O
Festival ACONTECIMENTO PESSOA
Multimídia ACONTECIMENTO PESSOA
de ACONTECIMENTO PESSOA
Cultura ACONTECIMENTO PESSOA
Livre ACONTECIMENTO PESSOA
do O PESSOA
Brasil LOCAL PESSOA
, O O
que O O
acontece O O
pela O O
segunda O O
vez O O
. O O
Se O O
no TEMPO TEMPO
ano TEMPO TEMPO
passado TEMPO TEMPO
o O O
festival O O
tinha O O
um O O
estande O O
acanhado O O
, O O
num O O
dos O O
cantos O O
do O O
Centro LOCAL LOCAL
de LOCAL LOCAL
Eventos LOCAL LOCAL
da O LOCAL
Fiergs ORGANIZACAO LOCAL
, O O
em O O
Porto LOCAL LOCAL
Alegre LOCAL LOCAL
, O O
agora O O
as O O
coisas O O
foram O O
bem O O
diferentes O O
. O O
E O O
Como O O
! O O
Um O O
estande O O
central O O
foi O O
montado O O
, O O
com O O
direito O O
a O O
banquinhos O O
brancos O O
e O O
cortinas O O
feitas O O
com O O
tubo O O
de O O
plástico O O
, O O
o O O
que O O
garantiu O O
o O O
resultado O O
mais O O
bonito O O
entre O O
todos O O
os O O
estandes O O
, O O
sem O O
dúvida O O
. O O
Mas O O
não O O
ficou O O
só O O
por O O
aí O O
-LRI- O O
e O O
não O O
mesmo O O
! O O
-RRI- O O
. O O
O O O
espaço O O
contou O O
com O O
um O O
estúdio O O
de O O
rádio O O
e O O
um O O
estúdio O O
de O O
TV O O
em O O
pleno O O
estande O O
, O O
que O O
projetou O O
vídeos O O
o O O
tempo O O
inteiro O O
, O O
chamando O O
a O O
atenção O O
dos O O
participantes O O
. O O
Comandadas O PESSOA
por O O
Gabriel PESSOA PESSOA
Menotti PESSOA PESSOA
, O O
do O O
