THANKSGIVING	B-ACONTECIMENTO
casa	O
que	O
era	O
a	O
cara	O
dele	O
-	O
a	O
Deutsche	B-LOCAL
de	I-LOCAL
la	I-LOCAL
Meurthe	I-LOCAL
,	O
a	O
mais	O
antiga	O
,	O
a	O
mais	O
clássica	O
,	O
aquela	O
onde	O
Simone	B-PESSOA
de	I-PESSOA
Beauvoir	I-PESSOA
ia	O
visitar	O
o	O
estudante	O
Jean	B-PESSOA
-	I-PESSOA
Paul	I-PESSOA
Sartre	I-PESSOA
.	O
Quando	O
eu	O
cheguei	O
,	O
deu	O
-	O
me	O
a	O
conhecer	O
a	O
área	O
de	O
Montparnasse	B-LOCAL
e	O
do	O
Port	B-LOCAL
Royal	I-LOCAL
.	O
Nessa	B-TEMPO
altura	I-TEMPO
era	O
um	O
parisiense	O
com	O
uma	O
costela	O
americana	O
,	O
português	O
q.b	O
.	O
e	O
vagamente	O
judeu	O
.	O
Agora	O
é	O
um	O
americano	O
parisiense	O
,	O
um	O
verdadeiro	O
mangeur	O
de	O
fromage	O
.	O
Pôs	O
a	O
Europa	B-ABSTRACCAO
e	O
a	O
Teoria	B-ABSTRACCAO
das	I-ABSTRACCAO
Cordas	I-ABSTRACCAO
de	O
parte	O
e	O
foi	O
para	O
a	O
melhor	O
cidade	O
da	O
América	B-LOCAL
do	I-LOCAL
Norte	I-LOCAL
mostrar	O
que	O
um	O
físico	O
matemático	O
é	O
pau	O
para	O
toda	O
a	O
obra	O
-	O
nem	O
que	O
seja	O
para	O
mostrar	O
que	O
a	O
Biologia	B-ABSTRACCAO
Celular	I-ABSTRACCAO
é	O
só	O
"	O
quebra	O
de	O
simetria	O
"	O
e	O
que	O
não	O
há	O
nada	O
como	O
o	B-TEMPO
outono	I-TEMPO
na	O
Nova	B-LOCAL
Inglaterra	I-LOCAL
.	O
Que	O
rica	O
prenda	O
de	B-TEMPO
Thanksgiving	I-TEMPO
.	O
Bem	O
vindo	O
,	O
Pedro	B-PESSOA
.	O
EFEMÉRIDE	O
A	B-TEMPO
24	I-TEMPO
de	I-TEMPO
Novembro	I-TEMPO
de	I-TEMPO
1960	I-TEMPO
,	O
no	O
restaurante	O
Le	B-LOCAL
Vrai	I-LOCAL
Gascon	I-LOCAL
(	O
n.º	O
82	O
da	O
rue	O
du	O
Bac	B-LOCAL
,	O
Paris	B-LOCAL
)	O
,	O
em	O
torno	O
dessas	O
figuras	O
majestáticas	O
que	O
eram	O
Raymond	B-PESSOA
Queneau	I-PESSOA
e	O
François	B-PESSOA
Le	I-PESSOA
Lionnais	I-PESSOA
,	O
nasceu	O
uma	O
das	O
mais	O
heterodoxas	O
correntes	O
literárias	O
do	B-TEMPO
século	I-TEMPO
XX	I-TEMPO
.	O
Desafio	O
intelectual	O
e	O
brincadeira	O
de	O
literatos	O
apaixonados	O
pela	O
sua	O
língua	O
,	O
explosiva	O
mistura	O
de	O
cérebros	O
moldados	O
pelas	O
leis	O
da	O
gramática	O
e	O
mentes	O
científicas	O
habituadas	O
a	O
todo	O
o	O
tipo	O
de	O
operações	O
lógicas	O
,	O
o	O
OuLiPo	B-ABSTRACCAO
(	O
Ouvroir	B-ABSTRACCAO
de	I-ABSTRACCAO
Littérature	I-ABSTRACCAO
Potentiel	I-ABSTRACCAO
)	O
veio	O
libertar	O
a	O
literatura	O
da	O
forma	O
mais	O
radical	O
:	O
acorrentando	O
-	O
a	O
.	O
Isto	O
é	O
,	O
inventando	O
um	O
sem	O
número	O
de	O
constrangimentos	O
que	O
estimulam	O
a	O
imaginação	O
e	O
a	O
perícia	O
verbal	O
de	O
quem	O
escreve	O
.	O
Na	O
definição	O
sucinta	O
de	O
Queneau	B-PESSOA
,	O
um	O
autor	O
oulipiano	O
é	O
um	O
«	O
rato	O
que	O
constrói	O
o	O
labirinto	O
do	O
qual	O
se	O
propõe	O
sair	O
»	O
.	O
Um	O
labirinto	O
de	O
palavras	O
,	O
claro	O
;	O
um	O
labirinto	O
textual	O
.	O
E	O
se	O
grande	O
parte	O
da	O
produção	O
destes	O
autores	O
auto	O
-	O
espartilhados	O
não	O
sobrevive	O
fora	O
do	O
contexto	O
em	O
que	O
surgiu	O
,	O
enquanto	O
mecanismo	O
lúdico	O
ou	O
exercício	O
de	O
estilo	O
,	O
o	O
certo	O
é	O
que	O
os	O
processos	O
do	O
OuLiPo	B-ABSTRACCAO
estão	O
inscritos	O
na	O
estrutura	O
de	O
algumas	O
obras	O
-	O
primas	O
de	O
autores	O
como	O
Italo	B-PESSOA
Calvino	I-PESSOA
(	O
Se	B-OBRA
Numa	I-OBRA
Noite	I-OBRA
de	I-OBRA
Inverno	I-OBRA
um	I-OBRA
Viajante	I-OBRA
)	O
ou	O
Georges	B-PESSOA
Perec	I-PESSOA
(	O
A	B-OBRA
Vida	I-OBRA
Modo	I-OBRA
de	I-OBRA
Usar	I-OBRA
;	O
La	B-OBRA
Disparition	I-OBRA
;	O
etc	O
)	O
.	O
Quanto	O
mais	O
não	O
fosse	O
por	O
isso	O
,	O
já	O
valeria	O
a	O
pena	O
celebrar	O
os	B-TEMPO
45	I-TEMPO
anos	I-TEMPO
de	O
um	O
movimento	O
que	O
continua	O
activo	O
e	O
em	O
expansão	O
(	O
investigar	O
aqui	O
)	O
.	O
A	O
MINHOCA	O
E	O
A	O
MAÇÃ	O
Durante	O
a	O
discussão	O
sobre	O
a	O
natureza	O
do	O
salazarismo	O
,	O
e	O
depois	O
de	O
assinalar	O
,	O
com	O
o	O
fastio	O
do	O
costume	O
,	O
a	O
ignorância	O
grotesca	O
do	O
adversário	O
,	O
Vasco	B-PESSOA
Pulido	I-PESSOA
Valente	I-PESSOA
recomendou	O
-	O
lhe	O
esta	O
reflexão	O
:	O
«	O
Vítor	B-PESSOA
Dias	I-PESSOA
que	O
puxe	O
pela	O
cabeça	O
:	O
existe	O
em	O
Portugal	B-LOCAL
alguém	O
ou	O
alguma	O
coisa	O
a	O
que	O
o	O
PCP	B-PESSOA
já	O
não	O
chamou	O
'	O
fascista	O
?	O
?	O
»	O
Bom	O
argumento	O
.	O
De	O
facto	O
,	O
a	O
repetição	O
exaustiva	O
da	O
mesma	O
acusação	O
desacredita	O
o	O
acusador	O
.	O
Proponho	O
,	O
por	O
isso	O
,	O
outra	O
reflexão	O
.	O
Vasco	B-PESSOA
Pulido	I-PESSOA
Valente	I-PESSOA
que	O
puxe	O
pela	O
cabeça	O
:	O
existe	O
em	O
Portugal	B-LOCAL
alguém	O
ou	O
alguma	O
coisa	O
a	O
que	O
Vasco	B-PESSOA
Pulido	I-PESSOA
Valente	I-PESSOA
já	O
não	O
tenha	O
chamado	O
"	O
ignorante	O
"	O
?	O
Coletivo	B-PESSOA
dinamarquês	O
acusa	O
Fundação	B-ORGANIZACAO
Bienal	I-ORGANIZACAO
de	O
censura	O
16	B-TEMPO
de	I-TEMPO
Outubro	I-TEMPO
de	I-TEMPO
2006	I-TEMPO
Apresentada	O
na	O
Bienal	B-ACONTECIMENTO
de	O
Veneza	B-LOCAL
em	B-TEMPO
2003	I-TEMPO
,	O
a	O
obra	O
"	O
Guaraná	B-OBRA
Power	I-OBRA
"	O
,	O
do	O
coletivo	O
dinamarquês	O
Superflex	B-PESSOA
,	O
foi	O
selecionada	O
pela	O
curadoria	O
da	O
27ª	B-ACONTECIMENTO
Bienal	I-ACONTECIMENTO
de	O
São	B-LOCAL
Paulo	I-LOCAL
mas	O
teve	O
sua	O
exibição	O
vetada	O
pela	O
Fundação	B-ORGANIZACAO
realizadora	O
da	O
mostra	O
.	O
Tônico	O
de	O
sabor	O
concentrado	O
e	O
propriedades	O
energéticas	O
,	O
de	O
grande	O
sucesso	O
na	O
Europa	B-LOCAL
,	O
o	O
Guaraná	B-COISA
Power	I-COISA
tem	O
como	O
função	O
primeira	O
a	O
crítica	O
ao	O
monopólio	O
do	O
mercado	O
e	O
a	O
suas	O
conseqüências	O
nas	O
comunidades	O
agricultoras	O
.	O
A	O
partir	O
de	O
um	O
estudo	O
econômico	O
da	O
cidade	O
de	O
Maués	B-LOCAL
,	O
no	O
Amazonas	B-LOCAL
,	O
detectou	O
-	O
se	O
o	O
impacto	O
econômico	O
da	O
redução	O
do	O
preço	O
das	O
sementes	O
de	O
guaraná	O
por	O
parte	O
das	O
grandes	O
indústrias	O
.	O
"	O
Estabelecemos	O
o	O
valor	O
de	O
R$	B-VALOR
15	I-VALOR
para	O
o	O
quilo	O
de	O
sementes	O
,	O
enquanto	O
as	O
indústrias	O
pagam	O
R$	B-VALOR
7	I-VALOR
"	O
,	O
afirmou	O
Bjornstjerne	B-PESSOA
Christiansen	I-PESSOA
,	O
membro	O
do	O
Superflex	B-PESSOA
,	O
em	O
entrevista	O
à	O
Folha	B-PESSOA
de	I-PESSOA
São	I-PESSOA
Paulo	I-PESSOA
.	O
O	O
projeto	O
conta	O
com	O
o	O
apoio	O
da	O
Secretaria	B-ORGANIZACAO
de	I-ORGANIZACAO
Desenvolvimento	I-ORGANIZACAO
Sustentável	I-ORGANIZACAO
do	O
Governo	B-ORGANIZACAO
do	O
Estado	B-LOCAL
do	I-LOCAL
Amazonas	I-LOCAL
.	O
Impedidos	O
de	O
apresentar	O
a	O
obra	O
-	O
e	O
tendo	O
suas	O
páginas	O
do	O
catálogo	O
da	O
mostra	O
cobertas	O
por	O
tarjas	O
pretas	O
-	O
,	O
os	O
dinamarqueses	O
distribuíram	O
o	O
Guaraná	B-COISA
Power	I-COISA
,	O
sem	O
rótulo	O
,	O
em	O
vernissages	O
na	O
Galeria	B-LOCAL
Vermelho	I-LOCAL
e	O
Instituto	B-LOCAL
Tomie	I-LOCAL
Ohtake	I-LOCAL
,	O
além	O
de	O
pontos	O
espalhados	O
pela	O
capital	O
paulista	O
.	O
O	O
coletivo	O
Superflex	B-PESSOA
já	O
recebeu	O
elogios	O
do	O
Ministro	B-PESSOA
da	I-PESSOA
Cultura	I-PESSOA
Gilberto	I-PESSOA
Gil	I-PESSOA
em	B-TEMPO
junho	I-TEMPO
deste	I-TEMPO
ano	I-TEMPO
,	O
ao	O
apresentar	O
no	O
Brasil	B-LOCAL
o	O
projeto	O
Free	B-OBRA
Beer	I-OBRA
(	O
"	O
cerveja	O
livre	O
"	O
)	O
,	O
cerveja	O
cuja	O
fórmula	O
é	O
licenciada	O
em	O
Creative	B-ABSTRACCAO
Commons	I-ABSTRACCAO
e	O
permite	O
que	O
qualquer	O
pessoa	O
interessada	O
possa	O
fabricá	O
-	O
la	O
ou	O
aprimorá	O
-	O
la	O
.	O
Na	O
entrevista	O
coletiva	O
dos	O
organizadores	O
da	O
Bienal	B-ACONTECIMENTO
,	O
o	O
presidente	B-PESSOA
da	I-PESSOA
Fundação	I-PESSOA
Bienal	I-PESSOA
,	O
Manuel	B-PESSOA
Francisco	I-PESSOA
Pires	I-PESSOA
da	I-PESSOA
Costa	I-PESSOA
,	O
optou	O
por	O
,	O
além	O
de	O
responsabilizar	O
a	O
assessoria	O
jurídica	O
,	O
emitir	O
sua	O
opinião	O
pessoal	O
acerca	O
da	O
obra	O
polêmica	O
:	O
"	O
Eu	O
jamais	O
interferi	O
no	O
mérito	O
das	O
obras	O
selecionadas	O
.	O
Aliás	O
,	O
a	O
acho	O
de	O
muito	O
mau	O
gosto	O
e	O
,	O
se	O
não	O
julguei	O
,	O
estou	O
julgando	O
agora	O
.	O
Foi	O
o	O
departamento	O
jurídico	O
da	O
Bienal	B-ORGANIZACAO
quem	O
informou	O
que	O
essa	O
obra	O
não	O
estava	O
de	O
acordo	O
com	O
as	O
regras	O
da	O
legislação	O
brasileira	O
"	O
.	O
"	O
O	O
que	O
eles	O
sempre	O
nos	O
disseram	O
é	O
que	O
isso	O
[	O
a	O
referência	O
à	O
marca	O
do	O
guaraná	O
Antarctica	B-COISA
]	O
poderia	O
ser	O
um	O
problema	O
,	O
mas	O
o	O
presidente	O
nunca	O
nos	O
deu	O
respostas	O
claras	O
.	O
Nossas	O
obras	O
sempre	O
envolvem	O
negociação	O
,	O
mas	O
com	O
ele	O
tivemos	O
as	O
portas	O
fechadas	O
.	O
Se	O
eles	O
olhassem	O
como	O
ficou	O
a	O
lata	O
[	O
diferente	O
da	O
criação	O
original	O
]	O
,	O
não	O
haveria	O
problema	O
legal	O
"	O
,	O
afirmou	O
Jakob	B-PESSOA
Fenger	I-PESSOA
,	O
um	O
dos	O
membros	O
do	O
coletivo	O
,	O
em	O
entrevista	O
para	O
a	O
Folha	B-ORGANIZACAO
de	I-ORGANIZACAO
São	I-ORGANIZACAO
Paulo	I-ORGANIZACAO
,	O
em	O
matéria	O
que	O
informa	O
ainda	O
:	O
"	O
Por	O
meio	O
de	O
sua	O
assessoria	O
,	O
a	O
AmBev	B-ORGANIZACAO
[	O
fabricante	O
do	O
guaraná	O
Antarctica	B-COISA
]	O
declarou	O
não	O
ver	O
problema	O
na	O
obra	O
.	O
Diz	O
não	O
ter	O
tido	O
nenhum	O
contato	O
com	O
o	O
grupo	O
"	O
.	O
O	O
Superflex	B-PESSOA
ainda	O
distribuiu	O
à	O
imprensa	O
,	O
no	B-TEMPO
dia	I-TEMPO
da	O
coletiva	O
,	O
o	O
documento	O
"	O
A	B-OBRA
obra	I-OBRA
de	I-OBRA
arte	I-OBRA
que	I-OBRA
os	I-OBRA
brasileiros	I-OBRA
não	I-OBRA
terão	I-OBRA
permissão	I-OBRA
de	I-OBRA
ver	I-OBRA
na	I-OBRA
Bienal	I-OBRA
"	O
.	O
Nele	O
,	O
afirma	O
-	O
se	O
que	O
o	O
"	O
presidente	B-PESSOA
da	I-PESSOA
Fundação	I-PESSOA
Bienal	I-PESSOA
censurou	O
um	O
trabalho	O
com	O
reconhecimento	O
internacional	O
para	O
o	O
público	O
brasileiro	O
"	O
,	O
que	O
,	O
segundo	O
o	O
texto	O
divulgado	O
,	O
teria	O
sido	O
recusado	O
"	O
por	O
não	O
ser	O
considerada	O
uma	O
'	O
atividade	O
artística	O
'	O
"	O
.	O
A	O
polêmica	O
gerada	O
pela	O
Fundação	B-ORGANIZACAO
Bienal	I-ORGANIZACAO
fortaleceu	O
a	O
ação	O
política	O
do	O
coletivo	O
dinamarquês	O
,	O
tendo	O
a	O
censura	O
gerado	O
uma	O
reação	O
oposta	O
à	O
desejada	O
.	O
Foi	O
grande	O
o	O
interesse	O
público	O
pelo	O
modelo	O
econômico	O
e	O
social	O
do	O
projeto	O
Guaraná	B-OBRA
Power	I-OBRA
--	O
baseado	O
no	O
colaborativismo	O
do	O
software	O
livre	O
--	O
e	O
positiva	O
a	O
repercussão	O
do	O
tema	O
,	O
exatamente	O
onde	O
interessa	O
:	O
no	O
país	O
fornecedor	O
da	O
matéria	O
-	O
prima	O
de	O
uma	O
das	O
bebidas	O
estrangeiras	O
mais	O
famosas	O
no	O
exterior	O
.	O
P	O
:	O
Então	O
tu	O
passaste	O
uma	O
infância	O
muito	O
sozinha	O
?	O
Bem	O
,	O
na	O
província	O
,	O
às	B-TEMPO
vezes	I-TEMPO
brincava	O
com	O
outros	O
meninos	O
filhos	O
do	O
...	O
ou	O
doutras	O
pessoas	O
do	O
tribunal	O
,	O
ou	O
da	O
rua	O
,	O
até	O
.	O
Brincava	O
...	O
Ali	O
,	O
em	O
Alenquer	B-LOCAL
.	O
Porque	O
depois	B-TEMPO
viemos	O
,	O
voltámos	O
para	O
Lisboa	B-LOCAL
,	O
o	O
meu	O
pai	O
esteve	O
então	O
,	O
se	O
não	O
me	O
engano	O
,	O
como	O
...	O
chefe	O
de	O
gabinete	O
do	O
Ministro	B-PESSOA
da	I-PESSOA
Justiça	I-PESSOA
,	O
por	O
isso	O
,	O
voltámos	O
,	O
que	O
era	O
o	O
dr	B-PESSOA
.	I-PESSOA
Catanho	I-PESSOA
de	I-PESSOA
Meneses	I-PESSOA
.	O
Voltámos	O
para	O
Lisboa	B-LOCAL
e	O
foi	O
quando	O
saímos	O
de	O
Santa	B-LOCAL
Quitéria	I-LOCAL
para	O
a	O
Rua	B-LOCAL
Sampaio	I-LOCAL
Pina	I-LOCAL
.	O
E	O
na	O
Rua	B-LOCAL
Sampaio	I-LOCAL
Pina	I-LOCAL
,	O
que	O
era	O
ao	O
lado	O
do	O
Rádio	B-LOCAL
Clube	I-LOCAL
Português	I-LOCAL
,	O
a	O
casa	O
que	O
ainda	O
existe	O
hoje	B-TEMPO
e	O
faz	O
esquina	O
para	O
a	O
rua	O
Castilho	B-LOCAL
,	O
no	O
primeiro	O
andar	O
,	O
então	O
alugámos	O
essa	O
casa	O
,	O
e	O
aí	O
então	O
é	O
que	O
eu	O
comecei	O
foi	O
a	O
aprender	O
o	O
alemão	O
com	O
uma	O
preceptora	O
alemã	O
,	O
que	O
era	O
...	O
que	O
vinha	O
três	B-TEMPO
vezes	I-TEMPO
por	I-TEMPO
semana	I-TEMPO
,	O
dar	O
-	O
me	O
lição	O
de	O
alemão	O
.	O
Não	O
estava	O
lá	O
em	O
casa	O
,	O
havia	O
preceptoras	O
internas	O
,	O
que	O
estavam	O
dentro	O
,	O
que	O
eram	O
internas	O
,	O
estavam	O
lá	O
,	O
nas	O
casas	O
dos	O
respectivos	O
alunos	O
,	O
mas	O
aquela	O
senhora	O
,	O
a	O
Kaethe	B-PESSOA
Goethe	I-PESSOA
,	O
não	O
.	O
Vinha	O
três	B-TEMPO
vezes	I-TEMPO
por	I-TEMPO
semana	I-TEMPO
dar	O
-	O
me	O
a	O
lição	O
de	O
alemão	O
.	O
D	O
:	O
E	O
tu	O
gostavas	O
?	O
Gostava	O
!	O
Tinha	O
uns	O
livros	O
assim	O
muito	O
engraçados	O
,	O
que	O
ainda	O
hoje	B-TEMPO
conheces	O
,	O
que	O
conservo	O
.	O
D	O
:	O
E	O
ela	O
era	O
professora	O
?	O
Ela	O
era	O
professora	O
mesmo	O
,	O
ou	O
?	O
Era	O
professora	O
,	O
quero	O
dizer	O
ela	O
veio	O
para	O
Portugal	B-LOCAL
dar	O
aulas	O
.	O
Não	O
sei	O
se	O
veio	O
interna	O
para	O
uma	O
casa	O
e	O
depois	B-TEMPO
deixou	O
,	O
estava	O
...	O
D	O
:	O
Mas	O
enfim	O
,	O
não	O
é	O
uma	O
senhora	O
alemã	O
que	O
dava	O
umas	O
aulinhas	O
para	O
...	O
para	O
Não	O
,	O
ela	O
era	O
uma	O
senhora	O
que	O
tinha	O
vindo	O
da	O
Alemanha	B-LOCAL
só	O
para	O
ser	O
professora	O
,	O
e	O
tinha	O
...	O
tinha	O
-	O
se	O
instalado	O
numa	O
casa	O
que	O
era	O
o	O
lar	O
das	O
...	O
das	O
professoras	O
de	O
alemão	O
,	O
que	O
havia	O
nessa	B-TEMPO
altura	I-TEMPO
,	O
na	O
Avenida	B-LOCAL
,	O
perto	O
da	O
Praça	B-LOCAL
da	I-LOCAL
Alegria	I-LOCAL
.	O
Lembro	O
-	O
me	O
de	O
ela	O
lá	O
me	O
ter	O
levado	O
e	O
tenho	O
aí	O
até	O
fotografias	O
de	O
um	O
cão	O
,	O
desse	O
dito	O
lar	O
,	O
a	O
querer	O
abraçar	O
-	O
me	O
,	O
coisa	O
que	O
eu	O
não	O
gostei	O
nada	O
,	O
como	O
continuo	O
a	O
não	O
gostar	O
de	O
abraços	O
de	O
cão	O
.	O
D	O
:	O
Mas	O
já	O
tinhas	O
o	O
Sirius	B-COISA
...	O
Não	O
,	O
o	O
Sirius	B-COISA
veio	O
muitíssimo	B-TEMPO
mais	I-TEMPO
tarde	I-TEMPO
.	O
Não	O
,	O
na	O
Sampaio	B-LOCAL
Pina	I-LOCAL
não	O
tinha	O
o	O
Sirius	B-COISA
,	O
não	O
tinha	O
cão	O
nenhum	O
.	O
D	O
:	O
Então	O
tinhas	O
a	O
tua	O
mãe	O
,	O
como	O
professora	O
de	O
tudo	O
o	O
resto	O
e	O
a	O
senhora	O
Pois	O
,	O
o	O
resto	O
,	O
tinha	O
grandes	O
amigas	O
sempre	O
.	O
Constante	O
,	O
até	O
era	O
,	O
mais	O
até	O
que	O
as	O
minhas	O
primas	O
...	O
tinha	O
as	O
minhas	O
primas	O
,	O
e	O
tinha	O
a	O
Joaninha	B-PESSOA
Sampaio	I-PESSOA
e	I-PESSOA
Melo	I-PESSOA
,	O
que	O
era	O
filha	O
da	O
maior	O
amiga	O
da	O
minha	O
mãe	O
,	O
da	O
Lourinhã	B-LOCAL
.	O
A	O
hora	O
da	O
verdade	O
1	O
.	O
Hoje	B-TEMPO
à	I-TEMPO
noite	I-TEMPO
o	O
Benfica	B-PESSOA
tem	O
um	O
teste	O
elucidativo	O
sobre	O
o	O
seu	O
verdadeiro	O
valor	O
.	O
Teve	O
-	O
o	O
também	O
antes	B-TEMPO
contra	O
o	O
Manchester	B-PESSOA
United	I-PESSOA
,	O
onde	O
passou	O
com	O
distinção	O
,	O
é	O
facto	O
,	O
mas	O
o	O
Manchester	B-PESSOA
desta	B-TEMPO
época	I-TEMPO
e	O
,	O
sobretudo	O
,	O
o	O
de	B-TEMPO
Dezembro	I-TEMPO
passado	I-TEMPO
,	O
é	O
uma	O
pálida	O
imitação	O
dos	O
«	O
red	O
devils	O
»	O
de	O
um	O
passado	O
recente	O
,	O
que	O
tudo	O
atemorizavam	O
.	O
O	O
Liverpool	B-PESSOA
,	O
para	O
além	O
de	O
campeão	O
europeu	O
em	O
título	O
,	O
é	O
melhor	O
equipa	O
e	O
mais	O
calculista	O
.	O
Contra	O
ele	O
,	O
o	O
Benfica	B-PESSOA
tem	O
de	O
jogar	O
o	O
seu	O
máximo	O
e	O
então	O
se	O
verá	O
se	O
o	O
seu	O
máximo	O
está	O
ou	O
não	O
ao	O
mais	O
alto	O
nível	O
europeu	O
.	O
Ao	O
iniciar	O
com	O
uma	O
derrota	O
inapelável	O
este	O
terrível	O
ciclo	O
de	B-TEMPO
nove	I-TEMPO
dias	I-TEMPO
em	O
que	O
tudo	O
se	O
pode	O
sonhar	O
e	O
tudo	O
se	O
pode	O
perder	O
,	O
o	O
Benfica	B-PESSOA
de	O
Ronald	B-PESSOA
Koeman	I-PESSOA
parece	O
ter	O
lançado	O
a	O
descrença	O
entre	O
os	O
seus	O
---	O
adeptos	O
e	O
jornalistas	O
.	O
De	O
repente	O
,	O
a	O
tão	O
louvada	O
equipa	O
de	B-TEMPO
há	I-TEMPO
três	I-TEMPO
semanas	I-TEMPO
atrás	I-TEMPO
parece	O
já	O
não	O
inspirar	O
confiança	O
a	O
ninguém	O
e	O
o	O
seu	O
treinador	O
virou	O
um	O
saco	O
de	O
pancada	O
ao	O
alcance	O
de	O
todas	O
as	O
frustrações	O
.	O
Acusa	O
-	O
se	O
Koeman	B-PESSOA
de	O
mudar	O
constantemente	O
a	O
equipa	O
,	O
como	O
se	O
ele	O
fosse	O
responsável	O
pelas	O
lesões	O
e	O
castigos	O
ou	O
pela	O
chegada	O
de	O
uma	O
mini	O
-	O
enxurrada	O
de	O
reforços	O
em	B-TEMPO
Dezembro	I-TEMPO
,	O
anunciados	O
pela	O
Direcção	B-ORGANIZACAO
como	O
o	O
suplemento	O
que	O
faltava	O
para	O
a	O
conquista	O
da	O
Liga	B-OUTRO
dos	I-OUTRO
Campeões	I-OUTRO
e	O
que	O
ele	O
,	O
logicamente	O
,	O
tinha	O
de	O
experimentar	O
e	O
utilizar	O
.	O
E	O
esquecendo	O
-	O
se	O
até	O
de	O
que	O
foi	O
uma	O
dessas	O
inesperadas	O
«	O
revoluções	O
»	O
na	O
formação	O
da	O
equipa	O
que	O
conduziu	O
à	O
também	O
inesperada	O
vitória	O
contra	O
o	O
Manchester	B-PESSOA
.	O
Até	O
se	O
acusa	O
Koeman	B-PESSOA
de	O
já	O
ter	O
experimentado	O
quatro	O
guarda	O
-	O
redes	O
,	O
como	O
se	O
fosse	O
ele	O
o	O
culpado	O
pelas	O
lesões	O
de	O
Quim	B-PESSOA
e	O
de	O
Moreira	B-PESSOA
,	O
pela	O
manifesta	O
impreparação	O
de	O
Nereu	B-PESSOA
,	O
ou	O
pela	O
«	O
épica	O
»	O
contratação	O
de	O
Moretto	B-PESSOA
,	O
delirantemente	O
saudada	O
pela	O
massa	O
associativa	O
e	O
afins	O
.	O
Embora	O
não	O
me	O
motive	O
muito	O
perceber	O
o	O
que	O
se	O
passa	O
em	O
casa	O
alheia	O
,	O
a	O
mim	O
parece	O
-	O
me	O
que	O
,	O
mais	O
prosaicamente	O
,	O
a	O
questão	O
das	O
esperanças	O
traídas	O
no	O
Benfica	B-ORGANIZACAO
tem	O
sobretudo	O
a	O
ver	O
com	O
a	O
ilusão	O
criada	O
sobre	O
o	O
valor	O
real	O
da	O
equipa	O
.	O
Tudo	O
começou	O
na	O
época	O
passada	O
,	O
com	O
um	O
Campeonato	B-ACONTECIMENTO
e	O
uma	O
Taça	B-ACONTECIMENTO
ganhos	O
de	O
forma	O
que	O
foi	O
tudo	O
menos	O
convincente	O
mas	O
que	O
,	O
por	O
temor	O
ou	O
reverência	O
,	O
ninguém	O
se	O
atreveu	O
a	O
questionar	O
.	O
Por	O
isso	O
,	O
quando	O
Luís	B-PESSOA
Filipe	I-PESSOA
Vieira	I-PESSOA
disse	O
que	O
esta	O
era	O
uma	O
equipa	O
de	O
campeões	O
,	O
toda	O
a	O
gente	O
fingiu	O
que	O
sim	O
,	O
e	O
,	O
quando	O
,	O
reforços	O
