--DOCSTART--	--DOCSTART--
Groupis	O
?	O
--SENTENCE--	--SENTENCE--
A	O
que	O
ordem	O
pertencia	O
São	O
Tomás	O
de	O
Aquino	O
?	O
--SENTENCE--	--SENTENCE--
Que	O
ordem	O
foi	O
fundada	O
por	O
São	O
Francisco	O
de	O
Assis	O
?	O
--SENTENCE--	--SENTENCE--
Que	O
exército	O
era	O
comandado	O
por	O
Rommel	O
?	O
--SENTENCE--	--SENTENCE--
O	O
Bibendum	O
é	O
a	O
mascote	O
de	O
que	O
empresa	O
?	O
--SENTENCE--	--SENTENCE--
Como	O
se	O
chamava	O
o	O
barco	O
de	O
Costeau	O
?	O
--SENTENCE--	--SENTENCE--
Que	O
tipo	O
de	O
leite	O
se	O
usa	O
para	O
fazer	O
mozzarella	O
?	O
--SENTENCE--	--SENTENCE--
Como	O
se	O
chamava	O
a	O
espada	O
do	O
Rei	O
Artur	O
?	O
--SENTENCE--	--SENTENCE--
As	O
bolotas	O
são	O
o	O
fruto	O
de	O
que	O
árvore	O
?	O
--SENTENCE--	--SENTENCE--
De	O
que	O
planta	O
se	O
obtêm	O
a	O
juncinha	O
?	O
--SENTENCE--	--SENTENCE--
De	O
que	O
material	O
é	O
feito	O
um	O
Moai	O
?	O
--SENTENCE--	--SENTENCE--
Que	O
come	O
um	O
quebra-ossos	O
?	O
--SENTENCE--	--SENTENCE--
Como	O
se	O
chamava	O
a	O
bomba	O
atómica	O
largada	O
em	O
Nagasaqui	B-LOCAL_HUMANO_DIVISAO
?	O
--SENTENCE--	--SENTENCE--
Qual	O
foi	O
o	O
primeiro	O
libro	O
impresso	O
por	O
Gutenberg	O
?	O
--SENTENCE--	--SENTENCE--
Que	O
forma	O
tem	O
a	O
entrada	O
do	O
Museu	B-LOCAL_HUMANO_CONSTRUCAO
do	I-LOCAL_HUMANO_CONSTRUCAO
Louvre	I-LOCAL_HUMANO_CONSTRUCAO
?	O
--SENTENCE--	--SENTENCE--
Que	O
animais	O
puxam	O
o	O
carro	O
de	O
Cíbele	O
?	O
--SENTENCE--	--SENTENCE--
O	O
que	O
é	O
que	O
mede	O
a	O
escala	O
de	O
Mohs	O
?	O
--SENTENCE--	--SENTENCE--
Que	O
licor	O
se	O
faz	O
com	O
abrunheiro	O
?	O
--SENTENCE--	--SENTENCE--
Em	O
que	O
museu	O
estão	O
«	O
As	B-OBRA_ARTE_PINTURA
Meninas	I-OBRA_ARTE_PINTURA
»	O
de	O
Velasques	O
?	O
--SENTENCE--	--SENTENCE--
Que	O
escândalo	O
provocou	O
a	O
demissão	O
de	O
Nixon	O
?	O
--SENTENCE--	--SENTENCE--
Que	O
fabrica	O
a	O
Leica	O
?	O
--SENTENCE--	--SENTENCE--
Que	O
lado	O
de	O
um	O
barco	O
é	O
bombordo	O
?	O
--SENTENCE--	--SENTENCE--
Como	O
se	O
chamam	O
as	O
bolas	O
usadas	O
no	O
Quidditch	O
?	O
--SENTENCE--	--SENTENCE--
Quantas	O
pessoas	O
morreram	O
no	O
afundamento	O
do	O
USS	O
Maine	O
?	O
--SENTENCE--	--SENTENCE--
Quantos	O
atletas	O
participaram	O
nos	O
Jogos	O
Olímpicos	O
de	O
Barcelona	B-LOCAL_HUMANO_DIVISAO
?	O
--SENTENCE--	--SENTENCE--
Quantos	O
habitantes	O
tem	O
a	O
Lituânia	B-LOCAL_HUMANO_PAIS
?	O
--SENTENCE--	--SENTENCE--
Quantos	O
lugares	O
o	O
parlamento	O
da	O
Islândia	B-LOCAL_HUMANO_PAIS
?	O
--SENTENCE--	--SENTENCE--
Quantos	O
anos	O
durarão	O
as	O
reservas	O
mundiais	O
de	O
petróleo	O
?	O
--SENTENCE--	--SENTENCE--
Quantas	O
vezes	O
é	O
que	O
Alain	O
Prost	O
foi	O
campeão	O
do	O
Mundo	B-LOCAL_HUMANO_OUTRO
?	O
--SENTENCE--	--SENTENCE--
Quantos	O
cavalos	O
tem	O
as	O
turbinas	O
do	O
USS	O
Nimitz	O
?	O
--SENTENCE--	--SENTENCE--
Quantos	O
golos	O
se	O
marcaram	O
ao	O
todo	O
no	O
Mundial	O
de	O
1982	B-TEMPO_TEMPO_CALEND_DATA
?	O
--SENTENCE--	--SENTENCE--
Quantas	O
caves	O
tem	O
a	O
Torre	O
Picasso	O
?	O
--SENTENCE--	--SENTENCE--
Quantos	O
prémios	O
Goya	O
ganhou	O
``	O
Torrente	B-OBRA_REPRODUZIDA_FILME
:	I-OBRA_REPRODUZIDA_FILME
El	I-OBRA_REPRODUZIDA_FILME
brazo	I-OBRA_REPRODUZIDA_FILME
tonto	I-OBRA_REPRODUZIDA_FILME
de	I-OBRA_REPRODUZIDA_FILME
la	I-OBRA_REPRODUZIDA_FILME
ley	I-OBRA_REPRODUZIDA_FILME
``	O
?	O
--SENTENCE--	--SENTENCE--
Que	O
idade	O
tem	O
o	O
Sol	O
?	O
--SENTENCE--	--SENTENCE--
Qual	O
a	O
duração	O
do	O
filme	O
«	O
A	B-OBRA_REPRODUZIDA_FILME
Nona	I-OBRA_REPRODUZIDA_FILME
Porta	I-OBRA_REPRODUZIDA_FILME
»	O
?	O
--SENTENCE--	--SENTENCE--
Com	O
que	O
idade	O
morreu	O
Alfred	O
Hitchcock	O
?	O
--SENTENCE--	--SENTENCE--
Qual	O
a	O
envergadura	O
do	O
Airbus	O
380	O
?	O
--SENTENCE--	--SENTENCE--
Quantos	O
passageiros	O
transportou	O
no	B-TEMPO_TEMPO_CALEND_DATA
dia	I-TEMPO_TEMPO_CALEND_DATA
4	I-TEMPO_TEMPO_CALEND_DATA
de	I-TEMPO_TEMPO_CALEND_DATA
Setembro	I-TEMPO_TEMPO_CALEND_DATA
de	I-TEMPO_TEMPO_CALEND_DATA
2006	I-TEMPO_TEMPO_CALEND_DATA
?	O
--SENTENCE--	--SENTENCE--
Quanto	O
custa	O
cada	O
unidade	O
?	O
--SENTENCE--	--SENTENCE--
Qual	O
a	O
capacidade	O
de	O
carga	O
do	O
Antonov	O
An-124	O
?	O
--SENTENCE--	--SENTENCE--
Quais	O
são	O
os	O
membros	O
fundadores	O
da	O
Star	O
Alliance	O
?	O
--SENTENCE--	--SENTENCE--
Em	O
que	O
país	O
se	O
fala	O
náhuatl	O
?	O
--SENTENCE--	--SENTENCE--
Quantas	O
curvas	O
tem	O
o	O
Circuito	B-LOCAL_HUMANO_CONSTRUCAO
do	O
Mónaco	B-LOCAL_HUMANO_DIVISAO
?	O
--SENTENCE--	--SENTENCE--
Quem	O
foi	O
a	O
primeira	O
mulher	O
a	O
viajar	O
no	O
espaço	O
?	O
--SENTENCE--	--SENTENCE--
Quem	O
realizou	O
«	O
O	B-OBRA_REPRODUZIDA_FILME
Dia	I-OBRA_REPRODUZIDA_FILME
da	I-OBRA_REPRODUZIDA_FILME
Besta	I-OBRA_REPRODUZIDA_FILME
»	O
?	O
--SENTENCE--	--SENTENCE--
Quem	O
inaugurou	O
o	O
Templo	O
de	O
Debod	O
em	O
Madrid	B-LOCAL_HUMANO_DIVISAO
?	O
--SENTENCE--	--SENTENCE--
Em	O
que	O
ano	O
é	O
que	O
Torquemada	O
foi	O
nomeado	O
Inquisidor	O
Geral	O
?	O
--SENTENCE--	--SENTENCE--
Em	O
que	O
ano	O
foi	O
publicada	O
a	O
Gramática	B-OBRA_REPRODUZIDA_LIVRO
de	I-OBRA_REPRODUZIDA_LIVRO
Nebrija	I-OBRA_REPRODUZIDA_LIVRO
?	O
--SENTENCE--	--SENTENCE--
Onde	O
é	O
que	O
Rachel	O
Weisz	O
estudou	O
literatura	O
?	O
--SENTENCE--	--SENTENCE--
Em	O
que	O
cidade	O
fica	O
a	O
Sagrada	O
Família	O
de	O
Gaudí	O
?	O
--SENTENCE--	--SENTENCE--
Qual	O
a	O
altura	O
do	O
Vesúvio	O
?	O
--SENTENCE--	--SENTENCE--
A	O
quantos	O
quilómetros	O
de	O
Huesca	B-LOCAL_HUMANO_DIVISAO
fica	O
o	O
Castelo	B-LOCAL_HUMANO_CONSTRUCAO
de	O
Loarre	B-LOCAL_HUMANO_DIVISAO
?	O
--SENTENCE--	--SENTENCE--
Qual	O
a	O
massa	O
molécular	O
do	O
metanol	O
?	O
--SENTENCE--	--SENTENCE--
Qual	O
a	O
altura	O
da	O
Pirámede	O
do	O
Sol	O
de	O
Teotihuacan	B-LOCAL_HUMANO_DIVISAO
?	O
--SENTENCE--	--SENTENCE--
Quantos	O
saltos	O
formam	O
as	O
Cataratas	B-LOCAL_FISICO_AGUACURSO
do	I-LOCAL_FISICO_AGUACURSO
Iguaçú	I-LOCAL_FISICO_AGUACURSO
?	O
--SENTENCE--	--SENTENCE--
Quantos	O
degraus	O
tem	O
a	O
Torre	B-LOCAL_HUMANO_CONSTRUCAO
de	O
Pisa	B-LOCAL_HUMANO_DIVISAO
?	O
--SENTENCE--	--SENTENCE--
Quais	O
são	O
os	O
ingredientes	O
da	O
sangria	O
?	O
--SENTENCE--	--SENTENCE--
Quem	O
é	O
responsável	O
pela	O
segurança	O
da	O
Cidade	B-LOCAL_HUMANO_DIVISAO
do	I-LOCAL_HUMANO_DIVISAO
Vaticano	I-LOCAL_HUMANO_DIVISAO
?	O
--SENTENCE--	--SENTENCE--
Quem	O
atribui	O
a	O
Medalha	O
Fields	O
?	O
--SENTENCE--	--SENTENCE--
Para	O
quem	O
trabalha	O
Jack	O
Bauer	O
?	O
--SENTENCE--	--SENTENCE--
O	O
que	O
é	O
que	O
foi	O
usado	O
como	O
desfolhante	O
na	O
Guerra	O
do	O
Vietname	O
?	O
--SENTENCE--	--SENTENCE--
Qual	O
foi	O
o	O
nome	O
de	O
código	O
do	O
Desembarque	O
da	O
Normândia	O
?	O
--SENTENCE--	--SENTENCE--
De	O
que	O
fungo	O
se	O
obtêm	O
a	O
penicilina	O
?	O
--SENTENCE--	--SENTENCE--
De	O
que	O
molusco	O
é	O
que	O
os	O
fenícios	O
extraíam	O
a	O
tinta	O
púrpura	O
?	O
--SENTENCE--	--SENTENCE--
O	O
que	O
é	O
que	O
Manuel	O
Campello	O
Esclápez	O
descobriu	O
?	O
--SENTENCE--	--SENTENCE--
De	O
que	O
é	O
que	O
Jasão	O
e	O
os	O
Argonautas	O
andavam	O
à	O
procura	O
?	O
--SENTENCE--	--SENTENCE--
Quem	O
era	O
presidente	O
dos	O
Estados	B-LOCAL_HUMANO_PAIS
Unidos	I-LOCAL_HUMANO_PAIS
durante	O
o	O
ataque	O
a	O
Pearl	B-LOCAL_HUMANO_CONSTRUCAO
Harbour	I-LOCAL_HUMANO_CONSTRUCAO
?	O
--SENTENCE--	--SENTENCE--
O	O
que	O
é	O
que	O
a	O
Norsk	O
Hydro	O
produzia	O
durante	O
a	O
Segunda	O
Guerra	O
Mundial	O
?	O
--SENTENCE--	--SENTENCE--
Qual	O
o	O
tíulo	O
da	O
obra	O
que	O
ganhou	O
o	O
Prémio	O
Nadal	O
em	B-TEMPO_TEMPO_CALEND_DATA
1994	I-TEMPO_TEMPO_CALEND_DATA
?	O
--SENTENCE--	--SENTENCE--
Quantos	O
reservistas	O
tinha	O
a	O
Haganah	O
em	B-TEMPO_TEMPO_CALEND_DATA
1936	I-TEMPO_TEMPO_CALEND_DATA
?	O
--SENTENCE--	--SENTENCE--
Que	O
idade	O
tinha	O
Miguel	O
Induraín	O
durante	O
a	O
Volta	O
a	O
Espanha	O
de	B-TEMPO_TEMPO_CALEND_DATA
1985	I-TEMPO_TEMPO_CALEND_DATA
?	O
--SENTENCE--	--SENTENCE--
Em	O
que	O
ano	O
é	O
que	O
ele	O
ganhou	O
a	O
Volta	O
à	O
Espanha	O
?	O
--SENTENCE--	--SENTENCE--
Quantas	O
etapas	O
da	O
Volta	O
à	O
França	O
do	O
Futuro	O
de	B-TEMPO_TEMPO_CALEND_DATA
1986	I-TEMPO_TEMPO_CALEND_DATA
é	O
que	O
ele	O
ganhou	O
?	O
--SENTENCE--	--SENTENCE--
Que	O
prémio	O
é	O
que	O
ele	O
recebeu	O
em	B-TEMPO_TEMPO_CALEND_DATA
1992	I-TEMPO_TEMPO_CALEND_DATA
?	O
--SENTENCE--	--SENTENCE--
Que	O
actores	O
são	O
os	O
protagonistas	O
de	O
«	O
O	B-OBRA_REPRODUZIDA_FILME
Bom	I-OBRA_REPRODUZIDA_FILME
,	I-OBRA_REPRODUZIDA_FILME
o	I-OBRA_REPRODUZIDA_FILME
Mau	I-OBRA_REPRODUZIDA_FILME
e	I-OBRA_REPRODUZIDA_FILME
o	I-OBRA_REPRODUZIDA_FILME
Vilão	I-OBRA_REPRODUZIDA_FILME
``	O
?	O
--SENTENCE--	--SENTENCE--
Quantas	O
pessoas	O
morreram	O
na	O
Europa	B-LOCAL_HUMANO_DIVISAO
durante	O
a	O
epidemia	O
de	O
peste	O
do	B-TEMPO_TEMPO_CALEND_DATA
século	I-TEMPO_TEMPO_CALEND_DATA
XIV	I-TEMPO_TEMPO_CALEND_DATA
?	O
--SENTENCE--	--SENTENCE--
Em	O
que	O
país	O
teve	O
origem	O
a	O
epidemia	O
de	O
gripe	O
de	B-TEMPO_TEMPO_CALEND_DATA
1918	I-TEMPO_TEMPO_CALEND_DATA
?	O
--SENTENCE--	--SENTENCE--
Como	O
se	O
chamavam	O
os	O
Reis	O
Católicos	O
?	O
--SENTENCE--	--SENTENCE--
Como	O
se	O
chamava	O
o	O
presidente	O
do	O
Burundi	B-LOCAL_HUMANO_PAIS
que	O
morreu	O
em	B-TEMPO_TEMPO_CALEND_DATA
1994	I-TEMPO_TEMPO_CALEND_DATA
?	O
--SENTENCE--	--SENTENCE--
Em	O
que	O
dia	O
foi	O
promulgada	O
a	O
constituição	O
espanhola	O
de	B-TEMPO_TEMPO_CALEND_DATA
1812	I-TEMPO_TEMPO_CALEND_DATA
?	O
--SENTENCE--	--SENTENCE--
Quem	O
foi	O
o	O
capitão	O
do	O
Real	O
Sociedad	O
entre	B-TEMPO_TEMPO_CALEND_INTERVALO
1974	I-TEMPO_TEMPO_CALEND_INTERVALO
e	I-TEMPO_TEMPO_CALEND_INTERVALO
1989	I-TEMPO_TEMPO_CALEND_INTERVALO
?	O
--SENTENCE--	--SENTENCE--
Em	O
que	O
cidade	O
se	O
disputou	O
a	O
final	O
da	O
Taça	O
da	O
Europa	O
de	O
Basquete	O
de	B-TEMPO_TEMPO_CALEND_DATA
1996	I-TEMPO_TEMPO_CALEND_DATA
?	O
--SENTENCE--	--SENTENCE--
Que	O
grupo	O
terrorista	O
cometeu	O
um	O
atentado	O
durante	O
os	O
Jogos	O
Olímpicos	O
de	O
Munique	B-LOCAL_HUMANO_DIVISAO
?	O
--SENTENCE--	--SENTENCE--
Que	O
partido	O
político	O
governou	O
a	O
Espanha	B-LOCAL_HUMANO_PAIS
de	B-TEMPO_TEMPO_CALEND_INTERVALO
28	I-TEMPO_TEMPO_CALEND_INTERVALO
de	I-TEMPO_TEMPO_CALEND_INTERVALO
Outubro	I-TEMPO_TEMPO_CALEND_INTERVALO
de	I-TEMPO_TEMPO_CALEND_INTERVALO
1982	I-TEMPO_TEMPO_CALEND_INTERVALO
a	I-TEMPO_TEMPO_CALEND_INTERVALO
3	I-TEMPO_TEMPO_CALEND_INTERVALO
de	I-TEMPO_TEMPO_CALEND_INTERVALO
Março	I-TEMPO_TEMPO_CALEND_INTERVALO
de	I-TEMPO_TEMPO_CALEND_INTERVALO
1996	I-TEMPO_TEMPO_CALEND_INTERVALO
?	O
--SENTENCE--	--SENTENCE--
Que	O
farda	O
tinha	O
vestida	O
o	O
Rei	O
quando	O
apareceu	O
na	O
televisão	O
após	O
o	O
golpe	O
de	O
estado	O
de	O
Tejero	O
?	O
--SENTENCE--	--SENTENCE--
O	O
que	O
é	O
que	O
Leonardo	O
da	O
Vinci	O
desenhou	O
em	B-TEMPO_TEMPO_CALEND_DATA
1492	I-TEMPO_TEMPO_CALEND_DATA
?	O
--SENTENCE--	--SENTENCE--
O	O
que	O
é	O
que	O
Antonio	O
Rebollo	O
usou	O
para	O
acender	O
a	O
Chama	O
Olímpica	O
nos	O
Jogos	O
Olímpicos	O
de	O
Barcelona	B-LOCAL_HUMANO_DIVISAO
?	O
--SENTENCE--	--SENTENCE--
Que	O
programa	O
de	O
televisão	O
apresentou	O
Takeshi	O
Kitano	O
de	B-TEMPO_TEMPO_CALEND_INTERVALO
1986	I-TEMPO_TEMPO_CALEND_INTERVALO
a	I-TEMPO_TEMPO_CALEND_INTERVALO
1989	I-TEMPO_TEMPO_CALEND_INTERVALO
?	O
--SENTENCE--	--SENTENCE--
Que	O
presente	O
é	O
que	O
Nova	B-LOCAL_HUMANO_DIVISAO
Iorque	I-LOCAL_HUMANO_DIVISAO
recebeu	O
para	O
comemorar	O
o	O
centenário	O
da	O
indepêndencia	O
dos	O
Estados	B-LOCAL_HUMANO_PAIS
Unidos	I-LOCAL_HUMANO_PAIS
?	O
--SENTENCE--	--SENTENCE--
Qual	O
foi	O
a	O
distribuidora	O
do	O
filme	O
«	O
O	B-OBRA_REPRODUZIDA_FILME
Planeta	I-OBRA_REPRODUZIDA_FILME
dos	I-OBRA_REPRODUZIDA_FILME
Macacos	I-OBRA_REPRODUZIDA_FILME
»	O
que	O
estreou	O
em	B-TEMPO_TEMPO_CALEND_DATA
1968	I-TEMPO_TEMPO_CALEND_DATA
?	O
--SENTENCE--	--SENTENCE--
Que	O
velocidade	O
atingiu	O
Louis	O
Blériot	O
a	B-TEMPO_TEMPO_CALEND_DATA
25	I-TEMPO_TEMPO_CALEND_DATA
de	I-TEMPO_TEMPO_CALEND_DATA
