Ministério	B-ACONTECIMENTO
ter	O
havido	O
muitos	O
participantes	O
,	O
mas	O
houve	O
quem	O
divulgasse	O
a	O
sua	O
opção	O
pela	O
bicicleta	O
como	O
meio	O
de	O
transporte	O
principal	O
ou	O
secundário	O
.	O
Joana	B-PESSOA
Marinho	I-PESSOA
,	O
uma	O
estudante	O
universitária	B-TEMPO
de	I-TEMPO
25	I-TEMPO
anos	I-TEMPO
,	O
de	O
Vila	B-PESSOA
do	I-PESSOA
Conde	I-PESSOA
:	O
``	O
Tudo	O
começou	O
quando	O
os	O
meus	O
pais	O
acoplaram	O
às	O
bicicletas	O
cestinhos	O
de	O
verga	O
para	O
nos	O
levarem	O
,	O
a	O
mim	O
e	O
aos	O
meus	O
irmãos	O
,	O
nas	O
deslocações	O
ao	O
supermercado	O
e	O
à	O
praia	O
.	O
A	B-TEMPO
partir	I-TEMPO
dos	I-TEMPO
seis	I-TEMPO
anos	I-TEMPO
,	O
eu	O
e	O
o	O
meu	O
irmão	O
mais	O
velho	O
íamos	O
para	O
a	O
escola	O
de	O
bicicleta	O
.	O
Este	O
hábito	O
perdura	O
até	B-TEMPO
hoje	I-TEMPO
,	O
ao	O
qual	O
se	O
acrescentaram	O
muitas	O
outras	O
medidas	O
.	O
''	O
Também	B-PESSOA
Vítor	I-PESSOA
Pereira	I-PESSOA
,	O
um	O
recém-licenciado	O
em	B-TEMPO
Medicina	I-TEMPO
,	O
28	B-TEMPO
anos	I-TEMPO
,	O
de	O
Matosinhos	B-PESSOA
,	O
usa	O
a	O
bicicleta	O
como	O
opção	O
de	O
transporte	O
:	O
``	O
-LRB-	O
...	O
-RRB-	O
a	O
ida	O
para	O
o	O
trabalho	O
,	O
sempre	O
que	O
possível	O
uso	O
a	O
bicicleta	O
ou	O
o	O
transporte	O
público	O
.	O
''	O
Obrigada	O
ao	O
Hugo	B-PESSOA
Jorge	I-PESSOA
pela	O
dica	O
.	O
COISAS	O
DA	O
SÁBADO	O
:	O
NÃO	O
HÁ	O
MAL	O
QUE	O
SEMPRE	O
DURE	O
,	O
NEM	O
BEM	O
QUE	O
NUNCA	O
ACABE	O
1	O
.	O
Acabou	O
para	O
Sócrates	B-LOCAL
o	O
alibi	O
dos	O
governos	O
anteriores	O
.	O
Com	O
excepcionais	O
condições	O
de	O
governação	O
,	O
com	O
maioria	O
absoluta	O
,	O
com	O
o	O
show	O
europeu	O
para	O
dar	O
dimensão	O
internacional	O
,	O
sem	O
``	O
forças	O
de	O
bloqueio	O
''	O
na	O
Presidência	B-LOCAL
,	O
com	O
uma	O
oposição	O
nos	B-TEMPO
dois	I-TEMPO
primeiros	I-TEMPO
anos	I-TEMPO
muito	I-TEMPO
mais	I-TEMPO
responsável	O
do	O
que	O
alguma	O
vez	O
o	O
PS	B-ORGANIZACAO
foi	O
,	O
gozando	O
de	O
muitas	O
simpatias	O
e	O
ainda	O
de	O
mais	O
cumplicidades	O
,	O
mas	O
agora	O
são	O
os	O
resultados	O
que	O
se	O
esperam	O
.	O
Os	O
primeiros	O
resultados	O
que	O
se	O
conhecem	O
são	O
todos	O
maus	O
com	O
excepção	O
do	O
controlo	O
do	O
défice	O
e	O
mesmo	O
aí	O
parece	O
-LRB-	O
ao	O
Tribunal	B-OBRA
de	I-OBRA
Contas	I-OBRA
-RRB-	O
que	O
as	O
coisas	O
também	O
não	O
são	O
tão	O
boas	O
como	O
se	O
pensava	O
.	O
O	O
empobrecimento	O
dos	O
portugueses	O
continua	O
e	O
é	O
um	O
empobrecimento	O
sem	O
esperança	O
.	O
Como	O
se	O
todos	O
fossem	O
,	O
a	O
seu	O
modo	O
,	O
um	O
desempregado	O
com	O
quarenta	O
anos	O
.	O
2	O
.	O
A	O
propaganda	O
governamental	O
está	O
a	O
esgotar-se	O
.	O
PowerPoint	O
,	O
simulações	O
de	O
computador	O
,	O
assistências	O
reverendas	O
ou	O
de	O
casting	O
,	O
já	O
só	O
sobrevivem	O
na	O
RTP	B-ORGANIZACAO
e	O
nos	O
``	O
momentos	O
-	O
``	O
Chávez	O
''	O
.	O
Os	O
especialistas	O
,	O
as	O
agências	O
,	O
os	O
assessores	O
,	O
bem	O
podem	O
estudar	O
novas	O
fórmulas	O
para	O
``	O
comunicar	O
''	O
,	O
que	O
a	O
teimosia	O
dos	O
factos	O
erodiu	O
as	O
técnicas	O
de	O
propaganda	O
que	O
o	O
governo	O
e	O
o	O
Primeiro-ministro	O
tem	O
usado	O
até	O
à	O
exaustâo	O
.	O
3	O
.	O
As	O
reformas	O
estilo	O
Sócrates	B-PESSOA
não	O
passaram	O
na	O
maioria	O
dos	O
casos	O
de	O
medidas	O
de	O
contenção	O
orçamental	O
e	O
,	O
só	O
em	O
raros	O
casos	O
,	O
foram	O
medidas	O
de	O
verdadeira	O
reforma	O
.	O
Mas	O
quer	O
as	O
verdadeiras	O
quer	O
as	O
falsas	O
reformas	O
foram	O
sempre	O
acompanhadas	O
de	O
um	O
discurso	O
de	O
agressividade	O
populista	O
contra	O
as	O
classes	O
e	O
grupos	O
profissionais	O
destinatários	O
--	O
funcionários	O
públicos	O
,	O
professores	O
,	O
agentes	O
da	O
justiça	O
,	O
jornalistas	O
--	O
que	O
motivaram	O
respostas	O
corporativas	O
.	O
Este	O
estilo	O
agressivo	O
colocou	O
os	O
grupos	O
profissionais	O
inteiros	O
contra	O
o	O
governo	O
em	O
vez	O
de	O
os	O
dividir	O
entre	O
sectores	O
conservadores	O
e	O
``	O
modernizadores	O
''	O
,	O
o	O
que	O
retirou	O
eficácia	O
às	O
poucas	O
reformas	O
genuínas	O
que	O
se	O
esboçaram	O
.	O
4	O
.	O
Três	O
programas	O
emblemáticos	O
caracterizaram	O
este	O
governo	O
:	O
o	O
Plano	B-PESSOA
Tecnológico	I-PESSOA
,	O
o	O
Simplex	B-PESSOA
e	O
as	O
``	O
Novas	B-ABSTRACCAO
Oportunidades	I-ABSTRACCAO
''	O
.	O
O	O
que	O
de	O
melhor	O
o	O
governo	O
Sócrates	B-PESSOA
fez	O
,	O
passou	O
por	O
aqui	O
.	O
Talvez	O
,	O
de	O
todos	O
,	O
o	O
Simplex	B-PESSOA
tenha	O
sido	O
o	O
que	O
melhores	O
resultados	O
trouxe	O
.	O
Ainda	O
é	O
cedo	O
para	O
se	O
fazer	O
uma	O
avaliação	O
global	O
,	O
mas	O
a	O
simplificação	O
burocrática	O
conheceu	O
um	O
impulso	O
sério	O
.	O
5	O
.	O
O	O
Plano	O
Tecnológico	O
traduz	O
muito	O
do	O
deslumbramento	O
de	O
Sócrates	B-PESSOA
e	O
da	O
sua	O
geração	O
pelo	O
poder	O
das	O
tecnologias	O
,	O
e	O
pela	O
crença	O
que	O
as	O
tecnologias	O
tem	O
efeitos	O
sociais	O
de	O
per	O
si	O
.	O
Não	O
tem	O
.	O
São	O
instrumentos	O
que	O
só	O
actuam	O
em	O
contextos	O
sociais	O
próprios	O
e	O
muitos	O
milhares	O
de	O
euros	O
de	O
material	O
avariado	O
,	O
computadores	O
,	O
gadgets	O
,	O
estão	O
por	O
essas	O
escolas	O
e	O
instituições	O
públicas	O
onde	O
depois	O
das	O
belas	O
sessões	O
públicas	O
de	O
ofertas	O
e	O
inaugurações	O
não	O
se	O
cuidou	O
,	O
por	O
exemplo	O
,	O
da	O
manutenção	O
.	O
Para	O
além	O
disso	O
,	O
ter	O
banda	O
larga	O
em	O
Ferreira	B-LOCAL
do	I-LOCAL
Alentejo	I-LOCAL
é	O
excelente	O
se	O
ela	O
servir	O
para	O
alguma	O
coisa	O
,	O
se	O
as	O
literacias	O
para	O
a	O
usar	O
existirem	O
para	O
além	O
da	O
ida	O
à	O
Internet	O
para	O
ver	O
os	O
sítios	O
de	O
futebol	O
,	O
pornografia	O
e	O
as	O
fotografias	O
da	O
turma	O
no	O
Hi5	O
.	O
Bibliografia	B-OBRA
de	I-OBRA
Censurados	I-OBRA
Os	I-OBRA
Censurados	I-OBRA
nasceram	I-OBRA
em	I-OBRA
Lisboa	I-OBRA
''	O
no	B-TEMPO
ano	I-TEMPO
de	I-TEMPO
1988	I-TEMPO
,	O
pelo	O
antigo	O
vocalista	O
da	O
banda	O
Ku	O
de	O
Judas	B-PESSOA
,	O
João	B-PESSOA
Ribas	I-PESSOA
,	O
juntando-se-lhe	O
Orlando	B-PESSOA
Cohen	I-PESSOA
,	O
o	O
ex-membro	O
dos	O
Peste	B-PESSOA
&	I-PESSOA
Sida	I-PESSOA
,	O
Samuel	B-PESSOA
Palitos	I-PESSOA
e	O
ainda	O
Fred	B-PESSOA
Valsassina	I-PESSOA
.	O
Os	O
Censurados	B-LOCAL
começaram	O
por	O
tocar	O
ao	O
vivo	O
.	O
Muito	O
.	O
As	O
letras	O
,	O
em	O
português	O
,	O
eram	O
simples	O
e	O
directas	O
,	O
refrões	O
fortes	O
que	O
traduziam	O
o	O
sentimento	O
da	O
juventude	O
da	O
era	O
Cavaquista	B-PESSOA
.	O
O	O
primeiro	O
registo	O
em	O
vinil	O
,	O
na	O
compilação	O
''	O
Feedback	B-OBRA
''	O
incluiu	O
os	O
temas	O
''	O
Senhores	B-OBRA
Politicos	I-OBRA
''	O
,	O
Não	B-OBRA
Vales	I-OBRA
Nada	I-OBRA
''	O
e	O
''	O
Está	B-OBRA
a	I-OBRA
andar	I-OBRA
de	I-OBRA
Mota	I-OBRA
''	O
-LRB-	O
um	O
instrumental	O
-RRB-	O
.	O
''	O
Tu	B-OBRA
ò	I-OBRA
Bófia	I-OBRA
''	O
,	O
''	O
Não	B-OBRA
Vales	I-OBRA
Nada	I-OBRA
''	O
,	O
''	O
Angústia	B-OBRA
''	O
,	O
''	O
Senhores	B-OBRA
Politicos	I-OBRA
''	O
eram	O
temas	O
fortíssimos	O
que	O
foram	O
passando	O
de	O
cassete	O
em	O
cassete	O
e	O
eram	O
entoados	O
em	O
coro	O
nos	O
concertos	O
muito	O
antes	O
do	O
lançamento	O
do	O
álbum	O
''	O
Censurados	B-OBRA
''	O
1990	B-TEMPO
.	O
Este	O
disco	O
é	O
um	O
album	O
histórico	O
que	O
foi	O
aclamado	O
pela	O
mais	O
importante	O
fanzine	O
dedicada	O
ao	O
Punk	B-PESSOA
e	O
Hardore	B-PESSOA
``	O
na	O
altura	O
,	O
a	O
Maximum	B-PESSOA
Rockn	I-PESSOA
`	I-PESSOA
Roll	I-PESSOA
-LRB-	O
EUA	B-ORGANIZACAO
-RRB-	O
apesar	O
das	O
letras	O
em	O
português	O
,	O
o	O
que	O
mostra	O
a	O
qualidade	O
das	O
composições	O
e	O
sobretudo	O
das	O
prestações	O
dos	O
músicos	O
.	O
Em	B-TEMPO
1991	I-TEMPO
editam	O
o	O
2º	O
album	O
''	O
Confusão	B-OBRA
''	O
e	O
passam	O
os	O
anos	O
seguintes	O
na	O
estrada	O
.	O
Em	B-TEMPO
1993	I-TEMPO
sai	O
o	O
''	O
Sopa	O
''	O
com	O
o	O
single	O
de	O
mesmo	O
nome	O
e	O
uma	O
participação	O
de	O
Jorge	B-PESSOA
Palma	I-PESSOA
na	O
música	O
''	O
Estou	O
agarrado	O
a	O
ti	O
''	O
.	O
O	B-TEMPO
ano	I-TEMPO
de	I-TEMPO
1994	I-TEMPO
é	I-TEMPO
o	I-TEMPO
ano	I-TEMPO
da	O
despedida	O
,	O
mas	O
antes	O
participam	O
no	O
tributo	O
a	O
Zeca	B-PESSOA
Afonso	I-PESSOA
,	O
''	O
Filhos	B-OBRA
da	I-OBRA
Madrugada	I-OBRA
''	O
com	O
a	O
reedição	O
do	O
tema	O
''	O
O	O
que	O
faz	O
falta	O
''	O
.	O
Em	B-TEMPO
1998	I-TEMPO
a	O
editora	O
''	O
El	B-OBRA
Tatu	I-OBRA
''	O
de	O
Tim	B-OBRA
reedita	I-OBRA
os	I-OBRA
albuns	I-OBRA
''	O
Censurados	B-OBRA
''	O
e	O
''	O
Sopa	O
''	O
.	O
Em	B-TEMPO
1999	I-TEMPO
os	O
Censurados	B-PESSOA
reaparecem	O
,	O
para	O
rejubilo	O
dos	O
fãns	O
,	O
participando	O
no	O
tributo	O
de	O
Xutos	B-LOCAL
&	I-LOCAL
Pontapés	I-LOCAL
,	O
''	O
XX	B-OBRA
Anos	I-OBRA
XX	I-OBRA
Bandas	I-OBRA
''	O
.	O
Participaram	O
na	O
tourné	O
de	O
promoção	O
desse	O
disco	O
com	O
os	O
Xutos	B-PESSOA
,	O
mas	O
ao	O
contrário	O
do	O
que	O
se	O
esperava	O
os	O
Censurados	B-PESSOA
ficaram	O
por	O
aí	O
,	O
não	O
voltando	O
nunca	O
mais	O
.	O
Em	B-TEMPO
2006	I-TEMPO
é	O
lançado	O
a	O
biografia	O
da	O
banda	O
,	O
''	O
Censurados	B-OBRA
Até	I-OBRA
Morrer	I-OBRA
''	O
,	O
escrita	O
por	O
Augusto	B-PESSOA
Figueira	I-PESSOA
e	O
Renato	B-PESSOA
Conteiro	I-PESSOA
.	O
Terramoto	O
de	B-TEMPO
1755	I-TEMPO
O	O
Terramoto	O
O	O
sismo	O
fez-se	O
sentir	O
na	B-TEMPO
manhã	I-TEMPO
de	I-TEMPO
1	I-TEMPO
de	I-TEMPO
Novembro	I-TEMPO
de	I-TEMPO
1755	I-TEMPO
,	O
dia	O
que	O
coincide	O
com	O
o	O
feriado	O
do	B-TEMPO
Dia	I-TEMPO
de	I-TEMPO
Todos-os-Santos	I-TEMPO
.	O
O	O
epicentro	O
não	O
é	O
conhecido	O
com	O
exactidão	O
,	O
havendo	O
diversos	O
sismólogos	O
que	O
propõem	O
locais	O
distanciados	O
de	O
centenas	O
de	O
quilómetros	O
.	O
No	O
entanto	O
,	O
todos	O
convergem	O
para	O
um	O
epicentro	O
no	O
mar	O
,	O
entre	B-VALOR
150	I-VALOR
a	I-VALOR
500	I-VALOR
quilómetros	I-VALOR
a	O
sudoeste	O
de	O
Lisboa	B-LOCAL
.	O
Devido	O
a	O
um	O
forte	O
sismo	O
,	O
ocorrido	O
em	B-TEMPO
1969	I-TEMPO
no	O
Banco	B-LOCAL
de	I-LOCAL
Gorringe	I-LOCAL
,	O
este	O
local	O
tem	O
sido	O
apontado	O
como	O
tendo	O
forte	O
probabilidade	O
de	O
aí	O
se	O
ter	O
situado	O
o	O
epicentro	O
em	B-TEMPO
1755	I-TEMPO
.	O
Relatos	O
da	O
época	O
afirmam	O
que	O
os	O
abalos	O
foram	O
sentidos	O
,	O
consoante	O
o	O
local	O
,	O
durante	B-TEMPO
entre	I-TEMPO
6	I-TEMPO
minutos	I-TEMPO
a	I-TEMPO
2	I-TEMPO
horas	I-TEMPO
e	O
meia	O
,	O
causando	O
fissuras	O
enormes	O
de	O
que	O
ainda	O
hoje	B-TEMPO
há	O
vestígios	O
em	O
Lisboa	B-LOCAL
.	O
Com	O
os	O
vários	O
desmoronamentos	O
os	O
sobreviventes	O
procuraram	O
refúgio	O
na	O
zona	O
portuária	O
e	O
assistiram	O
ao	O
recuo	O
das	O
águas	O
,	O
revelando	O
o	O
fundo	O
do	O
mar	O
cheio	O
de	O
destroços	O
de	O
navios	O
e	O
cargas	O
perdidas	O
.	O
Poucas	O
dezenas	O
de	B-TEMPO
minutos	I-TEMPO
depois	I-TEMPO
,	O
um	O
tsunami	O
,	O
que	O
actualmente	O
se	O
supõe	O
ter	O
atingido	O
20	B-VALOR
metros	I-VALOR
de	O
altura	O
,	O
fez	O
submergir	O
o	O
porto	O
e	O
o	O
centro	O
da	O
cidade	O
.	O
Nas	O
áreas	O
que	O
não	O
foram	O
afectadas	O
pelo	O
tsunami	O
,	O
o	O
fogo	O
logo	O
se	O
alastrou	O
,	O
e	O
os	B-TEMPO
incêndios	I-TEMPO
duraram	I-TEMPO
pelo	I-TEMPO
menos	I-TEMPO
cinco	I-TEMPO
dias	I-TEMPO
.	O
Todos	O
tinham	O
fugido	O
e	O
não	O
havia	O
quem	O
o	O
apagasse	O
.	O
Lisboa	B-LOCAL
não	O
foi	O
a	O
única	O
cidade	O
portuguesa	O
afectada	O
pela	O
catástrofe	O
.	O
Todo	O
o	O
sul	O
de	O
Portugal	B-LOCAL
,	O
nomeadamente	O
o	O
Algarve	B-LOCAL
,	O
foi	O
atingido	O
e	O
a	O
destruição	O
foi	O
generalizada	O
.	O
As	O
ondas	O
de	O
choque	O
do	O
sismo	O
foram	O
sentidas	O
por	O
toda	O
a	O
Europa	B-ORGANIZACAO
e	O
norte	O
da	O
África	B-ORGANIZACAO
.	O
Os	O
maremotos	O
originados	O
pela	O
movimentação	O
tectónica	O
varreram	O
desde	O
do	O
norte	O
de	O
África	B-LOCAL
até	O
ao	O
norte	O
da	O
Europa	B-ORGANIZACAO
,	O
nomeadamente	O
até	O
à	B-PESSOA
Finlândia	I-PESSOA
e	O
através	O
do	O
Atlântico	B-LOCAL
,	O
afectando	O
locais	O
tão	O
longínquos	O
como	O
Martinica	B-PESSOA
e	O
Barbados	B-PESSOA
.	O
De	O
uma	O
população	O
de	O
275	B-VALOR
mil	I-VALOR
habitantes	O
em	O
Lisboa	B-LOCAL
,	O
crê-se	O
que	O
90	B-VALOR
mil	I-VALOR
morreram	O
-LSB-	O
2	O
-RSB-	O
.	O
Outros	B-VALOR
10	I-VALOR
mil	I-VALOR
foram	O
vitimados	O
em	O
Marrocos	B-LOCAL
.	O
Cerca	B-VALOR
de	I-VALOR
85	I-VALOR
%	I-VALOR
das	O
construções	O
de	O
Lisboa	B-LOCAL
foram	O
destruídas	O
,	O
incluindo	O
palácios	O
famosos	O
e	O
bibliotecas	O
,	O
conventos	O
e	O
igrejas	O
,	O
hospitais	O
e	O
todas	O
as	O
estruturas	O
.	O
Várias	O
construções	O
que	O
sofreram	O
poucos	O
danos	O
pelo	O
terramoto	O
foram	O
destruídas	O
pelo	O
fogo	O
que	O
se	O
seguiu	O
ao	O
abalo	O
sísmico	O
.	O
A	O
recém	O
construída	O
Casa	B-LOCAL
da	I-LOCAL
Ópera	I-LOCAL
,	O
aberta	O
apenas	O
seis	B-TEMPO
meses	I-TEMPO
antes	I-TEMPO
,	O
foi	O
totalmente	O
consumida	O
pelo	O
fogo	O
.	O
O	O
Palácio	B-PESSOA
Real	I-PESSOA
,	O
que	O
se	O
situava	O
na	O
margem	O
do	O
Tejo	B-LOCAL
,	O
onde	O
hoje	B-TEMPO
existe	O
o	O
Terreiro	B-PESSOA
do	I-PESSOA
Paço	I-PESSOA
,	O
foi	O
destruído	O
pelos	O
abalos	O
sísmicos	O
e	O
pelo	O
tsunami	O
.	O
Dentro	O
,	O
a	O
biblioteca	O
de	O
70	B-VALOR
mil	I-VALOR
volumes	O
e	O
centenas	O
de	O
obras	O
de	O
arte	O
,	O
incluindo	O
pinturas	O
de	O
Ticiano	B-PESSOA
,	O
Rubens	B-PESSOA
,	O
e	O
Correggio	B-PESSOA
,	O
foram	O
perdidas	O
.	O
O	O
precioso	O
Arquivo	O
Real	O
com	O
documentos	O
relativos	O
à	O
exploração	O
oceânica	O
e	O
outros	O
documentos	O
antigos	O
também	O
foram	O
perdidos	O
.	O
O	O
terramoto	O
destruiu	O
ainda	O
as	O
maiores	O
igrejas	O
de	O
Lisboa	B-LOCAL
,	O
especialmente	O
a	O
Catedral	B-ABSTRACCAO
de	I-ABSTRACCAO
Santa	I-ABSTRACCAO
Maria	I-ABSTRACCAO
,	O
e	O
as	O
Basílicas	B-LOCAL
de	O
São	B-LOCAL
Paulo	I-LOCAL
,	O
Santa	B-LOCAL
Catarina	I-LOCAL
,	O
São	B-PESSOA
Vicente	I-PESSOA
de	I-PESSOA
Fora	I-PESSOA
,	O
e	O
a	O
da	O
Misericórdia	B-ORGANIZACAO
.	O
As	O
ruínas	O
do	O
Convento	B-ORGANIZACAO
do	I-ORGANIZACAO
Carmo	I-ORGANIZACAO
ainda	O
hoje	B-TEMPO
podem	O
ser	O
visitadas	O
no	O
centro	O
da	O
cidade	O
.	O
O	O
túmulo	O
de	O
Nuno	B-PESSOA
Álvares	I-PESSOA
Pereira	I-PESSOA
,	O
nesse	O
convento	O
,	O
perdeu-se	O
também	O
.	O
O	O
Hospital	B-ACONTECIMENTO
Real	I-ACONTECIMENTO
de	I-ACONTECIMENTO
Todos	I-ACONTECIMENTO
os	I-ACONTECIMENTO
Santos	I-ACONTECIMENTO
foi	O
consumido	O
pelos	O
fogos	O
e	O
centenas	O
de	O
pacientes	O
morreram	O
queimados	O
.	O
Registos	O
históricos	O
das	O
viagens	O
de	O
Vasco	B-PESSOA
da	I-PESSOA
Gama	I-PESSOA
e	O
Cristóvão	B-PESSOA
Colombo	I-PESSOA
foram	O
perdidos	O
,	O
e	O
incontáveis	O
construções	O
foram	O
arrasadas	O
-LRB-	O
incluindo	O
muitos	O
exemplares	O
da	O
arquitectura	O
do	O
período	O
Manuelino	O
em	O
Portugal	B-LOCAL
-RRB-	O
.	O
ONDE	O
ESTÁ	O
O	O
PSD	B-ORGANIZACAO
?	O
É	O
só	O
uma	O
questão	O
de	O
tempo	O
até	O
os	O
jornais	O
começarem	O
a	O
perguntar	O
onde	O
está	O
o	O
PSD	B-ORGANIZACAO
,	O
onde	O
está	O
Menezes	B-PESSOA
,	O
onde	O
está	O
a	O
oposição	O
vinda	O
do	O
partido	O
que	O
é	O
suposto	O
``	O
liderá-la	O
''	O
,	O
que	O
não	O
se	O
vê	O
em	O
parte	O
nenhuma	O
.	O
O	O
PP	B-COISA
,	O
o	O
PCP	B-ORGANIZACAO
e	O
o	O
BE	O
,	O
nalguns	O
casos	O
mesmo	O
alguns	O
raros	O
dissidentes	O
do	O
PS	B-ORGANIZACAO
socrático	O
,	O
têm	O
criticado	O
o	O
Governo	B-ORGANIZACAO
,	O
enquanto	O
o	O
PSD	B-ORGANIZACAO
passa	O
entre	O
as	O
sombras	O
,	O
ou	O
ficando	O
pura	O
e	O
simplesmente	O
silencioso	O
,	O
ou	O
murmurando	O
umas	O
críticas	O
de	O
circunstância	O
que	O
ninguém	O
ouve	O
,	O
ou	O
,	O
em	O
muitos	O
casos	O
,	O
concordando	O
com	O
o	O
Governo	B-ORGANIZACAO
e	O
o	O
PS	B-ORGANIZACAO
.	O
O	O
único	O
``	O
não	O
''	O
sonoro	O
que	O
se	O
ouviu	O
foi	O
a	O
recusa	O
do	O
empréstimo	O
à	O
Câmara	O
de	O
Lisboa	B-LOCAL
,	O
acompanhado	O
por	O
uma	O
condução	O
política	O
que	O
primou	O
pela	O
completa	O
inépcia	O
.	O
Esse	O
é	O
daqueles	O
que	O
mais	O
valia	O
não	O
se	O
ter	O
ouvido	O
,	O
sem	O
com	O
isso	O
dizer	O
que	O
Costa	B-PESSOA
tinha	O
razão	O
,	O
que	O
não	O
a	O
tinha	O
.	O
A	O
pergunta	O
do	O
``	O
onde	O
está	O
''	O
é	O
tradicional	O
na	O
comunicação	O
social	O
e	O
