P	B-COISA
originalmente	O
um	O
nome	O
,	O
mas	O
logo	O
veio	O
a	O
significar	O
azul	O
por	O
causa	O
de	O
sua	O
associação	O
com	O
a	O
pedra.	O
A	O
palavra	O
em	O
inglês	O
azure	O
,	O
do	O
azul	O
espanhol	O
e	O
português	O
,	O
e	O
o	O
azzurro	O
italiano	O
são	O
cognatos.	O
História	B-COISA
No	O
antigo	O
Egito	O
o	O
lápis-lazúli	O
era	O
a	O
pedra	O
favorita	O
para	O
amuletos	O
e	O
ornamentos	O
;	O
foi	O
usado	O
também	O
pelos	B-TEMPO
assírios	O
e	O
pelos	O
babilônicos	O
nos	O
selos	O
cilíndricos	O
(	O
locais	O
onde	O
se	O
gravavam	O
pinturas	O
contando	O
a	O
historia	O
do	O
povo	O
)	O
.	O
As	O
escavações	O
egípcias	O
que	O
datam	O
de	O
3000	O
a.C.	O
continham	O
milhares	O
de	O
artigos	O
como	O
jóia	O
,	O
muitos	O
feitos	O
de	O
lápis.	O
Os	B-OBRA
lápis	O
pulverizados	O
foram	O
usados	O
por	O
senhoras	O
egípcias	O
como	O
uma	O
sombra	O
cosmética	O
para	O
o	O
olho.	O
Como	O
inscrito	O
no	O
capítulo	O
140	B-VALOR
do	O
Livro	B-OBRA
dos	O
Mortos	O
egípcio	O
,	O
o	O
lápis	O
lazúli	O
,	O
na	O
forma	O
de	O
um	O
olho	O
ajustado	O
no	O
ouro	O
,	O
foi	O
considerado	O
um	O
amuleto	O
de	O
grande	O
poder.	O
No	O
último	O
dia	B-TEMPO
do	I-TEMPO
mês	I-TEMPO
,	O
oferecia-se	O
este	O
olho	O
simbólico	O
,	O
porque	O
se	O
acreditava	O
que	O
,	O
nesse	O
dia	O
,	O
um	O
ser	O
supremo	O
colocou	O
tal	O
imagem	O
em	O
sua	O
cabeça.	O
Os	B-OBRA
antigos	O
túmulos	O
reais	O
sumérios	O
de	O
Ur	O
,	O
situados	O
perto	B-TEMPO
do	O
rio	O
Eufrates	O
no	O
baixo	O
Iraque	B-LOCAL
,	O
continham	O
mais	O
de	O
6000	O
estatuetas	O
belamente	O
executadas	O
,	O
de	O
lápis-lazúli	O
,	O
de	O
pássaros	O
,	O
cervos	O
,	O
e	O
roedores	O
bem	O
como	O
pratos	O
,	O
grânulos	O
,	O
e	O
selos	O
de	O
cilindro.	O
Estes	O
artefatos	O
vieram	O
indubitavelmente	O
do	O
material	O
minado	O
em	O
Badakhshan	O
no	O
norte	O
do	O
Afeganistão	B-LOCAL
.	O
Curiosidades	O
É	O
a	O
pedra	O
oficial	O
do	O
anel	O
de	O
formatura	O
dos	O
psicologos	O
,	O
assim	O
considerada	O
a	O
partir	O
de	B-TEMPO
31	I-TEMPO
de	I-TEMPO
março	I-TEMPO
de	I-TEMPO
2006	I-TEMPO
,	O
pela	O
resolução	O
Nº	O
002/2006	O
,	O
do	O
Conselho	B-ORGANIZACAO
Federal	I-ORGANIZACAO
de	O
Psicologia	O
brasileiro.	O
Lisboa	B-LOCAL
-	O
Dakar	O
:	O
Carlos	B-PESSOA
Sousa	I-PESSOA
ambiciona	O
pódio	O
PILOTO	O
PORTUGUÊS	O
NÃO	O
ESCONDE	O
DESEJO	O
E	O
ELOGIA	O
ORGANIZAÇÃO	O
O	O
piloto	O
português	O
Carlos	B-PESSOA
Sousa	I-PESSOA
revelou	O
que	O
tem	O
``	O
capacidade	O
para	O
chegar	O
ao	O
pódio	O
''	O
dos	O
automóveis	O
na	B-TEMPO
edição	O
de	O
2008	B-TEMPO
do	O
Lisboa	B-LOCAL
-	O
Dakar	O
cujo	O
percurso	O
foi	O
hoje	B-TEMPO
apresentado	O
em	O
Lisboa	B-LOCAL
.	O
Carlos	B-PESSOA
Sousa	I-PESSOA
acredita	O
que	O
este	B-TEMPO
ano	I-TEMPO
o	O
rali	O
vai	O
ser	O
mais	O
duro.	O
''	O
Vai	O
ser	O
um	O
percurso	O
para	O
os	O
mais	O
resistentes.	O
É	O
mais	O
difícil	O
,	O
mais	O
exigente	O
e	O
as	O
coisas	O
entre	O
os	O
mais	O
rápidos	O
vão	O
ser	O
decididas	O
ao	O
segundo	O
''	O
,	O
afirmou	O
o	O
piloto	O
da	O
Lagos	B-LOCAL
Team	O
,	O
que	O
vai	O
conduzir	O
um	O
Volkswagen	O
Touareg	O
idêntico	O
aos	O
de	O
fábrica.	O
Apesar	O
de	O
ambicionar	O
um	O
lugar	O
nos	O
três	O
primeiros	O
,	O
o	O
piloto	O
sabe	O
que	O
a	O
concorrência	O
é	O
apertada	O
e	O
que	O
não	O
vai	O
ser	O
fácil	O
:	O
``	O
Há	O
15	B-VALOR
ou	O
mais	O
pilotos	O
com	O
hipóteses	O
de	O
chegar	O
à	O
vitória	O
e	O
ao	O
pódio.	O
As	B-TEMPO
coisas	O
vão	O
ficar	O
mais	O
interessantes	O
para	O
quem	O
vir	O
o	O
rali	O
em	O
casa	O
ou	O
pela	O
Internet	B-OUTRO
,	O
mas	O
para	O
os	O
pilotos	O
vai	O
ser	O
uma	O
luta	O
até	O
ao	B-TEMPO
último	O
dia	B-TEMPO
``	O
.	O
O	O
português	O
,	O
que	O
nas	O
últimas	O
três	O
edições	O
foi	O
sempre	O
sétimo	O
classificado	O
,	O
sofreu	O
uma	O
lesão	O
cervical	O
em	B-TEMPO
Setembro	I-TEMPO
.	O
No	O
entanto	O
,	O
já	O
está	O
a	O
treinar	O
a	O
bom	O
ritmo	O
e	O
garantiu	O
que	O
estará	O
nas	O
melhores	O
condições	O
dentro	O
de	O
mês	B-TEMPO
e	O
meio	O
,	O
quando	O
começar	O
o	O
rali.	O
Os	B-OBRA
fragmentos	O
do	O
satélite	O
italiano	O
Bepposax	O
mergulharam	O
na	B-TEMPO
noite	I-TEMPO
de	I-TEMPO
ontem	B-TEMPO
no	O
oceano	O
Pacífico	B-LOCAL
,	O
deixando	O
aliviados	O
os	O
mais	O
de	O
30	B-VALOR
países	O
_inclusive	O
o	O
Brasil	B-LOCAL
_	O
que	O
estavam	O
sob	O
risco	O
de	O
serem	O
atingidos	O
pelos	O
destroços.	O
Segundo	O
informou	O
a	O
ASI	O
(	O
agência	O
espacial	O
italiana	O
)	O
no	B-TEMPO
fim	I-TEMPO
da	O
noite	B-TEMPO
de	I-TEMPO
ontem	B-TEMPO
por	O
telefone	O
,	O
o	O
impacto	O
dos	O
destroços	O
teria	O
ocorrido	O
às	O
18h06	O
(	O
horário	O
de	O
Brasília	O
)	O
,	O
numa	O
área	O
remota	O
do	O
oceano.	O
Os	B-OBRA
italianos	O
não	O
devem	O
conduzir	O
operação	O
para	O
resgatar	O
os	O
detritos.	O
Estimativas	O
da	O
agência	O
davam	O
conta	O
de	O
que	O
mais	O
de	O
40	B-VALOR
pedaços	O
,	O
com	O
até	O
120	O
kg	B-VALOR
,	O
poderiam	O
resistir	O
ao	O
atrito	O
com	O
o	O
ar	O
e	O
chegar	O
ao	O
solo.	O
A	O
chance	O
de	O
que	O
um	O
dos	O
pedaços	O
atingisse	O
uma	O
pessoa	O
era	O
mínima	O
,	O
mas	O
autoridades	O
de	O
diversos	O
países	O
,	O
inclusive	O
a	O
Agência	B-ORGANIZACAO
Espacial	O
Brasileira	O
,	O
estavam	O
prontas	O
para	O
qualquer	O
contingência.	O
O	O
satélite	O
,	O
com	O
massa	O
total	O
de	O
aproximadamente	B-VALOR
1,4	I-VALOR
tonelada	O
,	O
foi	O
construído	O
pelos	O
italianos	O
,	O
em	O
colaboração	O
com	O
a	O
Holanda	B-ORGANIZACAO
,	O
para	O
o	O
estudo	O
dos	O
raios	O
X	O
vindos	O
do	O
espaço	O
cósmico.	O
O	O
equipamento	O
foi	O
lançado	O
ao	O
espaço	O
em	O
1996	B-TEMPO
,	O
numa	O
órbita	O
baixa	O
(	O
cerca	B-VALOR
de	B-TEMPO
600	B-VALOR
km	I-VALOR
de	O
altitude	O
)	O
com	O
uma	O
pequena	O
inclinação	O
,	O
ou	O
seja	O
,	O
quase	O
exatamente	O
sobre	O
a	O
linha	O
do	O
Equador	B-LOCAL
.	O
A	O
missão	O
científica	O
da	O
nave	O
foi	O
concluída	O
em	B-TEMPO
30	I-TEMPO
de	I-TEMPO
abril	I-TEMPO
de	I-TEMPO
2002	O
.	O
Depois	O
disso	O
,	O
o	O
satélite	O
deixou	O
de	O
ter	O
sua	O
órbita	O
corrigida.	O
O	O
atrito	O
com	O
as	O
camadas	O
mais	O
altas	O
da	O
atmosfera	O
gradativamente	O
diminuiu	O
a	O
altitude	O
,	O
o	O
que	O
culminou	O
com	O
a	O
reentrada	O
,	O
ontem	B-TEMPO
.	O
Como	O
a	O
volta	O
à	O
Terra	B-LOCAL
não	O
foi	O
realizada	O
de	O
forma	O
controlada	O
(	O
como	O
aconteceu	O
com	O
as	O
135	O
toneladas	B-VALOR
da	O
estação	O
espacial	O
Mir	O
,	O
em	B-TEMPO
2001	I-TEMPO
)	O
,	O
era	O
impossível	O
prever	O
exatamente	O
onde	O
os	O
destroços	O
iriam	O
cair.	O
(	O
SN	O
)	O
Indústria	O
e	O
Comércio	B-OBRA
:	O
Informática	O
:	O
Consultoria	O
e	O
Sistemas	O
RML	O
-	O
Sistema	B-OBRA
de	I-OBRA
faturamento	O
e	O
administração	O
de	O
academias	O
com	O
controle	O
de	O
catracas	O
eletrônicas	O
e	O
desenvolvimento	O
de	O
sistemas	O
.	O
OperFit	O
,	O
Adm	O
pro	O
,	O
R	B-VALOR
white	O
e	O
Life	B-ABSTRACCAO
sport	O
http	O
:	O
//www.rml.com.br	O
CooperSis	O
Informática	O
-	O
Somos	O
especializados	O
em	O
pequenas	O
e	O
medias	O
empresas	O
que	O
nao	O
possuem	O
informatizacao	O
ou	O
estao	O
descontentes	O
com	O
o	O
que	O
tem	O
http	O
:	O
//www.airtonmolena.com.br	O
Credi-Telemática	O
Eletro-Eletrônicos	O
-	O
Loja	B-ORGANIZACAO
virtual	O
que	O
atende	O
todo	B-TEMPO
o	O
território	O
nacional	O
com	O
eletro-eletrônicos	O
importados	O
,	O
material	O
de	O
informática	O
e	O
de	O
telefonia.	O
Configurações	O
personalizadas	O
e	O
as	O
últimas	O
novidades	O
são	O
encontradas	O
aqui.	O
http	O
:	O
//www.credi.com.br	O
Croma	O
Eletrônica	O
Ltda	O
.	O
-	O
Componentes	O
eletrônicos	O
antenas	O
áudio	O
vídeo	O
som	O
informática	O
telefonia	O
fios	O
cabos	O
conectores	O
plugs	O
garras	O
adaptadores	O
transformadores	O
pilhas	O
transistores	O
diodos	O
cis	O
fones	O
microfones	O
caixas	O
multímetros	O
câmeras	O
porteiros	O
PABX	O
(	O
21	O
)	O
2233-0030	O
http	O
:	O
//www.divulgacao.com.br/croma	O
Darun	O
Informática	O
-	O
Comércio	B-OBRA
de	O
produtos	O
de	O
informática	O
como	O
impressoras	O
,	O
softwares	O
,	O
equipamentos	O
para	O
automação	O
comercial	O
e	O
suprimentos.	O
http	O
:	O
//www.darun.com.br	O
Desenhos	O
em	O
Cad	O
e	O
serviços	O
de	O
informatica	O
-	O
Desenhos	O
em	O
CAD	O
,	O
desenhos	O
elétricos	O
,	O
diagramas	O
de	O
força	O
e	O
comando	O
,	O
desenhos	O
para	O
engenharia	O
,	O
etc.	O
Se	O
seu	O
Windows	O
sempre	O
trava	O
ou	O
não	O
funciona	O
direito	O
mande	O
um	O
e-mail	O
http	O
:	O
//www.marckservice.cjb.net/	O
Desenvolvimentos	O
de	O
projetos	O
eletrônicos	O
-	O
Desenvolvemos	O
projetos	O
eletrônicos	O
para	O
automação	O
de	O
indústrias	O
e	O
Também	O
venda	O
de	O
microcomputadores	O
,	O
cobrimos	O
a	O
oferta	O
da	O
concorrência	O
http	O
:	O
//www.projetoseletronicos.hpg.com.br	O
DHCP	O
Informática	O
-	O
Comércio	B-OBRA
de	O
equipamentos	O
de	O
informática.	O
Trabalha	O
com	O
placas	O
mães	O
,	O
processadores	O
,	O
HDs	O
,	O
placas	O
de	O
vídeo	O
,	O
gravadores	O
,	O
CD-ROMs	O
,	O
DVDs	O
,	O
disquetes	O
,	O
monitores	O
,	O
placas	O
aceleradoras	O
,	O
mémorias	O
,	O
cooler	O
,	O
drives	O
,	O
hubs	O
,	O
placas	O
da	O
rede	O
,	O
placa	O
de	O
som	O
,	O
fax.	O
http	O
:	O
//www.dhcp.com.br	O
Di	O
Bello	O
Informática	O
...	O
seu	O
Polo	O
de	O
Informática	O
em	O
MADUREIRA	O
-	O
A	O
mais	O
antiga	O
loja	O
de	O
Informática	O
em	O
Madureira	O
,	O
são	O
vinte	O
anos	B-TEMPO
de	O
credibilidade	O
...	O
Hardware	O
,	O
software	O
,	O
suprimentos	O
e	O
manutenção	O
http	O
:	O
//www.webspace.com.br/dibello	O
Diacon	O
Informática	O
-	O
A	O
Diacon	O
presta	O
serviços	O
de	O
consultoria	O
,	O
treinamento	O
e	O
desenvolvimento	O
de	O
sistemas.	O
http	O
:	O
//www.diacon.com.br	O
Novidades	O
na	B-TEMPO
Macworld	O
2007	B-TEMPO
Apple	O
lançou	O
o	O
iPhone	O
,	O
o	O
telemóvel	O
mais	O
esperado	O
dos	O
últimos	O
tempos	B-TEMPO
Sempre	O
é	O
o	O
iPhone	O
,	O
dirão	O
os	O
que	O
acompanharam	O
as	O
especulações	O
e	O
palpites	O
dos	O
últimos	B-TEMPO
meses	I-TEMPO
.	O
A	O
Apple	O
,	O
empresa	O
de	O
tecnologias	O
que	O
tem	O
nos	O
leitores	O
multimédia	O
iPod	B-COISA
e	O
nos	O
computadores	O
Macintosh	O
a	O
sua	O
bandeira	O
,	O
acaba	O
de	O
entrar	O
na	O
área	O
das	O
telecomunicações.	O
O	O
novo	O
telemóvel	O
junta	O
as	O
capacidades	O
de	O
um	O
telefone	O
às	O
de	O
um	O
leitor	O
multimédia	O
portátil.	O
Funciona	O
com	O
o	O
sistema	O
operativo	O
MacOS	O
X	O
,	O
serve	O
para	O
comunicar	O
e	O
para	O
trazer	O
no	O
bolso	O
as	O
músicas	O
,	O
o	O
e-mail	O
,	O
as	O
fotos	O
ou	O
os	O
vídeos	O
preferidos.	O
O	O
anúncio	O
foi	O
feito	O
ontem	B-TEMPO
,	O
em	O
São	B-LOCAL
Francisco	I-LOCAL
,	O
nos	O
EUA	B-LOCAL
,	O
onde	O
decorre	O
a	O
Macworld	O
,	O
feira	O
que	O
a	O
Apple	O
organiza	O
todos	O
os	B-TEMPO
anos	I-TEMPO
para	I-TEMPO
apresentar	O
as	O
suas	O
novidades.	O
Como	O
de	O
costume	O
,	O
a	O
conferência	O
de	O
Steve	B-PESSOA
Jobs	O
,	O
o	O
director-geral	B-PESSOA
da	I-PESSOA
empresa	O
,	O
foi	O
o	O
ponto	O
alto	O
para	O
os	O
fãs	O
da	O
Apple	O
.	O
``	O
De	O
vez	O
em	O
quando	O
chega	O
um	O
produto	O
revolucionário	O
que	O
muda	O
tudo.	O
É	O
sorte	O
se	O
pudermos	O
trabalhar	O
num	O
ao	O
longo	O
da	O
carreira	O
...	O
e	O
a	O
Apple	O
é	O
sortuda	O
por	O
já	O
ter	O
lançado	O
vários	O
''	O
,	O
disse	O
Steve	B-PESSOA
Jobs	O
.	O
O	O
novo	O
telefone	O
vai	O
estar	O
disponível	O
em	B-TEMPO
Junho	I-TEMPO
,	O
nos	O
EUA	B-LOCAL
,	O
em	O
duas	B-TEMPO
versões	O
:	O
uma	O
com	O
8	O
gigabytes	O
(	O
GB	O
)	O
de	O
capacidade	O
de	O
armazenamento	O
,	O
que	O
custará	O
600	B-VALOR
dólares	I-VALOR
,	O
e	O
outra	O
com	O
4	O
GB	O
,	O
a	O
cerca	B-TEMPO
de	I-TEMPO
500	B-VALOR
dólares	I-VALOR
.	O
À	O
Europa	B-LOCAL
chegará	O
no	O
final	O
do	O
ano	O
,	O
e	O
na	O
Ásia	O
só	O
em	B-TEMPO
2008	I-TEMPO
.	O
Tem	O
uma	O
câmara	O
fotográfica	O
com	O
2	O
megapixels	O
de	O
resolução	O
e	O
um	O
ecrã	O
táctil	O
com	O
8,8	O
centímetros	O
de	O
diagonal.	O
Nos	O
EUA	B-ORGANIZACAO
,	O
o	O
telemóvel	O
da	O
Apple	O
funcionará	O
na	B-TEMPO
rede	O
Cingular	O
Wireless	O
.	O
O	O
seu	O
desenvolvimento	O
levou	O
ao	O
registo	O
de	O
mais	O
de	O
200	B-VALOR
patentes	O
,	O
o	O
que	O
o	O
torna	O
numa	O
das	O
maiores	O
inovações	O
da	O
empresa.	O
O	O
facto	O
de	O
ter	O
o	O
sistema	O
operativo	O
OS	O
X	O
-	O
usado	O
nos	O
computadores	O
da	O
Apple	O
-	O
significa	O
que	O
o	O
iPhone	O
terá	O
muitas	O
das	O
funções	O
habituais	O
naquelas	O
máquinas.	O
Permitirá	O
aceder	O
ao	O
correio	O
electrónico	O
de	O
forma	O
automática	O
ou	O
ver	O
os	O
mapas	O
do	O
Google	O
.	O
New	O
York	O
,	O
New	O
York	O
No	B-TEMPO
mês	I-TEMPO
passado	I-TEMPO
,	O
o	O
presidente	B-PESSOA
da	I-PESSOA
Câmara	I-PESSOA
de	B-LOCAL
Nova	B-LOCAL
Iorque	I-LOCAL
,	O
Michael	B-PESSOA
Bloomberg	O
,	O
decidiu	O
entregar	O
o	O
cartão	O
de	O
militante	O
do	O
Partido	B-PESSOA
Conservador	O
.	O
O	O
gesto	O
foi	O
entendido	O
como	O
o	O
arregaçar	O
de	O
mangas	O
para	O
entrar	O
na	O
corrida	O
presidencial	O
numa	O
candidatura	O
independente.	O
E	O
se	O
ele	O
avançar	O
,	O
as	O
mais	O
recentes	O
sondagens	O
indicam	O
que	O
o	O
boletim	O
de	O
voto	O
das	O
eleições	O
de	O
2008	B-TEMPO
podem	O
ter	O
três	O
rostos	O
ligados	O
à	O
``	O
Big	O
Apple	O
``	O
:	O
Hillary	O
Clinton	B-PESSOA
,	O
senadora	O
pelo	O
estado	O
de	O
Nova	B-LOCAL
Iorque	I-LOCAL
,	O
Rudy	O
Giuliani	O
,	O
o	O
republicano	O
que	O
já	O
foi	O
presidente	B-PESSOA
da	I-PESSOA
Câmara	I-PESSOA
da	O
cidade	O
,	O
e	O
Michael	B-PESSOA
Bloomberg	O
,	O
o	O
homem	O
que	O
sucedeu	O
a	O
Giuliani	O
no	O
cargo.	O
Este	O
cenário	O
deverá	O
irritar	O
solenemente	O
a	O
classe	O
política	O
de	O
cidades	O
como	O
Boston	O
,	O
St.	B-LOCAL
Louis	B-PESSOA
,	O
Chicago	B-LOCAL
,	O
ou	O
Los	B-LOCAL
Angeles	I-LOCAL
,	O
que	O
nunca	O
viram	O
com	O
agrado	O
a	O
intromissão	O
de	O
políticos	O
nova-iorquinos	O
