Euro	B-COISA_CLASSE
Batalha	B-ACONTECIMENTO_EFEMERIDE
de	I-ACONTECIMENTO_EFEMERIDE
Aljubarrota	I-ACONTECIMENTO_EFEMERIDE
.	O
O	O
génio	O
militar	O
de	O
Nuno	B-PESSOA_INDIVIDUAL
Álvares	I-PESSOA_INDIVIDUAL
Pereira	I-PESSOA_INDIVIDUAL
foi	O
decisivo	O
na	O
Batalha	B-ACONTECIMENTO_EFEMERIDE
de	I-ACONTECIMENTO_EFEMERIDE
Aljubarrota	I-ACONTECIMENTO_EFEMERIDE
.	O
A	B-TEMPO_TEMPO_CALEND
6	I-TEMPO_TEMPO_CALEND
de	I-TEMPO_TEMPO_CALEND
Abril	I-TEMPO_TEMPO_CALEND
de	I-TEMPO_TEMPO_CALEND
1385	I-TEMPO_TEMPO_CALEND
,	O
João	B-PESSOA_INDIVIDUAL
é	O
reconhecido	O
pelas	O
cortes	O
reunidas	O
em	O
Coimbra	B-LOCAL_HUMANO
como	O
Rei	B-PESSOA_CARGO
de	O
Portugal	B-LOCAL_HUMANO
.	O
Esta	O
posição	O
de	O
força	O
portuguesa	O
desencadeia	O
uma	O
resposta	O
à	O
altura	O
em	O
Castela	B-LOCAL_HUMANO
.	O
João	B-PESSOA_INDIVIDUAL
de	O
Castela	B-LOCAL_HUMANO
invade	O
Portugal	B-LOCAL_HUMANO
com	O
vista	O
a	O
proteger	O
os	O
interesses	O
de	O
sua	O
mulher	O
Beatriz	B-PESSOA_INDIVIDUAL
.	O
Álvares	B-PESSOA_INDIVIDUAL
Pereira	I-PESSOA_INDIVIDUAL
toma	O
o	O
controlo	O
da	O
situação	O
no	O
terreno	O
e	O
inicia	O
uma	O
série	O
de	O
cercos	O
a	O
cidades	O
leais	O
a	O
Castela	B-ORGANIZACAO_ADMINISTRACAO
,	O
localizadas	O
principalmente	O
no	O
Norte	B-LOCAL_FISICO
do	O
país	O
.	O
A	B-TEMPO_TEMPO_CALEND
14	I-TEMPO_TEMPO_CALEND
de	I-TEMPO_TEMPO_CALEND
Agosto	I-TEMPO_TEMPO_CALEND
,	O
Álvares	B-PESSOA_INDIVIDUAL
Pereira	I-PESSOA_INDIVIDUAL
mostra	O
o	O
seu	O
génio	O
militar	O
ao	O
vencer	O
a	O
batalha	O
de	O
Aljubarrota	B-ACONTECIMENTO_EFEMERIDE
à	O
frente	O
de	O
um	O
pequeno	O
exército	O
de	O
6,000	B-VALOR_QUANTIDADE
portugueses	O
e	O
aliados	O
ingleses	O
,	O
contra	O
as	O
30,000	B-VALOR_QUANTIDADE
tropas	O
castelhanas	O
.	O
A	O
batalha	O
viria	O
a	O
ser	O
decisiva	O
no	O
fim	O
da	O
instabilidade	O
política	O
de	B-TEMPO_TEMPO_CALEND
1383	I-TEMPO_TEMPO_CALEND
-	I-TEMPO_TEMPO_CALEND
1385	I-TEMPO_TEMPO_CALEND
e	O
na	O
consolidação	O
da	O
independência	O
portuguesa	O
.	O
Finda	O
a	O
ameaça	O
castelhana	O
,	O
Nuno	B-PESSOA_INDIVIDUAL
Álvares	I-PESSOA_INDIVIDUAL
Pereira	I-PESSOA_INDIVIDUAL
permaneceu	O
como	O
condestável	O
do	O
reino	O
e	O
tornou	O
-	O
se	O
Conde	B-PESSOA_CARGO
de	I-PESSOA_CARGO
Arraiolos	I-PESSOA_CARGO
e	I-PESSOA_CARGO
Barcelos	I-PESSOA_CARGO
.	O
Entre	B-TEMPO_TEMPO_CALEND
1385	I-TEMPO_TEMPO_CALEND
e	I-TEMPO_TEMPO_CALEND
1390	I-TEMPO_TEMPO_CALEND
,	O
ano	B-TEMPO_GENERICO
da	O
morte	O
de	O
João	B-PESSOA_INDIVIDUAL
de	O
Castela	B-LOCAL_HUMANO
,	O
dedicou	O
-	O
se	O
a	O
realizar	O
raides	O
contra	O
a	O
fronteira	O
de	O
Castela	B-LOCAL_HUMANO
,	O
com	O
o	O
objectivo	O
de	O
manter	O
a	O
pressão	O
e	O
dissuadir	O
o	O
país	O
vizinho	O
de	O
novos	O
ataques	O
.	O
Do	O
seu	O
casamento	O
com	O
Leonor	B-PESSOA_INDIVIDUAL
de	I-PESSOA_INDIVIDUAL
Alvim	I-PESSOA_INDIVIDUAL
,	O
o	O
Condestável	B-PESSOA_CARGO
teve	O
apenas	O
uma	O
filha	O
,	O
Beatriz	B-PESSOA_INDIVIDUAL
Pereira	I-PESSOA_INDIVIDUAL
de	I-PESSOA_INDIVIDUAL
Alvim	I-PESSOA_INDIVIDUAL
,	O
que	O
se	O
tornou	O
mulher	O
de	O
Afonso	B-PESSOA_INDIVIDUAL
,	O
o	O
primeiro	O
Duque	B-PESSOA_CARGO
de	I-PESSOA_CARGO
Bragança	I-PESSOA_CARGO
,	O
sendo	O
assim	O
um	O
dos	O
antepassados	O
da	O
actual	O
casa	O
real	O
portuguesa	O
.	O
Lembrado	O
como	O
um	O
dos	O
melhores	O
generais	O
portugueses	O
,	O
abraça	O
,	O
nos	B-TEMPO_TEMPO_CALEND
últimos	I-TEMPO_TEMPO_CALEND
anos	I-TEMPO_TEMPO_CALEND
,	O
a	O
vida	O
religiosa	O
carmelita	O
.	O
Uma	O
alteração	O
num	O
único	O
gene	O
é	O
capaz	O
de	O
transformar	O
um	O
vírus	O
inofensivo	O
no	O
agente	O
causador	O
de	O
uma	O
gripe	O
mortal	O
.	O
A	O
descoberta	O
,	O
segundo	O
pesquisadores	O
da	O
Universidade	B-ORGANIZACAO_INSTITUICAO
de	O
Wisconsin	B-LOCAL_HUMANO
-	O
Madison	B-LOCAL_HUMANO
(	O
EUA	B-LOCAL_HUMANO
)	O
,	O
poderá	O
levar	O
à	O
compreensão	O
de	O
como	O
as	O
epidemias	O
da	O
doença	O
surgem	O
e	O
qual	O
a	O
melhor	O
forma	O
de	O
combatê	O
-	O
las	O
.	O
A	O
equipe	O
liderada	O
por	O
Yoshihiro	B-PESSOA_INDIVIDUAL
Kawaoka	I-PESSOA_INDIVIDUAL
analisou	O
amostras	O
do	O
H5N1	B-COISA_SUBSTANCIA
,	O
o	O
vírus	O
influenza	O
que	O
,	O
em	B-TEMPO_TEMPO_CALEND
1997	I-TEMPO_TEMPO_CALEND
,	O
matou	O
6	B-VALOR_QUANTIDADE
das	O
18	B-VALOR_QUANTIDADE
pessoas	O
infectadas	O
,	O
em	O
Hong	B-LOCAL_HUMANO
Kong	I-LOCAL_HUMANO
.	O
Essas	O
amostras	O
foram	O
inoculadas	O
em	O
camundongos	O
e	O
,	O
de	O
acordo	O
com	O
os	O
sintomas	O
apresentados	O
pelos	O
animais	O
,	O
foram	O
divididas	O
em	O
dois	O
grupos	O
.	O
O	O
primeiro	O
grupo	O
causava	O
uma	O
forma	O
de	O
infecção	O
letal	O
,	O
matando	O
os	O
camundongos	O
,	O
e	O
o	O
segundo	O
provocava	O
apenas	O
problemas	O
respiratórios	O
como	O
sintomas	O
.	O
Para	O
descobrir	O
a	O
razão	O
dessa	O
diferença	O
,	O
Kawaoka	B-PESSOA_INDIVIDUAL
usou	O
uma	O
estratégia	O
de	O
"	O
engenheirar	O
"	O
os	O
vírus	O
,	O
trocando	O
genes	O
entre	O
as	O
linhagens	O
virais	O
.	O
Desse	O
modo	O
,	O
conseguiu	O
identificar	O
qual	O
deles	O
era	O
o	O
responsável	O
pela	O
maior	O
capacidade	O
de	O
infecção	O
do	O
influenza	O
.	O
"	O
Uma	O
mudança	O
de	O
apenas	O
uma	O
base	O
[	O
letra	O
]	O
no	O
gene	O
PB2	B-COISA_SUBSTANCIA
[	O
que	O
resultou	O
na	O
modificação	O
de	O
um	O
aminoácido	O
na	O
proteína	O
por	O
ele	O
codificada	O
]	O
parece	O
ser	O
a	O
causa	O
da	O
virulência	O
do	O
influenza	O
"	O
,	O
explica	O
.	O
Os	O
cientistas	O
ainda	O
não	O
sabem	O
exatamente	O
qual	O
o	O
papel	O
do	O
PB2	B-COISA_SUBSTANCIA
,	O
mas	O
ele	O
parece	O
codificar	O
uma	O
enzima	O
responsável	O
pela	O
indução	O
de	O
um	O
número	O
maior	O
de	O
partículas	O
virais	O
nas	O
células	O
infectadas	O
.	O
O	O
estudo	O
do	O
grupo	O
de	O
Kawaoka	B-PESSOA_INDIVIDUAL
está	O
na	O
edição	O
de	B-TEMPO_TEMPO_CALEND
hoje	I-TEMPO_TEMPO_CALEND
da	O
revista	O
científica	O
"	O
Science	B-LOCAL_VIRTUAL
"	O
.	O
Doença	B-ABSTRACCAO_ESTADO
de	I-ABSTRACCAO_ESTADO
Chagas	I-ABSTRACCAO_ESTADO
1	O
.	O
NOÇÕES	O
GERAIS	O
.	O
Histórico	O
Carlos	B-PESSOA_INDIVIDUAL
Chagas	I-PESSOA_INDIVIDUAL
:	O
A	O
doença	B-ABSTRACCAO_ESTADO
de	I-ABSTRACCAO_ESTADO
Chagas	I-ABSTRACCAO_ESTADO
ou	O
tripanosomíase	O
americana	O
foi	O
descoberta	O
pelo	O
médico	O
sanitarista	O
Carlos	B-PESSOA_INDIVIDUAL
Justiniano	I-PESSOA_INDIVIDUAL
Ribeiro	I-PESSOA_INDIVIDUAL
das	I-PESSOA_INDIVIDUAL
Chagas	I-PESSOA_INDIVIDUAL
-	O
Carlos	B-PESSOA_INDIVIDUAL
Chagas	I-PESSOA_INDIVIDUAL
-	O
em	B-TEMPO_TEMPO_CALEND
1909	I-TEMPO_TEMPO_CALEND
.	O
Este	O
brasileiro	O
descobriu	O
a	O
doença	O
e	O
descreveu	O
praticamente	O
todos	O
os	O
seus	O
aspectos	O
.	O
Quando	O
Carlos	B-PESSOA_INDIVIDUAL
Chagas	I-PESSOA_INDIVIDUAL
realizava	O
uma	O
campanha	O
contra	O
a	O
malária	O
que	O
atingia	O
operários	O
na	O
construção	O
de	O
um	O
trecho	O
da	O
Estrada	B-LOCAL_HUMANO
de	I-LOCAL_HUMANO
Ferro	I-LOCAL_HUMANO
Central	I-LOCAL_HUMANO
do	O
Brasil	B-LOCAL_HUMANO
,	O
ao	O
norte	O
de	O
Minas	B-LOCAL_HUMANO
Gerais	I-LOCAL_HUMANO
,	O
ao	O
fazer	O
exames	O
de	O
uma	O
menina	O
doente	O
,	O
encontrou	O
tripanosomos	O
em	O
seu	O
sangue	O
.	O
Ao	O
examinar	O
posteriormente	O
as	O
fezes	O
de	O
insetos	O
existentes	O
na	O
região	O
e	O
o	O
sangue	O
de	O
animais	O
mamíferos	O
,	O
constatou	O
também	O
a	O
presença	O
dos	O
mesmos	O
parasitas	O
.	O
Desta	O
forma	O
,	O
Carlos	B-PESSOA_INDIVIDUAL
Chagas	I-PESSOA_INDIVIDUAL
pode	O
descrever	O
o	O
agente	O
causador	O
,	O
o	O
transmissor	O
e	O
o	O
modo	O
de	O
transmissão	O
da	O
doença	O
,	O
como	O
também	O
comprovar	O
a	O
existência	O
de	O
vertebrados	O
que	O
são	O
reservatórios	O
silvestres	O
e	O
domésticos	O
do	O
parasita	O
,	O
esclarecendo	O
assim	O
os	O
aspectos	O
básicos	O
da	O
epidemiologia	O
da	O
doença	O
.	O
Definição	O
da	O
doença	O
:	O
A	O
doença	B-ABSTRACCAO_ESTADO
de	I-ABSTRACCAO_ESTADO
Chagas	I-ABSTRACCAO_ESTADO
é	O
uma	O
infecção	O
transmissível	O
causada	O
por	O
um	O
parasita	O
que	O
circula	O
no	O
sangue	O
e	O
ataca	O
o	O
coração	O
,	O
bem	O
como	O
órgãos	O
do	O
aparelho	O
digestivo	O
(	O
esôfago	O
e	O
intestino	O
)	O
.	O
Sua	O
transmissão	O
exige	O
a	O
participação	O
de	O
um	O
vetor	O
,	O
o	O
triatomíneo	O
conhecido	O
pelo	O
nome	O
de	O
barbeiro	O
,	O
fincão	O
,	O
chupança	O
entre	O
outras	O
dependendo	O
da	O
região	O
.	O
É	O
uma	O
doença	O
do	O
continente	O
americano	O
(	O
sul	O
dos	O
Estados	B-LOCAL_HUMANO
Unidos	I-LOCAL_HUMANO
até	O
a	O
Argentina	B-LOCAL_HUMANO
)	O
.	O
Transmissores	O
:	O
São	O
artrópodes	O
da	O
classe	O
Insecta	B-COISA_CLASSE
,	O
ordem	O
Hemiptera	B-COISA_CLASSE
,	O
família	O
Reduviidae	B-COISA_CLASSE
e	O
subfamília	O
Triatominae	B-COISA_CLASSE
.	O
Sugam	O
sangue	O
(	O
hematofágos	O
)	O
em	O
todas	O
as	O
fases	O
de	O
seu	O
ciclo	O
evolutivo	O
.	O
Vivem	O
em	O
média	O
entre	B-TEMPO_DURACAO
um	I-TEMPO_DURACAO
a	I-TEMPO_DURACAO
dois	I-TEMPO_DURACAO
anos	I-TEMPO_DURACAO
,	O
com	O
evolução	O
de	O
ovo	O
,	O
ninfa	O
e	O
adulto	O
,	O
com	O
grande	O
capacidade	O
de	O
reprodução	O
e	O
,	O
dependendo	O
da	O
espécie	O
,	O
com	O
intensa	O
resistência	O
ao	O
jejum	O
.	O
Ecologia	O
e	O
distribuição	O
.	O
Os	O
triatomíneos	O
têm	O
ampla	O
distribuição	O
geográfica	O
no	O
Novo	B-LOCAL_HUMANO
Mundo	I-LOCAL_HUMANO
,	O
desde	O
os	O
Estados	B-LOCAL_HUMANO
Unidos	I-LOCAL_HUMANO
até	O
o	O
sul	O
do	O
Chile	B-LOCAL_HUMANO
e	O
Argentina	B-LOCAL_HUMANO
,	O
existindo	O
espécies	O
que	O
são	O
tipicamente	O
silvestres	O
;	O
e	O
das	O
118	B-VALOR_QUANTIDADE
espécies	O
conhecidas	O
,	O
105	B-VALOR_QUANTIDADE
são	O
do	O
Novo	B-LOCAL_HUMANO
Mundo	I-LOCAL_HUMANO
.	O
Todas	O
as	O
espécies	O
são	O
vetoras	O
em	O
potencial	O
para	O
o	O
Trypanosoma	B-COISA_CLASSE
cruzi	I-COISA_CLASSE
,	O
mas	O
seis	O
têm	O
importância	O
epidemiológica	O
na	O
América	B-LOCAL_HUMANO
do	I-LOCAL_HUMANO
Sul	I-LOCAL_HUMANO
:	O
Triatoma	B-COISA_CLASSE
infestans	I-COISA_CLASSE
,	O
T.	B-COISA_CLASSE
brasiliensis	I-COISA_CLASSE
,	O
T.	B-COISA_CLASSE
dimidiata	I-COISA_CLASSE
,	O
T.	B-COISA_CLASSE
sordida	I-COISA_CLASSE
,	O
P.	B-COISA_CLASSE
megistus	I-COISA_CLASSE
e	O
Rhodnius	B-COISA_CLASSE
prolixus	I-COISA_CLASSE
.	O
A	O
espécie	O
vetora	O
mais	O
importante	O
,	O
devido	O
ao	O
seu	O
hábito	O
quase	O
que	O
estritamente	O
doméstico	O
e	O
também	O
com	O
a	O
mais	O
extensa	O
área	O
de	O
distribuição	O
,	O
é	O
o	O
T.	B-COISA_CLASSE
infestans	I-COISA_CLASSE
,	O
encontrado	O
na	O
Argentina	B-LOCAL_HUMANO
,	O
Bolívia	B-LOCAL_HUMANO
,	O
Brasil	B-LOCAL_HUMANO
,	O
Chile	B-LOCAL_HUMANO
,	O
Paraguai	B-LOCAL_HUMANO
,	O
Peru	B-LOCAL_HUMANO
e	O
Uruguai	B-LOCAL_HUMANO
.	O
Em	O
algumas	O
localidades	O
do	O
sul	O
do	O
Brasil	B-LOCAL_HUMANO
(	O
Rio	B-LOCAL_HUMANO
Grande	I-LOCAL_HUMANO
do	I-LOCAL_HUMANO
Sul	I-LOCAL_HUMANO
)	O
,	O
sul	O
do	O
Peru	B-LOCAL_HUMANO
,	O
Bolívia	B-LOCAL_HUMANO
e	O
algumas	O
localidades	O
do	O
noroeste	O
da	O
Argentina	B-LOCAL_HUMANO
,	O
T.	B-COISA_CLASSE
infestans	I-COISA_CLASSE
também	O
tem	O
hábito	O
peridoméstico	O
,	O
ocupando	O
galinheiros	O
,	O
currais	O
etc	O
.	O
As	O
colônias	O
em	O
ecótopos	O
artificias	O
têm	O
tendência	O
a	O
se	O
concentrarem	O
nas	O
partes	O
mais	O
altas	O
da	O
parede	O
.	O
Neste	O
gênero	O
,	O
Triatoma	B-COISA_CLASSE
,	O
um	O
exemplo	O
típico	O
é	O
dado	O
pelo	O
T.	B-COISA_CLASSE
arthurneivai	I-COISA_CLASSE
que	O
,	O
habita	O
fendas	O
de	O
pedras	O
e	O
está	O
associado	O
a	O
lagartos	O
e	O
roedores	O
.	O
É	O
encontrado	O
no	O
Brasil	B-LOCAL_HUMANO
nos	O
estados	O
da	O
Bahia	B-LOCAL_HUMANO
,	O
Minas	B-LOCAL_HUMANO
Gerais	I-LOCAL_HUMANO
e	O
São	B-LOCAL_HUMANO
Paulo	I-LOCAL_HUMANO
.	O
No	O
estado	O
de	O
São	B-LOCAL_HUMANO
Paulo	I-LOCAL_HUMANO
,	O
Rodrigues	O
et	O
al	O
.	O
(	O
1992	B-TEMPO_TEMPO_CALEND
)	O
encontraram	O
adultos	O
da	O
referida	O
espécie	O
em	O
ecótopos	O
artificiais	O
e	O
com	O
infecção	O
natural	O
pelo	O
T.	B-COISA_CLASSE
cruzi	I-COISA_CLASSE
.	O
Ainda	O
no	O
Brasil	B-LOCAL_HUMANO
,	O
no	O
estado	O
do	O
Rio	B-LOCAL_HUMANO
Grande	I-LOCAL_HUMANO
do	I-LOCAL_HUMANO
Sul	I-LOCAL_HUMANO
,	O
no	O
Uruguai	B-LOCAL_HUMANO
e	O
no	O
norte	O
da	O
Argentina	B-LOCAL_HUMANO
encontra	O
-	O
se	O
outra	O
espécie	O
T.	B-COISA_CLASSE
rubrovaria	I-COISA_CLASSE
,	O
tipicamente	O
silvestre	O
que	O
convive	O
com	O
roedores	O
em	O
ambientes	O
pedregosos	O
.	O
Apresenta	O
alto	O
índice	O
de	O
infecção	O
natural	O
e	O
invade	O
os	O
domicílios	O
principalmente	O
no	B-TEMPO_TEMPO_CALEND
verão	I-TEMPO_TEMPO_CALEND
.	O
Na	O
Argentina	B-LOCAL_HUMANO
temos	O
mais	O
duas	O
espécies	O
deste	O
grupo	O
que	O
são	O
T.	B-COISA_CLASSE
eratyrusiformis	I-COISA_CLASSE
e	O
T.	B-COISA_CLASSE
patagonica	I-COISA_CLASSE
:	O
criam	O
-	O
se	O
em	O
lugares	O
pedregosos	O
e	O
alimentam	O
-	O
se	O
de	O
pequenos	O
roedores	O
,	O
mas	O
atacam	O
o	O
homem	O
e	O
os	O
animais	O
domésticos	O
à	B-TEMPO_TEMPO_CALEND
noite	I-TEMPO_TEMPO_CALEND
.	O
T.	B-COISA_CLASSE
brasiliensis	I-COISA_CLASSE
com	O
altas	O
taxas	O
de	O
infecção	O
pelo	O
T.	B-COISA_CLASSE
cruzi	I-COISA_CLASSE
é	O
o	O
vetor	O
mais	O
importante	O
no	O
nordeste	O
do	O
Brasil	B-LOCAL_HUMANO
,	O
e	O
pode	O
ser	O
encontrado	O
com	O
alguma	O
freqüência	O
em	O
domicílios	O
.	O
Tem	O
hábitos	O
silvestres	O
e	O
peridomiciliares	O
,	O
onde	O
está	O
associado	O
com	O
abrigo	O
de	O
cabras	O
,	O
galinheiros	O
e	O
ecótopos	O
rochosos	O
;	O
no	O
peridomicílio	O
e	O
domicílio	O
tem	O
as	O
aves	O
como	O
principal	O
fonte	O
alimentar	O
,	O
seguidas	O
por	O
humanos	O
.	O
A	O
segunda	O
espécie	O
vetora	O
é	O
P.	B-COISA_CLASSE
megistus	I-COISA_CLASSE
,	O
sendo	O
domiciliada	O
em	O
algumas	O
regiões	O
,	O
peridomiciliar	O
e	O
silvestre	O
em	O
outras	O
.	O
Também	O
tem	O
vasta	O
distribuição	O
geográfica	O
,	O
distribui	O
-	O
se	O
desde	O
as	O
Guianas	B-LOCAL_HUMANO
até	O
a	O
Argentina	B-LOCAL_HUMANO
.	O
É	O
a	O
espécie	O
responsável	O
pelos	O
focos	O
mais	O
intensos	O
da	O
endemia	O
chagásica	O
em	O
Minas	B-LOCAL_HUMANO
Gerais	I-LOCAL_HUMANO
e	O
Bahia	B-LOCAL_HUMANO
(	O
Brasil	B-LOCAL_HUMANO
)	O
.	O
Tem	O
hábito	O
silvestre	O
no	O
centro	O
do	O
Brasil	B-LOCAL_HUMANO
e	O
leste	O
do	O
Paraguai	B-LOCAL_HUMANO
e	O
está	O
associado	O
a	O
Didelpbideos	B-COISA_CLASSE
,	O
motivo	O
pelo	O
qual	O
os	O
índices	O
de	O
infecção	O
para	O
T.	B-COISA_CLASSE
cruzi	I-COISA_CLASSE
são	O
elevados	O
.	O
Invadem	O
ocasionalmente	B-TEMPO_FREQUENCIA
domicílios	O
e	O
peridomicílios	O
onde	O
se	O
colonizam	O
com	O
facilidade	O
.	O
P.	B-COISA_CLASSE
geniculatus	I-COISA_CLASSE
,	O
espécie	O
