THANKSGIVING	B-ACONTECIMENTO
casa	O
que	O
era	O
a	O
cara	O
dele	O
-	O
a	O
Deutsche	B-LOCAL
de	I-LOCAL
la	I-LOCAL
Meurthe	I-LOCAL
,	O
a	O
mais	O
antiga	O
,	O
a	O
mais	O
clássica	O
,	O
aquela	O
onde	O
Simone	B-PESSOA
de	I-PESSOA
Beauvoir	I-PESSOA
ia	O
visitar	O
o	O
estudante	O
Jean	B-PESSOA
-	I-PESSOA
Paul	I-PESSOA
Sartre	I-PESSOA
.	O
Quando	O
eu	O
cheguei	O
,	O
deu	O
-	O
me	O
a	O
conhecer	O
a	O
área	O
de	O
Montparnasse	B-LOCAL
e	O
do	O
Port	B-LOCAL
Royal	I-LOCAL
.	O
Nessa	B-TEMPO
altura	I-TEMPO
era	O
um	O
parisiense	O
com	O
uma	O
costela	O
americana	O
,	O
português	O
q.b	O
.	O
e	O
vagamente	O
judeu	O
.	O
Agora	O
é	O
um	O
americano	O
parisiense	O
,	O
um	O
verdadeiro	O
mangeur	O
de	O
fromage	O
.	O
Pôs	O
a	O
Europa	B-ABSTRACCAO
e	O
a	O
Teoria	B-ABSTRACCAO
das	I-ABSTRACCAO
Cordas	I-ABSTRACCAO
de	O
parte	O
e	O
foi	O
para	O
a	O
melhor	O
cidade	O
da	O
América	B-LOCAL
do	I-LOCAL
Norte	I-LOCAL
mostrar	O
que	O
um	O
físico	O
matemático	O
é	O
pau	O
para	O
toda	O
a	O
obra	O
-	O
nem	O
que	O
seja	O
para	O
mostrar	O
que	O
a	O
Biologia	B-ABSTRACCAO
Celular	I-ABSTRACCAO
é	O
só	O
"	O
quebra	O
de	O
simetria	O
"	O
e	O
que	O
não	O
há	O
nada	O
como	O
o	B-TEMPO
outono	I-TEMPO
na	O
Nova	B-LOCAL
Inglaterra	I-LOCAL
.	O
Que	O
rica	O
prenda	O
de	B-TEMPO
Thanksgiving	I-TEMPO
.	O
Bem	O
vindo	O
,	O
Pedro	B-PESSOA
.	O
EFEMÉRIDE	O
A	B-TEMPO
24	I-TEMPO
de	I-TEMPO
Novembro	I-TEMPO
de	I-TEMPO
1960	I-TEMPO
,	O
no	O
restaurante	O
Le	B-LOCAL
Vrai	I-LOCAL
Gascon	I-LOCAL
(	O
n.º	O
82	O
da	O
rue	O
du	O
Bac	B-LOCAL
,	O
Paris	B-LOCAL
)	O
,	O
em	O
torno	O
dessas	O
figuras	O
majestáticas	O
que	O
eram	O
Raymond	B-PESSOA
Queneau	I-PESSOA
e	O
François	B-PESSOA
Le	I-PESSOA
Lionnais	I-PESSOA
,	O
nasceu	O
uma	O
das	O
mais	O
heterodoxas	O
correntes	O
literárias	O
do	B-TEMPO
século	I-TEMPO
XX	I-TEMPO
.	O
Desafio	O
intelectual	O
e	O
brincadeira	O
de	O
literatos	O
apaixonados	O
pela	O
sua	O
língua	O
,	O
explosiva	O
mistura	O
de	O
cérebros	O
moldados	O
pelas	O
leis	O
da	O
gramática	O
e	O
mentes	O
científicas	O
habituadas	O
a	O
todo	O
o	O
tipo	O
de	O
operações	O
lógicas	O
,	O
o	O
OuLiPo	B-ABSTRACCAO
(	O
Ouvroir	B-ABSTRACCAO
de	I-ABSTRACCAO
Littérature	I-ABSTRACCAO
Potentiel	I-ABSTRACCAO
)	O
veio	O
libertar	O
a	O
literatura	O
da	O
forma	O
mais	O
radical	O
:	O
acorrentando	O
-	O
a	O
.	O
Isto	O
é	O
,	O
inventando	O
um	O
sem	O
número	O
de	O
constrangimentos	O
que	O
estimulam	O
a	O
imaginação	O
e	O
a	O
perícia	O
verbal	O
de	O
quem	O
escreve	O
.	O
Na	O
definição	O
sucinta	O
de	O
Queneau	B-PESSOA
,	O
um	O
autor	O
oulipiano	O
é	O
um	O
«	O
rato	O
que	O
constrói	O
o	O
labirinto	O
do	O
qual	O
se	O
propõe	O
sair	O
»	O
.	O
Um	O
labirinto	O
de	O
palavras	O
,	O
claro	O
;	O
um	O
labirinto	O
textual	O
.	O
E	O
se	O
grande	O
parte	O
da	O
produção	O
destes	O
autores	O
auto	O
-	O
espartilhados	O
não	O
sobrevive	O
fora	O
do	O
contexto	O
em	O
que	O
surgiu	O
,	O
enquanto	O
mecanismo	O
lúdico	O
ou	O
exercício	O
de	O
estilo	O
,	O
o	O
certo	O
é	O
que	O
os	O
processos	O
do	O
OuLiPo	B-ABSTRACCAO
estão	O
inscritos	O
na	O
estrutura	O
de	O
algumas	O
obras	O
-	O
primas	O
de	O
autores	O
como	O
Italo	B-PESSOA
Calvino	I-PESSOA
(	O
Se	B-OBRA
Numa	I-OBRA
Noite	I-OBRA
de	I-OBRA
Inverno	I-OBRA
um	I-OBRA
Viajante	I-OBRA
)	O
ou	O
Georges	B-PESSOA
Perec	I-PESSOA
(	O
A	B-OBRA
Vida	I-OBRA
Modo	I-OBRA
de	I-OBRA
Usar	I-OBRA
;	O
La	B-OBRA
Disparition	I-OBRA
;	O
etc	O
)	O
.	O
Quanto	O
mais	O
não	O
fosse	O
por	O
isso	O
,	O
já	O
valeria	O
a	O
pena	O
celebrar	O
os	B-TEMPO
45	I-TEMPO
anos	I-TEMPO
de	O
um	O
movimento	O
que	O
continua	O
activo	O
e	O
em	O
expansão	O
(	O
investigar	O
aqui	O
)	O
.	O
Actualmente	O
é	O
de	O
570,6	B-VALOR
euros	I-VALOR
Espanha	B-ORGANIZACAO
aumenta	O
salário	O
mínimo	O
para	O
600	B-VALOR
euros	I-VALOR
O	O
Governo	B-ORGANIZACAO
socialista	O
espanhol	O
aprovou	O
hoje	B-TEMPO
o	O
aumento	O
do	O
salário	O
mínimo	O
em	O
Espanha	B-LOCAL
,	O
fazendo	O
-	O
o	O
passar	O
dos	O
actuais	O
570,6	B-VALOR
euros	I-VALOR
para	O
600	B-VALOR
euros	I-VALOR
no	B-TEMPO
próximo	I-TEMPO
ano	I-TEMPO
.	O
«	O
Aprovámos	O
o	O
decreto	O
que	O
estabelece	O
o	O
salário	O
mínimo	O
interprofissional	O
nos	O
600	B-VALOR
euros	I-VALOR
por	B-TEMPO
mês	I-TEMPO
,	O
com	O
efeito	O
a	B-TEMPO
partir	I-TEMPO
de	I-TEMPO
1	I-TEMPO
de	I-TEMPO
Janeiro	I-TEMPO
»	O
,	O
anunciou	O
o	O
chefe	B-PESSOA
do	I-PESSOA
Governo	I-PESSOA
,	O
José	B-PESSOA
Luís	I-PESSOA
Rodriguez	I-PESSOA
Zapatero	I-PESSOA
,	O
numa	O
conferência	O
de	O
imprensa	O
do	O
último	O
Conselho	B-ACONTECIMENTO
de	I-ACONTECIMENTO
Ministros	I-ACONTECIMENTO
deste	B-TEMPO
ano	I-TEMPO
.	O
Este	O
aumento	O
foi	O
conseguido	O
graças	O
ao	O
acordo	O
com	O
os	O
sindicatos	O
e	O
o	O
patronato	O
acrescentou	O
Zapatero	B-PESSOA
,	O
que	O
afirmou	O
que	O
esse	O
valor	O
correspondia	O
às	O
suas	O
promessas	O
eleitorais	O
,	O
precisando	O
que	O
o	O
salário	O
mínimo	O
estava	O
nos	O
460	B-VALOR
euros	I-VALOR
em	B-TEMPO
2004	I-TEMPO
,	O
aquando	O
da	O
sua	O
ascensão	O
ao	O
poder	O
.	O
O	O
chefe	O
do	O
governo	O
vai	O
disputar	O
um	O
segundo	O
mandato	O
de	O
quatro	O
anos	O
nas	O
eleições	O
legislativas	O
de	O
9	B-TEMPO
de	I-TEMPO
Março	I-TEMPO
,	O
e	O
salienta	O
frequentemente	B-TEMPO
o	O
seu	O
balanço	O
económico	O
positivo	O
.	O
Em	B-TEMPO
Outubro	I-TEMPO
,	O
Zapatero	B-PESSOA
prometeu	O
igualmente	O
aumentar	O
o	O
salário	O
mínimo	O
até	O
aos	O
800	B-VALOR
euros	I-VALOR
por	B-TEMPO
mês	I-TEMPO
em	O
caso	O
de	O
reeleição	O
.	O
À	O
excepção	O
dos	O
antigos	O
países	O
do	O
bloco	O
de	O
leste	O
,	O
a	O
Espanha	B-LOCAL
é	O
um	O
dos	O
países	O
que	O
tem	O
o	O
salário	O
mínimo	O
mais	O
baixo	O
da	O
União	B-LOCAL
Europeia	I-LOCAL
,	O
juntamente	O
com	O
Portugal	B-LOCAL
,	O
Grécia	B-LOCAL
e	O
Malta	B-LOCAL
.	O
Amadeo	B-PESSOA
de	I-PESSOA
Souza	I-PESSOA
-	I-PESSOA
Cardoso	I-PESSOA
Vida	O
A	O
sua	O
familia	O
era	O
rica	O
e	O
influenciou	O
-	O
o	O
a	O
ingressar	O
no	O
curso	O
de	O
Direito	B-ABSTRACCAO
na	O
Universidade	B-ORGANIZACAO
de	O
Coimbra	B-LOCAL
.	O
Depressa	O
desistiu	O
do	O
curso	O
e	O
mudou	O
-	O
se	O
para	O
o	O
curso	O
de	O
Arquitectura	B-ABSTRACCAO
na	O
Academia	B-ORGANIZACAO
de	I-ORGANIZACAO
Belas	I-ORGANIZACAO
Artes	I-ORGANIZACAO
de	O
Lisboa	B-LOCAL
em	B-TEMPO
1905	I-TEMPO
.	O
O	O
curso	O
nao	O
satisfaz	O
o	O
seu	O
genio	O
criativo	O
,	O
por	O
isso	O
parte	O
para	O
Paris	B-LOCAL
em	B-TEMPO
1906	I-TEMPO
instalando	O
-	O
se	O
em	O
Montparnasse	B-LOCAL
com	O
a	O
intençao	O
de	O
continuar	O
a	O
estudar	O
.	O
As	O
suas	O
primeiras	O
experiências	O
artisticas	O
conhecidas	O
foram	O
desenhos	O
e	O
caricaturas	O
,	O
depois	B-TEMPO
dedicou	O
-	O
se	O
à	O
pintura	O
.	O
Poder	O
-	O
se	O
-	O
á	O
dizer	O
que	O
foi	O
um	O
pintor	O
impressionista	O
,	O
expressionista	O
,	O
cubista	O
,	O
futurista	O
mas	O
sempre	O
recusou	O
qualquer	O
rotulo	O
.	O
Apesar	O
das	O
multiplas	O
influencias	O
procurava	O
a	O
originalidade	O
e	O
a	O
criatividade	O
na	O
sua	O
obra	O
.	O
Em	B-TEMPO
1908	I-TEMPO
instala	O
-	O
se	O
no	O
número	O
catorze	O
da	O
Cité	B-LOCAL
de	I-LOCAL
Falguière	I-LOCAL
.	O
Frequentou	O
ateliers	O
preparatórios	O
para	O
Academia	B-ORGANIZACAO
de	I-ORGANIZACAO
Beaux	I-ORGANIZACAO
-	I-ORGANIZACAO
Arts	I-ORGANIZACAO
e	O
a	O
Academia	B-ORGANIZACAO
Viti	I-ORGANIZACAO
do	O
pintor	O
catalão	O
Anglada	B-PESSOA
Camarasa	I-PESSOA
mas	O
,	O
apesar	O
disso	O
,	O
nao	O
chega	O
a	O
ser	O
admitido	O
.	O
Em	B-TEMPO
1910	I-TEMPO
esteve	O
alguns	B-TEMPO
meses	I-TEMPO
em	O
Bruxelas	B-LOCAL
e	O
em	B-TEMPO
1911	I-TEMPO
expôs	O
trabalhos	O
no	O
Salon	B-LOCAL
des	I-LOCAL
Indépendants	I-LOCAL
,	O
em	O
Paris	B-LOCAL
,	O
aproximando	O
-	O
se	O
progressivamente	O
das	O
vanguardas	O
e	O
de	O
artistas	O
como	O
Amedeo	B-PESSOA
Modigliani	I-PESSOA
,	O
Constantin	B-PESSOA
Brancusi	I-PESSOA
,	O
Alexander	B-PESSOA
Archipenko	I-PESSOA
,	O
Juan	B-PESSOA
Gris	I-PESSOA
e	O
Robert	B-PESSOA
Delaunay	I-PESSOA
.	O
Em	B-TEMPO
1912	I-TEMPO
publicou	O
um	O
álbum	O
com	O
vinte	O
desenhos	O
e	O
,	O
em	O
seguida	O
,	O
copiou	O
o	O
conto	O
de	O
Gustave	B-PESSOA
Flaubert	I-PESSOA
,	O
"	O
La	B-OBRA
Légende	I-OBRA
de	I-OBRA
Saint	I-OBRA
Julien	I-OBRA
l'Hospitalier	I-OBRA
"	O
,	O
trabalhos	O
ignorados	O
pelos	O
apreciadores	O
de	O
arte	O
.	O
Depois	O
de	O
participar	O
em	B-TEMPO
1913	I-TEMPO
numa	O
exposição	O
com	O
oito	O
trabalhos	O
nos	O
Estados	B-LOCAL
Unidos	I-LOCAL
da	I-LOCAL
América	I-LOCAL
,	O
no	O
Armory	B-ACONTECIMENTO
Show	I-ACONTECIMENTO
,	O
voltou	O
a	O
Portugal	B-LOCAL
,	O
onde	O
teve	O
a	O
ousadia	O
de	O
realizar	O
duas	O
exposições	O
,	O
respectivamente	O
em	O
Porto	B-LOCAL
e	O
em	O
Lisboa	B-LOCAL
.	O
Nesse	B-TEMPO
ano	I-TEMPO
participou	O
ainda	O
no	O
Herbstsalon	B-ACONTECIMENTO
da	O
Galeria	B-LOCAL
Der	I-LOCAL
Sturm	I-LOCAL
,	O
em	O
Berlim	B-LOCAL
.	O
Em	B-TEMPO
1914	I-TEMPO
encontrou	O
-	O
se	O
em	O
Barcelona	B-LOCAL
com	O
Antoni	B-PESSOA
Gaudí	I-PESSOA
,	O
e	O
parte	O
para	O
Madrid	B-LOCAL
onde	O
é	O
surpreendido	O
pelo	O
início	O
da	O
I	B-ACONTECIMENTO
Guerra	I-ACONTECIMENTO
Mundial	I-ACONTECIMENTO
.	O
Regressou	O
então	O
a	O
Portugal	B-LOCAL
,	O
onde	O
iniciou	O
meteórica	O
carreira	O
na	O
experimentação	O
de	O
novas	O
formas	O
de	O
expressão	O
,	O
tendo	O
pintado	O
com	O
grande	O
constância	O
ao	O
ponto	O
de	O
,	O
em	B-TEMPO
1916	I-TEMPO
,	O
expor	O
no	O
Porto	B-LOCAL
114	B-VALOR
obras	O
com	O
o	O
título	O
"	O
Abstraccionismo	B-ABSTRACCAO
"	O
,	O
que	O
serão	O
também	O
expostas	O
em	O
Lisboa	B-LOCAL
,	O
num	O
e	O
noutro	O
caso	O
com	O
novidade	O
e	O
algum	O
escândalo	O
.	O
O	O
cubismo	O
em	O
expansão	O
por	O
toda	O
a	O
Europa	B-LOCAL
foram	O
influências	O
marcantes	O
no	O
seu	O
cubismo	O
analítico	O
.	O
Amadeo	B-PESSOA
de	I-PESSOA
Souza	I-PESSOA
-	I-PESSOA
Cardoso	I-PESSOA
explora	O
o	O
expressionismo	O
e	O
nos	O
seus	O
últimos	O
trabalhos	O
experimenta	O
novas	O
formas	O
e	O
técnicas	O
,	O
como	O
as	O
colagens	O
e	O
outras	O
formas	O
de	O
expressão	O
plástica	O
.	O
Em	B-TEMPO
25	I-TEMPO
de	I-TEMPO
Outubro	I-TEMPO
de	I-TEMPO
1918	I-TEMPO
,	O
aos	O
31	B-VALOR
anos	I-VALOR
de	O
idade	O
,	O
morre	O
prematuramente	O
em	O
Espinho	B-LOCAL
,	O
vítima	O
da	O
"	O
pneumónica	O
"	O
que	O
grassava	O
em	O
Portugal	B-LOCAL
.	O
Que	O
percentagem	O
do	O
orçamento	O
da	O
União	B-ORGANIZACAO
Europeia	I-ORGANIZACAO
se	O
destina	O
à	O
 	O
agricultura	O
?	O
Quantos	O
países	O
são	O
oficialmente	O
candidatos	O
à	O
 	O
adesão	O
à	O
  	O
Otan	B-ORGANIZACAO
?	O
Que	O
sinfonia	O
compôs	O
Beethoven	B-PESSOA
em	B-TEMPO
1824	I-TEMPO
?	O
Que	O
país	O
não	O
é	O
membro	O
da	O
ONU	B-ORGANIZACAO
?	O
Quem	O
se	O
pensa	O
ter	O
participado	O
na	O
tentativa	O
de	O
assassínio	O
de	O
Juan	B-PESSOA
Carlos	I-PESSOA
em	B-TEMPO
1995	I-TEMPO
?	O
Quem	O
era	O
o	O
pai	O
de	O
Isabel	B-PESSOA
II	I-PESSOA
?	O
Quem	O
foi	O
chanceler	B-PESSOA
da	I-PESSOA
Alemanha	I-PESSOA
de	B-TEMPO
1974	I-TEMPO
a	I-TEMPO
1982	I-TEMPO
?	O
Quando	O
ocorreu	O
a	O
coroação	O
oficial	O
de	O
Isabel	B-PESSOA
II	I-PESSOA
?	O
Em	O
que	O
ano	O
foi	O
proposta	O
pela	O
primeira	O
vez	O
a	O
"	O
Parceria	B-OBRA
para	I-OBRA
a	I-OBRA
Paz	I-OBRA
"	O
?	O
Quem	O
comandou	O
a	O
Insurreição	B-ACONTECIMENTO
de	I-ACONTECIMENTO
Varsóvia	I-ACONTECIMENTO
?	O
Quem	O
escreveu	O
a	O
epopeia	O
fantástica	O
"	O
O	B-OBRA
Senhor	I-OBRA
dos	I-OBRA
Anéis	I-OBRA
"	O
?	O
Como	O
se	O
chama	O
a	O
mulher	O
de	O
George	B-PESSOA
H.	I-PESSOA
W.	I-PESSOA
Bush	I-PESSOA
?	O
Como	O
se	O
chama	O
a	O
primeira	O
mulher	O
a	O
escalar	O
o	O
Evereste	B-LOCAL
sem	O
máscara	O
de	O
oxigénio	O
?	O
Quem	O
ficou	O
conhecido	O
como	O
o	O
"	O
chanceler	O
de	O
ferro	O
"	O
?	O
Em	O
que	O
ano	O
foi	O
assassinado	O
Martin	B-PESSOA
Luther	I-PESSOA
King	I-PESSOA
?	O
Em	O
que	O
cidade	O
nasceu	O
Wolfgang	B-PESSOA
Amadeus	I-PESSOA
Mozart	I-PESSOA
?	O
Quantos	O
estados	O
tem	O
a	O
Alemanha	B-LOCAL
?	O
Quem	O
é	O
Stephen	B-PESSOA
Hawking	I-PESSOA
?	O
O	O
que	O
é	O
o	O
hapkido	O
?	O
Quem	O
se	O
tornou	O
chanceler	O
após	O
ter	O
sido	O
ministro	O
-	O
presidente	O
da	O
Renânia	B-LOCAL
-	I-LOCAL
Palatinado	I-LOCAL
?	O
Que	O
rei	O
morreu	O
em	B-TEMPO
1718	I-TEMPO
?	O
Em	O
que	O
ano	O
morreu	O
Charles	B-PESSOA
de	I-PESSOA
Gaulle	I-PESSOA
?	O
Qual	O
é	O
a	O
altura	O
da	O
Torre	B-OBRA
Eiffel	I-OBRA
?	O
O	O
que	O
é	O
o	O
top	O
quark	O
?	O
De	O
acordo	O
com	O
o	O
modelo	O
"	O
standard	O
"	O
,	O
quais	O
são	O
as	O
três	O
partículas	O
elementares	O
da	O
física	O
?	O
Que	O
proporção	O
do	O
leite	O
vendido	O
é	O
usado	O
com	O
cereais	O
ao	O
pequeno	O
-	O
almoço	O
?	O
Em	O
que	O
ano	O
teve	O
lugar	O
o	O
Desembarque	B-ACONTECIMENTO
da	I-ACONTECIMENTO
Normandia	I-ACONTECIMENTO
?	O
Quando	O
foi	O
assinada	O
a	O
"	O
Convenção	B-OBRA
de	I-OBRA
Basileia	I-OBRA
sobre	I-OBRA
o	I-OBRA
Controlo	I-OBRA
de	I-OBRA
Movimentos	I-OBRA
Transfronteiriços	I-OBRA
de	I-OBRA
Resíduos	I-OBRA
Perigosos	I-OBRA
"	O
?	O
A	O
que	O
se	O
refere	O
o	O
termo	O
"	O
Les	B-ABSTRACCAO
Six	I-ABSTRACCAO
"	O
em	O
música	O
?	O
A	O
quem	O
pertencia	O
Nice	B-LOCAL
de	B-TEMPO
1814	I-TEMPO
a	I-TEMPO
1860	I-TEMPO
?	O
Qual	O
é	O
a	O
sigla	O
da	O
Administração	B-ORGANIZACAO
Federal	I-ORGANIZACAO
de	I-ORGANIZACAO
Aviação	I-ORGANIZACAO
?	O
O	O
que	O
é	O
o	O
GI	O
Joe	O
?	O
Qual	O
a	O
estrutura	O
cujo	O
afundamento	O
causou	O
controvérsia	O
na	O
cimeira	O
dos	O
G7	B-ORGANIZACAO
em	O
Halifax	B-LOCAL
?	O
Quem	O
foi	O
Alexander	B-PESSOA
Graham	I-PESSOA
Bell	I-PESSOA
?	I-PESSOA
Quem	O
é	O
Danuta	B-PESSOA
Walesa	I-PESSOA
?	O
Quem	O
é	O
Vigdís	B-PESSOA
Finnbogadóttir	I-PESSOA
?	O
Quem	O
eram	O
os	O
cossacos	O
?	O
O	O
que	O
é	O
o	O
ECU	B-COISA
verde	O
?	O
O	O
que	O
é	O
o	O
dracma	O
?	O
Quem	O
preside	O
à	O
  	O
RAI	B-ORGANIZACAO
?	O
Quem	O
é	O
o	O
director	O
de	O
operações	O
da	O
NASA	B-ORGANIZACAO
?	O
Em	O
que	O
ano	O
se	O
afundou	O
o	O
Titanic	B-COISA
?	O
Em	O
que	O
data	O
é	O
que	O
os	O
Estados	B-ORGANIZACAO
Unidos	I-ORGANIZACAO
invadiram	O
o	O
Haiti	B-LOCAL
?	O
Em	O
que	O
ano	O
foi	O
a	O
Revolução	B-ACONTECIMENTO
de	I-ACONTECIMENTO
Outubro	I-ACONTECIMENTO
?	O
Em	O
que	O
ano	O
ocorreu	O
a	O
retirada	O
de	O
Dunquerque	B-LOCAL
?	O
Onde	O
é	O
a	O
sede	O
da	O
Interpol	B-ORGANIZACAO
?	O
Onde	O
é	O
que	O
Braque	B-PESSOA
e	O
Picasso	B-PESSOA
trabalharam	O
juntos	O
?	O
De	O
que	O
organização	O
era	O
Sergio	B-PESSOA
Balanzino	I-PESSOA
secretário	O
-	O
geral	O
?	O
De	O
que	O
estúdio	O
cinematográfico	O
foi	O
Cedric	B-PESSOA
Gibbons	I-PESSOA
director	O
artístico	O
?	O
Quantos	O
habitantes	O
tem	O
Longyearbyen	B-LOCAL
?	O
Qual	O
o	O
principal	O
componente	O
da	O
aspirina	O
?	O
Com	O
que	O
bicicleta	O
bateu	O
Miguel	B-PESSOA
Induráin	I-PESSOA
o	O
recorde	O
da	O
hora	O
?	O
Quem	O
venceu	O
a	O
Volta	B-ACONTECIMENTO
a	I-ACONTECIMENTO
França	I-ACONTECIMENTO
em	B-TEMPO
1988	I-TEMPO
?	O
A	O
que	O
organização	O
aderiu	O
a	O
Grécia	B-ORGANIZACAO
em	B-TEMPO
1952	I-TEMPO
?	O
Quantos	O
países	O
visitou	O
Nixon	B-PESSOA
entre	B-TEMPO
1953	I-TEMPO
e	I-TEMPO
1959	I-TEMPO
?	O
Que	O
cargo	O
ocupava	O
François	B-PESSOA
Mitterrand	I-PESSOA
ao	O
ingressar	O
no	O
hospital	O
de	O
Cochin	B-LOCAL
?	O
Quais	O
são	O
as	O
três	O
repúblicas	O
bálticas	O
?	O
Quais	O
são	O
as	O
três	O
repúblicas	O
soviéticas	O
eslavas	O
?	O
O	O
que	O
é	O
o	O
Challenger	O
?	O
Quem	O
é	O
Ernesto	B-PESSOA
Zedillo	I-PESSOA
Ponce	I-PESSOA
de	I-PESSOA
León	I-PESSOA
?	O
Quem	O
era	O
primeiro	O
-	O
ministro	O
britânico	O
antes	O
de	O
John	B-PESSOA
Major	I-PESSOA
?	O
Quem	O
é	O
Boris	B-PESSOA
Becker	I-PESSOA
?	O
Em	O
que	O
filme	O
de	O
Kevin	B-PESSOA
Reynolds	I-PESSOA
actuou	O
Kevin	B-PESSOA
Costner	I-PESSOA
?	O
Onde	O
se	O
realizaram	O
os	O
Jogos	B-ACONTECIMENTO
Olímpicos	I-ACONTECIMENTO
de	B-TEMPO
1993	I-TEMPO
?	O
Que	O
tipo	O
de	O
bombas	O
foram	O
usadas	O
pelo	O
IRA	B-PESSOA
no	O
ataque	O
a	O
Heathrow	B-LOCAL
em	B-TEMPO
1994	I-TEMPO
?	O
O	O
que	O
é	O
um	O
Chinook	B-COISA
?	O
Quem	O
é	O
o	O
presidente	B-PESSOA
do	I-PESSOA
Egipto	I-PESSOA
?	O
Onde	O
morreu	O
Kurt	B-PESSOA
Cobain	I-PESSOA
?	O
Quantos	O
telespectadores	O
seguiram	O
a	O
final	O
do	O
Campeonato	B-ACONTECIMENTO
do	I-ACONTECIMENTO
Mundo	I-ACONTECIMENTO
de	I-ACONTECIMENTO
Futebol	I-ACONTECIMENTO
de	B-TEMPO
1994	I-TEMPO
?	O
O	O
que	O
é	O
o	O
KMT	B-ABSTRACCAO
?	O
Que	O
cromossoma	O
está	O
na	O
origem	O
do	O
mongolismo	O
?	O
Quem	O
era	O
presidente	B-PESSOA
da	I-PESSOA
Chechénia	I-PESSOA
em	B-TEMPO
1994	I-TEMPO
?	O
Quem	O
foi	O
o	O
primeiro	O
homem	O
na	O
Lua	B-LOCAL
?	O
A	O
que	O
partido	O
pertence	O
Mahfoudh	B-PESSOA
Nahnah	I-PESSOA
?	O
Diga	O
o	O
nome	O
de	O
um	O
filme	O
realizado	O
por	O
Claude	B-PESSOA
Lanzmann	I-PESSOA
?	O
Onde	O
fica	O
a	O
cidadezinha	O
de	O
Neftegorsk	B-LOCAL
?	O
De	O
que	O
grupo	O
é	O
presidente	O
Claude	B-PESSOA
Bébéar	I-PESSOA
?	O
Quem	O
é	O
Jacques	B-PESSOA
Diouf	I-PESSOA
?	O
O	O
que	O
significa	O
NLW	B-ABSTRACCAO
?	O
O	O
que	O
é	O
a	O
Parceria	O
para	O
a	O
Paz	O
?	O
A	O
que	O
partido	O
pertence	O
Petru	B-PESSOA
Luchinski	I-PESSOA
?	O
Que	O
festival	O
de	O
cinema	O
atribui	O
o	O
"	O
Urso	B-OUTRO
de	I-OUTRO
Ouro	I-OUTRO
"	O
?	O
Quem	O
é	O
o	O
diretor	O
do	O
filme	O
"	O
Caro	B-OBRA
Diário	I-OBRA
"	O
?	O
O	O
que	O
é	O
a	O
UNHCR	B-ABSTRACCAO
?	O
Que	O
valor	O
adjudicou	O
o	O
Canadá	B-ORGANIZACAO
para	O
a	O
remoção	O
das	O
armas	O
atómicas	O
ucranianas	O
?	O
Onde	O
é	O
que	O
morreu	O
Ayrton	B-PESSOA
Senna	I-PESSOA
?	O
Em	O
que	O
país	O
foi	O
aprovada	O
uma	O
lei	O
que	O
